time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-07-14,16.225,16.225,7.451,7.451,4700,35019.7,,,,,,,,
2017-07-17,7.948,7.948,7.948,7.948,800,6358.400000000001,,,,,,,,
2017-07-18,7.948,7.948,7.948,7.948,0,0.0,,,,,,,,
2017-07-19,7.948,7.948,7.948,7.948,100,794.8000000000001,,,,,,,,
2017-07-20,7.948,7.948,7.948,7.948,0,0.0,,,,,,,,
2017-07-21,8.279,8.279,7.948,7.948,300,2384.4,,,,,,,,
2017-07-24,8.03,8.03,8.03,8.03,0,0.0,,,,,,,,
2017-07-25,8.03,8.03,8.03,8.03,0,0.0,,,,,,,,
2017-07-26,8.03,8.03,8.03,8.03,0,0.0,,,,,,,,
2017-07-27,8.03,8.03,8.03,8.03,0,0.0,,,,,,,,
2017-07-28,8.03,8.03,8.03,8.03,0,0.0,,,,,,,,
2017-07-31,8.03,8.03,8.03,8.03,0,0.0,,,,,,,,
2017-08-01,8.03,8.03,8.03,8.03,0,0.0,,,,,,,,
2017-08-02,9.107,9.107,9.107,9.107,100,910.7,,,,,,,,
2017-08-03,9.107,9.107,9.107,9.107,0,0.0,,,,,,,,
2017-08-04,7.782,7.782,7.782,7.782,3200,24902.4,,,,,,,,
2017-08-07,7.782,7.782,7.782,7.782,10,77.82,,,,,,,,
2017-08-08,7.782,7.782,7.782,7.782,0,0.0,,,,,,,,
2017-08-09,8.279,8.279,8.279,8.279,100,827.9,,,,,,,,
2017-08-10,9.519,9.519,9.519,9.519,100,951.9,,,,,,,,
2017-08-11,10.761,10.761,10.761,10.761,100,1076.1,,,,,,,,
2017-08-14,10.761,10.761,10.761,10.761,0,0.0,,,,,,,,
2017-08-15,9.189,9.189,9.189,9.189,3600,33080.4,,,,,,,,
2017-08-16,9.189,9.189,9.189,9.189,0,0.0,,,,,,,,
2017-08-17,9.189,9.189,9.189,9.189,0,0.0,,,,,,,,
2017-08-18,8.36,8.36,8.279,8.279,5100,42222.9,,,,,,,,
2017-08-21,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-22,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-23,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-24,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-25,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-28,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-29,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-30,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-08-31,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-01,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-05,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-06,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-07,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-08,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-11,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-12,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-13,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-14,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-15,8.36,8.36,8.36,8.36,0,0.0,,,,,,,,
2017-09-18,7.12,7.12,7.12,7.12,500,3560.0,,,,,,,,
2017-09-19,7.12,7.12,7.12,7.12,0,0.0,,,,,,,,
2017-09-20,7.12,7.12,7.12,7.12,0,0.0,,,,,,,,
2017-09-21,7.12,7.12,7.12,7.12,0,0.0,,,,,,,,
2017-09-22,7.12,7.12,7.12,7.12,0,0.0,,,,,,,,
2017-09-25,8.112,8.112,8.112,8.112,10000,81120.0,,,,,,,,
2017-09-26,8.112,8.112,8.112,8.112,0,0.0,,,,,,,,
2017-09-27,8.112,8.112,8.112,8.112,0,0.0,,,,,,,,
2017-09-28,9.272,9.272,9.272,9.272,1600,14835.2,,,,,,,,
2017-09-29,9.272,9.272,9.272,9.272,3900,36160.8,,,,,,,,
2017-10-02,9.934,9.934,9.934,9.934,1000,9934.0,,,,,,,,
2017-10-03,9.934,9.934,9.934,9.934,0,0.0,,,,,,,,
2017-10-04,9.934,9.934,9.934,9.934,0,0.0,,,,,,,,
2017-10-05,9.934,9.934,9.934,9.934,0,0.0,,,,,,,,
2017-10-06,11.424,11.424,11.424,11.424,100,1142.4,,,,,,,,
2017-10-09,11.424,11.424,11.424,11.424,100,1142.4,,,,,,,,
2017-10-10,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-11,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-12,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-13,11.424,11.424,10.017,10.017,10000,100170.0,,,,,,,,
2017-10-16,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-17,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-18,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-19,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-20,11.424,11.424,11.424,11.424,100,1142.4,,,,,,,,
2017-10-23,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-24,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-25,11.424,11.424,11.424,11.424,200,2284.8,,,,,,,,
2017-10-26,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-27,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-30,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-10-31,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-11-01,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-11-02,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-11-03,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-11-06,11.424,11.424,11.424,11.424,0,0.0,,,,,,,,
2017-11-07,11.424,11.424,11.424,11.424,600,6854.4,,,,,,,,
2017-11-08,11.59,11.59,11.59,11.59,400,4636.0,,,,,,,,
2017-11-09,11.59,11.59,11.59,11.59,0,0.0,,,,,,,,
2017-11-10,11.59,11.59,11.59,11.59,0,0.0,,,,,,,,
2017-11-13,11.59,11.59,11.59,11.59,0,0.0,,,,,,,,
2017-11-14,11.175,11.175,11.175,11.175,200,2235.0,,,,,,,,
2017-11-15,11.175,11.175,11.175,11.175,0,0.0,,,,,,,,
2017-11-16,10.761,10.761,10.761,10.761,1300,13989.3,,,,,,,,
2017-11-17,10.761,10.761,10.761,10.761,0,0.0,,,,,,,,
2017-11-20,10.761,10.761,10.761,10.761,0,0.0,,,,,,,,
2017-11-21,9.934,9.934,9.934,9.934,200,1986.8,,,,,,,,
2017-11-22,9.519,9.519,9.519,9.519,4000,38076.0,,,,,,,,
2017-11-23,9.519,9.519,9.519,9.519,0,0.0,,,,,,,,
2017-11-24,9.519,9.519,9.519,9.519,0,0.0,,,,,,,,
2017-11-27,9.519,9.519,9.519,9.519,1300,12374.7,,,,,,,,
2017-11-28,9.519,9.519,9.519,9.519,3000,28557.0,,,,,,,,
2017-11-29,9.519,9.519,9.519,9.519,2000,19038.0,,,,,,,,
2017-11-30,9.519,9.519,9.519,9.519,2000,19038.0,,,,,,,,
2017-12-01,9.934,9.934,9.107,9.107,11500,104730.5,,,,,,,,
2017-12-04,9.272,9.272,9.272,9.272,0,0.0,,,,,,,,
2017-12-05,9.272,9.272,9.272,9.272,0,0.0,,,,,,,,
2017-12-06,9.519,9.519,9.519,9.519,100,951.9,,,,,,,,
2017-12-07,9.934,9.934,9.934,9.934,100,993.4,,,,,,,,
2017-12-08,9.934,9.934,9.934,9.934,0,0.0,,,,,,,,
2017-12-11,9.934,9.934,9.934,9.934,0,0.0,,,,,,,,
2017-12-12,9.934,9.934,9.934,9.934,0,0.0,,,,,,,,
2017-12-13,9.685,9.685,9.685,9.685,100,968.5,,,,,,,,
2017-12-14,9.685,9.685,9.685,9.685,400,3874.0,,,,,,,,
