time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-12-21,11.09,11.25,10.61,11.09,37300,413657.0,,,,,,,,
2009-12-22,10.93,10.93,10.77,10.77,5800,62466.0,,,,,,,,
2009-12-23,10.69,10.69,10.61,10.61,6100,64721.0,,,,,,,,
2009-12-24,10.05,10.05,9.95,9.95,16200,161190.0,,,,,,,,
2009-12-25,9.33,10.66,9.33,9.97,28700,286139.0,,,,,,,,
2009-12-28,10.37,10.37,9.65,9.65,17000,164050.0,,,,,,,,
2009-12-29,10.53,10.53,10.29,10.29,12100,124509.0,,,,,,,,
2009-12-30,10.19,10.19,9.58,9.58,1200,11496.0,,,,,,,,
2009-12-31,9.97,10.13,9.79,9.79,19100,186989.0,,,,,,,,
2010-01-04,10.29,10.29,9.97,10.27,33400,343018.0,,,,,,,,
2010-01-05,10.84,10.87,9.66,9.66,18800,181608.0,,,,,,,,
2010-01-06,9.89,9.97,9.52,9.52,10800,102816.0,,,,,,,,
2010-01-07,10.13,10.13,9.68,9.68,19600,189728.0,,,,,,,,
2010-01-08,9.95,10.6,9.95,10.6,104900,1111940.0,,,,,,,,
2010-01-11,11.21,11.21,11.17,11.21,133800,1499898.0,,,,,,,,
2010-01-12,11.25,11.79,11.17,11.17,7500,83775.0,,,,,,,,
2010-01-13,10.79,11.17,10.64,11.17,8700,97179.0,,,,,,,,
2010-01-14,10.6,10.6,10.11,10.11,10900,110199.0,,,,,,,,
2010-01-15,10.53,10.53,9.5,9.55,32200,307510.0,,,,,,,,
2010-01-18,9.16,9.16,8.94,8.94,17000,151980.0,,,,,,,,
2010-01-19,8.94,9.55,8.94,9.55,6400,61120.00000000001,,,,,,,,
2010-01-20,9.16,9.33,8.92,8.92,15400,137368.0,,,,,,,,
2010-01-21,9.49,9.57,8.76,8.88,10700,95016.0,,,,,,,,
2010-01-22,8.86,9.41,8.86,9.39,18600,174654.0,,,,,,,,
2010-01-25,9.33,9.39,9.33,9.39,5600,52584.0,,,,,,,,
2010-01-26,9.81,9.81,9.65,9.73,9200,89516.0,,,,,,,,
