time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-06-22,5.767,5.767,5.767,5.767,1900,10957.3,,,,,,,,
2017-06-23,6.151,6.151,6.151,6.151,1000,6151.0,,,,,,,,
2017-06-26,6.576,6.576,6.576,6.576,2900,19070.4,,,,,,,,
2017-06-27,7.021,7.021,7.021,7.021,5900,41423.9,,,,,,,,
2017-06-28,7.507,7.507,7.507,7.507,1000,7507.0,,,,,,,,
2017-06-29,8.013,8.013,8.013,8.013,1000,8013.0,,,,,,,,
2017-06-30,8.559,8.559,8.559,8.559,120000,1027080.0,,,,,,,,
2017-07-03,9.146,9.146,9.146,9.146,34000,310964.0,,,,,,,,
2017-07-04,9.773,9.773,9.712,9.773,1607600,15711074.8,,,,,,,,
2017-07-05,10.36,10.441,9.51,9.975,451610,4504809.75,,,,,,,,
2017-07-06,9.631,9.874,9.51,9.51,298690,2840541.9,,,,,,,,
2017-07-07,9.024,9.51,8.863,8.984,413280,3712907.52,,,,,,,,
2017-07-10,8.984,9.571,8.498,9.308,253850,2362835.8,,,,,,,,
2017-07-11,9.551,9.834,9.105,9.834,251850,2476692.9,,,,,,,,
2017-07-12,10.036,10.158,9.834,10.158,338380,3437264.04,,,,,,,,
2017-07-13,10.158,10.866,10.036,10.866,537250,5837758.5,,,,,,,,
2017-07-14,11.614,11.614,10.117,10.117,768850,7778455.450000001,,,,,,,,
2017-07-17,10.603,10.825,10.603,10.825,502100,5435232.5,,,,,,,,
2017-07-18,11.048,11.048,10.562,10.562,250250,2643140.5,,,,,,,,
2017-07-19,10.562,10.886,10.522,10.765,269890,2905365.85,,,,,,,,
2017-07-20,10.926,11.291,10.765,11.291,354920,4007401.72,,,,,,,,
2017-07-21,11.331,11.655,10.805,11.614,538020,6248564.28,,,,,,,,
2017-07-24,11.574,11.574,11.331,11.453,222900,2552873.7,,,,,,,,
2017-07-25,11.169,11.736,11.169,11.493,333870,3837167.91,,,,,,,,
2017-07-26,11.655,11.655,11.351,11.534,313080,3611064.72,,,,,,,,
