time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,2.428,2.504,2.428,2.466,63900,157577.40000000002,,,,,,,,
2013-01-03,2.466,2.466,2.428,2.428,68500,166318.0,,,,,,,,
2013-01-04,2.39,2.504,2.39,2.504,50400,126201.6,,,,,,,,
2013-01-07,2.466,2.618,2.466,2.618,251400,658165.2,,,,,,,,
2013-01-08,2.656,2.656,2.58,2.618,85500,223839.0,,,,,,,,
2013-01-09,2.656,2.656,2.504,2.542,51400,130658.8,,,,,,,,
2013-01-10,2.466,2.58,2.428,2.542,56300,143114.59999999998,,,,,,,,
2013-01-11,2.58,2.58,2.504,2.542,58100,147690.19999999998,,,,,,,,
2013-01-14,2.542,2.542,2.466,2.542,51800,131675.59999999998,,,,,,,,
2013-01-15,2.504,2.618,2.504,2.618,90000,235620.0,,,,,,,,
2013-01-16,2.618,2.694,2.618,2.694,247700,667303.7999999999,,,,,,,,
2013-01-17,2.694,2.732,2.618,2.618,34400,90059.2,,,,,,,,
2013-01-18,2.618,2.656,2.618,2.618,94000,246092.0,,,,,,,,
2013-01-21,2.656,2.656,2.618,2.618,14700,38484.6,,,,,,,,
2013-01-22,2.656,2.656,2.542,2.542,85400,217086.8,,,,,,,,
2013-01-23,2.504,2.542,2.504,2.542,21500,54652.99999999999,,,,,,,,
2013-01-24,2.58,2.618,2.58,2.618,29000,75922.0,,,,,,,,
2013-01-25,2.618,2.656,2.618,2.618,93700,245306.6,,,,,,,,
2013-01-28,2.656,2.694,2.656,2.656,108700,288707.2,,,,,,,,
2013-01-29,2.656,2.694,2.58,2.58,109500,282510.0,,,,,,,,
2013-01-30,2.618,2.618,2.618,2.618,38200,100007.6,,,,,,,,
2013-01-31,2.618,2.618,2.58,2.618,31400,82205.2,,,,,,,,
2013-02-01,2.618,2.618,2.58,2.58,48100,124098.0,,,,,,,,
2013-02-04,2.58,2.58,2.58,2.58,46000,118680.0,,,,,,,,
2013-02-05,2.542,2.58,2.542,2.58,26600,68628.0,,,,,,,,
