time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,5.2,5.2,5.0,5.1,610120,3111612.0,,,,,,,,
2013-01-03,5.1,5.3,5.0,5.3,807490,4279697.0,,,,,,,,
2013-01-04,5.3,5.4,5.3,5.3,231350,1226155.0,,,,,,,,
2013-01-07,5.4,5.4,5.2,5.2,322240,1675648.0,,,,,,,,
2013-01-08,5.1,5.2,5.0,5.0,465990,2329950.0,,,,,,,,
2013-01-09,5.1,5.2,4.8,4.8,443700,2129760.0,,,,,,,,
2013-01-10,4.8,5.0,4.7,5.0,218280,1091400.0,,,,,,,,
2013-01-11,5.1,5.1,4.8,4.9,593110,2906239.0,,,,,,,,
2013-01-14,4.9,5.1,4.8,5.1,324200,1653420.0,,,,,,,,
2013-01-15,5.2,5.4,5.2,5.4,810730,4377942.0,,,,,,,,
2013-01-16,5.7,5.7,5.5,5.7,338320,1928424.0,,,,,,,,
2013-01-17,5.8,5.9,5.5,5.5,521260,2866930.0,,,,,,,,
2013-01-18,5.4,5.8,5.4,5.8,693200,4020560.0,,,,,,,,
2013-01-21,6.2,6.2,5.8,6.0,248850,1493100.0,,,,,,,,
2013-01-22,6.0,6.0,5.6,5.8,363410,2107778.0,,,,,,,,
2013-01-23,5.8,5.8,5.4,5.6,371320,2079392.0,,,,,,,,
2013-01-24,5.7,5.8,5.5,5.7,322170,1836369.0,,,,,,,,
2013-01-25,5.7,5.9,5.6,5.6,467980,2620688.0,,,,,,,,
2013-01-28,5.7,5.9,5.7,5.8,716770,4157266.0,,,,,,,,
2013-01-29,5.8,6.2,5.8,6.0,386130,2316780.0,,,,,,,,
2013-01-30,6.0,6.1,5.9,5.9,226780,1338002.0,,,,,,,,
2013-01-31,5.9,5.9,5.6,5.7,355880,2028516.0,,,,,,,,
2013-02-01,5.7,5.7,5.5,5.7,158440,903108.0,,,,,,,,
2013-02-04,5.8,5.8,5.6,5.6,160570,899192.0,,,,,,,,
2013-02-05,5.6,5.7,5.5,5.6,137420,769552.0,,,,,,,,
2013-02-06,5.6,5.8,5.6,5.8,118670,688286.0,,,,,,,,
2013-02-07,5.9,5.9,5.6,5.8,168880,979504.0,,,,,,,,
2013-02-08,6.2,6.2,6.2,6.2,362820,2249484.0,,,,,,,,
2013-02-18,6.6,6.6,6.6,6.6,181410,1197306.0,,,,,,,,
2013-02-19,7.0,7.0,7.0,7.0,368230,2577610.0,,,,,,,,
2013-02-20,7.1,7.3,6.7,7.1,1238100,8790510.0,,,,,,,,
2013-02-21,7.1,7.5,6.7,6.7,1623060,10874502.0,,,,,,,,
2013-02-22,7.0,7.1,6.6,7.0,1495130,10465910.0,,,,,,,,
2013-02-25,7.0,7.3,7.0,7.1,591570,4200147.0,,,,,,,,
2013-02-26,6.9,7.1,6.7,6.7,788750,5284625.0,,,,,,,,
2013-02-27,6.5,6.7,6.3,6.5,964060,6266390.0,,,,,,,,
2013-02-28,6.7,6.8,6.5,6.6,448250,2958450.0,,,,,,,,
2013-03-01,6.7,6.8,6.5,6.6,445660,2941356.0,,,,,,,,
2013-03-04,6.6,6.6,6.2,6.2,539770,3346574.0,,,,,,,,
2013-03-05,5.9,6.0,5.8,5.8,398500,2311300.0,,,,,,,,
2013-03-06,5.8,6.0,5.6,5.8,230550,1337190.0,,,,,,,,
2013-03-07,5.8,6.2,5.8,6.0,441750,2650500.0,,,,,,,,
2013-03-08,6.0,6.1,6.0,6.0,149130,894780.0,,,,,,,,
2013-03-11,6.1,6.4,6.0,6.4,441920,2828288.0,,,,,,,,
2013-03-12,6.4,6.8,6.4,6.6,516590,3409494.0,,,,,,,,
2013-03-13,6.6,6.7,6.3,6.3,258630,1629369.0,,,,,,,,
2013-03-14,6.3,6.4,6.2,6.3,231340,1457442.0,,,,,,,,
2013-03-15,6.4,6.4,6.2,6.3,179860,1133118.0,,,,,,,,
2013-03-18,6.3,6.6,6.2,6.4,410900,2629760.0,,,,,,,,
2013-03-19,6.3,6.4,6.2,6.3,200370,1262331.0,,,,,,,,
2013-03-20,6.2,6.7,6.2,6.7,1073200,7190440.0,,,,,,,,
2013-03-21,6.8,7.1,6.7,6.7,813220,5448574.0,,,,,,,,
2013-03-22,6.7,6.8,6.4,6.6,491360,3242976.0,,,,,,,,
2013-03-25,6.6,6.6,6.4,6.5,230870,1500655.0,,,,,,,,
2013-03-26,6.5,6.6,6.4,6.5,255270,1659255.0,,,,,,,,
2013-03-27,6.5,6.5,6.3,6.4,131380,840832.0,,,,,,,,
2013-03-28,6.4,6.5,6.3,6.3,304170,1916271.0,,,,,,,,
2013-03-29,6.2,6.3,6.0,6.1,403660,2462326.0,,,,,,,,
