time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-06-05,16.354,16.354,16.354,16.354,100,1635.4,,,,,,,,
2017-06-06,18.807,18.807,18.807,18.807,100,1880.7,,,,,,,,
2017-06-07,21.61,21.61,21.61,21.61,100,2161.0,,,,,,,,
2017-06-08,24.823,24.823,23.363,24.823,24250,601957.75,,,,,,,,
2017-06-09,28.269,28.269,21.085,28.035,8700,243904.5,,,,,,,,
2017-06-12,22.545,25.641,22.545,22.545,4200,94689.0,,,,,,,,
2017-06-13,27.218,27.218,23.363,24.005,2700,64813.5,,,,,,,,
2017-06-14,21.494,21.61,21.494,21.61,2600,56186.0,,,,,,,,
2017-06-15,24.531,24.531,24.531,24.531,1000,24531.0,,,,,,,,
2017-06-16,23.363,23.363,22.195,22.253,3900,86786.7,,,,,,,,
2017-06-19,22.662,22.662,22.662,22.662,100,2266.2,,,,,,,,
2017-06-20,24.998,24.998,22.487,22.487,1700,38227.9,,,,,,,,
2017-06-21,20.91,21.903,20.442,21.202,5900,125091.80000000002,,,,,,,,
2017-06-22,23.246,23.246,21.026,21.961,7800,171295.8,,,,,,,,
2017-06-23,23.888,23.888,22.195,22.37,1500,33555.0,,,,,,,,
2017-06-26,23.363,23.363,22.253,22.487,2900,65212.3,,,,,,,,
2017-06-27,23.538,23.538,22.545,22.545,1800,40581.0,,,,,,,,
2017-06-28,22.195,22.487,22.019,22.487,2200,49471.4,,,,,,,,
2017-06-29,22.37,22.72,22.195,22.195,1800,39951.0,,,,,,,,
2017-06-30,22.72,22.779,21.61,21.61,1410,30470.1,,,,,,,,
2017-07-03,22.195,22.195,22.195,22.195,500,11097.5,,,,,,,,
2017-07-04,23.365,23.365,23.365,23.365,500,11682.5,,,,,,,,
2017-07-05,23.365,23.365,23.365,23.365,0,0.0,,,,,,,,
2017-07-06,22.194,22.194,22.194,22.194,1500,33291.0,,,,,,,,
2017-07-07,22.194,22.194,22.194,22.194,2900,64362.6,,,,,,,,
2017-07-10,23.365,23.365,23.365,23.365,500,11682.5,,,,,,,,
2017-07-11,24.66,24.66,20.344,20.344,12100,246162.4,,,,,,,,
2017-07-12,23.303,23.303,23.303,23.303,800,18642.4,,,,,,,,
2017-07-13,20.344,20.344,20.344,20.344,200,4068.8,,,,,,,,
2017-07-14,22.749,22.749,20.529,20.529,1100,22581.9,,,,,,,,
2017-07-17,23.303,23.303,20.098,20.961,1010,21170.61,,,,,,,,
2017-07-18,22.502,22.749,22.502,22.749,1000,22749.0,,,,,,,,
2017-07-19,22.502,22.502,22.502,22.502,0,0.0,,,,,,,,
2017-07-20,21.886,21.886,21.886,21.886,100,2188.6,,,,,,,,
2017-07-21,22.44,22.44,22.44,22.44,500,11220.0,,,,,,,,
2017-07-24,22.44,22.44,22.44,22.44,0,0.0,,,,,,,,
2017-07-25,22.749,22.749,22.749,22.749,1000,22749.0,,,,,,,,
2017-07-26,22.749,22.749,22.749,22.749,0,0.0,,,,,,,,
2017-07-27,19.728,20.653,19.728,20.653,1200,24783.6,,,,,,,,
2017-07-28,19.913,19.913,19.913,19.913,0,0.0,,,,,,,,
2017-07-31,19.789,20.344,19.789,20.344,1400,28481.6,,,,,,,,
2017-08-01,20.344,20.344,20.344,20.344,1000,20344.0,,,,,,,,
2017-08-02,20.344,20.344,20.036,20.036,2100,42075.600000000006,,,,,,,,
2017-08-03,20.344,22.379,20.344,22.379,4220,94439.38,,,,,,,,
2017-08-04,20.036,20.036,19.913,19.913,700,13939.1,,,,,,,,
2017-08-07,20.344,20.468,20.344,20.344,5700,115960.8,,,,,,,,
2017-08-08,20.344,20.344,20.036,20.036,8900,178320.40000000002,,,,,,,,
2017-08-09,19.728,19.728,19.728,19.728,600,11836.8,,,,,,,,
2017-08-10,20.344,20.344,20.344,20.344,4300,87479.20000000001,,,,,,,,
2017-08-11,20.344,20.344,20.344,20.344,200,4068.8,,,,,,,,
2017-08-14,20.344,20.344,20.344,20.344,0,0.0,,,,,,,,
2017-08-15,19.728,20.344,19.728,20.344,5000,101720.0,,,,,,,,
2017-08-16,20.344,20.344,20.036,20.036,800,16028.8,,,,,,,,
2017-08-17,20.344,20.344,19.728,19.728,3000,59184.00000000001,,,,,,,,
2017-08-18,22.81,22.81,19.789,20.344,3600,73238.40000000001,,,,,,,,
2017-08-21,20.468,20.468,20.344,20.344,2250,45774.0,,,,,,,,
2017-08-22,22.81,22.81,20.344,20.344,3500,71204.0,,,,,,,,
2017-08-23,20.406,20.406,20.406,20.406,900,18365.4,,,,,,,,
2017-08-24,20.159,20.159,20.098,20.098,3000,60294.0,,,,,,,,
2017-08-25,17.2,22.071,17.2,20.098,3900,78382.2,,,,,,,,
2017-08-28,20.344,20.344,20.344,20.344,600,12206.4,,,,,,,,
2017-08-29,22.379,22.379,22.379,22.379,500,11189.5,,,,,,,,
2017-08-30,19.42,19.543,19.42,19.543,1200,23451.6,,,,,,,,
2017-08-31,19.543,19.543,19.543,19.543,0,0.0,,,,,,,,
2017-09-01,19.728,19.728,19.728,19.728,200,3945.6,,,,,,,,
2017-09-05,19.728,19.728,19.728,19.728,0,0.0,,,,,,,,
2017-09-06,19.728,20.098,19.728,20.098,6200,124607.6,,,,,,,,
2017-09-07,20.344,20.344,20.098,20.221,2300,46508.3,,,,,,,,
2017-09-08,20.344,20.344,20.344,20.344,230,4679.12,,,,,,,,
2017-09-11,20.406,20.468,20.283,20.283,4800,97358.4,,,,,,,,
2017-09-12,20.344,20.344,20.344,20.344,1300,26447.2,,,,,,,,
2017-09-13,20.344,20.344,20.344,20.344,0,0.0,,,,,,,,
2017-09-14,20.344,20.344,20.344,20.344,1600,32550.4,,,,,,,,
2017-09-15,20.036,20.344,20.036,20.344,2100,42722.4,,,,,,,,
2017-09-18,20.344,20.344,20.344,20.344,1000,20344.0,,,,,,,,
2017-09-19,20.344,20.344,20.344,20.344,930,18919.92,,,,,,,,
2017-09-20,20.344,20.344,20.344,20.344,0,0.0,,,,,,,,
2017-09-21,20.406,20.406,20.406,20.406,570,11631.42,,,,,,,,
2017-09-22,20.468,22.194,20.468,20.714,3200,66284.79999999999,,,,,,,,
2017-09-25,21.146,21.146,21.146,21.146,0,0.0,,,,,,,,
2017-09-26,20.406,20.406,20.406,20.406,100,2040.6,,,,,,,,
2017-09-27,20.406,20.406,20.406,20.406,603,12304.818,,,,,,,,
2017-09-28,20.529,20.529,20.529,20.529,1000,20529.0,,,,,,,,
2017-09-29,20.714,20.714,20.714,20.714,200,4142.799999999999,,,,,,,,
2017-10-02,20.838,20.838,20.838,20.838,130,2708.94,,,,,,,,
2017-10-03,20.899,20.899,20.838,20.838,1600,33340.8,,,,,,,,
2017-10-04,20.961,20.961,20.961,20.961,1100,23057.1,,,,,,,,
2017-10-05,20.961,20.961,20.961,20.961,0,0.0,,,,,,,,
2017-10-06,20.961,20.961,20.529,20.529,2000,41058.0,,,,,,,,
2017-10-09,20.344,20.468,20.036,20.036,2100,42075.600000000006,,,,,,,,
2017-10-10,19.111,19.111,18.31,18.618,9500,176871.0,,,,,,,,
2017-10-11,18.618,18.803,18.618,18.803,2100,39486.3,,,,,,,,
2017-10-12,18.556,18.556,18.556,18.556,5000,92780.0,,,,,,,,
2017-10-13,17.57,18.803,17.57,18.803,4000,75212.0,,,,,,,,
2017-10-16,17.878,17.878,17.878,17.878,0,0.0,,,,,,,,
2017-10-17,20.344,20.529,19.481,19.481,5100,99353.1,,,,,,,,
2017-10-18,18.495,20.344,18.495,20.344,4000,81376.0,,,,,,,,
2017-10-19,19.543,19.543,19.543,19.543,100,1954.3,,,,,,,,
