time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2015-07-20,33.6,33.6,33.5,33.5,440870,14769145.0,,,,,
2015-07-21,34.5,34.5,32.0,33.0,398480,13149840.0,,,,,
2015-07-22,33.0,33.1,31.9,33.1,527560,17462236.0,,,,,
2015-07-23,32.8,33.5,32.7,33.2,526500,17479800.0,,,,,
2015-07-24,33.1,33.3,32.4,33.2,432500,14359000.000000002,,,,,
2015-07-27,32.0,33.2,32.0,32.8,493270,16179255.999999998,,,,,
2015-07-28,32.0,32.5,31.9,32.1,468920,15052332.0,,,,,
2015-07-29,31.3,32.1,31.3,31.5,409000,12883500.0,,,,,
2015-07-30,31.5,31.5,31.1,31.2,468360,14612832.0,,,,,
2015-07-31,31.2,31.7,30.7,31.2,502040,15663648.0,,,,,
2015-08-03,30.4,30.5,29.9,30.1,376060,11319406.0,,,,,
2015-08-04,29.4,29.8,28.8,29.4,625130,18378822.0,,,,,
2015-08-05,29.0,29.2,28.9,29.2,184520,5387984.0,,,,,
2015-08-06,29.3,29.6,29.0,29.6,238060,7046576.0,,,,,
2015-08-07,29.3,29.5,29.0,29.1,230200,6698820.0,,,,,
2015-08-10,29.0,29.1,28.6,28.7,179920,5163704.0,,,,,
2015-08-11,28.5,28.8,27.8,27.8,175940,4891132.0,,,,,
2015-08-12,28.0,28.1,27.8,28.1,187300,5263130.0,,,,,
2015-08-13,28.3,28.3,27.9,28.3,188100,5323230.0,,,,,
2015-08-14,28.5,28.5,28.0,28.0,177850,4979800.0,,,,,
2015-08-17,27.7,28.2,27.7,27.9,142780,3983562.0,,,,,
2015-08-18,27.9,28.0,27.5,27.6,156920,4330992.0,,,,,
2015-08-19,27.5,27.5,25.7,25.7,103280,2654296.0,,,,,
2015-08-20,26.2,26.3,25.5,26.1,162710,4246731.0,,,,,
2015-08-21,26.3,26.3,25.0,25.8,255500,6591900.0,,,,,
2015-08-24,25.5,25.6,24.0,25.0,328390,8209750.0,,,,,
2015-08-25,25.0,25.5,24.0,25.5,220390,5619945.0,,,,,
2015-08-26,25.2,27.0,25.2,27.0,269500,7276500.0,,,,,
2015-08-27,26.8,27.9,26.8,27.9,248970,6946263.0,,,,,
2015-08-28,27.9,28.0,27.5,27.8,259420,7211876.0,,,,,
2015-08-31,27.5,28.3,27.3,27.7,172980,4791546.0,,,,,
2015-09-01,27.5,27.7,27.4,27.6,190670,5262492.0,,,,,
2015-09-03,27.5,28.0,27.5,27.6,187190,5166444.0,,,,,
2015-09-04,27.5,27.8,27.5,27.6,202660,5593416.0,,,,,
2015-09-07,27.4,28.0,27.4,28.0,197040,5517120.0,,,,,
2015-09-08,27.9,28.1,27.8,28.1,202550,5691655.0,,,,,
2015-09-09,28.0,28.4,28.0,28.4,197100,5597640.0,,,,,
2015-09-10,28.2,29.0,28.2,28.5,186700,5320950.0,,,,,
2015-09-11,28.3,28.8,28.1,28.1,198610,5580941.0,,,,,
2015-09-14,27.3,28.1,27.3,28.0,206040,5769120.0,,,,,
2015-09-15,27.7,29.9,27.7,29.9,272490,8147451.0,,,,,
2015-09-16,30.8,30.8,29.3,29.3,216990,6357807.0,,,,,
2015-09-17,29.0,29.5,28.8,28.8,215450,6204960.0,,,,,
2015-09-18,28.6,29.0,28.6,28.6,205800,5885880.0,,,,,
2015-09-21,28.3,29.0,28.3,28.7,217210,6233927.0,,,,,
2015-09-22,28.4,28.9,28.3,28.3,225620,6385046.0,,,,,
2015-09-23,28.0,28.3,28.0,28.0,211520,5922560.0,,,,,
2015-09-24,27.7,28.3,27.7,27.9,223420,6233418.0,,,,,
2015-09-25,27.7,28.3,27.7,28.3,221240,6261092.0,,,,,
2015-09-28,28.1,28.5,28.1,28.4,214210,6083564.0,,,,,
2015-09-29,28.2,28.5,28.1,28.4,217460,6175864.0,,,,,
2015-09-30,27.6,28.5,27.6,28.4,213850,6073340.0,,,,,
2015-10-01,28.2,28.6,28.2,28.6,203260,5813236.0,,,,,
2015-10-02,28.3,28.8,28.3,28.7,196170,5630079.0,,,,,
2015-10-05,28.5,28.8,28.5,28.7,190660,5471942.0,,,,,
2015-10-06,28.7,29.1,28.5,29.0,307350,8913150.0,,,,,
2015-10-07,29.0,29.1,28.7,28.7,245620,7049294.0,,,,,
2015-10-08,28.6,28.8,28.5,28.5,183690,5235165.0,,,,,
2015-10-09,28.5,28.8,28.5,28.8,261820,7540416.0,,,,,
2015-10-12,28.6,28.9,28.5,28.6,220190,6297434.0,,,,,
2015-10-13,28.6,28.7,28.3,28.3,211900,5996770.0,,,,,
2015-10-14,28.3,28.5,28.2,28.2,215710,6083022.0,,,,,
2015-10-15,28.2,28.4,28.1,28.2,223790,6310878.0,,,,,
2015-10-16,28.2,28.5,26.7,28.3,205350,5811405.0,,,,,
2015-10-19,28.2,28.5,28.2,28.3,206780,5851874.0,,,,,
2015-10-20,28.3,28.5,28.1,28.1,209690,5892289.0,,,,,
2015-10-21,28.1,28.2,28.0,28.0,212100,5938800.0,,,,,
2015-10-22,27.8,28.4,27.8,28.1,205090,5763029.0,,,,,
2015-10-23,28.0,28.2,28.0,28.1,199580,5608198.0,,,,,
2015-10-26,28.1,28.3,28.0,28.1,202030,5677043.0,,,,,
2015-10-27,28.2,28.4,28.1,28.4,174500,4955800.0,,,,,
2015-10-28,28.4,28.5,28.1,28.1,192910,5420771.0,,,,,
2015-10-29,28.1,28.3,28.1,28.2,198760,5605032.0,,,,,
2015-10-30,28.2,30.1,28.1,30.1,218730,6583773.0,,,,,
2015-11-02,29.9,31.1,29.7,31.1,255790,7955069.0,,,,,
2015-11-03,31.0,31.7,30.6,31.3,218110,6826843.0,,,,,
2015-11-04,31.2,31.5,31.0,31.3,200820,6285666.0,,,,,
2015-11-05,31.1,31.5,31.1,31.3,207850,6505705.0,,,,,
2015-11-06,31.3,31.7,30.9,31.0,313400,9715400.0,,,,,
2015-11-09,31.0,31.5,30.9,30.9,266500,8234850.0,,,,,
2015-11-10,30.9,31.2,30.5,30.5,271820,8290510.0,,,,,
2015-11-11,30.3,30.8,30.3,30.6,302500,9256500.0,,,,,
2015-11-12,30.6,30.8,30.3,30.4,252600,7679040.0,,,,,
2015-11-13,30.3,30.8,30.3,30.6,300590,9198054.0,,,,,
2015-11-16,30.6,30.9,30.4,30.5,334360,10197980.0,,,,,
