time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-12-27,56.69,69.69,54.83,55.29,57000,3151530.0,,,,,
2006-12-28,57.61,57.61,51.2,55.29,88200,4876578.0,,,,,
2006-12-29,53.9,53.9,47.58,51.11,58500,2989935.0,,,,,
2007-01-02,51.11,51.11,46.46,51.11,41300,2110843.0,,,,,
2007-01-03,44.6,46.46,44.6,46.46,73500,3414810.0,,,,,
2007-01-04,45.53,50.37,45.35,50.37,70000,3525900.0,,,,,
2007-01-05,51.95,51.95,51.95,51.95,54100,2810495.0,,,,,
2007-01-08,57.06,57.06,53.9,55.76,117800,6568528.0,,,,,
2007-01-09,61.33,61.33,57.61,59.47,148700,8843189.0,,,,,
2007-01-10,63.19,63.19,59.47,61.8,163500,10104300.0,,,,,
2007-01-11,65.05,65.98,60.4,62.17,158100,9829077.0,,,,,
2007-01-12,65.05,68.49,60.4,61.98,99500,6167010.0,,,,,
2007-01-15,63.19,65.05,58.54,59.66,72800,4343248.0,,,,,
2007-01-16,58.54,59.01,56.69,57.61,86900,5006309.0,,,,,
2007-01-17,57.61,59.47,51.85,55.29,108900,6021081.0,,,,,
2007-01-18,54.36,54.36,51.11,54.08,73400,3969472.0,,,,,
2007-01-19,54.83,58.08,54.83,57.61,123800,7132118.0,,,,,
2007-01-22,62.26,62.26,55.76,57.61,139000,8007790.0,,,,,
2007-01-23,56.22,56.22,54.83,55.29,50100,2770029.0,,,,,
2007-01-24,54.83,55.76,54.36,54.36,46000,2500560.0,,,,,
2007-01-25,55.29,56.69,52.97,53.9,41100,2215290.0,,,,,
2007-01-26,53.9,53.9,50.18,52.04,50300,2617612.0,,,,,
2007-01-29,53.9,53.9,47.39,47.39,237800,11269342.0,,,,,
2007-01-30,52.04,53.8,47.39,53.8,334900,18017620.0,,,,,
2007-01-31,55.66,55.66,55.66,55.66,8900,495374.0,,,,,
2007-02-01,55.76,61.15,52.04,58.08,186600,10837728.0,,,,,
2007-02-02,52.69,60.4,52.69,53.9,78600,4236540.0,,,,,
2007-02-05,54.83,54.83,52.04,52.5,123500,6483750.0,,,,,
2007-02-06,52.5,53.71,50.18,52.97,59800,3167606.0,,,,,
2007-02-07,52.97,53.43,52.04,52.97,73300,3882701.0,,,,,
2007-02-08,55.76,55.76,50.18,51.11,54800,2800828.0,,,,,
2007-02-09,52.97,52.97,49.25,49.81,48200,2400842.0,,,,,
2007-02-12,50.18,51.3,50.18,51.11,70600,3608366.0,,,,,
2007-02-13,52.97,53.9,51.11,53.43,68700,3670641.0,,,,,
2007-02-14,55.29,57.61,54.36,55.29,87400,4832346.0,,,,,
2007-02-15,55.76,56.69,54.83,55.29,99100,5479239.0,,,,,
2007-02-26,61.33,61.33,56.87,58.08,115700,6719856.0,,,,,
2007-02-27,59.01,60.4,57.61,59.47,149600,8896712.0,,,,,
2007-02-28,60.03,60.03,55.76,57.61,86700,4994787.0,,,,,
2007-03-01,55.76,57.61,52.78,55.66,54400,3027904.0,,,,,
2007-03-02,54.83,56.22,52.97,55.66,64300,3578938.0,,,,,
2007-03-05,55.38,56.22,53.9,54.83,82100,4501543.0,,,,,
2007-03-06,54.36,54.83,52.04,54.08,73000,3947840.0,,,,,
2007-03-07,53.34,54.83,52.04,53.8,84600,4551480.0,,,,,
2007-03-08,54.83,58.92,52.04,55.76,123100,6864056.0,,,,,
2007-03-09,59.47,59.75,55.76,59.47,184400,10966268.0,,,,,
2007-03-12,64.4,64.4,59.47,63.19,295100,18647369.0,,,,,
2007-03-13,62.26,67.84,61.52,63.19,223000,14091370.0,,,,,
2007-03-14,67.84,67.84,57.61,63.19,81900,5175261.0,,,,,
2007-03-15,59.47,60.4,55.85,56.22,69700,3918534.0,,,,,
2007-03-16,57.61,61.8,53.9,61.8,137100,8472780.0,,,,,
2007-03-19,61.89,62.26,59.38,59.66,119000,7099540.0,,,,,
2007-03-20,62.26,62.26,54.83,56.69,78000,4421820.0,,,,,
2007-03-21,55.76,57.52,54.83,55.76,81100,4522136.0,,,,,
2007-03-22,55.76,57.61,53.9,55.76,56000,3122560.0,,,,,
2007-03-23,55.76,56.22,53.06,55.29,53400,2952486.0,,,,,
2007-03-26,54.83,54.83,49.72,55.29,29200,1614468.0,,,,,
2007-03-27,49.25,50.18,47.39,55.29,50800,2808732.0,,,,,
2007-03-28,43.68,52.6,43.21,52.6,34600,1819960.0,,,,,
2007-03-29,51.2,51.2,51.2,51.2,7100,363520.0,,,,,
2007-03-30,56.31,56.31,51.11,51.2,85000,4352000.0,,,,,
2007-04-02,49.25,52.88,48.79,49.25,22800,1122900.0,,,,,
2007-04-03,49.25,49.99,47.39,49.25,39700,1955225.0,,,,,
2007-04-04,49.72,51.02,49.72,50.18,26200,1314716.0,,,,,
2007-04-05,51.11,52.04,48.79,48.97,43100,2110607.0,,,,,
2007-04-06,47.39,49.25,46.37,48.32,116700,5638944.0,,,,,
2007-04-09,46.83,48.79,46.83,48.32,35600,1720192.0,,,,,
2007-04-10,50.09,50.09,47.39,48.32,38400,1855488.0,,,,,
2007-04-11,48.32,48.32,47.58,47.86,22300,1067278.0,,,,,
2007-04-12,47.86,47.86,46.56,46.65,35100,1637415.0,,,,,
2007-04-13,45.53,46.93,45.07,46.09,35300,1626977.0000000002,,,,,
2007-04-16,45.53,45.53,41.45,41.54,31700,1316818.0,,,,,
2007-04-17,37.64,40.61,37.64,39.22,45200,1772744.0,,,,,
2007-04-18,39.03,43.12,39.03,43.12,39100,1685992.0,,,,,
2007-04-19,47.02,47.02,41.91,41.91,83800,3512057.9999999995,,,,,
2007-04-20,40.89,41.82,39.96,41.54,22100,918034.0,,,,,
2007-04-23,39.03,39.96,38.1,39.31,21100,829441.0,,,,,
2007-04-24,39.03,39.96,38.1,39.96,20000,799200.0,,,,,
2007-04-25,40.24,41.82,40.24,40.98,22400,917952.0,,,,,
2007-05-02,40.79,40.89,40.05,40.33,20100,810633.0,,,,,
2007-05-03,40.89,41.72,39.59,39.96,18000,719280.0,,,,,
2007-05-04,40.89,40.89,39.03,39.59,17400,688866.0000000001,,,,,
2007-05-07,39.49,41.07,39.31,41.07,27300,1121211.0,,,,,
2007-05-08,41.35,42.19,41.17,41.26,30800,1270808.0,,,,,
2007-05-09,41.82,42.28,39.49,39.49,16800,663432.0,,,,,
2007-05-10,40.79,40.89,39.59,39.96,9700,387612.0,,,,,
2007-05-11,39.96,40.89,39.77,40.24,15900,639816.0,,,,,
2007-05-14,40.42,41.35,40.33,40.42,26100,1054962.0,,,,,
2007-05-15,39.77,40.42,39.49,39.59,29500,1167905.0,,,,,
2007-05-16,39.03,39.49,37.17,39.22,26800,1051096.0,,,,,
2007-05-17,39.03,39.68,39.03,39.31,18800,739028.0,,,,,
2007-05-18,39.49,39.49,38.94,39.12,26900,1052328.0,,,,,
2007-05-21,39.49,39.49,38.1,38.94,39300,1530342.0,,,,,
2007-05-22,39.03,39.96,38.66,39.68,54600,2166528.0,,,,,
2007-05-23,39.68,41.82,39.22,40.05,36000,1441800.0,,,,,
2007-05-24,39.77,40.42,39.49,39.49,33900,1338711.0,,,,,
2007-05-25,39.03,39.49,38.19,39.49,28500,1125465.0,,,,,
2007-05-28,39.4,39.59,39.03,39.03,23800,928914.0,,,,,
2007-05-29,39.49,39.49,38.19,38.66,23200,896911.9999999999,,,,,
2007-05-30,37.17,38.19,37.17,38.1,30900,1177290.0,,,,,
2007-05-31,37.64,38.56,37.64,38.1,19500,742950.0,,,,,
2007-06-01,37.73,38.47,37.73,38.1,15100,575310.0,,,,,
2007-06-04,38.1,38.1,37.36,37.36,16300,608968.0,,,,,
2007-06-05,37.36,37.36,34.38,35.87,37000,1327190.0,,,,,
2007-06-06,35.31,37.08,34.38,36.98,12500,462250.0,,,,,
2007-06-07,37.17,37.64,36.61,36.98,19100,706317.9999999999,,,,,
2007-06-08,36.33,37.64,35.78,37.64,72500,2728900.0,,,,,
2007-06-11,36.71,37.17,36.24,36.89,26900,992341.0,,,,,
2007-06-12,36.33,36.52,35.13,35.13,30500,1071465.0,,,,,
2007-06-13,35.41,35.78,34.38,34.48,34600,1193008.0,,,,,
2007-06-14,35.31,35.31,34.48,34.85,16800,585480.0,,,,,
2007-06-15,34.48,35.31,34.48,34.85,26200,913070.0,,,,,
2007-06-18,34.57,34.85,34.2,34.38,17400,598212.0,,,,,
2007-06-19,34.48,34.48,33.45,33.92,39800,1350016.0,,,,,
2007-06-20,33.92,33.92,33.45,33.73,17100,576783.0,,,,,
2007-06-21,33.45,33.45,32.71,33.08,45400,1501832.0,,,,,
2007-06-22,33.27,33.45,32.52,33.17,27400,908858.0,,,,,
2007-06-25,33.08,33.08,32.52,32.9,10200,335580.0,,,,,
2007-06-26,32.52,33.45,32.52,32.52,19700,640644.0000000001,,,,,
2007-06-27,33.45,33.45,32.52,32.8,13900,455920.0,,,,,
2007-06-28,32.99,33.08,31.13,31.13,19700,613261.0,,,,,
2007-06-29,32.52,32.52,31.6,31.78,12300,390894.0,,,,,
2007-07-02,31.6,31.6,28.81,28.81,7900,227599.0,,,,,
2007-07-03,28.81,29.74,26.95,28.81,30300,872943.0,,,,,
2007-07-04,27.88,30.67,27.88,30.67,25200,772884.0,,,,,
2007-07-05,31.6,31.6,29.74,29.27,21700,635159.0,,,,,
2007-07-06,29.74,29.74,28.81,29.74,11200,333088.0,,,,,
2007-07-09,29.74,30.67,28.81,28.62,27900,798498.0,,,,,
2007-07-10,29.74,31.6,29.74,30.67,18500,567395.0,,,,,
2007-07-11,30.67,33.45,30.67,33.83,93800,3173254.0,,,,,
2007-07-12,34.38,36.24,34.38,34.29,103200,3538728.0,,,,,
2007-07-13,34.38,36.24,33.45,34.2,48100,1645020.0000000002,,,,,
2007-07-16,33.45,34.38,32.52,32.71,27200,889712.0,,,,,
2007-07-17,32.52,33.45,32.52,33.36,18300,610488.0,,,,,
2007-07-18,33.45,34.38,33.45,33.45,17100,571995.0,,,,,
2007-07-19,33.45,33.45,32.52,32.99,17800,587222.0,,,,,
2007-07-20,32.52,33.45,32.52,33.27,18700,622149.0000000001,,,,,
2007-07-23,32.52,32.52,32.52,32.52,22700,738204.0000000001,,,,,
2007-07-24,32.52,32.52,31.6,32.25,12200,393450.0,,,,,
2007-07-25,32.52,32.52,31.6,31.5,12400,390600.0,,,,,
2007-07-26,30.67,30.67,30.67,30.67,14800,453916.0,,,,,
2007-07-27,30.67,30.67,30.67,30.67,24100,739147.0,,,,,
2007-07-30,30.67,31.6,30.67,31.04,25200,782208.0,,,,,
2007-07-31,30.67,30.67,30.67,30.76,24700,759772.0,,,,,
2007-08-01,30.67,31.6,30.67,31.41,12900,405189.0,,,,,
2007-08-02,32.52,32.52,30.67,30.67,13100,401777.0,,,,,
2007-08-03,30.67,30.67,29.74,31.04,32500,1008800.0,,,,,
2007-08-06,30.67,31.6,30.67,31.04,63100,1958624.0,,,,,
2007-08-07,30.67,34.38,30.67,31.04,26700,828768.0,,,,,
2007-08-08,31.6,31.6,30.67,31.41,14100,442881.0,,,,,
2007-08-09,30.67,33.45,29.74,32.52,55400,1801608.0,,,,,
2007-08-10,32.52,33.45,31.6,32.52,80300,2611356.0000000005,,,,,
2007-08-13,32.52,33.45,32.52,32.99,52800,1741872.0,,,,,
2007-08-14,36.24,36.24,33.45,33.64,95700,3219348.0,,,,,
2007-08-15,34.38,34.38,33.45,33.92,50400,1709568.0,,,,,
2007-08-16,35.31,37.17,33.45,33.64,47200,1587808.0,,,,,
2007-08-17,37.17,38.1,33.45,33.36,33900,1130904.0,,,,,
2007-08-20,37.17,37.17,33.45,33.27,44600,1483842.0000000002,,,,,
2007-08-21,34.38,34.38,32.52,32.71,19800,647658.0,,,,,
2007-08-22,32.52,32.52,31.6,31.97,18600,594642.0,,,,,
2007-08-23,32.52,32.52,31.6,31.78,12600,400428.0,,,,,
2007-08-24,31.6,32.52,31.6,32.06,33300,1067598.0,,,,,
2007-08-27,32.52,33.45,32.52,32.52,16800,546336.0,,,,,
2007-08-28,33.45,33.45,32.52,32.52,14000,455280.00000000006,,,,,
2007-08-29,32.52,32.52,32.52,32.52,11400,370728.00000000006,,,,,
2007-08-30,32.52,33.45,32.52,32.43,6000,194580.0,,,,,
2007-08-31,32.52,32.52,32.52,32.43,12600,408618.0,,,,,
2007-09-04,32.52,33.45,32.52,32.99,15000,494850.00000000006,,,,,
2007-09-05,33.45,33.45,32.52,32.62,12600,411012.0,,,,,
2007-09-06,32.52,32.52,32.52,32.52,10300,334956.00000000006,,,,,
2007-09-07,32.52,33.45,32.52,32.8,34000,1115200.0,,,,,
2007-09-10,32.99,33.64,32.71,33.27,43100,1433937.0000000002,,,,,
2007-09-11,33.45,33.45,33.45,33.45,64300,2150835.0,,,,,
2007-09-12,34.2,34.38,33.45,33.45,35300,1180785.0,,,,,
2007-09-13,33.92,34.38,33.17,33.27,16500,548955.0,,,,,
2007-09-14,33.64,33.64,32.99,33.17,29100,965247.0,,,,,
2007-09-17,32.9,32.99,32.52,32.8,43400,1423519.9999999998,,,,,
2007-09-18,32.52,32.9,32.34,32.9,60000,1974000.0,,,,,
2007-09-19,32.99,35.87,32.99,35.87,212200,7611613.999999999,,,,,
2007-09-20,38.47,38.47,35.31,36.15,218600,7902390.0,,,,,
2007-09-21,33.45,33.45,32.06,32.34,134900,4362666.0,,,,,
2007-09-24,32.71,35.78,32.71,35.78,218900,7832242.0,,,,,
2007-09-25,36.71,38.47,36.71,38.47,223000,8578810.0,,,,,
2007-09-26,41.82,41.82,35.31,37.64,307100,11559244.0,,,,,
2007-09-27,37.17,37.64,35.78,36.61,125900,4609199.0,,,,,
2007-09-28,36.61,38.1,36.24,38.01,127200,4834872.0,,,,,
2007-10-01,39.03,41.07,38.1,41.07,159300,6542451.0,,,,,
2007-10-02,44.33,44.33,41.35,43.68,314200,13724256.0,,,,,
2007-10-03,43.68,46.46,42.75,46.0,195300,8983800.0,,,,,
2007-10-04,45.53,46.46,44.6,45.72,196400,8979408.0,,,,,
2007-10-05,45.53,45.53,41.35,42.37,71600,3033692.0,,,,,
2007-10-08,42.75,42.75,40.89,40.98,101600,4163568.0,,,,,
2007-10-09,40.89,41.35,39.49,40.89,103800,4244382.0,,,,,
2007-10-10,40.33,44.23,40.33,43.58,117300,5111934.0,,,,,
2007-10-11,43.68,43.68,41.82,42.28,85700,3623396.0,,,,,
2007-10-12,42.75,42.75,40.14,41.72,69300,2891196.0,,,,,
2007-10-15,40.89,43.68,39.96,43.68,226300,9884784.0,,,,,
2007-10-16,42.75,45.63,41.82,45.53,292400,13312972.0,,,,,
2007-10-17,45.53,47.39,42.75,43.58,115200,5020416.0,,,,,
2007-10-18,44.51,45.53,41.45,41.82,83900,3508698.0,,,,,
2007-10-19,41.82,43.21,39.03,42.65,140700,6000855.0,,,,,
2007-10-22,42.75,42.75,40.89,41.45,88900,3684905.000000001,,,,,
2007-10-23,40.89,41.82,39.96,40.05,141200,5655060.0,,,,,
2007-10-24,39.96,41.17,39.96,40.89,126900,5188941.0,,,,,
2007-10-25,42.75,42.75,39.03,39.31,107900,4241549.0,,,,,
2007-10-26,40.42,40.42,38.94,39.68,95100,3773568.0,,,,,
2007-10-29,39.03,39.03,38.1,38.29,93300,3572457.0,,,,,
2007-10-30,39.03,40.89,38.29,40.42,122500,4951450.0,,,,,
2007-10-31,39.96,41.35,39.96,40.14,89500,3592530.0,,,,,
2007-11-01,41.35,41.35,39.59,39.96,48900,1954044.0,,,,,
2007-11-02,40.89,40.89,39.03,39.49,27300,1078077.0,,,,,
2007-11-05,39.87,39.87,37.17,38.1,44700,1703070.0,,,,,
2007-11-06,37.08,37.82,36.24,36.89,38800,1431332.0,,,,,
2007-11-07,37.17,38.56,36.89,37.64,38500,1449140.0,,,,,
2007-11-08,38.56,38.56,36.89,37.17,35000,1300950.0,,,,,
2007-11-09,36.71,37.17,35.31,36.24,36500,1322760.0,,,,,
2007-11-12,36.06,36.98,35.87,36.24,72600,2631024.0,,,,,
2007-11-13,36.24,36.33,33.27,33.64,34900,1174036.0,,,,,
2007-11-14,34.85,38.29,34.85,38.19,86700,3311073.0,,,,,
2007-11-15,39.12,39.49,35.41,36.98,17900,661942.0,,,,,
2007-11-16,36.71,36.98,33.45,36.24,26600,963984.0,,,,,
2007-11-19,35.78,36.43,35.31,36.43,19300,703099.0,,,,,
2007-11-20,36.33,36.33,35.31,35.41,11700,414297.0,,,,,
2007-11-21,35.5,35.5,33.92,35.03,22800,798684.0,,,,,
2007-11-22,35.78,35.78,35.13,35.22,33600,1183392.0,,,,,
2007-11-23,35.31,35.31,34.75,35.13,12400,435612.00000000006,,,,,
2007-11-26,34.38,35.41,34.38,35.31,21700,766227.0,,,,,
2007-11-27,36.98,36.98,34.85,35.03,26100,914283.0,,,,,
2007-11-28,35.78,36.98,34.94,35.13,28800,1011744.0,,,,,
2007-11-29,34.94,36.33,34.85,34.94,28200,985308.0,,,,,
2007-11-30,34.85,34.94,34.57,34.94,17800,621932.0,,,,,
2007-12-03,35.22,35.22,34.38,34.66,24500,849169.9999999999,,,,,
2007-12-04,34.38,36.06,34.38,35.41,66200,2344142.0,,,,,
2007-12-05,36.24,36.24,34.38,34.85,42400,1477640.0,,,,,
2007-12-06,34.48,34.75,34.38,34.75,26900,934775.0,,,,,
2007-12-07,34.85,35.31,34.38,34.85,23500,818975.0,,,,,
2007-12-10,34.85,34.94,34.2,34.38,24100,828558.0000000001,,,,,
2007-12-11,33.92,34.38,33.45,33.83,18200,615706.0,,,,,
2007-12-12,33.92,34.1,33.45,33.92,39900,1353408.0,,,,,
2007-12-13,34.01,34.01,33.27,33.45,10000,334500.0,,,,,
2007-12-14,33.45,33.64,32.71,32.99,17500,577325.0,,,,,
2007-12-17,34.38,34.38,32.15,32.15,17200,552980.0,,,,,
2007-12-18,32.99,32.99,32.06,32.62,14200,463204.0,,,,,
2007-12-19,33.45,33.45,32.52,33.17,31400,1041538.0,,,,,
2007-12-20,33.45,33.45,31.97,32.43,8200,265926.0,,,,,
2007-12-21,32.52,32.99,32.52,32.43,9800,317814.0,,,,,
2007-12-24,33.27,33.27,32.15,32.25,10300,332175.0,,,,,
2007-12-25,32.34,32.52,32.15,32.15,14400,462960.0,,,,,
2007-12-26,32.25,32.9,32.06,32.34,17300,559482.0000000001,,,,,
2007-12-27,32.06,32.52,31.87,32.43,10900,353487.0,,,,,
2007-12-28,32.34,32.34,31.78,31.87,23400,745758.0,,,,,
2008-01-02,31.97,32.52,30.67,31.41,13800,433458.0,,,,,
2008-01-03,30.67,31.41,30.2,30.67,18900,579663.0,,,,,
2008-01-04,30.48,31.13,30.2,30.39,12400,376836.0,,,,,
2008-01-07,30.2,30.2,28.62,28.81,19300,556033.0,,,,,
2008-01-08,29.46,32.34,29.27,29.27,14400,421488.0,,,,,
2008-01-09,29.74,29.74,28.62,28.81,31300,901753.0,,,,,
2008-01-10,28.81,28.81,26.02,27.97,44200,1236274.0,,,,,
2008-01-11,28.44,29.18,27.97,28.25,26500,748625.0,,,,,
2008-01-14,28.34,28.34,26.39,27.13,31900,865447.0,,,,,
2008-01-15,26.95,26.95,25.28,26.11,28500,744135.0,,,,,
2008-01-16,26.95,28.25,26.95,28.25,48700,1375775.0,,,,,
2008-01-17,27.88,30.67,27.88,27.97,50300,1406891.0,,,,,
2008-01-18,28.06,29.27,27.88,29.09,27500,799975.0,,,,,
2008-01-21,28.81,28.81,27.41,28.06,8700,244122.0,,,,,
2008-01-22,27.23,27.88,26.95,27.41,17700,485157.0,,,,,
2008-01-23,27.32,27.32,25.0,26.76,29000,776040.0,,,,,
2008-01-24,27.13,27.41,25.55,25.65,17300,443745.0,,,,,
2008-01-25,26.02,26.76,26.02,26.58,25800,685764.0,,,,,
2008-01-28,26.95,27.41,25.09,25.28,27900,705312.0,,,,,
2008-01-29,24.63,26.95,24.25,26.86,42700,1146922.0,,,,,
2008-01-30,27.6,28.9,27.6,28.9,61200,1768680.0,,,,,
2008-01-31,30.85,30.85,26.67,28.81,49000,1411690.0,,,,,
2008-02-01,29.74,29.74,28.34,29.55,35400,1046070.0,,,,,
2008-02-12,28.81,28.81,26.95,27.88,5100,142188.0,,,,,
2008-02-13,28.81,28.81,26.02,26.58,10400,276432.0,,,,,
2008-02-14,27.04,27.41,26.48,26.95,18000,485100.0,,,,,
2008-02-15,27.88,27.88,26.58,26.58,15000,398700.0,,,,,
2008-02-18,26.02,26.02,24.63,25.09,48500,1216865.0,,,,,
2008-02-19,25.09,26.02,24.63,25.37,52900,1342073.0,,,,,
2008-02-20,26.02,26.02,24.63,24.72,21300,526536.0,,,,,
2008-02-21,24.16,24.16,22.77,22.77,50600,1152162.0,,,,,
2008-02-22,20.63,22.86,20.63,22.86,51200,1170432.0,,,,,
2008-02-25,22.77,23.32,22.77,23.32,45400,1058728.0,,,,,
2008-02-26,25.0,25.09,21.37,22.12,43600,964432.0,,,,,
2008-02-27,22.3,23.23,22.12,22.12,26200,579544.0,,,,,
2008-02-28,22.67,22.67,21.84,22.12,16300,360556.0,,,,,
2008-02-29,21.56,22.21,21.0,21.56,16100,347116.0,,,,,
2008-03-03,22.12,22.12,19.33,19.7,64800,1276560.0,,,,,
2008-03-04,20.44,20.44,17.93,17.93,52800,946704.0,,,,,
2008-03-05,16.26,17.66,16.26,17.47,153100,2674657.0,,,,,
2008-03-06,18.21,18.21,18.21,18.21,23600,429756.0,,,,,
2008-03-07,19.98,19.98,19.98,19.98,7200,143856.0,,,,,
2008-03-10,21.93,21.93,20.44,21.65,180000,3897000.0,,,,,
2008-03-11,23.98,23.98,19.98,20.07,107800,2163546.0,,,,,
2008-03-12,19.33,22.02,19.33,21.37,71300,1523681.0,,,,,
2008-03-13,22.3,22.3,20.91,21.47,48800,1047736.0,,,,,
2008-03-14,21.37,21.56,20.91,21.28,48800,1038464.0,,,,,
2008-03-17,20.44,20.44,19.61,19.79,28300,560057.0,,,,,
2008-03-18,18.59,18.59,17.93,18.03,105200,1896756.0,,,,,
