time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2011-07-21,11.7,11.7,7.82,7.82,3040,23772.8,,,,,,,,
2011-07-22,7.43,7.43,7.43,7.43,910,6761.3,,,,,,,,
2011-07-25,7.15,7.15,7.1,7.1,50,355.0,,,,,,,,
2011-07-26,7.1,7.1,7.1,7.1,0,0.0,,,,,,,,
2011-07-27,7.1,7.1,7.1,7.1,0,0.0,,,,,,,,
2011-07-28,7.43,7.43,7.43,7.43,10,74.3,,,,,,,,
2011-07-29,7.76,7.76,7.76,7.76,10,77.6,,,,,,,,
2011-08-01,8.15,8.15,8.15,8.15,60,489.0,,,,,,,,
2011-08-02,8.54,8.54,8.54,8.54,610,5209.4,,,,,,,,
2011-08-03,8.93,8.93,8.93,8.93,1500,13395.0,,,,,,,,
2011-08-04,9.37,9.37,9.37,9.37,20,187.4,,,,,,,,
2011-08-05,9.37,9.37,9.37,9.37,0,0.0,,,,,,,,
2011-08-08,8.93,9.76,8.93,9.76,20,195.2,,,,,,,,
2011-08-09,9.93,9.98,9.93,9.98,1140,11377.2,,,,,,,,
2011-08-10,9.48,9.48,9.48,9.48,10,94.8,,,,,,,,
2011-08-11,9.04,9.04,9.04,9.04,220,1988.8,,,,,,,,
2011-08-12,8.6,8.6,8.6,8.6,50,430.0,,,,,,,,
2011-08-15,8.21,8.21,8.21,8.21,20,164.20000000000002,,,,,,,,
2011-08-16,8.21,8.21,8.21,8.21,100,821.0000000000001,,,,,,,,
2011-08-17,7.82,7.82,7.82,7.82,10,78.2,,,,,,,,
2011-08-18,7.82,7.82,7.82,7.82,100,782.0,,,,,,,,
2011-08-19,7.82,7.82,7.82,7.82,0,0.0,,,,,,,,
2011-08-22,7.82,7.82,7.82,7.82,0,0.0,,,,,,,,
2011-08-23,7.82,7.82,7.82,7.82,0,0.0,,,,,,,,
2011-08-24,7.43,7.43,7.43,7.43,10,74.3,,,,,,,,
2011-08-25,7.43,7.43,7.43,7.43,0,0.0,,,,,,,,
2011-08-26,7.43,7.43,7.43,7.43,0,0.0,,,,,,,,
2011-08-29,7.43,7.43,7.43,7.43,0,0.0,,,,,,,,
2011-08-30,7.76,7.76,7.76,7.76,10,77.6,,,,,,,,
2011-08-31,8.15,8.15,8.15,8.15,10,81.5,,,,,,,,
2011-09-01,8.15,8.15,8.15,8.15,0,0.0,,,,,,,,
2011-09-05,8.54,8.54,8.54,8.54,10,85.39999999999999,,,,,,,,
2011-09-06,8.54,8.54,8.54,8.54,0,0.0,,,,,,,,
2011-09-07,8.54,8.54,8.54,8.54,0,0.0,,,,,,,,
2011-09-08,8.93,8.93,8.54,8.54,510,4355.4,,,,,,,,
2011-09-09,8.54,8.54,8.54,8.54,10,85.39999999999999,,,,,,,,
2011-09-12,8.54,8.54,8.54,8.54,0,0.0,,,,,,,,
2011-09-13,8.54,8.54,8.54,8.54,0,0.0,,,,,,,,
2011-09-14,8.54,8.54,8.54,8.54,0,0.0,,,,,,,,
2011-09-15,8.93,8.93,8.93,8.93,10,89.3,,,,,,,,
2011-09-16,8.93,9.37,8.93,9.37,2640,24736.8,,,,,,,,
2011-09-19,8.98,9.82,8.98,9.82,30,294.6,,,,,,,,
2011-09-20,10.26,10.26,10.26,10.26,30,307.8,,,,,,,,
2011-09-21,9.82,9.82,9.82,9.82,2000,19640.0,,,,,,,,
2011-09-22,9.82,9.82,9.82,9.82,0,0.0,,,,,,,,
2011-09-23,9.82,9.82,9.82,9.82,0,0.0,,,,,,,,
2011-09-26,9.82,9.82,9.82,9.82,0,0.0,,,,,,,,
2011-09-27,9.87,9.93,9.87,9.87,2100,20727.0,,,,,,,,
