time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-08-05,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,
2010-08-06,27.37,27.37,27.37,27.37,100,2737.0,,,,,,,,
2010-08-09,24.63,24.63,24.63,24.63,500,12315.0,,,,,,,,
2010-08-10,22.19,22.19,22.19,22.19,100,2219.0,,,,,,,,
2010-08-11,20.0,20.0,20.0,20.0,100,2000.0,,,,,,,,
2010-08-12,18.01,18.01,18.01,18.01,1000,18010.0,,,,,,,,
2010-08-13,17.42,17.91,16.22,16.22,11800,191396.0,,,,,,,,
2010-08-16,16.67,16.67,14.88,14.88,4000,59520.0,,,,,,,,
2010-08-17,13.98,14.43,13.93,14.43,4800,69264.0,,,,,,,,
2010-08-18,13.09,15.43,13.09,15.43,300,4629.0,,,,,,,,
2010-08-19,14.18,14.18,13.44,13.44,4300,57792.0,,,,,,,,
2010-08-20,13.83,13.44,13.44,13.44,0,0.0,,,,,,,,
2010-08-23,13.09,13.09,13.09,13.09,1600,20944.0,,,,,,,,
2010-08-25,13.09,13.39,12.94,12.94,2800,36232.0,,,,,,,,
2010-08-26,14.63,14.63,14.63,14.63,300,4389.0,,,,,,,,
2010-08-27,13.24,13.24,13.24,13.24,1000,13240.0,,,,,,,,
2010-08-30,13.24,13.24,13.24,13.24,0,0.0,,,,,,,,
2010-08-31,13.24,13.24,13.24,13.24,0,0.0,,,,,,,,
2010-09-01,14.53,14.53,14.53,14.53,500,7265.0,,,,,,,,
2010-09-06,14.53,14.53,14.53,14.53,0,0.0,,,,,,,,
2010-09-07,14.53,14.53,14.53,14.53,0,0.0,,,,,,,,
2010-09-08,14.43,14.43,13.44,13.44,500,6720.0,,,,,,,,
2010-09-09,14.43,14.43,14.43,14.43,100,1443.0,,,,,,,,
2010-09-10,12.99,15.87,12.99,15.87,1100,17457.0,,,,,,,,
2010-09-13,16.82,16.82,16.82,16.82,100,1682.0,,,,,,,,
2010-09-14,16.82,16.82,16.82,16.82,0,0.0,,,,,,,,
2010-09-15,15.18,15.18,15.18,15.18,500,7590.0,,,,,,,,
2010-09-16,16.67,16.67,16.67,16.67,1000,16670.0,,,,,,,,
2010-09-17,15.03,15.03,15.03,15.03,200,3006.0,,,,,,,,
2010-09-20,16.07,16.07,16.07,16.07,900,14463.0,,,,,,,,
2010-09-21,14.93,14.93,14.93,14.93,1000,14930.0,,,,,,,,
2010-09-22,13.93,13.93,13.93,13.93,900,12537.0,,,,,,,,
2010-09-23,13.93,13.93,13.93,13.93,0,0.0,,,,,,,,
2010-09-24,13.93,13.93,13.93,13.93,0,0.0,,,,,,,,
2010-09-27,14.43,14.43,13.93,13.93,4900,68257.0,,,,,,,,
2010-09-28,13.93,13.93,13.44,13.44,3000,40320.0,,,,,,,,
2010-09-29,13.54,13.44,13.44,13.44,0,0.0,,,,,,,,
2010-09-30,12.44,12.44,12.44,12.44,4000,49760.0,,,,,,,,
2010-10-01,12.44,12.44,12.44,12.44,0,0.0,,,,,,,,
2010-10-04,12.44,12.44,12.44,12.44,0,0.0,,,,,,,,
2010-10-05,12.94,12.94,12.94,12.94,100,1294.0,,,,,,,,
2010-10-06,13.04,13.44,13.04,13.44,3100,41664.0,,,,,,,,
2010-10-07,13.68,13.68,13.68,13.68,200,2736.0,,,,,,,,
2010-10-08,13.44,13.44,13.44,13.44,1500,20160.0,,,,,,,,
2010-10-11,13.44,13.44,13.44,13.44,0,0.0,,,,,,,,
2010-10-12,13.44,13.44,13.44,13.44,0,0.0,,,,,,,,
2010-10-13,12.94,12.94,12.79,12.79,600,7673.999999999999,,,,,,,,
