time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2007-12-21,29.36,33.88,29.36,31.76,355730,11297984.8,,,,,,,,
2007-12-24,30.28,31.05,30.21,30.21,34120,1030765.2,,,,,,,,
2007-12-25,28.73,30.98,28.73,30.98,49070,1520188.6,,,,,,,,
2007-12-26,30.35,30.7,29.64,30.7,46290,1421103.0,,,,,,,,
2007-12-27,29.85,30.21,29.64,29.64,28280,838219.2000000001,,,,,,,,
2007-12-28,28.23,28.94,28.16,28.94,72840,2107989.6,,,,,,,,
2008-01-02,29.57,29.57,28.94,29.29,49060,1436967.4,,,,,,,,
2008-01-03,28.37,28.94,28.37,28.94,24090,697164.6,,,,,,,,
2008-01-04,28.94,28.94,28.58,28.58,15400,440132.0,,,,,,,,
2008-01-07,27.53,27.81,27.17,27.17,40940,1112339.8,,,,,,,,
2008-01-08,26.47,27.53,26.47,26.47,32120,850216.3999999999,,,,,,,,
2008-01-09,26.47,26.47,25.2,25.41,45440,1154630.4,,,,,,,,
2008-01-10,25.27,25.27,24.14,24.14,71740,1731803.6,,,,,,,,
2008-01-11,24.14,24.7,24.0,24.7,34790,859313.0,,,,,,,,
2008-01-14,23.64,23.71,23.5,23.5,38190,897465.0,,,,,,,,
2008-01-15,23.5,23.5,22.37,22.37,40470,905313.9,,,,,,,,
2008-01-16,21.53,23.43,21.53,23.43,62200,1457346.0,,,,,,,,
2008-01-17,24.56,24.56,23.43,23.43,30330,710631.9,,,,,,,,
2008-01-18,23.43,24.0,23.29,23.64,12400,293136.0,,,,,,,,
2008-01-21,22.94,23.43,22.66,22.66,12850,291181.0,,,,,,,,
2008-01-22,21.74,21.74,21.53,21.53,45650,982844.5,,,,,,,,
2008-01-23,20.47,20.54,20.47,20.47,24410,499672.7,,,,,,,,
2008-01-24,21.46,21.46,19.9,19.9,3220,64077.99999999999,,,,,,,,
2008-01-25,19.41,20.47,19.41,20.4,4700,95880.0,,,,,,,,
2008-01-28,20.19,20.33,19.9,20.33,14950,303933.5,,,,,,,,
2008-01-29,20.75,21.17,20.47,21.17,21330,451556.1,,,,,,,,
2008-01-30,22.23,22.23,22.23,22.23,7910,175839.30000000002,,,,,,,,
2008-01-31,23.29,23.29,22.23,23.29,100630,2343672.7,,,,,,,,
2008-02-01,24.35,24.42,24.21,24.42,44040,1075456.8,,,,,,,,
2008-02-12,25.41,25.41,24.7,25.06,35750,895895.0,,,,,,,,
2008-02-13,23.86,25.06,23.86,23.86,27830,664023.7999999999,,,,,,,,
2008-02-14,24.7,24.7,24.0,24.0,27240,653760.0,,,,,,,,
2008-02-15,24.63,24.63,23.29,23.29,14370,334677.3,,,,,,,,
2008-02-18,22.58,22.58,22.16,22.16,28210,625133.6,,,,,,,,
2008-02-19,21.31,22.16,21.17,21.88,42030,919616.4,,,,,,,,
2008-02-20,21.88,21.88,20.82,20.82,17960,373927.2,,,,,,,,
2008-02-21,19.83,19.83,19.83,19.83,31320,621075.6,,,,,,,,
2008-02-22,18.84,20.75,18.84,19.41,62030,1204002.3,,,,,,,,
2008-02-25,20.33,20.33,20.33,20.33,85230,1732725.9,,,,,,,,
2008-02-26,21.1,21.1,19.34,19.34,93030,1799200.2,,,,,,,,
2008-02-27,19.13,20.26,19.13,20.04,96020,1924240.8,,,,,,,,
2008-02-28,19.83,20.47,19.55,19.83,42630,845352.8999999999,,,,,,,,
2008-02-29,19.41,19.76,19.13,19.13,26380,504649.4,,,,,,,,
2008-03-03,18.77,18.77,18.21,18.21,40790,742785.9,,,,,,,,
2008-03-04,17.36,17.36,17.36,17.36,43750,759500.0,,,,,,,,
2008-03-05,16.52,16.52,16.52,16.52,32100,530292.0,,,,,,,,
2008-03-06,17.29,17.29,17.29,17.29,18480,319519.2,,,,,,,,
2008-03-07,18.14,18.14,18.14,18.14,24270,440257.8,,,,,,,,
2008-03-10,18.99,18.99,18.99,18.99,74060,1406399.4,,,,,,,,
2008-03-11,18.35,18.7,18.07,18.07,71400,1290198.0,,,,,,,,
2008-03-12,17.86,18.91,17.86,18.7,54920,1027004.0,,,,,,,,
2008-03-13,18.99,19.41,18.7,18.7,24710,462077.0,,,,,,,,
2008-03-14,18.07,18.7,18.07,18.21,25750,468907.5,,,,,,,,
2008-03-17,17.43,17.57,17.36,17.36,47300,821128.0,,,,,,,,
2008-03-18,16.52,16.52,16.52,16.52,17830,294551.6,,,,,,,,
2008-03-19,17.29,17.29,16.23,16.23,37290,605216.7000000001,,,,,,,,
2008-03-20,16.59,16.59,15.88,16.02,15460,247669.2,,,,,,,,
2008-03-21,16.23,16.23,15.24,15.24,39340,599541.6,,,,,,,,
2008-03-24,14.54,14.54,14.54,14.54,43240,628709.6,,,,,,,,
2008-03-25,13.83,13.83,13.83,13.83,40710,563019.3,,,,,,,,
2008-03-26,14.4,14.47,14.4,14.47,26760,387217.2,,,,,,,,
2008-03-27,14.47,14.61,14.61,14.61,10,146.1,,,,,,,,
2008-03-28,14.75,14.75,14.75,14.75,20,295.0,,,,,,,,
2008-03-31,14.89,14.89,14.89,14.89,120,1786.8000000000002,,,,,,,,
2008-04-01,15.03,15.03,15.03,15.03,120,1803.6,,,,,,,,
2008-04-02,15.17,15.17,15.17,15.17,20,303.4,,,,,,,,
2008-04-03,15.32,15.32,15.32,15.32,150,2298.0,,,,,,,,
2008-04-04,15.46,15.46,15.46,15.46,200,3092.0,,,,,,,,
2008-04-07,15.74,15.74,15.74,15.74,6000,94440.0,,,,,,,,
2008-04-08,16.02,16.02,15.53,16.02,83080,1330941.6,,,,,,,,
2008-04-09,15.74,16.16,15.74,15.74,24390,383898.6,,,,,,,,
2008-04-10,15.46,15.46,15.46,15.46,27350,422831.0,,,,,,,,
2008-04-11,15.17,15.17,15.17,15.17,45360,688111.2,,,,,,,,
2008-04-16,14.82,14.82,14.82,14.82,5850,86697.0,,,,,,,,
2008-04-17,14.54,15.1,14.54,15.1,21540,325254.0,,,,,,,,
2008-04-18,15.32,15.32,14.82,14.82,9580,141975.6,,,,,,,,
2008-04-21,14.54,15.1,14.54,15.1,32680,493468.0,,,,,,,,
2008-04-22,15.39,15.39,15.24,15.39,36660,564197.4,,,,,,,,
2008-04-23,15.67,15.67,15.39,15.67,70260,1100974.2,,,,,,,,
2008-04-24,15.95,15.95,15.67,15.95,43610,695579.5,,,,,,,,
2008-04-25,15.95,16.23,15.95,16.23,25640,416137.2,,,,,,,,
2008-04-28,16.52,16.52,16.52,16.52,2520,41630.4,,,,,,,,
2008-04-29,16.8,16.8,16.8,16.8,3130,52584.0,,,,,,,,
2008-05-05,16.8,17.08,16.8,17.08,38090,650577.2,,,,,,,,
2008-05-06,17.36,17.36,17.08,17.36,102350,1776796.0,,,,,,,,
2008-05-07,17.08,17.08,17.08,17.08,4730,80788.4,,,,,,,,
2008-05-08,16.8,16.8,16.8,16.8,32600,547680.0,,,,,,,,
2008-05-09,16.8,16.8,16.52,16.52,370,6112.4,,,,,,,,
2008-05-12,16.23,16.23,16.23,16.23,30,486.9,,,,,,,,
2008-05-13,15.95,15.95,15.95,15.95,10,159.5,,,,,,,,
2008-05-14,15.67,15.67,15.67,15.67,30,470.1,,,,,,,,
2008-05-15,15.39,15.39,15.39,15.39,2720,41860.8,,,,,,,,
2008-05-16,15.39,15.67,15.1,15.1,126050,1903355.0,,,,,,,,
2008-05-19,14.82,14.82,14.82,14.82,17750,263055.0,,,,,,,,
2008-05-20,14.82,14.82,14.54,14.54,2770,40275.8,,,,,,,,
2008-05-21,14.26,14.26,14.26,14.26,510,7272.599999999999,,,,,,,,
2008-05-22,13.97,13.97,13.97,13.97,230,3213.1000000000004,,,,,,,,
2008-05-23,13.76,13.76,13.76,13.76,4450,61232.0,,,,,,,,
2008-05-26,13.55,13.55,13.55,13.55,4830,65446.5,,,,,,,,
2008-05-30,13.34,13.34,13.34,13.34,4980,66433.2,,,,,,,,
2008-06-02,13.13,13.13,13.13,13.13,10,131.3,,,,,,,,
2008-06-03,12.92,12.92,12.92,12.92,100,1292.0,,,,,,,,
2008-06-04,12.7,12.7,12.7,12.7,10,127.0,,,,,,,,
2008-06-05,12.49,12.49,12.49,12.49,1010,12614.9,,,,,,,,
2008-06-06,12.28,12.28,12.28,12.28,1000,12280.0,,,,,,,,
2008-06-09,12.07,12.07,12.07,12.07,1320,15932.4,,,,,,,,
2008-06-10,11.86,11.86,11.86,11.86,4020,47677.2,,,,,,,,
2008-06-11,11.65,12.07,11.65,12.07,43720,527700.4,,,,,,,,
2008-06-12,12.28,12.28,11.86,12.28,40980,503234.4,,,,,,,,
2008-06-13,12.35,12.49,12.07,12.49,42520,531074.8,,,,,,,,
2008-06-16,12.7,12.7,12.7,12.7,41170,522859.0,,,,,,,,
2008-06-17,12.92,12.92,12.92,12.92,2730,35271.6,,,,,,,,
2008-06-18,12.92,12.92,12.7,12.7,29240,371348.0,,,,,,,,
2008-06-19,12.35,12.35,12.35,12.35,1200,14820.0,,,,,,,,
2008-06-20,12.35,12.35,12.0,12.0,2350,28200.0,,,,,,,,
2008-06-23,11.93,12.35,11.93,12.14,33930,411910.2,,,,,,,,
2008-06-24,12.49,12.49,12.42,12.49,11500,143635.0,,,,,,,,
2008-06-25,12.85,12.85,12.85,12.85,21250,273062.5,,,,,,,,
2008-06-26,12.77,12.77,12.49,12.63,36200,457206.0,,,,,,,,
2008-06-27,12.28,12.99,12.28,12.7,21120,268224.0,,,,,,,,
2008-06-30,12.42,12.92,12.35,12.7,24440,310388.0,,,,,,,,
2008-07-01,13.06,13.06,13.06,13.06,21680,283140.8,,,,,,,,
2008-07-02,13.41,13.41,13.06,13.41,46310,621017.1,,,,,,,,
2008-07-03,13.76,13.76,13.76,13.76,16200,222912.0,,,,,,,,
2008-07-04,14.12,14.12,14.12,14.12,49040,692444.7999999999,,,,,,,,
2008-07-07,14.54,14.54,13.69,13.69,89050,1219094.5,,,,,,,,
2008-07-08,13.34,13.97,13.34,13.97,19560,273253.2,,,,,,,,
2008-07-09,14.33,14.33,14.12,14.33,32810,470167.3,,,,,,,,
2008-07-10,14.75,14.75,14.75,14.75,1290,19027.5,,,,,,,,
2008-07-11,15.17,15.17,15.17,15.17,27600,418692.0,,,,,,,,
