time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2018-11-12,7.451,7.451,7.451,7.451,147670,1100289.17,,,,,
2018-11-13,7.969,7.969,7.969,7.969,256400,2043251.6,,,,,
2018-11-14,7.997,8.397,7.65,8.05,332170,2673968.5000000005,,,,,
2018-11-15,7.624,8.157,7.624,8.104,214090,1734985.36,,,,,
2018-11-16,7.863,8.263,7.863,8.104,274160,2221792.64,,,,,
2018-11-19,8.05,8.131,7.81,8.131,241150,1960790.65,,,,,
2018-11-20,8.131,8.131,7.863,7.863,130070,1022740.41,,,,,
2018-11-21,7.863,7.89,7.73,7.73,119290,922111.7,,,,,
2018-11-22,7.917,7.917,7.491,7.863,192500,1513627.5,,,,,
2018-11-23,7.863,7.943,7.73,7.757,152850,1185657.45,,,,,
2018-11-26,7.957,8.05,7.863,7.997,209270,1673532.19,,,,,
2018-11-27,7.997,8.05,7.917,8.05,265630,2138321.5,,,,,
2018-11-28,7.997,8.091,7.917,8.05,457020,3679011.000000001,,,,,
2018-11-29,7.997,8.077,7.93,8.05,322000,2592100.0,,,,,
2018-11-30,8.548,8.548,8.096,8.096,116870,946179.52,,,,,
2018-12-03,8.096,8.274,8.096,8.161,193120,1576052.3199999998,,,,,
2018-12-04,7.903,7.983,7.742,7.838,177060,1387796.28,,,,,
2018-12-05,7.742,7.806,7.58,7.677,230920,1772772.84,,,,,
2018-12-06,7.58,7.903,7.58,7.903,238730,1886683.19,,,,,
2018-12-07,7.677,7.935,7.58,7.806,137610,1074183.66,,,,,
2018-12-10,7.661,7.822,7.549,7.645,96290,736137.0499999999,,,,,
2018-12-11,7.645,7.709,7.516,7.645,87890,671919.0499999999,,,,,
2018-12-12,7.629,7.693,7.549,7.661,100300,768398.2999999999,,,,,
2018-12-13,7.612,7.677,7.516,7.58,82280,623682.4,,,,,
2018-12-14,7.564,7.564,7.419,7.419,34080,252839.52,,,,,
2018-12-17,7.419,7.451,7.306,7.387,12810,94627.47,,,,,
2018-12-18,6.903,7.37,6.903,6.903,17080,117903.24,,,,,
2018-12-19,7.096,7.096,6.774,6.903,13640,94156.92,,,,,
2018-12-20,7.064,7.064,6.516,6.936,9800,67972.8,,,,,
2018-12-21,6.999,7.419,6.677,7.419,199450,1479719.5499999998,,,,,
2018-12-24,7.903,7.903,7.419,7.709,34740,267810.66,,,,,
2018-12-25,7.709,7.709,7.419,7.629,23060,175924.74,,,,,
2018-12-26,7.419,7.742,7.419,7.516,16140,121308.24,,,,,
2018-12-27,7.645,7.645,7.532,7.532,128010,964171.32,,,,,
2018-12-28,7.58,7.742,7.419,7.419,22110,164034.09,,,,,
2019-01-02,7.58,7.58,7.354,7.451,19450,144921.94999999998,,,,,
2019-01-03,7.483,7.5,6.968,7.419,196230,1455830.37,,,,,
2019-01-04,7.419,7.419,7.387,7.387,350,2585.45,,,,,
2019-01-07,7.467,7.467,7.128,7.387,12580,92928.46,,,,,
2019-01-08,7.387,7.387,7.145,7.145,2180,15576.1,,,,,
2019-01-09,7.145,7.387,7.145,7.193,18260,131344.18,,,,,
2019-01-10,7.258,7.258,7.096,7.096,14950,106085.2,,,,,
2019-01-11,7.226,7.242,7.096,7.226,26220,189465.72,,,,,
2019-01-14,7.096,7.419,7.096,7.161,9800,70177.8,,,,,
2019-01-15,7.193,7.387,7.048,7.048,73360,517041.28,,,,,
2019-01-16,7.177,7.29,7.048,7.258,10840,78676.72,,,,,
2019-01-17,7.226,7.354,7.064,7.274,7410,53900.34,,,,,
2019-01-18,7.274,7.322,7.015,7.322,19880,145561.36000000002,,,,,
2019-01-21,7.258,7.354,7.096,7.322,23410,171408.02,,,,,
2019-01-22,7.29,7.338,7.193,7.29,2490,18152.1,,,,,
2019-01-23,7.306,7.338,7.258,7.322,15780,115541.16,,,,,
2019-01-24,7.354,7.354,7.258,7.258,10060,73015.48,,,,,
2019-01-25,7.258,7.742,7.258,7.322,55230,404394.06,,,,,
2019-01-28,7.742,7.742,7.387,7.467,68180,509100.06,,,,,
2019-01-29,7.58,7.58,7.145,7.145,30440,217493.8,,,,,
2019-01-30,7.354,7.354,7.161,7.29,12610,91926.9,,,,,
2019-01-31,7.29,7.419,7.145,7.29,18090,131876.1,,,,,
2019-02-01,7.29,7.419,7.29,7.419,21900,162476.09999999998,,,,,
2019-02-11,7.419,7.467,7.258,7.467,49560,370064.52,,,,,
2019-02-12,7.451,7.483,7.258,7.322,42290,309647.38,,,,,
2019-02-13,7.322,7.322,7.226,7.306,13320,97315.92,,,,,
2019-02-14,7.29,7.338,7.096,7.338,50050,367266.9,,,,,
2019-02-15,7.306,7.322,7.193,7.258,15270,110829.66,,,,,
2019-02-18,7.258,7.274,7.064,7.258,82190,596535.02,,,,,
2019-02-19,7.096,7.258,7.096,7.258,29950,217377.1,,,,,
2019-02-20,7.112,7.226,7.112,7.128,44280,315627.84,,,,,
2019-02-21,7.128,7.128,6.936,7.096,20220,143481.12,,,,,
2019-02-22,7.064,7.096,6.774,6.887,20760,142974.12,,,,,
2019-02-25,6.774,7.064,6.774,7.032,64190,451384.08,,,,,
2019-02-26,6.968,7.032,6.92,6.983,32770,228832.91,,,,,
2019-02-27,6.952,6.983,6.774,6.936,22680,157308.48,,,,,
2019-02-28,6.936,6.936,6.774,6.774,11250,76207.5,,,,,
2019-03-01,6.774,6.952,6.741,6.807,136070,926228.49,,,,,
2019-03-04,6.936,6.936,6.87,6.87,17120,117614.4,,,,,
