time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,3.46,3.46,3.334,3.334,200,666.8000000000001,,,,,,,,
2013-01-03,3.334,3.334,3.334,3.334,42500,141695.0,,,,,,,,
2013-01-04,3.334,3.334,3.334,3.334,81700,272387.8,,,,,,,,
2013-01-07,3.334,3.334,3.334,3.334,48500,161699.0,,,,,,,,
2013-01-08,3.334,3.334,3.334,3.334,45100,150363.4,,,,,,,,
2013-01-09,3.334,3.334,3.334,3.334,2000,6668.0,,,,,,,,
2013-01-10,3.46,3.522,3.27,3.27,1100,3597.0,,,,,,,,
2013-01-11,3.145,3.27,3.145,3.27,2000,6540.0,,,,,,,,
2013-01-14,3.334,3.334,3.334,3.334,100,333.40000000000003,,,,,,,,
2013-01-15,3.208,3.334,3.145,3.334,2100,7001.400000000001,,,,,,,,
2013-01-16,3.46,3.46,3.334,3.334,5800,19337.2,,,,,,,,
2013-01-17,3.334,3.334,3.334,3.334,0,0.0,,,,,,,,
2013-01-18,3.334,3.334,3.334,3.334,100,333.40000000000003,,,,,,,,
2013-01-21,3.334,3.334,3.334,3.334,0,0.0,,,,,,,,
2013-01-22,3.334,3.334,3.334,3.334,0,0.0,,,,,,,,
2013-01-23,3.334,3.334,3.334,3.334,0,0.0,,,,,,,,
2013-01-24,3.396,3.396,3.396,3.396,100,339.6,,,,,,,,
2013-01-25,3.396,3.396,3.396,3.396,17000,57732.0,,,,,,,,
2013-01-28,3.396,3.46,3.396,3.46,2900,10034.0,,,,,,,,
2013-01-29,3.396,3.46,3.208,3.208,14000,44912.0,,,,,,,,
2013-01-30,3.46,3.46,3.46,3.46,100,346.0,,,,,,,,
2013-01-31,3.46,3.46,3.46,3.46,0,0.0,,,,,,,,
2013-02-01,3.46,3.46,3.46,3.46,0,0.0,,,,,,,,
2013-02-04,3.46,3.522,3.208,3.208,15700,50365.600000000006,,,,,,,,
2013-02-05,3.522,3.522,3.208,3.522,13200,46490.4,,,,,,,,
2013-02-06,3.522,3.522,3.396,3.396,2300,7810.8,,,,,,,,
2013-02-07,3.522,3.522,3.396,3.396,1100,3735.6,,,,,,,,
2013-02-08,3.334,3.334,3.334,3.334,100,333.40000000000003,,,,,,,,
2013-02-18,3.46,3.46,3.208,3.208,9300,29834.4,,,,,,,,
2013-02-19,3.27,3.27,3.27,3.27,200,654.0,,,,,,,,
2013-02-20,3.522,3.585,3.522,3.585,200,717.0,,,,,,,,
2013-02-21,3.46,3.585,3.334,3.585,5300,19000.5,,,,,,,,
2013-02-22,3.46,3.522,3.46,3.522,4800,16905.6,,,,,,,,
2013-02-25,3.396,3.396,3.396,3.396,500,1698.0,,,,,,,,
2013-02-26,3.46,3.522,3.46,3.46,4200,14532.0,,,,,,,,
2013-02-27,3.46,3.46,3.46,3.46,200,692.0,,,,,,,,
2013-02-28,3.46,3.46,3.46,3.46,0,0.0,,,,,,,,
2013-03-01,3.585,3.585,3.145,3.145,1300,4088.5,,,,,,,,
2013-03-04,3.396,3.396,3.396,3.396,1000,3396.0,,,,,,,,
2013-03-05,3.46,3.46,3.46,3.46,1000,3460.0,,,,,,,,
2013-03-06,3.648,3.775,3.46,3.46,6300,21798.0,,,,,,,,
2013-03-07,3.522,3.775,3.522,3.648,6300,22982.4,,,,,,,,
2013-03-08,3.648,3.648,3.648,3.648,100,364.8,,,,,,,,
2013-03-11,3.648,3.648,3.648,3.648,200,729.6,,,,,,,,
2013-03-12,3.962,3.962,3.962,3.962,4900,19413.8,,,,,,,,
2013-03-13,3.962,4.298,3.962,3.962,3100,12282.2,,,,,,,,
2013-03-14,4.298,4.298,3.962,3.962,4100,16244.2,,,,,,,,
2013-03-15,4.097,4.298,4.097,4.097,4100,16797.7,,,,,,,,
2013-03-18,4.097,4.097,4.097,4.097,0,0.0,,,,,,,,
2013-03-19,4.097,4.097,4.097,4.097,1100,4506.700000000001,,,,,,,,
2013-03-20,4.097,4.097,4.097,4.097,1000,4097.0,,,,,,,,
2013-03-21,4.298,4.298,4.097,4.097,7400,30317.800000000003,,,,,,,,
2013-03-22,4.097,4.365,4.097,4.365,200,873.0,,,,,,,,
2013-03-25,4.365,4.365,4.097,4.097,1800,7374.6,,,,,,,,
2013-03-26,4.298,4.298,4.097,4.097,1400,5735.8,,,,,,,,
2013-03-27,4.164,4.164,4.164,4.164,100,416.4,,,,,,,,
2013-03-28,4.499,4.567,4.232,4.232,1100,4655.2,,,,,,,,
2013-03-29,4.232,4.232,4.232,4.232,0,0.0,,,,,,,,
2013-04-01,4.633,4.633,4.232,4.633,6500,30114.5,,,,,,,,
2013-04-02,4.499,4.7,4.365,4.7,7800,36660.0,,,,,,,,
2013-04-03,4.232,4.232,4.232,4.232,100,423.2000000000001,,,,,,,,
2013-04-04,4.633,4.633,4.232,4.232,1100,4655.2,,,,,,,,
2013-04-05,4.232,4.232,4.232,4.232,0,0.0,,,,,,,,
2013-04-08,4.633,4.633,4.633,4.633,100,463.3,,,,,,,,
2013-04-09,4.7,4.902,4.7,4.7,1200,5640.0,,,,,,,,
2013-04-10,4.7,4.7,4.7,4.7,1300,6110.0,,,,,,,,
2013-04-11,4.7,4.7,4.7,4.7,900,4230.0,,,,,,,,
2013-04-12,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2013-04-15,4.7,4.7,4.7,4.7,0,0.0,,,,,,,,
2013-04-16,4.768,4.768,4.633,4.633,10200,47256.6,,,,,,,,
2013-04-17,4.768,4.768,4.768,4.768,1100,5244.8,,,,,,,,
2013-04-18,4.633,4.768,4.365,4.365,2700,11785.5,,,,,,,,
2013-04-22,4.768,4.768,4.365,4.365,2100,9166.5,,,,,,,,
2013-04-23,4.768,4.768,4.365,4.499,3900,17546.1,,,,,,,,
2013-04-24,4.7,4.7,4.365,4.365,8100,35356.5,,,,,,,,
2013-04-25,4.768,4.768,4.768,4.768,10100,48156.8,,,,,,,,
2013-04-26,4.298,4.298,4.298,4.298,100,429.8,,,,,,,,
2013-05-02,4.7,4.7,4.03,4.03,5100,20553.0,,,,,,,,
2013-05-03,4.433,4.433,3.626,3.626,21200,76871.2,,,,,,,,
2013-05-06,4.097,4.097,4.097,4.097,700,2867.9,,,,,,,,
2013-05-07,4.499,4.499,4.499,4.499,200,899.8,,,,,,,,
2013-05-08,4.902,4.902,4.633,4.633,900,4169.7,,,,,,,,
