time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2008-04-11,5.88,6.19,2.95,4.87,117200,570764.0,,,,,,,,
2008-04-16,4.14,4.14,4.14,4.14,1600,6623.999999999999,,,,,,,,
2008-04-17,4.02,4.18,4.02,4.02,70900,285017.99999999994,,,,,,,,
2008-04-18,3.93,4.02,3.93,3.93,12200,47946.0,,,,,,,,
2008-04-21,3.82,3.82,3.82,3.82,800,3056.0,,,,,,,,
2008-04-22,3.82,3.82,3.82,3.82,0,0.0,,,,,,,,
2008-04-23,3.82,3.82,3.82,3.82,0,0.0,,,,,,,,
2008-04-24,3.71,3.71,3.71,3.71,900,3339.0,,,,,,,,
2008-04-25,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-04-28,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-04-29,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-05,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-06,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-07,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-08,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-09,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-12,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-13,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-14,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-15,3.71,3.71,3.71,3.71,0,0.0,,,,,,,,
2008-05-16,3.6,3.6,3.6,3.6,500,1800.0,,,,,,,,
2008-05-19,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-20,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-21,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-22,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-23,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-26,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-27,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-28,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-29,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-05-30,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-02,3.51,3.51,3.51,3.51,0,0.0,,,,,,,,
2008-06-03,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-04,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-05,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-06,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-09,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-10,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-11,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-12,3.6,3.6,3.6,3.6,0,0.0,,,,,,,,
2008-06-13,3.42,3.42,3.42,3.42,1000,3420.0,,,,,,,,
2008-06-16,3.32,3.32,3.32,3.32,800,2656.0,,,,,,,,
2008-06-17,3.23,3.23,3.23,3.23,900,2907.0,,,,,,,,
2008-06-18,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2008-06-19,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2008-06-20,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2008-06-23,3.23,3.23,3.23,3.23,0,0.0,,,,,,,,
2008-06-24,3.11,3.11,3.11,3.11,5300,16483.0,,,,,,,,
2008-06-25,3.11,3.11,3.11,3.11,0,0.0,,,,,,,,
2008-06-26,2.98,2.98,2.98,2.98,8000,23840.0,,,,,,,,
2008-06-27,2.98,2.98,2.98,2.98,0,0.0,,,,,,,,
2008-06-30,2.98,2.98,2.98,2.98,0,0.0,,,,,,,,
2008-07-01,2.98,2.98,2.98,2.98,0,0.0,,,,,,,,
2008-07-02,2.88,2.88,2.88,2.88,2100,6048.0,,,,,,,,
2008-07-03,2.88,2.88,2.88,2.88,0,0.0,,,,,,,,
2008-07-04,2.77,2.77,2.77,2.77,700,1939.0,,,,,,,,
2008-07-07,2.66,2.66,2.66,2.66,1000,2660.0,,,,,,,,
2008-07-08,2.66,2.66,2.66,2.66,0,0.0,,,,,,,,
2008-07-09,2.57,2.57,2.57,2.57,100,257.0,,,,,,,,
2008-07-10,2.47,2.47,2.47,2.47,1400,3458.0000000000005,,,,,,,,
2008-07-11,2.38,2.38,2.38,2.38,600,1428.0,,,,,,,,
2008-07-14,2.29,2.3,2.29,2.3,71900,165370.0,,,,,,,,
2008-07-15,2.37,2.37,2.21,2.37,45500,107835.0,,,,,,,,
2008-07-16,2.37,2.43,2.24,2.37,28100,66597.0,,,,,,,,
2008-07-17,2.32,2.37,2.21,2.21,24800,54808.0,,,,,,,,
2008-07-18,2.23,2.23,2.23,2.23,8500,18955.0,,,,,,,,
2008-07-21,2.15,2.15,2.15,2.15,1000,2150.0,,,,,,,,
2008-07-22,2.07,2.07,2.07,2.07,100,207.0,,,,,,,,
2008-07-23,1.99,1.99,1.99,1.99,100,199.0,,,,,,,,
2008-07-24,1.92,1.92,1.92,1.92,100,192.0,,,,,,,,
2008-07-25,1.86,1.86,1.86,1.86,7200,13392.0,,,,,,,,
2008-07-28,1.79,1.79,1.79,1.79,300,537.0,,,,,,,,
2008-07-29,1.73,1.78,1.73,1.78,38600,68708.0,,,,,,,,
2008-07-30,1.67,1.73,1.67,1.67,15800,26386.0,,,,,,,,
2008-07-31,1.61,1.61,1.61,1.61,4500,7245.0,,,,,,,,
