time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-05-08,1.83,1.89,1.69,1.86,35200,65472.0,,,,,,,,
2009-05-11,1.92,1.92,1.86,1.86,18600,34596.0,,,,,,,,
2009-05-12,1.9,1.91,1.79,1.9,7100,13490.0,,,,,,,,
2009-05-13,1.77,1.83,1.77,1.77,3100,5487.0,,,,,,,,
2009-05-14,1.66,1.66,1.66,1.66,2500,4150.0,,,,,,,,
2009-05-15,1.55,1.55,1.55,1.55,6700,10385.0,,,,,,,,
2009-05-18,1.44,1.44,1.44,1.44,500,720.0,,,,,,,,
2009-05-19,1.34,1.34,1.34,1.34,7900,10586.0,,,,,,,,
2009-05-20,1.25,1.44,1.25,1.44,30400,43776.0,,,,,,,,
2009-05-21,1.42,1.42,1.42,1.42,1500,2130.0,,,,,,,,
2009-05-22,1.52,1.52,1.51,1.52,7100,10792.0,,,,,,,,
2009-05-25,1.63,1.63,1.57,1.63,41700,67971.0,,,,,,,,
2009-05-26,1.72,1.74,1.69,1.7,40900,69530.0,,,,,,,,
2009-05-27,1.72,1.79,1.72,1.75,20900,36575.0,,,,,,,,
2009-05-28,1.67,1.67,1.65,1.65,4500,7425.0,,,,,,,,
2009-05-29,1.55,1.69,1.55,1.65,2900,4785.0,,,,,,,,
2009-06-01,1.55,1.67,1.55,1.67,12100,20207.0,,,,,,,,
2009-06-02,1.76,1.76,1.67,1.69,6200,10478.0,,,,,,,,
2009-06-03,1.72,1.76,1.6,1.61,6900,11109.0,,,,,,,,
2009-06-04,1.76,1.77,1.75,1.77,35100,62127.0,,,,,,,,
2009-06-05,1.88,1.88,1.88,1.88,25600,48128.0,,,,,,,,
2009-06-08,2.01,2.01,1.98,2.01,48800,98088.0,,,,,,,,
2009-06-09,2.01,2.14,2.01,2.01,27500,55274.99999999999,,,,,,,,
2009-06-10,1.97,1.97,1.9,1.9,19400,36860.0,,,,,,,,
2009-06-11,1.9,1.93,1.89,1.92,30000,57600.0,,,,,,,,
2009-06-12,1.93,1.93,1.87,1.9,8200,15580.0,,,,,,,,
2009-06-15,1.76,1.76,1.76,1.76,2300,4048.0,,,,,,,,
2009-06-16,1.64,1.64,1.64,1.64,5400,8856.0,,,,,,,,
2009-06-17,1.53,1.64,1.53,1.63,28500,46455.0,,,,,,,,
2009-06-18,1.64,1.64,1.64,1.64,14800,24272.0,,,,,,,,
2009-06-19,1.75,1.75,1.64,1.68,4400,7392.0,,,,,,,,
2009-06-22,1.68,1.68,1.68,1.68,2000,3360.0,,,,,,,,
2009-06-23,1.56,1.56,1.56,1.56,500,780.0,,,,,,,,
2009-06-24,1.67,1.67,1.67,1.67,2700,4509.0,,,,,,,,
2009-06-25,1.78,1.79,1.56,1.56,1500,2340.0,,,,,,,,
2009-06-26,1.53,1.55,1.53,1.55,8000,12400.0,,,,,,,,
2009-06-29,1.49,1.49,1.44,1.44,2000,2880.0,,,,,,,,
2009-06-30,1.55,1.55,1.42,1.42,1200,1704.0,,,,,,,,
2009-07-01,1.42,1.42,1.42,1.42,12400,17608.0,,,,,,,,
2009-07-02,1.33,1.36,1.33,1.33,12000,15960.0,,,,,,,,
2009-07-03,1.35,1.39,1.35,1.39,3100,4309.0,,,,,,,,
2009-07-06,1.39,1.46,1.39,1.46,1800,2628.0,,,,,,,,
2009-07-07,1.47,1.47,1.46,1.46,3100,4526.0,,,,,,,,
2009-07-08,1.39,1.46,1.39,1.46,900,1314.0,,,,,,,,
2009-07-09,1.34,1.34,1.34,1.34,100,134.0,,,,,,,,
2009-07-10,1.32,1.33,1.32,1.33,2000,2660.0,,,,,,,,
2009-07-13,1.25,1.33,1.25,1.25,1900,2375.0,,,,,,,,
2009-07-14,1.38,1.38,1.38,1.38,100,138.0,,,,,,,,
2009-07-15,1.38,1.38,1.38,1.38,100,138.0,,,,,,,,
2009-07-16,1.43,1.43,1.32,1.32,1100,1452.0,,,,,,,,
2009-07-17,1.39,1.39,1.39,1.39,100,139.0,,,,,,,,
2009-07-20,1.39,1.39,1.39,1.39,1100,1529.0,,,,,,,,
2009-07-21,1.42,1.43,1.42,1.43,1100,1573.0,,,,,,,,
2009-07-22,1.51,1.51,1.43,1.43,7200,10296.0,,,,,,,,
2009-07-23,1.39,1.43,1.39,1.43,3400,4862.0,,,,,,,,
2009-07-24,1.47,1.51,1.47,1.51,7300,11023.0,,,,,,,,
2009-07-27,1.59,1.59,1.55,1.55,1400,2170.0,,,,,,,,
2009-07-28,1.64,1.64,1.45,1.47,4900,7203.0,,,,,,,,
2009-07-29,1.54,1.54,1.54,1.54,400,616.0,,,,,,,,
2009-07-30,1.53,1.53,1.53,1.53,200,306.0,,,,,,,,
