time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-09-28,7.63,8.07,7.63,7.63,158600,1210118.0,,,,,,,,
2010-09-29,7.26,7.41,7.26,7.26,74130,538183.7999999999,,,,,,,,
2010-09-30,6.97,6.97,6.97,6.97,27370,190768.9,,,,,,,,
2010-10-01,6.67,6.82,6.67,6.67,17910,119459.7,,,,,,,,
2010-10-04,6.67,6.67,6.38,6.38,23160,147760.8,,,,,,,,
2010-10-05,6.09,6.09,6.09,6.09,11100,67599.0,,,,,,,,
2010-10-06,6.01,6.38,6.01,6.38,33670,214814.6,,,,,,,,
2010-10-07,6.38,6.6,6.31,6.6,16240,107184.0,,,,,,,,
2010-10-08,6.31,6.6,6.31,6.31,2360,14891.6,,,,,,,,
2010-10-11,6.01,6.6,6.01,6.6,5450,35970.0,,,,,,,,
2010-10-12,6.31,6.31,6.31,6.31,16170,102032.7,,,,,,,,
2010-10-13,6.31,6.31,6.01,6.31,48680,307170.8,,,,,,,,
2010-10-14,6.01,6.16,6.01,6.01,54670,328566.7,,,,,,,,
2010-10-15,5.87,6.01,5.79,5.79,13990,81002.1,,,,,,,,
2010-10-18,5.57,5.94,5.57,5.57,10820,60267.4,,,,,,,,
2010-10-19,5.43,5.57,5.35,5.43,25270,137216.1,,,,,,,,
2010-10-20,5.21,5.43,5.21,5.21,33610,175108.1,,,,,,,,
2010-10-21,5.21,5.21,4.99,5.13,17620,90390.6,,,,,,,,
2010-10-22,5.13,5.21,5.13,5.13,5260,26983.8,,,,,,,,
2010-10-25,5.13,5.28,5.06,5.13,9530,48888.9,,,,,,,,
2010-10-26,5.21,5.35,5.13,5.35,28270,151244.5,,,,,,,,
2010-10-27,5.35,5.5,5.13,5.21,4690,24434.9,,,,,,,,
2010-10-28,5.06,5.21,5.06,5.21,5630,29332.3,,,,,,,,
2010-10-29,4.99,5.13,4.99,4.99,26010,129789.9,,,,,,,,
2010-11-01,4.84,4.91,4.77,4.84,8520,41236.8,,,,,,,,
2010-11-02,4.77,4.84,4.77,4.77,8620,41117.4,,,,,,,,
2010-11-03,4.77,4.77,4.55,4.55,14030,63836.5,,,,,,,,
2010-11-04,4.69,4.69,4.55,4.69,4100,19229.0,,,,,,,,
2010-11-05,4.84,4.91,4.69,4.84,14810,71680.4,,,,,,,,
2010-11-08,4.84,4.84,4.62,4.62,11960,55255.2,,,,,,,,
2010-11-09,4.55,4.62,4.55,4.55,6890,31349.5,,,,,,,,
2010-11-10,4.4,4.47,4.4,4.4,5600,24640.000000000004,,,,,,,,
2010-11-11,4.47,4.55,4.4,4.47,2920,13052.4,,,,,,,,
2010-11-12,4.25,4.47,4.25,4.25,30840,131070.0,,,,,,,,
2010-11-15,4.33,4.33,4.11,4.33,16380,70925.4,,,,,,,,
2010-11-16,4.18,4.33,4.18,4.18,9960,41632.8,,,,,,,,
2010-11-17,4.11,4.33,4.11,4.11,9690,39825.9,,,,,,,,
2010-11-18,4.25,4.25,4.11,4.25,5460,23205.0,,,,,,,,
2010-11-19,4.4,4.4,4.25,4.4,42470,186868.00000000003,,,,,,,,
2010-11-22,4.4,4.47,4.33,4.47,22230,99368.1,,,,,,,,
2010-11-23,4.69,4.69,4.4,4.69,26710,125269.9,,,,,,,,
2010-11-24,4.91,4.91,4.77,4.91,16600,81506.0,,,,,,,,
2010-11-25,5.06,5.13,4.91,4.99,15830,78991.7,,,,,,,,
2010-11-26,4.84,5.06,4.77,4.84,16310,78940.4,,,,,,,,
2010-11-29,4.84,4.91,4.84,4.84,8000,38720.0,,,,,,,,
2010-11-30,5.06,5.06,4.91,4.99,34300,171157.0,,,,,,,,
2010-12-01,4.99,5.13,4.99,4.99,21020,104889.8,,,,,,,,
2010-12-02,4.99,5.13,4.91,4.99,21140,105488.6,,,,,,,,
2010-12-03,5.21,5.21,5.06,5.21,45130,235127.3,,,,,,,,
2010-12-06,5.21,5.28,4.99,5.21,30760,160259.6,,,,,,,,
2010-12-07,5.35,5.35,5.13,5.21,10730,55903.3,,,,,,,,
2010-12-08,4.99,5.06,4.99,4.99,16980,84730.2,,,,,,,,
2010-12-09,4.99,4.99,4.99,4.99,200,998.0,,,,,,,,
2010-12-10,4.91,5.13,4.91,4.91,10410,51113.1,,,,,,,,
2010-12-13,5.06,5.13,5.06,5.13,69030,354123.9,,,,,,,,
2010-12-14,5.13,5.13,4.99,5.06,8170,41340.2,,,,,,,,
2010-12-15,4.84,5.06,4.84,4.84,31320,151588.8,,,,,,,,
2010-12-16,4.62,4.99,4.62,4.69,5120,24012.800000000003,,,,,,,,
2010-12-17,4.55,4.91,4.55,4.91,2230,10949.3,,,,,,,,
2010-12-20,4.77,5.13,4.77,4.77,4590,21894.3,,,,,,,,
2010-12-21,4.91,4.91,4.77,4.91,16220,79640.2,,,,,,,,
2010-12-22,4.91,4.91,4.91,4.91,31580,155057.80000000002,,,,,,,,
2010-12-23,4.91,4.91,4.84,4.84,22130,107109.2,,,,,,,,
2010-12-24,4.91,4.91,4.84,4.91,57830,283945.3,,,,,,,,
2010-12-27,4.91,5.13,4.84,4.91,5260,25826.6,,,,,,,,
2010-12-28,4.91,4.99,4.84,4.99,17610,87873.90000000001,,,,,,,,
2010-12-29,4.91,5.06,4.91,4.99,73020,364369.8,,,,,,,,
2010-12-30,4.99,5.06,4.77,4.84,16920,81892.8,,,,,,,,
2010-12-31,4.84,5.06,4.77,5.06,1720,8703.199999999999,,,,,,,,
2011-01-04,5.06,5.13,4.99,5.06,37530,189901.8,,,,,,,,
2011-01-05,5.06,5.06,4.99,5.06,54900,277794.0,,,,,,,,
2011-01-06,5.06,4.99,4.84,4.99,87380,436026.2,,,,,,,,
2011-01-07,5.06,5.06,4.77,4.77,19540,93205.8,,,,,,,,
2011-01-10,4.84,4.99,4.69,4.99,10580,52794.2,,,,,,,,
2011-01-11,4.84,4.99,4.84,4.99,3210,16017.9,,,,,,,,
2011-01-12,4.77,5.06,4.77,4.99,32930,164320.7,,,,,,,,
2011-01-13,4.99,5.06,4.99,5.06,630,3187.8,,,,,,,,
2011-01-14,5.06,5.06,4.84,4.91,5260,25826.6,,,,,,,,
2011-01-17,4.99,4.99,4.84,4.99,2730,13622.7,,,,,,,,
2011-01-18,4.99,4.99,4.84,4.84,14210,68776.4,,,,,,,,
2011-01-19,4.84,4.91,4.77,4.91,5890,28919.9,,,,,,,,
2011-01-20,4.91,4.91,4.84,4.84,420,2032.8,,,,,,,,
2011-01-21,4.84,4.84,4.69,4.77,11590,55284.3,,,,,,,,
2011-01-24,4.77,4.77,4.62,4.62,54620,252344.4,,,,,,,,
