time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-12-18,22.15,24.44,22.15,23.06,79800,1840188.0,,,,,
2006-12-19,25.35,25.35,24.82,25.35,84500,2142075.0,,,,,
2006-12-20,27.11,27.87,26.73,27.87,35100,978237.0,,,,,
2006-12-21,30.39,30.39,30.39,30.39,107600,3269964.0,,,,,
2006-12-22,30.39,30.55,29.02,29.78,41500,1235870.0,,,,,
2006-12-25,28.48,29.02,26.8,28.48,67600,1925248.0,,,,,
2006-12-26,29.09,29.09,26.42,28.64,25400,727456.0,,,,,
2006-12-27,30.16,30.16,29.02,29.32,30100,882532.0,,,,,
2006-12-28,26.73,29.17,26.35,29.32,74400,2181408.0,,,,,
2006-12-29,29.17,29.4,26.12,27.49,37100,1019879.0,,,,,
2007-01-02,28.33,28.33,25.89,27.49,15300,420597.0,,,,,
2007-01-03,26.19,26.65,25.73,25.96,26800,695728.0,,,,,
2007-01-04,26.73,26.73,25.96,26.65,9100,242515.0,,,,,
2007-01-05,26.96,27.49,25.2,27.41,42800,1173148.0,,,,,
2007-01-08,27.64,27.8,26.04,27.34,37400,1022516.0,,,,,
2007-01-09,25.73,27.26,25.35,26.8,22700,608360.0,,,,,
2007-01-10,26.73,28.18,23.6,25.89,68700,1778643.0,,,,,
2007-01-11,25.43,25.96,22.15,24.36,78000,1900080.0,,,,,
2007-01-12,23.29,23.29,22.22,22.22,88300,1962026.0,,,,,
2007-01-15,22.76,22.91,21.76,22.76,78500,1786660.0000000002,,,,,
2007-01-16,23.6,24.05,22.15,22.6,101400,2291640.0,,,,,
2007-01-17,21.38,22.22,21.0,21.38,75600,1616328.0,,,,,
2007-01-18,21.38,21.61,19.85,20.85,47900,998715.0,,,,,
2007-01-19,22.91,23.21,20.62,23.21,57800,1341538.0,,,,,
2007-01-22,23.9,23.9,22.53,23.21,394000,9144740.0,,,,,
2007-01-23,25.89,25.89,24.82,25.89,208400,5395476.0,,,,,
2007-01-24,28.33,28.33,28.33,28.33,276100,7821912.999999999,,,,,
2007-01-25,31.16,31.16,28.25,29.48,249200,7346416.0,,,,,
2007-01-26,28.64,28.64,27.19,27.19,41100,1117509.0,,,,,
2007-01-29,24.67,24.67,24.67,24.67,53800,1327246.0,,,,,
2007-01-30,25.58,26.73,24.05,26.35,182000,4795700.0,,,,,
2007-01-31,27.11,27.11,26.19,26.35,106400,2803640.0,,,,,
2007-02-01,27.87,28.03,25.43,25.66,87700,2250382.0,,,,,
2007-02-02,27.49,27.49,25.58,25.96,64800,1682208.0,,,,,
2007-02-05,25.2,26.73,24.44,25.12,60600,1522272.0,,,,,
2007-02-06,25.35,25.35,23.75,24.36,69100,1683276.0,,,,,
2007-02-07,25.2,25.2,23.52,23.67,87900,2080593.0,,,,,
2007-02-08,24.51,25.96,23.67,24.36,157300,3831828.0,,,,,
2007-02-09,25.58,25.96,24.13,24.44,130600,3191864.0,,,,,
2007-02-12,25.2,25.58,24.44,24.67,106500,2627355.0,,,,,
2007-02-13,25.2,25.96,24.74,25.2,55500,1398600.0,,,,,
2007-02-14,25.35,26.12,24.82,25.2,141000,3553200.0,,,,,
2007-02-15,25.28,25.96,24.82,25.96,83700,2172852.0,,,,,
2007-02-26,26.73,27.87,25.96,27.87,166900,4651503.0,,,,,
2007-02-27,29.78,29.78,29.4,29.55,357200,10555260.0,,,,,
2007-02-28,32.07,32.07,29.86,30.85,439900,13570915.0,,,,,
2007-03-01,27.87,32.07,27.87,30.77,223000,6861710.0,,,,,
2007-03-02,30.55,32.07,29.02,30.77,290700,8944839.0,,,,,
2007-03-05,30.55,33.6,30.55,31.92,206800,6601056.0,,,,,
2007-03-06,32.84,33.6,31.31,32.84,320100,10512084.000000002,,,,,
2007-03-07,34.36,35.59,31.31,34.52,286800,9900336.0,,,,,
2007-03-08,37.88,37.88,37.88,37.88,58800,2227344.0,,,,,
2007-03-09,41.62,41.62,41.62,41.62,54900,2284938.0,,,,,
2007-03-12,45.74,45.74,45.74,45.74,182700,8356698.0,,,,,
2007-03-13,50.25,50.25,41.24,41.24,163100,6726244.0,,,,,
2007-03-14,39.48,39.48,39.48,41.24,56100,2313564.0,,,,,
2007-03-15,35.59,35.59,35.59,35.59,53400,1900506.0,,,,,
2007-03-16,32.07,39.1,32.07,38.95,170000,6621500.000000001,,,,,
2007-03-19,39.48,39.48,38.18,38.56,289800,11174688.0,,,,,
2007-05-07,26.73,27.87,26.73,27.87,50400,1404648.0,,,,,
2007-05-08,28.25,29.4,28.25,28.41,38600,1096626.0,,,,,
2007-05-09,28.71,28.87,27.8,27.87,38300,1067421.0,,,,,
2007-05-10,27.49,27.49,27.03,27.11,23500,637085.0,,,,,
2007-05-11,26.96,28.1,26.88,28.03,70400,1973312.0,,,,,
2007-05-14,27.95,27.95,27.19,27.64,46200,1276968.0,,,,,
2007-05-15,27.87,28.25,27.11,27.26,47800,1303028.0,,,,,
2007-05-16,27.26,27.49,26.73,27.26,27400,746924.0,,,,,
2007-05-17,26.8,27.34,26.73,27.26,25800,703308.0,,,,,
2007-05-18,27.19,27.49,26.88,27.11,66100,1791971.0,,,,,
2007-05-21,27.49,27.87,26.73,27.03,90900,2457027.0,,,,,
2007-05-22,29.63,29.63,27.19,28.56,123600,3530016.0,,,,,
2007-05-23,29.78,30.55,28.64,29.02,104600,3035492.0,,,,,
2007-05-24,29.4,30.55,26.96,27.87,32700,911349.0,,,,,
2007-05-25,27.49,28.56,27.19,28.41,65400,1858014.0,,,,,
2007-05-28,29.02,29.4,27.95,28.25,58400,1649800.0,,,,,
2007-05-29,28.25,28.64,26.35,27.95,31000,866450.0,,,,,
2007-05-30,30.85,30.85,27.26,27.49,49100,1349759.0,,,,,
2007-05-31,27.49,28.25,27.49,27.87,38800,1081356.0,,,,,
2007-06-01,26.73,27.87,26.73,27.11,41100,1114221.0,,,,,
2007-06-04,27.26,27.26,24.67,26.96,33500,903160.0,,,,,
2007-06-05,25.96,26.73,25.89,25.96,67400,1749704.0,,,,,
2007-06-06,26.42,26.8,26.04,26.8,40300,1080040.0,,,,,
2007-06-07,26.73,26.8,26.19,26.42,24600,649932.0,,,,,
2007-06-08,26.5,26.73,26.19,26.65,17500,466375.0,,,,,
2007-06-11,26.35,26.42,25.96,26.04,19100,497364.0,,,,,
2007-06-12,25.2,26.35,25.2,25.96,22900,594484.0,,,,,
2007-06-13,25.2,25.89,25.2,25.58,29000,741820.0,,,,,
2007-06-14,23.06,25.58,23.06,25.35,29900,757965.0,,,,,
2007-06-15,25.43,25.58,25.2,25.43,27200,691696.0,,,,,
2007-06-18,25.35,25.35,24.82,25.05,18900,473445.0,,,,,
2007-06-19,24.74,24.74,24.28,24.44,22500,549900.0,,,,,
2007-06-20,24.28,24.44,23.75,24.21,34800,842508.0,,,,,
2007-06-21,24.05,24.05,23.67,23.9,40200,960780.0,,,,,
2007-06-22,23.29,23.67,22.91,23.52,21500,505680.0,,,,,
2007-06-25,22.91,23.37,22.91,23.21,26600,617386.0,,,,,
2007-06-26,23.14,24.05,22.99,24.05,41200,990860.0,,,,,
2007-06-28,23.67,24.05,23.14,23.98,41200,987976.0,,,,,
2007-09-10,21.0,21.46,21.0,21.38,37900,810302.0,,,,,
2007-09-12,21.0,21.53,21.0,21.23,25300,537119.0,,,,,
2007-09-13,21.08,21.31,21.08,21.15,12400,262260.0,,,,,
2007-09-14,21.08,21.08,20.92,21.0,22300,468300.0,,,,,
2007-09-17,20.92,21.0,20.69,20.69,19000,393110.0,,,,,
2007-09-18,21.0,21.0,20.47,20.69,15500,320695.0,,,,,
2007-09-19,20.77,21.53,20.62,21.15,59900,1266885.0,,,,,
2007-09-20,21.69,22.15,21.38,21.46,63000,1351980.0,,,,,
2007-09-21,21.76,21.76,21.38,21.61,46200,998382.0,,,,,
2007-09-24,23.67,23.67,23.67,23.67,45000,1065150.0,,,,,
2007-09-25,26.04,26.04,26.04,26.04,17300,450492.0,,,,,
2007-09-26,28.64,28.64,28.64,28.64,57900,1658256.0,,,,,
2007-09-27,31.46,31.46,26.35,30.16,584500,17628520.0,,,,,
2007-09-28,31.31,31.31,29.78,30.16,229100,6909656.0,,,,,
2007-10-01,33.22,33.22,30.55,33.22,207000,6876540.0,,,,,
2007-10-02,36.35,36.35,34.36,35.51,245800,8728358.0,,,,,
2007-10-03,35.89,35.89,32.15,33.83,152300,5152309.0,,,,,
2007-10-04,32.07,33.6,32.07,32.84,173500,5697740.000000001,,,,,
2007-10-05,32.84,32.84,31.46,31.84,148600,4731424.0,,,,,
2007-10-08,32.07,32.84,31.69,32.45,130300,4228235.0,,,,,
2007-10-09,31.69,32.84,31.69,32.45,118600,3848570.000000001,,,,,
2007-10-10,32.45,32.61,31.69,32.07,83000,2661810.0,,,,,
2007-10-11,32.07,35.13,31.69,35.13,244000,8571720.0,,,,,
2007-10-15,36.27,39.17,36.27,39.17,183000,7168110.0,,,,,
2007-10-16,42.53,42.53,42.53,42.53,230300,9794659.0,,,,,
2007-10-17,46.73,46.73,38.41,39.1,315400,12332140.0,,,,,
2007-10-18,39.02,39.33,37.57,37.57,145900,5481463.0,,,,,
2007-10-19,37.42,41.39,34.36,41.16,422100,17373636.0,,,,,
2007-10-22,41.24,42.0,38.64,39.71,206400,8196144.0,,,,,
2007-10-23,39.71,40.47,38.56,38.95,244400,9519380.0,,,,,
2007-10-24,39.71,39.71,38.95,39.17,176300,6905671.0,,,,,
2007-10-25,39.71,40.09,36.27,38.18,181200,6918216.0,,,,,
2007-10-26,38.79,38.95,36.65,37.42,98500,3685870.0,,,,,
2007-10-29,37.27,37.42,35.13,36.43,102200,3723146.0,,,,,
2007-10-30,35.51,37.04,35.13,36.65,113000,4141450.0,,,,,
2007-10-31,37.42,38.18,36.2,36.88,68500,2526280.0,,,,,
2007-11-01,38.18,38.18,37.04,37.42,61400,2297588.0,,,,,
2007-11-02,37.42,37.42,35.28,36.58,26300,962054.0,,,,,
2007-11-05,36.65,36.65,33.68,35.13,56500,1984845.0,,,,,
2007-11-06,35.13,37.04,33.83,36.58,144000,5267520.0,,,,,
2007-11-07,37.49,38.56,36.65,37.04,80700,2989128.0,,,,,
2007-11-08,38.18,38.56,35.2,35.74,41500,1483210.0,,,,,
2007-11-09,34.36,34.97,32.84,32.84,72200,2371048.0000000005,,,,,
2007-11-12,34.06,34.97,31.08,31.31,73100,2288761.0,,,,,
