time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-11-24,15.868,16.778,15.868,16.209,547500,8874427.5,,,,,,,,
2017-11-27,16.778,16.778,16.323,16.721,131259,2194781.739,,,,,,,,
2017-11-28,16.55,16.55,16.323,16.38,66000,1081080.0,,,,,,,,
2017-11-29,16.38,16.38,15.356,15.64,173400,2711976.0,,,,,,,,
2017-11-30,15.64,16.323,15.47,16.209,134200,2175247.8,,,,,,,,
2017-12-01,16.209,16.209,16.095,16.209,54900,889874.1,,,,,,,,
2017-12-04,16.152,16.323,16.152,16.209,71600,1160564.4,,,,,,,,
2017-12-05,16.152,16.209,15.982,15.982,168150,2687373.3,,,,,,,,
2017-12-06,16.095,16.095,15.925,15.925,32210,512944.25,,,,,,,,
2017-12-07,15.982,15.982,15.868,15.925,25800,410865.0,,,,,,,,
2017-12-08,15.868,15.925,15.868,15.925,29510,469946.75,,,,,,,,
2017-12-11,15.697,15.697,15.47,15.527,86700,1346190.9,,,,,,,,
2017-12-12,15.583,15.64,15.583,15.64,71800,1122952.0,,,,,,,,
2017-12-13,15.754,15.925,15.754,15.754,13930,219453.22,,,,,,,,
2017-12-14,15.925,15.925,15.811,15.925,33590,534920.75,,,,,,,,
2017-12-15,16.493,16.493,15.811,15.868,24000,380832.0,,,,,,,,
2017-12-18,15.925,16.038,15.868,15.982,56500,902983.0,,,,,,,,
2017-12-19,15.925,15.925,15.811,15.811,9000,142299.0,,,,,,,,
2017-12-20,15.811,15.868,15.754,15.868,85000,1348780.0,,,,,,,,
2017-12-21,15.868,15.868,15.697,15.868,32820,520787.76,,,,,,,,
2017-12-22,18.143,18.143,15.697,15.925,5800,92365.0,,,,,,,,
2017-12-25,15.925,15.925,15.754,15.925,55510,883996.75,,,,,,,,
2017-12-26,15.925,15.925,15.754,15.925,63300,1008052.5,,,,,,,,
2017-12-27,15.697,15.868,15.697,15.868,7000,111076.0,,,,,,,,
2017-12-28,15.811,15.868,15.754,15.754,21000,330834.0,,,,,,,,
2017-12-29,15.754,15.811,15.697,15.811,70800,1119418.8,,,,,,,,
2018-01-02,15.925,16.209,15.925,15.925,77120,1228136.0,0.0,0.0,0.0,0.0,,16.5,0.0,0.0
2018-01-03,16.095,16.095,15.811,15.868,51700,820375.6,0.0,0.0,0.0,0.0,,16.5,0.0,0.0
2018-01-04,15.868,15.868,15.697,15.811,5900,93284.9,0.0,0.0,0.0,0.0,,16.5,0.0,0.0
2018-01-05,15.811,15.811,15.64,15.811,2400,37946.4,0.0,0.0,0.0,0.0,,16.5,0.0,0.0
2018-01-08,16.493,16.493,15.811,15.811,63600,1005579.6,0.0,0.0,0.0,0.0,,16.5,0.0,0.0
