time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2021-01-07,42.307,42.307,42.307,42.307,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-08,42.307,42.307,42.307,42.307,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-11,42.307,42.307,42.307,42.307,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-12,59.229,59.229,59.229,59.229,100,5922.9,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-13,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-14,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-15,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-18,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-19,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-20,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-21,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-22,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-25,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-26,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-27,59.229,59.229,59.229,59.229,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-28,50.345,50.345,50.345,50.345,100,5034.5,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-01-29,50.345,50.345,50.345,50.345,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-01,42.814,42.814,42.814,42.814,100,4281.4,0.0,100.0,0.0,10000.0,,13.3,0.0,0.01
2021-02-02,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-03,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-04,42.814,42.814,42.814,42.814,0,0.0,10.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-05,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-08,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-09,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-17,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-18,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-19,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-22,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-23,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-24,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-25,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-02-26,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-01,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-02,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-03,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-04,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-05,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-08,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-09,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-10,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-11,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-12,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-15,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-16,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-17,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-18,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-19,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-22,42.814,42.814,42.814,42.814,100,4281.4,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-23,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-24,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-25,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-26,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-29,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-30,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-03-31,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-01,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-02,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-05,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-06,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-07,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-08,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-09,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-12,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-13,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-14,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-15,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-16,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-19,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-20,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-22,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-23,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-26,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-27,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-28,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-04-29,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-04,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-05,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-06,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-07,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-10,42.814,42.814,42.814,42.814,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-11,59.906,59.906,59.906,59.906,100,5990.599999999999,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-12,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-13,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-14,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-17,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-18,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-19,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-20,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-21,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-24,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-25,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-26,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-27,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-28,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-05-31,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-01,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-02,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-03,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-04,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-07,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-08,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-09,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-10,59.906,59.906,59.906,59.906,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-11,68.875,68.875,68.875,68.875,100,6887.5,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-14,68.875,68.875,68.875,68.875,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-15,68.875,68.875,68.875,68.875,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-16,68.875,68.875,68.875,68.875,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-17,68.875,68.875,68.875,68.875,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-18,79.198,79.198,79.198,79.198,100,7919.799999999999,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-21,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-22,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-23,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-24,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-25,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-28,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-29,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-06-30,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-01,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-02,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-05,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-06,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-07,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-08,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-09,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-12,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-13,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-14,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-15,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-16,79.198,79.198,79.198,79.198,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-19,90.996,90.996,90.996,90.996,100,9099.6,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-20,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-21,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-22,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-23,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-26,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-27,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-28,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-29,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-07-30,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-08-02,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-08-03,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-08-04,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-08-05,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-08-06,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
2021-08-09,90.996,90.996,90.996,90.996,0,0.0,0.0,0.0,0.0,0.0,,13.3,0.0,0.0
