time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-10-17,39.54,39.54,39.54,39.54,132580,5242213.2,,,,,,,,
2006-10-18,37.56,37.56,37.56,37.56,76330,2866954.8000000003,,,,,,,,
2006-10-19,37.56,37.96,37.56,37.96,140620,5337935.2,,,,,,,,
2006-10-20,37.96,38.43,37.96,38.43,60500,2325015.0,,,,,,,,
2006-10-23,38.43,38.43,37.96,37.96,60620,2301135.2,,,,,,,,
2006-10-24,37.48,37.56,37.17,37.17,25990,966048.3,,,,,,,,
2006-10-25,37.17,37.17,36.38,36.38,28900,1051382.0,,,,,,,,
2006-10-26,35.59,35.59,35.59,35.59,87390,3110210.1,,,,,,,,
2006-10-27,35.9,35.9,35.59,35.59,11370,404658.3000000001,,,,,,,,
2006-10-30,35.59,35.59,34.8,35.19,41920,1475164.7999999998,,,,,,,,
2006-10-31,35.59,35.59,34.8,35.19,16800,591192.0,,,,,,,,
2006-11-01,35.19,35.19,35.11,35.11,19540,686049.4,,,,,,,,
2006-11-02,35.03,35.03,34.8,34.8,32970,1147356.0,,,,,,,,
2006-11-03,34.4,34.4,34.0,34.16,23800,813007.9999999999,,,,,,,,
2006-11-06,34.0,34.0,34.0,34.0,37690,1281460.0,,,,,,,,
2006-11-07,34.4,34.64,34.4,34.64,40400,1399456.0,,,,,,,,
2006-11-08,34.72,34.72,34.48,34.48,16740,577195.2,,,,,,,,
2006-11-09,34.08,34.48,34.08,34.48,23300,803383.9999999999,,,,,,,,
2006-11-10,34.0,34.24,34.0,34.24,18760,642342.4,,,,,,,,
2006-11-13,34.0,34.0,33.93,33.93,19200,651456.0,,,,,,,,
2006-11-14,33.21,34.0,33.21,34.0,68080,2314720.0,,,,,,,,
2006-11-15,35.67,35.67,34.8,34.8,79280,2758944.0,,,,,,,,
2006-11-16,34.8,34.8,34.4,34.8,17400,605520.0,,,,,,,,
