time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-04-19,4.85,4.85,4.85,4.85,764420,3707437.0,,,,,,,,
2010-04-20,5.1,5.1,5.1,5.1,50000,255000.0,,,,,,,,
2010-04-21,5.34,5.34,5.34,5.34,105760,564758.4,,,,,,,,
2010-04-22,5.6,5.6,5.26,5.26,273260,1437347.6,,,,,,,,
2010-04-26,5.0,5.0,5.0,5.0,68170,340850.0,,,,,,,,
2010-04-27,4.77,4.91,4.76,4.81,207120,996247.2,,,,,,,,
2010-04-28,4.72,4.99,4.72,4.72,168240,794092.7999999999,,,,,,,,
2010-04-29,4.92,4.92,4.72,4.89,174170,851691.2999999999,,,,,,,,
2010-05-04,5.11,5.11,4.85,4.97,285810,1420475.7,,,,,,,,
2010-05-05,4.77,4.97,4.73,4.97,1116140,5547215.8,,,,,,,,
2010-05-06,5.04,5.22,4.92,5.22,462570,2414615.4,,,,,,,,
2010-05-07,5.47,5.47,5.39,5.47,625780,3423016.6,,,,,,,,
2010-05-10,5.53,5.53,5.2,5.2,382950,1991340.0,,,,,,,,
2010-05-11,5.14,5.24,4.96,5.02,453640,2277272.8,,,,,,,,
2010-05-12,4.92,4.92,4.77,4.77,391360,1866787.2,,,,,,,,
2010-05-13,4.77,4.92,4.69,4.69,209770,983821.3,,,,,,,,
2010-05-14,4.65,4.72,4.65,4.69,137940,646938.6000000001,,,,,,,,
2010-05-17,4.72,4.79,4.47,4.51,114820,517838.2,,,,,,,,
2010-05-18,4.37,4.44,4.28,4.28,494880,2118086.4,,,,,,,,
2010-05-19,4.1,4.1,4.07,4.07,207430,844240.1000000001,,,,,,,,
2010-05-20,3.87,4.27,3.87,4.27,389210,1661926.6999999995,,,,,,,,
2010-05-21,4.06,4.16,4.06,4.06,197810,803108.6,,,,,,,,
2010-05-24,4.06,4.06,3.86,3.9,175320,683748.0,,,,,,,,
2010-05-25,3.9,3.94,3.76,3.8,104480,397024.0,,,,,,,,
2010-05-26,3.93,3.99,3.87,3.99,136690,545393.1,,,,,,,,
2010-05-27,4.11,4.11,3.89,4.09,163030,666792.7,,,,,,,,
2010-05-28,4.23,4.28,4.21,4.28,233150,997882.0,,,,,,,,
2010-05-31,4.13,4.28,4.07,4.09,123800,506342.0,,,,,,,,
2010-06-01,3.97,4.11,3.97,4.11,127200,522792.00000000006,,,,,,,,
2010-06-02,4.0,4.16,3.94,4.16,143970,598915.2000000001,,,,,,,,
2010-06-03,4.28,4.28,4.06,4.14,373470,1546165.7999999998,,,,,,,,
2010-06-04,4.14,4.14,4.06,4.07,79800,324786.0,,,,,,,,
2010-06-07,3.89,3.94,3.87,3.87,243660,942964.2,,,,,,,,
2010-06-08,3.87,3.87,3.8,3.86,88120,340143.2,,,,,,,,
2010-06-09,3.92,3.94,3.75,3.75,110560,414600.0,,,,,,,,
2010-06-10,3.86,3.93,3.8,3.9,165720,646308.0,,,,,,,,
2010-06-11,4.0,4.0,3.89,3.89,89000,346210.0,,,,,,,,
2010-06-14,3.94,4.02,3.89,3.99,145650,581143.5,,,,,,,,
2010-06-15,4.0,4.03,3.96,4.0,201710,806840.0,,,,,,,,
2010-06-16,4.13,4.2,4.02,4.2,297320,1248744.0,,,,,,,,
2010-06-17,4.33,4.4,4.24,4.4,488420,2149048.0,,,,,,,,
2010-06-18,4.4,4.47,4.21,4.27,308170,1315885.9,,,,,,,,
2010-06-21,4.3,4.37,4.27,4.37,198340,866745.8,,,,,,,,
2010-06-22,4.3,4.35,4.16,4.18,161880,676658.3999999999,,,,,,,,
2010-06-23,4.09,4.35,4.06,4.25,294000,1249500.0,,,,,,,,
2010-06-24,4.25,4.3,4.23,4.23,180830,764910.9,,,,,,,,
2010-06-25,4.14,4.3,4.09,4.14,218050,902727.0,,,,,,,,
2010-06-28,4.1,4.21,4.1,4.16,32780,136364.80000000002,,,,,,,,
2010-06-29,4.23,4.23,4.06,4.06,80120,325287.19999999995,,,,,,,,
2010-06-30,3.92,4.04,3.92,3.94,199370,785517.8,,,,,,,,
2010-07-01,3.94,3.96,3.87,3.93,87590,344228.7,,,,,,,,
2010-07-02,3.93,4.07,3.93,4.03,111260,448377.8000000001,,,,,,,,
2010-07-05,4.13,4.14,4.09,4.09,101540,415298.6,,,,,,,,
2010-07-06,4.09,4.09,3.94,3.94,104400,411336.0,,,,,,,,
2010-07-07,3.94,3.97,3.93,3.94,66470,261891.8,,,,,,,,
2010-07-08,4.02,4.02,3.93,3.93,38620,151776.6,,,,,,,,
2010-07-09,3.94,3.97,3.94,3.94,48580,191405.2,,,,,,,,
2010-07-12,3.94,3.94,3.93,3.93,37410,147021.30000000002,,,,,,,,
2010-07-13,4.07,4.07,3.94,4.06,115080,467224.79999999993,,,,,,,,
2010-07-14,4.06,4.11,4.0,4.0,99220,396880.0,,,,,,,,
2010-07-15,4.0,4.0,3.94,3.96,42580,168616.8,,,,,,,,
2010-07-16,3.93,3.96,3.93,3.93,32520,127803.6,,,,,,,,
2010-07-19,3.87,3.93,3.87,3.92,89520,350918.4,,,,,,,,
2010-07-20,3.92,3.94,3.9,3.92,75040,294156.8,,,,,,,,
2010-07-21,3.92,3.92,3.89,3.89,51180,199090.2,,,,,,,,
2010-07-22,3.93,3.93,3.87,3.87,45420,175775.4,,,,,,,,
2010-07-23,3.93,3.93,3.82,3.82,82600,315532.0,,,,,,,,
2010-07-26,3.87,3.87,3.8,3.82,96320,367942.4,,,,,,,,
2010-07-27,3.82,3.86,3.8,3.8,52660,200108.0,,,,,,,,
2010-07-28,3.8,3.8,3.69,3.69,35520,131068.8,,,,,,,,
2010-07-29,3.69,3.76,3.62,3.76,30890,116146.4,,,,,,,,
2010-07-30,3.69,3.83,3.68,3.68,108440,399059.2,,,,,,,,
2010-08-02,3.76,3.76,3.68,3.68,35220,129609.6,,,,,,,,
2010-08-03,3.73,3.73,3.49,3.55,249700,886435.0,,,,,,,,
2010-08-04,3.52,3.52,3.45,3.47,51750,179572.5,,,,,,,,
2010-08-05,3.51,3.51,3.41,3.41,52380,178615.80000000002,,,,,,,,
2010-08-06,3.47,3.47,3.34,3.34,199750,667165.0,,,,,,,,
2010-08-09,3.34,3.34,3.18,3.18,129840,412891.2,,,,,,,,
2010-08-10,3.07,3.1,3.03,3.03,130000,393900.0,,,,,,,,
2010-08-11,3.03,3.09,2.96,2.97,72740,216037.8,,,,,,,,
2010-08-12,2.85,2.86,2.83,2.83,268160,758892.8,,,,,,,,
2010-08-13,2.71,2.83,2.69,2.71,144340,391161.4,,,,,,,,
2010-08-16,2.76,2.83,2.72,2.83,104660,296187.8,,,,,,,,
2010-08-17,2.82,2.82,2.75,2.78,59580,165632.4,,,,,,,,
2010-08-18,2.8,2.8,2.65,2.68,116480,312166.4,,,,,,,,
2010-08-19,2.68,2.68,2.55,2.62,633620,1660084.4,,,,,,,,
2010-08-20,2.62,2.62,2.54,2.62,62610,164038.2,,,,,,,,
2010-08-23,2.61,2.61,2.54,2.54,78390,199110.6,,,,,,,,
2010-08-24,2.41,2.47,2.41,2.41,151070,364078.7,,,,,,,,
2010-08-25,2.34,2.34,2.3,2.3,97210,223583.0,,,,,,,,
2010-08-26,2.27,2.32,2.2,2.25,325630,732667.5,,,,,,,,
2010-08-27,2.17,2.25,2.16,2.21,91820,202922.2,,,,,,,,
2010-08-30,2.31,2.31,2.28,2.31,156300,361053.0,,,,,,,,
2010-08-31,2.4,2.42,2.38,2.42,213580,516863.6,,,,,,,,
2010-09-01,2.54,2.54,2.51,2.54,391970,995603.8,,,,,,,,
2010-09-06,2.66,2.66,2.66,2.66,17010,45246.600000000006,,,,,,,,
2010-09-07,2.79,2.79,2.79,2.79,39990,111572.1,,,,,,,,
2010-09-08,2.89,2.92,2.72,2.92,980120,2861950.4,,,,,,,,
2010-09-09,2.99,3.03,2.83,2.96,386740,1144750.4,,,,,,,,
2010-09-10,2.9,2.97,2.82,2.82,203170,572939.4,,,,,,,,
2010-09-13,2.72,2.83,2.68,2.68,252850,677638.0,,,,,,,,
2010-09-14,2.68,2.69,2.58,2.68,120850,323878.0,,,,,,,,
2010-09-15,2.72,2.72,2.56,2.61,110470,288326.7,,,,,,,,
2010-09-16,2.55,2.61,2.54,2.56,109590,280550.4,,,,,,,,
2010-09-17,2.68,2.69,2.68,2.69,101220,272281.8,,,,,,,,
2010-09-20,2.82,2.82,2.71,2.82,291480,821973.6,,,,,,,,
2010-09-21,2.86,2.96,2.82,2.92,787320,2298974.4,,,,,,,,
2010-09-22,2.86,2.94,2.86,2.9,157500,456750.0,,,,,,,,
2010-09-23,2.82,2.89,2.78,2.82,191100,538902.0,,,,,,,,
2010-09-24,2.82,2.86,2.79,2.86,92420,264321.2,,,,,,,,
2010-09-27,2.85,2.92,2.8,2.82,195020,549956.4,,,,,,,,
2010-09-28,2.9,2.94,2.79,2.79,168340,469668.6,,,,,,,,
2010-09-29,2.69,2.82,2.69,2.69,104810,281938.9,,,,,,,,
2010-09-30,2.82,2.82,2.82,2.82,183740,518146.8,,,,,,,,
2010-10-01,2.96,2.96,2.92,2.92,983320,2871294.4,,,,,,,,
2010-10-04,2.86,2.92,2.78,2.78,216360,601480.7999999999,,,,,,,,
2010-10-05,2.66,2.75,2.65,2.75,169050,464887.5,,,,,,,,
2010-10-06,2.8,2.87,2.75,2.85,174050,496042.5,,,,,,,,
2010-10-07,2.86,2.94,2.82,2.82,153320,432362.4,,,,,,,,
2010-10-08,2.76,2.82,2.75,2.76,134720,371827.2,,,,,,,,
2010-10-11,2.76,2.78,2.71,2.72,46030,125201.6,,,,,,,,
2010-10-12,2.69,2.72,2.62,2.72,185070,503390.4,,,,,,,,
2010-10-13,2.63,2.79,2.63,2.72,101550,276216.0,,,,,,,,
2010-10-14,2.73,2.75,2.69,2.71,63470,172003.7,,,,,,,,
2010-10-15,2.71,2.72,2.66,2.72,88420,240502.4,,,,,,,,
2010-10-18,2.76,2.76,2.72,2.72,155850,423912.00000000006,,,,,,,,
2010-10-19,2.68,2.73,2.61,2.62,129210,338530.2,,,,,,,,
2010-10-20,2.61,2.63,2.49,2.61,306660,800382.6,,,,,,,,
2010-10-21,2.56,2.66,2.56,2.58,147670,380988.6,,,,,,,,
2010-10-22,2.45,2.59,2.45,2.45,71210,174464.5,,,,,,,,
2010-10-25,2.45,2.45,2.38,2.44,78510,191564.4,,,,,,,,
2010-10-26,2.44,2.55,2.44,2.55,96730,246661.5,,,,,,,,
2010-10-27,2.63,2.63,2.47,2.47,27550,68048.5,,,,,,,,
2010-10-28,2.4,2.47,2.4,2.4,55320,132768.0,,,,,,,,
2010-10-29,2.35,2.42,2.35,2.35,49440,116184.0,,,,,,,,
