time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-11-15,8.6,8.6,8.6,8.6,10900,93740.0,,,,,,,,
2006-11-16,8.92,9.0,8.92,9.0,13190,118710.0,,,,,,,,
2006-11-17,9.39,9.39,9.39,9.39,53180,499360.2,,,,,,,,
2006-11-20,9.79,9.79,9.79,9.79,123400,1208086.0,,,,,,,,
2006-11-21,10.27,10.27,10.27,10.27,84500,867815.0,,,,,,,,
2006-11-22,10.75,10.75,10.75,10.75,189800,2040350.0,,,,,,,,
2006-11-23,11.23,11.23,11.23,11.23,199700,2242631.0,,,,,,,,
2006-11-24,11.78,11.78,11.78,11.78,183690,2163868.2,,,,,,,,
2006-11-27,12.34,12.34,12.26,12.34,238520,2943336.8,,,,,,,,
2006-11-28,12.9,12.9,12.9,12.9,179400,2314260.0,,,,,,,,
2006-11-29,13.53,13.53,12.98,12.98,190030,2466589.4,,,,,,,,
2006-11-30,12.34,12.98,12.34,12.9,117530,1516137.0,,,,,,,,
2006-12-01,12.9,12.9,12.74,12.9,183130,2362377.0,,,,,,,,
2006-12-04,13.06,13.06,12.74,12.9,87600,1130040.0,,,,,,,,
2006-12-05,12.66,12.9,12.58,12.9,207520,2677008.0,,,,,,,,
2006-12-06,12.9,13.22,12.9,13.22,296750,3923035.0,,,,,,,,
2006-12-07,13.85,13.85,13.85,13.85,352160,4877416.0,,,,,,,,
2006-12-08,14.49,14.49,14.49,14.49,29700,430353.0,,,,,,,,
2006-12-11,15.21,15.21,15.13,15.13,436210,6599857.300000001,,,,,,,,
2006-12-12,15.76,15.76,15.44,15.44,291540,4501377.6,,,,,,,,
2006-12-13,15.76,15.76,15.44,15.44,328550,5072812.0,,,,,,,,
2006-12-14,15.76,15.76,15.44,15.6,422960,6598176.0,,,,,,,,
2006-12-15,15.76,15.76,15.6,15.76,490610,7732013.6,,,,,,,,
2006-12-18,15.76,15.76,15.05,15.13,318460,4818299.8,,,,,,,,
