time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,5.099,5.285,5.036,5.285,1091670,5769475.95,,,,,,,,
2013-01-03,5.223,5.223,5.036,5.036,876010,4411586.359999999,,,,,,,,
2013-01-04,4.912,5.161,4.85,5.036,866740,4364902.64,,,,,,,,
2013-01-07,5.036,5.099,4.912,4.912,743350,3651335.2,,,,,,,,
2013-01-08,4.85,5.036,4.85,4.912,460560,2262270.72,,,,,,,,
2013-01-09,4.974,5.099,4.788,4.85,1142550,5541367.5,,,,,,,,
2013-01-10,4.85,4.974,4.788,4.974,442220,2199602.2800000003,,,,,,,,
2013-01-11,5.099,5.099,4.912,4.974,704160,3502491.8400000003,,,,,,,,
2013-01-14,4.974,4.974,4.788,4.974,533080,2651539.92,,,,,,,,
2013-01-15,4.912,5.223,4.912,5.161,723490,3733931.89,,,,,,,,
2013-01-16,5.223,5.472,5.223,5.472,1941190,10622191.680000002,,,,,,,,
2013-01-17,5.596,5.658,5.223,5.223,998960,5217568.08,,,,,,,,
2013-01-18,5.223,5.285,5.036,5.161,556970,2874522.17,,,,,,,,
2013-01-21,5.223,5.223,4.974,4.974,598570,2977287.18,,,,,,,,
2013-01-22,4.912,5.036,4.726,4.788,427320,2046008.16,,,,,,,,
2013-01-23,4.788,4.912,4.663,4.663,329350,1535759.05,,,,,,,,
2013-01-24,4.663,4.85,4.663,4.788,284200,1360749.6,,,,,,,,
2013-01-25,4.912,5.099,4.912,5.036,773770,3896705.72,,,,,,,,
2013-01-28,5.099,5.285,4.974,5.036,684680,3448048.4799999995,,,,,,,,
2013-01-29,5.161,5.223,4.974,5.099,626820,3196155.18,,,,,,,,
2013-01-30,5.099,5.347,5.036,5.285,844570,4463552.45,,,,,,,,
2013-01-31,5.223,5.285,5.099,5.099,384180,1958933.82,,,,,,,,
2013-02-01,5.099,5.099,4.974,5.099,308550,1573296.45,,,,,,,,
2013-02-04,5.099,5.161,5.036,5.036,364130,1833758.68,,,,,,,,
2013-02-05,4.974,5.099,4.974,4.974,258670,1286624.58,,,,,,,,
2013-02-06,5.161,5.285,5.161,5.285,356110,1882041.35,,,,,,,,
2013-02-07,5.596,5.596,5.596,5.596,1313690,7351409.24,,,,,,,,
2013-02-08,5.907,5.969,5.845,5.969,1462510,8729722.190000001,,,,,,,,
2013-02-18,6.218,6.342,6.156,6.342,2189250,13884223.5,,,,,,,,
2013-02-19,6.342,6.777,6.342,6.591,2343530,15446206.23,,,,,,,,
2013-02-20,6.529,6.653,6.28,6.467,1307600,8456249.2,,,,,,,,
2013-02-21,6.467,6.84,6.031,6.031,2645340,15954045.54,,,,,,,,
2013-02-22,6.218,6.342,5.658,5.907,1844450,10895166.15,,,,,,,,
2013-02-25,5.907,6.28,5.907,6.28,1223530,7683768.4,,,,,,,,
2013-02-26,6.156,6.28,5.845,5.845,1442770,8432990.65,,,,,,,,
2013-02-27,5.845,5.907,5.534,5.783,1346200,7785074.600000001,,,,,,,,
2013-02-28,5.845,5.969,5.783,5.783,871300,5038727.9,,,,,,,,
2013-03-01,5.783,5.845,5.658,5.783,513320,2968529.56,,,,,,,,
2013-03-04,5.658,5.658,5.41,5.41,1811930,9802541.3,,,,,,,,
2013-03-05,5.41,5.41,5.036,5.099,766300,3907363.7,,,,,,,,
2013-03-06,5.223,5.285,5.099,5.223,345180,1802875.14,,,,,,,,
2013-03-07,5.223,5.285,4.974,5.036,349020,1757664.72,,,,,,,,
2013-03-08,5.099,5.285,5.099,5.161,302960,1563576.5599999998,,,,,,,,
2013-03-11,5.223,5.472,5.161,5.472,807630,4419351.36,,,,,,,,
2013-03-12,5.596,5.783,5.41,5.596,1039790,5818664.84,,,,,,,,
2013-03-13,5.658,5.783,5.472,5.534,480820,2660857.88,,,,,,,,
2013-03-14,5.534,5.845,5.472,5.658,707330,4002073.14,,,,,,,,
2013-03-15,5.72,5.845,5.658,5.72,565570,3235060.4,,,,,,,,
2013-03-18,5.72,5.783,5.596,5.658,319200,1806033.6,,,,,,,,
2013-03-19,5.534,5.596,5.472,5.534,287740,1592353.16,,,,,,,,
2013-03-20,5.534,5.72,5.534,5.596,278230,1556975.08,,,,,,,,
2013-03-21,5.658,5.72,5.534,5.534,485780,2688306.52,,,,,,,,
2013-03-22,5.472,5.596,5.285,5.347,257330,1375943.51,,,,,,,,
2013-03-25,5.285,5.41,5.161,5.347,356070,1903906.29,,,,,,,,
2013-03-26,5.347,5.41,5.285,5.285,211810,1119415.85,,,,,,,,
2013-03-27,5.285,5.285,5.161,5.223,254970,1331708.31,,,,,,,,
2013-03-28,5.223,5.285,5.099,5.099,140220,714981.78,,,,,,,,
2013-03-29,5.036,5.285,4.912,5.223,413660,2160546.18,,,,,,,,
2013-04-01,5.099,5.41,5.099,5.285,393610,2080228.85,,,,,,,,
2013-04-02,5.41,5.472,5.223,5.347,665810,3560086.0700000003,,,,,,,,
2013-04-03,5.347,5.41,5.285,5.285,461580,2439450.3000000003,,,,,,,,
2013-04-04,5.223,5.347,5.223,5.223,373300,1949745.9,,,,,,,,
2013-04-05,5.285,5.285,5.161,5.285,199030,1051873.55,,,,,,,,
2013-04-08,5.285,5.285,5.161,5.161,154850,799180.85,,,,,,,,
2013-04-09,5.223,5.41,5.223,5.223,306020,1598342.46,,,,,,,,
2013-04-10,5.285,5.534,5.223,5.223,878690,4589397.87,,,,,,,,
2013-04-11,5.347,5.347,5.223,5.223,269960,1410001.08,,,,,,,,
2013-04-12,5.285,5.285,4.974,5.161,506860,2615904.46,,,,,,,,
2013-04-15,5.099,5.099,4.912,4.912,509470,2502516.64,,,,,,,,
2013-04-16,4.788,4.912,4.726,4.912,281650,1383464.8,,,,,,,,
2013-04-17,4.974,5.036,4.85,4.912,152700,750062.4,,,,,,,,
2013-04-18,4.912,4.912,4.663,4.726,487250,2302743.5,,,,,,,,
2013-04-22,4.663,4.663,4.477,4.477,362390,1622420.03,,,,,,,,
2013-04-23,4.539,4.601,4.415,4.539,302840,1374590.76,,,,,,,,
2013-04-24,4.539,4.539,4.415,4.477,197260,883133.02,,,,,,,,
2013-04-25,4.539,4.663,4.539,4.539,422830,1919225.37,,,,,,,,
2013-04-26,4.601,4.601,4.477,4.477,239880,1073942.76,,,,,,,,
2013-05-02,4.477,4.539,4.415,4.415,64070,282869.05,,,,,,,,
2013-05-03,4.415,4.601,4.415,4.601,358460,1649274.46,,,,,,,,
2013-05-06,4.726,4.912,4.726,4.912,630950,3099226.4,,,,,,,,
2013-05-07,4.912,5.036,4.788,4.85,502660,2437901.0,,,,,,,,
2013-05-08,4.85,4.912,4.663,4.663,259690,1210934.47,,,,,,,,
