time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-06-29,7.146,7.146,5.207,5.819,237900,1384340.1,,,,,,,,
2017-06-30,5.87,5.921,5.207,5.921,164000,971044.0,,,,,,,,
2017-07-03,5.921,6.126,5.921,6.126,44700,273832.2,,,,,,,,
2017-07-04,6.074,6.126,5.615,5.972,49900,298002.80000000005,,,,,,,,
2017-07-05,5.972,5.972,5.105,5.564,98347,547202.708,,,,,,,,
2017-07-06,5.258,5.717,4.9,5.717,84913,485447.621,,,,,,,,
2017-07-07,5.615,5.768,5.411,5.768,47200,272249.6,,,,,,,,
2017-07-10,5.666,5.717,5.564,5.666,53000,300298.0,,,,,,,,
2017-07-11,5.564,5.615,5.513,5.564,43903,244276.292,,,,,,,,
2017-07-12,5.36,5.513,5.309,5.513,42000,231546.0,,,,,,,,
2017-07-13,5.36,5.513,5.36,5.513,62029,341965.877,,,,,,,,
2017-07-14,5.513,5.564,5.36,5.564,90800,505211.2,,,,,,,,
2017-07-17,5.513,5.615,5.105,5.564,105200,585332.8,,,,,,,,
2017-07-18,5.36,5.462,5.207,5.411,219510,1187768.61,,,,,,,,
2017-07-19,5.258,5.411,5.258,5.36,137730,738232.8,,,,,,,,
2017-07-20,5.309,5.36,5.258,5.36,23220,124459.2,,,,,,,,
2017-07-21,5.258,5.309,5.258,5.258,11500,60467.0,,,,,,,,
2017-07-24,5.258,5.411,5.207,5.207,151100,786777.7,,,,,,,,
2017-07-25,5.258,5.36,5.258,5.258,32582,171316.156,,,,,,,,
2017-07-26,5.309,5.309,5.258,5.309,2630,13962.67,,,,,,,,
2017-07-27,5.309,5.309,5.207,5.207,43160,224734.12,,,,,,,,
2017-07-28,5.207,5.207,5.207,5.207,21320,111013.24,,,,,,,,
2017-07-31,5.207,5.207,5.002,5.207,95900,499351.3,,,,,,,,
2017-08-01,5.105,5.105,5.002,5.105,48500,247592.50000000003,,,,,,,,
2017-08-02,5.054,5.156,4.951,5.156,136600,704309.6,,,,,,,,
2017-08-03,5.054,5.105,5.054,5.105,25900,132219.5,,,,,,,,
2017-08-04,5.002,5.054,5.002,5.054,4700,23753.800000000003,,,,,,,,
2017-08-07,4.9,5.054,4.849,5.054,49900,252194.6,,,,,,,,
2017-08-08,4.849,4.9,4.849,4.9,56653,277599.7,,,,,,,,
2017-08-09,4.849,4.9,4.798,4.9,65000,318500.0,,,,,,,,
2017-08-10,4.9,4.9,4.849,4.9,27300,133770.0,,,,,,,,
2017-08-11,4.9,5.054,4.9,5.054,39400,199127.6,,,,,,,,
2017-08-14,5.156,5.156,4.9,5.054,57450,290352.3,,,,,,,,
2017-08-15,5.002,5.002,4.849,5.002,27600,138055.19999999998,,,,,,,,
2017-08-16,4.951,4.951,4.9,4.9,1800,8820.0,,,,,,,,
2017-08-17,4.951,4.951,4.849,4.951,33600,166353.59999999998,,,,,,,,
2017-08-18,4.951,4.951,4.9,4.951,3710,18368.21,,,,,,,,
2017-08-21,4.798,4.9,4.747,4.9,22500,110250.0,,,,,,,,
2017-08-22,4.747,4.798,4.696,4.798,24300,116591.4,,,,,,,,
2017-08-23,4.849,4.849,4.747,4.849,9900,48005.1,,,,,,,,
2017-08-24,4.849,4.849,4.747,4.849,13040,63230.96,,,,,,,,
2017-08-25,4.849,4.849,4.747,4.849,13213,64069.837,,,,,,,,
2017-08-28,4.849,4.849,4.747,4.798,28500,136743.0,,,,,,,,
2017-08-29,4.747,4.747,4.696,4.747,4400,20886.8,,,,,,,,
2017-08-30,4.645,4.645,4.645,4.645,2020,9382.9,,,,,,,,
2017-08-31,4.645,4.951,4.441,4.951,103537,512611.687,,,,,,,,
2017-09-01,4.849,4.849,4.645,4.747,26744,126953.768,,,,,,,,
2017-09-05,4.696,4.696,4.696,4.696,1500,7044.0,,,,,,,,
2017-09-06,4.645,4.645,4.543,4.594,4985,22901.09,,,,,,,,
2017-09-07,4.492,4.645,4.492,4.645,16704,77590.07999999999,,,,,,,,
2017-09-08,4.594,4.594,4.594,4.594,2227,10230.838000000002,,,,,,,,
2017-09-11,4.594,4.594,4.594,4.594,2210,10152.74,,,,,,,,
2017-09-12,4.594,4.594,4.492,4.594,19103,87759.182,,,,,,,,
2017-09-13,4.594,4.594,4.543,4.594,3600,16538.4,,,,,,,,
2017-09-14,4.543,4.594,4.543,4.594,11000,50534.0,,,,,,,,
2017-09-15,4.543,4.543,4.543,4.543,4500,20443.5,,,,,,,,
2017-09-18,4.594,4.594,4.339,4.594,10347,47534.118,,,,,,,,
2017-09-19,4.543,4.543,4.441,4.492,4600,20663.2,,,,,,,,
2017-09-20,4.594,4.594,4.441,4.543,3600,16354.8,,,,,,,,
2017-09-21,4.543,4.543,4.084,4.084,18110,73961.23999999999,,,,,,,,
2017-09-22,4.441,4.747,4.39,4.594,27100,124497.4,,,,,,,,
2017-09-25,4.594,4.594,4.492,4.492,3200,14374.4,,,,,,,,
2017-09-26,4.492,4.492,4.288,4.441,8900,39524.9,,,,,,,,
2017-09-27,4.543,4.543,4.39,4.441,6200,27534.2,,,,,,,,
2017-09-28,4.441,4.441,4.39,4.39,3100,13608.999999999998,,,,,,,,
2017-09-29,4.135,4.747,4.084,4.543,32800,149010.4,,,,,,,,
2017-10-02,4.543,4.594,4.339,4.543,7500,34072.5,,,,,,,,
2017-10-03,4.492,4.543,4.441,4.543,15300,69507.90000000001,,,,,,,,
2017-10-04,4.594,4.594,4.339,4.543,5500,24986.5,,,,,,,,
2017-10-05,4.441,4.492,4.39,4.492,12108,54389.136,,,,,,,,
