time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-12-08,11.521,11.521,11.521,11.521,36200,417060.2,,,,,,,,
2017-12-11,13.199,13.199,13.199,13.199,13600,179506.4,,,,,,,,
2017-12-12,15.167,15.167,15.167,15.167,200,3033.4,,,,,,,,
2017-12-13,17.428,17.428,15.313,15.386,8600,132319.6,,,,,,,,
2017-12-14,16.042,16.042,15.532,15.532,14700,228320.4,,,,,,,,
2017-12-15,13.417,15.969,13.417,15.824,56300,890891.2,,,,,,,,
2017-12-18,16.188,16.772,16.115,16.334,42900,700728.6,,,,,,,,
2017-12-19,16.407,16.626,16.407,16.48,35500,585040.0,,,,,,,,
2017-12-20,16.626,16.626,16.042,16.188,36200,586005.6,,,,,,,,
2017-12-21,16.261,16.699,16.115,16.261,35300,574013.2999999999,,,,,,,,
2017-12-22,16.042,16.772,15.313,16.772,21800,365629.6,,,,,,,,
2017-12-25,16.626,16.917,16.553,16.772,33500,561862.0,,,,,,,,
2017-12-26,16.042,17.501,16.042,17.136,21800,373564.8,,,,,,,,
2017-12-27,17.209,19.105,17.209,17.647,41900,739409.2999999999,,,,,,,,
2017-12-28,17.865,18.303,17.865,18.23,36500,665395.0,,,,,,,,
2017-12-29,18.303,18.595,18.303,18.376,30300,556792.8,,,,,,,,
2018-01-02,18.376,18.376,17.647,17.647,35100,619409.7,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-03,17.792,18.157,17.647,17.938,36000,645768.0,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-04,18.011,18.376,17.938,18.23,31900,581537.0,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-05,18.376,18.376,17.574,17.647,34200,603527.3999999999,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-08,17.136,18.23,16.917,16.99,42000,713579.9999999999,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-09,16.917,17.209,16.772,16.772,41900,702746.7999999999,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-10,16.772,17.428,16.772,16.845,40300,678853.5,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-11,16.917,16.917,16.407,16.48,35000,576800.0,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-12,16.553,17.136,16.407,16.699,33100,552736.9,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-15,16.626,16.626,16.042,16.042,47400,760390.8,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-16,17.136,17.136,15.969,15.969,58700,937380.3,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-17,16.115,16.188,15.824,15.824,63600,1006406.4,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-18,16.772,16.772,14.657,14.657,63900,936582.3,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
2018-01-19,14.803,16.553,14.584,14.584,58900,858997.6,0.0,0.0,0.0,0.0,,0.22,0.0,0.0
