time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,7.0,7.1,6.8,7.1,24790,176009.0,,,,,,,,
2013-01-03,7.3,7.3,6.8,6.8,31820,216376.0,,,,,,,,
2013-01-04,6.5,6.8,6.5,6.5,26950,175175.0,,,,,,,,
2013-01-07,6.5,6.8,6.5,6.8,48960,332928.0,,,,,,,,
2013-01-08,6.5,6.9,6.5,6.9,8940,61686.0,,,,,,,,
2013-01-09,6.8,7.0,6.6,6.6,19850,131010.0,,,,,,,,
2013-01-10,6.4,6.6,6.3,6.6,14470,95502.0,,,,,,,,
2013-01-11,6.6,6.6,6.4,6.4,30870,197568.0,,,,,,,,
2013-01-14,6.1,6.6,6.1,6.6,40140,264924.0,,,,,,,,
2013-01-15,6.4,6.8,6.4,6.8,7430,50524.0,,,,,,,,
2013-01-16,7.0,7.0,6.7,6.9,28730,198237.0,,,,,,,,
2013-01-17,7.1,7.1,6.6,6.7,25600,171520.0,,,,,,,,
2013-01-18,6.5,6.7,6.4,6.7,12070,80869.0,,,,,,,,
2013-01-21,6.6,6.9,6.5,6.9,22320,154008.0,,,,,,,,
2013-01-22,6.8,6.8,6.6,6.7,40110,268737.0,,,,,,,,
2013-01-23,6.6,6.6,6.3,6.3,60810,383103.0,,,,,,,,
2013-01-24,6.0,6.5,6.0,6.3,13680,86184.0,,,,,,,,
2013-01-25,6.3,6.4,6.3,6.3,23610,148743.0,,,,,,,,
2013-01-28,6.2,6.3,6.0,6.1,21820,133102.0,,,,,,,,
2013-01-29,6.5,6.5,6.2,6.2,28710,178002.0,,,,,,,,
2013-01-30,6.4,6.6,6.4,6.6,25610,169026.0,,,,,,,,
2013-01-31,7.0,7.0,7.0,7.0,18660,130620.0,,,,,,,,
2013-02-01,7.4,7.4,7.1,7.4,58320,431568.0,,,,,,,,
2013-02-04,7.9,7.9,7.8,7.9,51070,403453.0,,,,,,,,
2013-02-05,8.0,8.0,7.6,7.7,9960,76692.0,,,,,,,,
