time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2015-01-14,5.041,5.041,4.481,4.481,1300,5825.3,,,,,
2015-01-15,4.593,4.593,4.593,4.593,200,918.6,,,,,
2015-01-16,4.649,4.649,4.649,4.649,500,2324.5,,,,,
2015-01-19,4.761,5.097,4.761,5.097,1500,7645.500000000001,,,,,
2015-01-20,4.985,4.985,4.985,4.985,0,0.0,,,,,
2015-01-21,4.985,4.985,4.985,4.985,0,0.0,,,,,
2015-01-22,4.487,4.487,4.487,4.487,100,448.7,,,,,
2015-01-23,4.923,4.923,4.923,4.923,100,492.3,,,,,
2015-01-26,4.923,4.923,4.923,4.923,0,0.0,,,,,
2015-01-27,4.923,4.923,4.923,4.923,0,0.0,,,,,
2015-01-28,5.359,5.359,5.359,5.359,200,1071.8,,,,,
2015-01-29,5.608,5.608,5.608,5.608,500,2804.0,,,,,
2015-01-30,5.11,5.11,5.11,5.11,100,511.00000000000006,,,,,
2015-02-02,5.11,5.11,5.11,5.11,0,0.0,,,,,
2015-02-03,4.798,4.985,4.798,4.798,100,479.8,,,,,
2015-02-04,4.798,4.798,4.798,4.798,0,0.0,,,,,
2015-02-05,4.798,4.798,4.798,4.798,0,0.0,,,,,
2015-02-06,4.798,4.798,4.798,4.798,0,0.0,,,,,
2015-02-09,4.798,4.798,4.798,4.798,0,0.0,,,,,
2015-02-10,4.673,4.673,4.673,4.673,600,2803.8,,,,,
2015-02-11,4.985,4.985,4.985,4.985,200,997.0,,,,,
2015-02-12,4.985,4.985,4.985,4.985,0,0.0,,,,,
2015-02-13,4.985,4.985,4.985,4.985,0,0.0,,,,,
2015-02-24,4.736,4.736,4.736,4.736,100,473.6,,,,,
2015-02-25,4.736,4.736,4.736,4.736,0,0.0,,,,,
2015-02-26,4.985,4.985,4.985,4.985,200,997.0,,,,,
2015-02-27,4.985,4.985,4.985,4.985,300,1495.5,,,,,
2015-03-02,4.985,4.985,4.985,4.985,0,0.0,,,,,
2015-03-03,4.985,4.985,4.985,4.985,0,0.0,,,,,
2015-03-04,4.985,4.985,4.985,4.985,500,2492.5,,,,,
2015-03-05,5.11,5.11,5.11,5.11,1000,5110.0,,,,,
