time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,4.971,5.04,4.971,5.04,4900,24696.0,,,,,,,,
2013-01-03,5.04,5.04,5.04,5.04,0,0.0,,,,,,,,
2013-01-04,5.04,5.04,4.971,4.971,3400,16901.4,,,,,,,,
2013-01-07,5.04,5.04,5.04,5.04,2600,13104.0,,,,,,,,
2013-01-08,5.04,5.04,4.971,4.971,4900,24357.9,,,,,,,,
2013-01-09,5.04,5.04,4.971,4.971,2700,13421.7,,,,,,,,
2013-01-10,4.902,5.04,4.902,5.04,1100,5544.0,,,,,,,,
2013-01-11,5.108,5.108,5.108,5.108,500,2554.0,,,,,,,,
2013-01-14,5.177,5.177,5.04,5.04,200,1008.0,,,,,,,,
2013-01-15,4.902,5.177,4.832,5.177,4500,23296.5,,,,,,,,
2013-01-16,5.177,5.177,5.177,5.177,500,2588.5,,,,,,,,
2013-01-17,5.04,5.247,4.763,5.247,10600,55618.2,,,,,,,,
2013-01-18,4.971,5.177,4.971,5.177,1100,5694.7,,,,,,,,
2013-01-21,5.177,5.177,5.177,5.177,0,0.0,,,,,,,,
2013-01-22,4.971,4.971,4.971,4.971,2100,10439.1,,,,,,,,
2013-01-23,5.108,5.108,5.108,5.108,100,510.8,,,,,,,,
2013-01-24,5.108,5.108,5.108,5.108,0,0.0,,,,,,,,
2013-01-25,5.108,5.177,5.04,5.177,9600,49699.2,,,,,,,,
2013-01-28,5.177,5.177,5.108,5.108,4000,20432.0,,,,,,,,
2013-01-29,5.177,5.177,5.177,5.177,300,1553.1,,,,,,,,
2013-01-30,5.108,5.177,5.108,5.177,1500,7765.499999999999,,,,,,,,
2013-01-31,5.108,5.108,5.04,5.108,2000,10216.0,,,,,,,,
2013-02-01,4.971,5.177,4.902,5.177,4200,21743.4,,,,,,,,
2013-02-04,5.04,5.177,4.971,5.177,3100,16048.7,,,,,,,,
2013-02-05,5.04,5.177,4.902,5.177,4000,20708.0,,,,,,,,
2013-02-06,5.177,5.177,5.177,5.177,100,517.6999999999999,,,,,,,,
2013-02-07,5.177,5.661,5.177,5.661,30200,170962.19999999998,,,,,,,,
2013-02-08,5.799,6.076,5.799,6.076,300,1822.8,,,,,,,,
2013-02-18,5.523,5.938,5.523,5.938,600,3562.8,,,,,,,,
2013-02-19,5.661,5.661,5.661,5.661,1200,6793.2,,,,,,,,
2013-02-20,5.731,6.076,5.731,6.076,2100,12759.6,,,,,,,,
2013-02-21,5.731,6.076,5.661,6.076,7000,42532.0,,,,,,,,
2013-02-22,6.076,6.076,6.076,6.076,0,0.0,,,,,,,,
2013-02-25,6.076,6.076,6.076,6.076,0,0.0,,,,,,,,
2013-02-26,5.661,5.731,5.593,5.593,2000,11186.0,,,,,,,,
2013-02-27,5.938,5.938,5.938,5.938,100,593.8,,,,,,,,
2013-02-28,5.523,5.868,5.523,5.868,200,1173.6,,,,,,,,
2013-03-01,5.661,5.661,5.661,5.661,1000,5661.0,,,,,,,,
2013-03-04,5.523,5.523,5.523,5.523,1000,5523.0,,,,,,,,
2013-03-05,5.593,5.593,5.04,5.523,3000,16569.0,,,,,,,,
2013-03-06,5.108,5.454,5.108,5.454,1000,5454.0,,,,,,,,
2013-03-07,5.386,5.868,5.316,5.316,5400,28706.4,,,,,,,,
2013-03-08,5.523,5.523,5.523,5.523,100,552.3,,,,,,,,
2013-03-11,5.523,5.523,5.523,5.523,0,0.0,,,,,,,,
2013-03-12,5.731,5.731,5.731,5.731,100,573.1,,,,,,,,
2013-03-13,5.868,5.868,5.868,5.868,100,586.8000000000001,,,,,,,,
2013-03-14,5.523,5.523,5.523,5.523,2100,11598.3,,,,,,,,
2013-03-15,6.076,6.076,6.076,6.076,100,607.5999999999999,,,,,,,,
2013-03-18,6.351,6.351,6.351,6.351,100,635.1,,,,,,,,
2013-03-19,6.351,6.351,6.351,6.351,0,0.0,,,,,,,,
2013-03-20,6.351,6.351,6.351,6.351,0,0.0,,,,,,,,
2013-03-21,6.351,6.351,6.351,6.351,0,0.0,,,,,,,,
2013-03-22,6.006,6.006,6.006,6.006,200,1201.2,,,,,,,,
2013-03-25,5.454,5.938,5.454,5.938,1100,6531.799999999999,,,,,,,,
2013-03-26,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-03-27,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-03-28,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-03-29,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-04-01,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-04-02,5.454,5.938,5.454,5.938,700,4156.599999999999,,,,,,,,
2013-04-03,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-04-04,5.454,5.454,5.454,5.454,500,2727.0,,,,,,,,
2013-04-05,5.454,5.454,5.454,5.454,0,0.0,,,,,,,,
2013-04-08,5.454,5.454,5.454,5.454,1100,5999.4,,,,,,,,
2013-04-09,5.454,5.454,5.454,5.454,0,0.0,,,,,,,,
2013-04-10,5.454,5.454,5.454,5.454,0,0.0,,,,,,,,
2013-04-11,5.454,5.454,5.454,5.454,0,0.0,,,,,,,,
2013-04-12,5.868,5.868,5.868,5.868,100,586.8000000000001,,,,,,,,
2013-04-15,5.868,5.868,5.868,5.868,0,0.0,,,,,,,,
2013-04-16,5.523,5.523,5.523,5.523,3100,17121.3,,,,,,,,
2013-04-17,5.523,5.523,5.523,5.523,1000,5523.0,,,,,,,,
2013-04-18,5.523,5.523,5.523,5.523,500,2761.5,,,,,,,,
2013-04-22,5.868,5.868,5.868,5.868,100,586.8000000000001,,,,,,,,
2013-04-23,5.868,5.868,5.868,5.868,0,0.0,,,,,,,,
2013-04-24,5.868,5.868,5.868,5.868,0,0.0,,,,,,,,
2013-04-25,5.868,5.868,5.868,5.868,0,0.0,,,,,,,,
2013-04-26,5.868,5.868,5.868,5.868,0,0.0,,,,,,,,
2013-05-02,5.868,5.868,5.868,5.868,0,0.0,,,,,,,,
2013-05-03,5.454,5.454,5.454,5.454,500,2727.0,,,,,,,,
2013-05-06,5.661,5.661,5.523,5.523,2100,11598.3,,,,,,,,
2013-05-07,5.523,5.523,5.523,5.523,4200,23196.6,,,,,,,,
2013-05-08,5.523,5.661,5.523,5.523,7100,39213.3,,,,,,,,
2013-05-09,5.523,5.523,5.523,5.523,3300,18225.9,,,,,,,,
2013-05-10,5.661,5.799,5.661,5.731,2100,12035.1,,,,,,,,
2013-05-13,5.731,5.731,5.731,5.731,0,0.0,,,,,,,,
2013-05-14,5.523,5.523,5.523,5.523,2000,11046.0,,,,,,,,
2013-05-15,5.593,5.593,5.593,5.593,2000,11186.0,,,,,,,,
2013-05-16,5.799,5.799,5.593,5.661,3100,17549.1,,,,,,,,
2013-05-17,5.593,5.593,5.593,5.593,500,2796.5,,,,,,,,
2013-05-20,5.661,5.731,5.661,5.731,3600,20631.6,,,,,,,,
2013-05-21,5.731,5.799,5.731,5.799,15000,86985.0,,,,,,,,
2013-05-22,5.799,5.799,5.799,5.799,2000,11598.0,,,,,,,,
2013-05-23,5.799,5.799,5.799,5.799,2000,11598.0,,,,,,,,
2013-05-24,5.661,5.868,5.661,5.868,3000,17604.0,,,,,,,,
2013-05-27,5.868,6.006,5.868,5.938,10800,64130.4,,,,,,,,
2013-05-28,5.938,5.938,5.938,5.938,2900,17220.2,,,,,,,,
2013-05-29,5.868,5.868,5.799,5.868,9100,53398.8,,,,,,,,
2013-05-30,5.731,5.868,5.731,5.868,4100,24058.800000000003,,,,,,,,
2013-05-31,5.868,5.868,5.799,5.799,2100,12177.9,,,,,,,,
2013-06-03,5.799,5.799,5.799,5.799,1700,9858.3,,,,,,,,
2013-06-04,5.799,5.868,5.799,5.799,4600,26675.4,,,,,,,,
2013-06-05,5.868,5.868,5.868,5.868,100,586.8000000000001,,,,,,,,
2013-06-06,5.868,5.938,5.799,5.938,2600,15438.8,,,,,,,,
2013-06-07,5.799,5.938,5.799,5.938,1800,10688.4,,,,,,,,
2013-06-10,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-06-11,5.868,6.006,5.868,6.006,5700,34234.200000000004,,,,,,,,
2013-06-12,6.076,6.076,6.006,6.006,3200,19219.2,,,,,,,,
2013-06-13,6.076,6.076,5.938,6.006,5700,34234.200000000004,,,,,,,,
2013-06-14,6.006,6.006,6.006,6.006,3600,21621.6,,,,,,,,
2013-06-17,6.076,6.076,5.938,6.076,8200,49823.2,,,,,,,,
2013-06-18,6.076,6.076,6.076,6.076,0,0.0,,,,,,,,
2013-06-19,6.076,6.144,5.938,5.938,4400,26127.2,,,,,,,,
2013-06-20,5.938,6.006,5.868,6.006,11800,70870.8,,,,,,,,
2013-06-21,5.938,6.076,5.938,6.076,2500,15189.999999999998,,,,,,,,
2013-06-24,6.006,6.006,6.006,6.006,100,600.6,,,,,,,,
2013-06-25,5.868,5.938,5.868,5.938,4000,23752.0,,,,,,,,
2013-06-26,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-06-27,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-06-28,5.938,5.938,5.938,5.938,0,0.0,,,,,,,,
2013-07-01,5.938,6.421,5.938,6.421,15000,96315.0,,,,,,,,
2013-07-02,6.421,6.421,6.421,6.421,0,0.0,,,,,,,,
2013-07-03,6.421,6.421,6.214,6.214,800,4971.200000000001,,,,,,,,
2013-07-04,6.214,6.214,6.214,6.214,0,0.0,,,,,,,,
2013-07-05,6.144,6.214,6.144,6.214,600,3728.4,,,,,,,,
2013-07-08,6.214,6.214,6.214,6.214,0,0.0,,,,,,,,
2013-07-09,6.214,6.214,6.144,6.144,2300,14131.2,,,,,,,,
2013-07-10,6.144,6.144,6.076,6.076,8600,52253.6,,,,,,,,
2013-07-11,5.799,6.283,5.799,6.283,500,3141.5,,,,,,,,
2013-07-12,5.799,6.144,5.799,6.144,5500,33792.0,,,,,,,,
2013-07-15,6.283,6.283,6.283,6.283,1000,6283.0,,,,,,,,
2013-07-16,6.283,6.283,6.283,6.283,0,0.0,,,,,,,,
2013-07-17,6.357,6.357,6.357,6.357,2000,12714.0,,,,,,,,
2013-07-18,6.061,6.061,6.061,6.061,1000,6061.0,,,,,,,,
2013-07-19,6.209,6.283,5.912,5.912,2500,14780.0,,,,,,,,
2013-07-22,5.912,5.912,5.912,5.912,1000,5912.0,,,,,,,,
2013-07-23,6.061,6.061,6.061,6.061,100,606.1,,,,,,,,
2013-07-24,6.061,6.061,5.912,5.912,1100,6503.2,,,,,,,,
2013-07-25,5.912,5.912,5.912,5.912,0,0.0,,,,,,,,
2013-07-26,5.766,6.357,5.766,6.357,9400,59755.8,,,,,,,,
2013-07-29,6.357,6.357,6.357,6.357,0,0.0,,,,,,,,
2013-07-30,6.357,6.357,6.357,6.357,0,0.0,,,,,,,,
2013-07-31,6.209,6.283,6.209,6.283,7300,45865.9,,,,,,,,
2013-08-01,6.283,6.283,6.283,6.283,0,0.0,,,,,,,,
2013-08-02,5.987,6.061,5.987,6.061,500,3030.5,,,,,,,,
2013-08-05,6.43,6.43,6.43,6.43,2000,12860.0,,,,,,,,
2013-08-06,6.43,6.43,6.43,6.43,0,0.0,,,,,,,,
2013-08-07,6.43,6.43,6.43,6.43,0,0.0,,,,,,,,
2013-08-08,6.43,6.43,6.43,6.43,0,0.0,,,,,,,,
2013-08-09,6.43,6.43,6.43,6.43,0,0.0,,,,,,,,
2013-08-12,6.43,6.43,6.43,6.43,0,0.0,,,,,,,,
