time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-11-15,5.63,5.63,3.82,3.82,900,3438.0,,,,,,,,
2010-11-16,4.74,4.74,4.74,4.74,100,474.0,,,,,,,,
2010-11-17,5.03,5.03,5.03,5.03,100,503.0,,,,,,,,
2010-11-18,5.34,5.34,5.34,5.34,100,534.0,,,,,,,,
2010-11-19,5.63,5.63,5.63,5.63,100,563.0,,,,,,,,
2010-11-22,5.84,5.84,5.84,5.84,100,584.0,,,,,,,,
2010-11-23,5.45,5.45,5.45,5.45,1000,5450.0,,,,,,,,
2010-11-24,5.45,5.45,5.45,5.45,0,0.0,,,,,,,,
2010-11-25,5.73,5.73,5.73,5.73,200,1146.0,,,,,,,,
2010-11-26,6.09,6.09,6.09,6.09,100,609.0,,,,,,,,
2010-11-29,6.09,6.09,6.09,6.09,0,0.0,,,,,,,,
2010-11-30,6.09,6.09,6.09,6.09,0,0.0,,,,,,,,
2010-12-01,5.66,5.66,5.66,5.66,100,566.0,,,,,,,,
2010-12-02,5.27,5.66,5.27,5.66,200,1132.0,,,,,,,,
2010-12-03,5.66,5.66,5.66,5.66,0,0.0,,,,,,,,
2010-12-06,5.13,5.13,5.13,5.13,100,513.0,,,,,,,,
2010-12-07,5.13,5.13,5.13,5.13,0,0.0,,,,,,,,
2010-12-08,5.13,5.13,5.13,5.13,0,0.0,,,,,,,,
2010-12-09,4.78,5.38,4.78,5.38,800,4304.0,,,,,,,,
2010-12-10,5.1,5.1,5.1,5.1,100,510.0,,,,,,,,
2010-12-13,5.38,5.38,4.74,5.34,400,2136.0,,,,,,,,
2010-12-14,4.85,4.85,4.85,4.85,2000,9700.0,,,,,,,,
2010-12-15,4.53,4.53,4.53,4.53,100,453.0,,,,,,,,
2010-12-16,4.81,4.81,4.81,4.81,100,481.0,,,,,,,,
2010-12-17,4.49,4.49,4.49,4.49,1500,6735.0,,,,,,,,
2010-12-20,4.78,4.78,4.25,4.25,200,850.0,,,,,,,,
2010-12-21,4.25,4.25,4.25,4.25,0,0.0,,,,,,,,
2010-12-22,4.81,4.81,4.81,4.81,100,481.0,,,,,,,,
2010-12-23,5.06,5.06,5.06,5.06,100,506.0,,,,,,,,
2010-12-24,5.31,5.31,5.31,5.31,100,531.0,,,,,,,,
2010-12-27,5.31,5.31,5.31,5.31,100,531.0,,,,,,,,
2010-12-28,5.13,5.66,4.95,4.95,2200,10890.0,,,,,,,,
2010-12-29,4.95,4.95,4.95,4.95,0,0.0,,,,,,,,
2010-12-30,5.27,5.27,5.27,5.27,100,527.0,,,,,,,,
2010-12-31,5.27,5.27,5.27,5.27,0,0.0,,,,,,,,
2011-01-04,4.92,5.03,4.92,5.03,1200,6036.0,,,,,,,,
2011-01-05,5.31,5.31,5.31,5.31,300,1592.9999999999998,,,,,,,,
2011-01-06,5.66,5.66,5.31,5.31,600,3185.9999999999995,,,,,,,,
2011-01-07,5.41,5.41,5.41,5.41,400,2164.0,,,,,,,,
2011-01-10,5.41,5.41,5.41,5.41,0,0.0,,,,,,,,
2011-01-11,5.41,5.41,5.41,5.41,0,0.0,,,,,,,,
2011-01-12,5.41,5.41,5.41,5.41,0,0.0,,,,,,,,
2011-01-13,5.77,5.77,5.77,5.77,300,1730.9999999999998,,,,,,,,
2011-01-14,6.16,6.16,6.16,6.16,100,616.0,,,,,,,,
2011-01-17,6.16,6.16,6.16,6.16,0,0.0,,,,,,,,
2011-01-18,6.16,6.16,6.16,6.16,0,0.0,,,,,,,,
2011-01-19,6.16,6.16,6.16,6.16,0,0.0,,,,,,,,
2011-01-20,5.73,5.73,5.73,5.73,200,1146.0,,,,,,,,
2011-01-21,5.73,5.73,5.73,5.73,0,0.0,,,,,,,,
2011-01-24,5.73,5.73,5.73,5.73,0,0.0,,,,,,,,
2011-01-25,5.73,5.73,5.73,5.73,0,0.0,,,,,,,,
2011-01-26,6.11,6.11,6.11,6.11,0,0.0,,,,,,,,
2011-01-27,6.11,6.11,6.11,6.11,100,611.0,,,,,,,,
2011-01-28,6.11,6.11,6.11,6.11,0,0.0,,,,,,,,
2011-02-08,6.11,6.11,6.11,6.11,0,0.0,,,,,,,,
2011-02-09,6.11,6.11,6.11,6.11,0,0.0,,,,,,,,
2011-02-10,6.53,6.53,6.53,6.53,100,653.0,,,,,,,,
2011-02-11,6.53,6.53,6.53,6.53,0,0.0,,,,,,,,
2011-02-14,6.53,6.53,6.53,6.53,0,0.0,,,,,,,,
2011-02-15,6.53,6.53,6.53,6.53,0,0.0,,,,,,,,
