time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2010-10-28,13.3,13.3,8.53,9.2,39000,358800.0,,,,,,,,
2010-10-29,9.62,9.62,9.62,9.62,8000,76960.0,,,,,,,,
2010-11-01,10.29,10.29,9.62,10.04,2400,24096.0,,,,,,,,
2010-11-02,10.04,10.04,10.04,10.04,500,5020.0,,,,,,,,
2010-11-03,10.04,10.04,10.04,10.04,0,0.0,,,,,,,,
2010-11-04,9.37,9.37,9.37,9.37,2100,19677.0,,,,,,,,
2010-11-05,9.37,9.37,8.79,8.79,8300,72957.0,,,,,,,,
2010-11-08,8.28,8.28,8.2,8.28,6400,52991.99999999999,,,,,,,,
2010-11-09,7.95,7.95,7.95,7.95,1000,7950.0,,,,,,,,
2010-11-10,8.12,8.12,8.12,8.12,100,811.9999999999999,,,,,,,,
2010-11-11,7.61,7.95,7.61,7.61,2900,22069.0,,,,,,,,
2010-11-12,7.2,7.61,7.11,7.61,1900,14459.0,,,,,,,,
2010-11-15,6.78,6.78,6.69,6.78,4000,27120.0,,,,,,,,
2010-11-16,6.28,6.78,6.28,6.28,11500,72220.0,,,,,,,,
2010-11-17,6.61,6.69,6.36,6.69,6100,40809.0,,,,,,,,
2010-11-18,6.86,7.03,6.86,7.03,6500,45695.0,,,,,,,,
2010-11-19,7.03,7.28,7.03,7.03,2100,14763.0,,,,,,,,
2010-11-22,6.69,6.69,6.69,6.69,2100,14049.0,,,,,,,,
2010-11-23,6.94,7.03,6.94,7.03,2200,15466.0,,,,,,,,
2010-11-24,6.69,6.86,6.61,6.61,9100,60151.0,,,,,,,,
2010-11-25,6.94,7.03,6.94,6.94,3800,26372.0,,,,,,,,
2010-11-26,6.94,7.11,6.94,7.03,10500,73815.0,,,,,,,,
2010-11-29,7.11,7.45,7.11,7.45,12700,94615.0,,,,,,,,
2010-11-30,7.7,7.78,7.53,7.78,19100,148598.0,,,,,,,,
2010-12-01,7.95,8.12,7.95,7.95,2000,15900.0,,,,,,,,
2010-12-02,7.95,8.37,7.95,8.37,800,6695.999999999999,,,,,,,,
2010-12-03,8.37,8.53,7.87,8.53,27100,231163.0,,,,,,,,
2010-12-06,8.03,8.79,8.03,8.62,9800,84475.99999999999,,,,,,,,
2010-12-07,8.37,8.37,7.95,7.95,8000,63600.0,,,,,,,,
2010-12-08,7.95,7.95,7.7,7.7,1400,10780.0,,,,,,,,
2010-12-09,7.53,7.87,7.36,7.87,5000,39350.0,,,,,,,,
2010-12-10,7.53,7.95,7.28,7.95,23300,185235.0,,,,,,,,
2010-12-13,8.2,8.2,8.03,8.2,46100,378020.0,,,,,,,,
2010-12-14,8.2,8.53,7.78,7.78,11200,87136.0,,,,,,,,
2010-12-15,7.95,8.2,7.95,8.2,3400,27880.0,,,,,,,,
2010-12-16,7.7,7.7,7.45,7.45,6700,49915.0,,,,,,,,
2010-12-17,7.03,7.95,7.03,7.2,2100,15120.0,,,,,,,,
2010-12-20,7.95,7.95,7.11,7.11,4400,31284.0,,,,,,,,
2010-12-21,7.53,7.53,7.53,7.53,12800,96384.0,,,,,,,,
2010-12-22,7.53,7.53,7.53,7.53,2100,15813.0,,,,,,,,
2010-12-23,7.2,7.2,7.11,7.11,10900,77499.0,,,,,,,,
2010-12-24,7.11,7.28,7.11,7.28,8200,59696.0,,,,,,,,
2010-12-27,7.28,7.28,7.28,7.28,0,0.0,,,,,,,,
2010-12-28,7.11,7.36,7.11,7.36,9000,66240.0,,,,,,,,
2010-12-29,7.28,7.36,7.28,7.36,1100,8096.0,,,,,,,,
2010-12-30,7.45,7.45,7.03,7.03,2100,14763.0,,,,,,,,
2010-12-31,7.36,7.36,7.36,7.36,100,736.0,,,,,,,,
2011-01-04,7.36,7.36,7.36,7.36,0,0.0,,,,,,,,
2011-01-05,7.03,7.03,7.03,7.03,5600,39368.0,,,,,,,,
2011-01-06,6.86,6.86,6.86,6.86,2200,15092.0,,,,,,,,
2011-01-07,7.28,7.28,7.28,7.28,100,728.0,,,,,,,,
2011-01-10,6.94,6.94,6.86,6.94,5600,38864.0,,,,,,,,
2011-01-11,6.94,6.94,6.94,6.94,0,0.0,,,,,,,,
2011-01-12,6.94,6.94,6.94,6.94,0,0.0,,,,,,,,
2011-01-13,6.53,6.61,6.53,6.61,4000,26440.0,,,,,,,,
2011-01-14,6.36,6.69,6.36,6.69,3000,20070.0,,,,,,,,
2011-01-17,6.61,6.61,6.61,6.61,3000,19830.0,,,,,,,,
2011-01-18,6.69,6.69,6.69,6.69,2000,13380.0,,,,,,,,
2011-01-19,6.69,6.69,6.61,6.69,2000,13380.0,,,,,,,,
2011-01-20,6.61,6.69,6.61,6.69,4600,30774.0,,,,,,,,
2011-01-21,7.04,7.04,6.69,6.69,2500,16725.0,,,,,,,,
