time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,4.123,4.298,4.035,4.298,11700,50286.6,,,,,
2013-01-03,4.123,4.211,4.035,4.211,2800,11790.8,,,,,
2013-01-04,4.211,4.298,4.211,4.211,9700,40846.7,,,,,
2013-01-07,4.298,4.298,4.035,4.211,6000,25266.0,,,,,
2013-01-08,4.123,4.474,4.123,4.474,36000,161064.0,,,,,
2013-01-09,4.561,4.649,4.386,4.561,36000,164196.0,,,,,
2013-01-10,4.649,4.649,4.649,4.649,100,464.9,,,,,
2013-01-11,4.386,4.649,4.386,4.649,1200,5578.8,,,,,
2013-01-14,4.386,4.561,4.386,4.561,1800,8209.8,,,,,
2013-01-15,4.211,4.649,4.211,4.649,3000,13947.0,,,,,
2013-01-16,4.737,4.737,4.649,4.649,1500,6973.5,,,,,
2013-01-17,4.737,4.737,4.737,4.737,100,473.7,,,,,
2013-01-18,4.737,4.737,4.737,4.737,0,0.0,,,,,
2013-01-21,4.737,4.737,4.737,4.737,0,0.0,,,,,
2013-01-22,4.737,4.737,4.737,4.737,0,0.0,,,,,
2013-01-23,4.737,4.737,4.737,4.737,0,0.0,,,,,
2013-01-24,4.561,4.561,4.561,4.561,200,912.2,,,,,
2013-01-25,4.561,4.912,4.561,4.912,1400,6876.8,,,,,
2013-01-28,4.474,4.737,4.474,4.737,4400,20842.8,,,,,
2013-01-29,4.912,4.912,4.123,4.123,1600,6596.8,,,,,
2013-01-30,4.474,4.474,4.386,4.386,900,3947.4,,,,,
2013-01-31,4.386,4.386,4.386,4.386,0,0.0,,,,,
2013-02-01,4.298,4.386,4.298,4.386,2700,11842.2,,,,,
2013-02-04,4.386,4.386,4.386,4.386,0,0.0,,,,,
2013-02-05,4.035,4.474,4.035,4.474,200,894.8000000000001,,,,,
2013-02-06,4.649,4.649,4.649,4.649,100,464.9,,,,,
2013-02-07,4.474,4.649,4.211,4.561,1500,6841.5,,,,,
2013-02-08,4.649,4.649,4.649,4.649,100,464.9,,,,,
2013-02-18,4.649,4.649,4.649,4.649,100,464.9,,,,,
2013-02-19,4.211,4.474,4.211,4.474,2600,11632.4,,,,,
2013-02-20,4.123,4.386,4.123,4.386,2400,10526.4,,,,,
2013-02-21,4.386,4.386,4.298,4.298,7500,32235.0,,,,,
2013-02-22,4.298,4.561,4.298,4.561,11700,53363.7,,,,,
2013-02-25,4.561,4.561,4.386,4.386,3200,14035.2,,,,,
2013-02-26,4.386,4.386,4.035,4.386,4700,20614.2,,,,,
2013-02-27,4.386,4.386,4.386,4.386,1500,6579.0,,,,,
2013-02-28,4.386,4.474,4.211,4.211,5100,21476.1,,,,,
2013-03-01,4.298,4.298,4.211,4.211,1000,4211.0,,,,,
2013-03-04,4.298,4.298,3.947,4.298,10400,44699.2,,,,,
2013-03-05,4.298,4.298,4.298,4.298,0,0.0,,,,,
2013-03-06,4.211,4.211,4.211,4.211,2000,8422.0,,,,,
2013-03-07,3.86,4.035,3.86,3.86,2500,9650.0,,,,,
2013-03-08,3.86,4.298,3.86,4.298,4100,17621.8,,,,,
2013-03-11,4.298,4.298,4.298,4.298,1000,4298.0,,,,,
2013-03-12,3.947,3.947,3.947,3.947,200,789.4,,,,,
2013-03-13,3.947,4.298,3.947,4.298,400,1719.2,,,,,
2013-03-14,4.035,4.035,4.035,4.035,1000,4035.0,,,,,
2013-03-15,4.123,4.123,4.123,4.123,100,412.3,,,,,
2013-03-18,4.035,4.035,4.035,4.035,2700,10894.5,,,,,
2013-03-19,4.035,4.035,4.035,4.035,800,3228.0,,,,,
2013-03-20,3.947,4.035,3.947,4.035,1500,6052.5,,,,,
2013-03-21,4.035,4.035,4.035,4.035,1000,4035.0,,,,,
2013-03-22,3.947,3.947,3.684,3.684,2300,8473.2,,,,,
2013-03-25,4.035,4.035,3.947,3.947,3000,11841.0,,,,,
2013-03-26,3.947,3.947,3.947,3.947,0,0.0,,,,,
2013-03-27,4.035,4.035,3.86,3.86,1200,4632.0,,,,,
2013-03-28,4.211,4.211,4.211,4.211,400,1684.4,,,,,
2013-03-29,4.561,4.561,4.386,4.561,28900,131812.9,,,,,
2013-04-01,4.825,5.0,4.825,5.0,48300,241500.0,,,,,
2013-04-02,5.263,5.351,5.175,5.175,42000,217350.0,,,,,
2013-04-03,5.088,5.175,4.825,5.088,48900,248803.2,,,,,
2013-04-04,5.0,5.0,4.825,5.0,1100,5500.0,,,,,
2013-04-05,5.0,5.0,5.0,5.0,10400,52000.0,,,,,
2013-04-08,4.9,4.9,4.8,4.8,7800,37440.0,,,,,
2013-04-09,4.8,5.1,4.8,5.1,11000,56099.99999999999,,,,,
2013-04-10,5.0,5.0,5.0,5.0,300,1500.0,,,,,
2013-04-11,5.0,5.0,5.0,5.0,0,0.0,,,,,
2013-04-12,4.8,4.8,4.5,4.8,15200,72960.0,,,,,
2013-04-15,4.5,5.0,4.4,5.0,900,4500.0,,,,,
2013-04-16,4.5,4.8,4.5,4.8,9200,44160.0,,,,,
2013-04-17,4.9,4.9,4.9,4.9,100,490.00000000000006,,,,,
2013-04-18,4.7,5.0,4.7,5.0,400,2000.0,,,,,
2013-04-22,4.5,5.0,4.5,4.9,1200,5880.0,,,,,
2013-04-23,5.0,5.0,5.0,5.0,100,500.0,,,,,
2013-04-24,4.8,5.0,4.8,5.0,5100,25500.0,,,,,
2013-04-25,4.8,4.8,4.8,4.8,13700,65760.0,,,,,
2013-04-26,4.9,4.9,4.6,4.6,7600,34960.0,,,,,
2013-05-02,4.8,4.8,4.8,4.8,200,960.0,,,,,
2013-05-03,4.6,4.9,4.6,4.9,4300,21070.0,,,,,
2013-05-06,4.7,5.1,4.7,5.1,2900,14789.999999999998,,,,,
2013-05-07,4.8,5.0,4.7,5.0,2100,10500.0,,,,,
2013-05-08,4.7,4.9,4.7,4.7,10000,47000.0,,,,,
2013-05-09,4.7,5.0,4.7,5.0,2200,11000.0,,,,,
2013-05-10,4.9,4.9,4.7,4.9,4100,20090.0,,,,,
2013-05-13,4.9,4.9,4.8,4.8,7000,33600.0,,,,,
2013-05-14,4.8,4.8,4.8,4.8,3500,16800.0,,,,,
2013-05-15,4.9,4.9,4.9,4.9,1400,6860.000000000001,,,,,
2013-05-16,4.6,4.8,4.5,4.8,14100,67680.0,,,,,
2013-05-17,4.6,4.6,4.6,4.6,1100,5060.0,,,,,
2013-05-20,4.4,4.8,4.4,4.8,3200,15360.0,,,,,
2013-05-21,4.8,4.8,4.7,4.8,5500,26400.0,,,,,
2013-05-22,4.7,4.8,4.7,4.8,3700,17760.0,,,,,
2013-05-23,4.8,4.8,4.8,4.8,0,0.0,,,,,
2013-05-24,4.6,4.9,4.6,4.9,5000,24500.0,,,,,
2013-05-27,5.0,5.1,4.8,4.8,9300,44640.0,,,,,
2013-05-28,5.0,5.0,4.8,4.8,1300,6240.0,,,,,
2013-05-29,4.8,5.2,4.8,5.1,30100,153510.0,,,,,
2013-05-30,5.1,5.2,5.0,5.2,15200,79040.0,,,,,
2013-05-31,5.3,5.7,5.2,5.7,57200,326040.0,,,,,
2013-06-03,5.2,5.7,5.2,5.4,1600,8640.0,,,,,
2013-06-04,5.3,5.5,5.3,5.5,19100,105050.0,,,,,
2013-06-05,5.8,5.8,5.5,5.7,1400,7980.0,,,,,
2013-06-06,5.6,5.9,5.5,5.5,2800,15400.0,,,,,
2013-06-07,5.8,6.0,5.8,6.0,43900,263400.0,,,,,
2013-06-10,5.7,5.7,5.7,5.7,3300,18810.0,,,,,
2013-06-11,6.0,6.0,5.7,5.7,3300,18810.0,,,,,
2013-06-12,5.8,5.8,5.8,5.8,600,3480.0,,,,,
2013-06-13,5.8,5.8,5.6,5.8,5800,33640.0,,,,,
2013-06-14,6.1,6.1,5.7,5.7,22200,126540.0,,,,,
2013-06-17,5.8,5.9,5.6,5.9,16700,98530.0,,,,,
2013-06-18,5.4,6.1,5.4,6.1,4900,29890.0,,,,,
2013-06-19,6.0,6.1,6.0,6.0,12900,77400.0,,,,,
2013-06-20,6.0,6.0,6.0,6.0,0,0.0,,,,,
2013-06-21,5.8,6.2,5.8,6.0,15500,93000.0,,,,,
2013-06-24,6.1,6.1,5.9,5.9,21500,126850.0,,,,,
2013-06-25,5.9,5.9,5.8,5.8,18000,104400.0,,,,,
2013-06-26,5.9,5.9,5.8,5.8,2700,15660.0,,,,,
2013-06-27,5.7,5.9,5.7,5.9,17300,102070.0,,,,,
2013-06-28,5.7,5.7,5.6,5.7,1000,5700.0,,,,,
2013-07-01,5.7,5.9,5.7,5.9,7400,43660.0,,,,,
2013-07-02,5.9,5.9,5.9,5.9,8500,50150.0,,,,,
2013-07-03,5.9,6.1,5.9,6.1,21300,129930.0,,,,,
2013-07-04,6.1,6.1,6.1,6.1,100,610.0,,,,,
2013-07-05,6.2,6.3,6.2,6.3,3000,18900.0,,,,,
2013-07-08,6.1,6.1,6.1,6.1,10000,61000.0,,,,,
2013-07-09,6.0,6.0,6.0,6.0,200,1200.0,,,,,
2013-07-10,6.1,6.1,6.0,6.1,3500,21350.0,,,,,
2013-07-11,6.1,6.1,6.1,6.1,10400,63439.99999999999,,,,,
2013-07-12,6.1,6.1,6.1,6.1,0,0.0,,,,,
2013-07-15,6.1,6.1,6.1,6.1,5000,30500.0,,,,,
2013-07-16,6.1,6.1,6.0,6.0,14800,88800.0,,,,,
2013-07-17,6.0,6.0,6.0,6.0,5000,30000.0,,,,,
2013-07-18,6.0,6.0,6.0,6.0,1000,6000.0,,,,,
2013-07-19,6.0,6.0,6.0,6.0,50100,300600.0,,,,,
2013-07-22,5.9,6.2,5.9,6.2,500,3100.0,,,,,
2013-07-23,5.9,5.9,5.9,5.9,2900,17110.0,,,,,
2013-07-24,5.9,5.9,5.9,5.9,4200,24780.0,,,,,
2013-07-25,5.9,5.9,5.9,5.9,0,0.0,,,,,
2013-07-26,6.1,6.1,5.7,5.7,5700,32490.0,,,,,
2013-07-29,5.8,5.8,5.8,5.8,0,0.0,,,,,
2013-07-30,5.8,5.8,5.8,5.8,0,0.0,,,,,
2013-07-31,5.8,5.8,5.8,5.8,0,0.0,,,,,
2013-08-01,6.1,6.1,6.1,6.1,100,610.0,,,,,
2013-08-02,6.1,6.1,6.1,6.1,0,0.0,,,,,
2013-08-05,6.0,6.0,5.9,5.9,800,4720.0,,,,,
2013-08-06,5.9,5.9,5.9,5.9,100,590.0,,,,,
2013-08-07,5.9,5.9,5.9,5.9,3800,22420.0,,,,,
2013-08-08,5.9,5.9,5.9,5.9,0,0.0,,,,,
2013-08-09,5.9,5.9,5.9,5.9,0,0.0,,,,,
2013-08-12,5.9,5.9,5.9,5.9,200,1180.0,,,,,
2013-08-13,5.9,5.9,5.9,5.9,0,0.0,,,,,
2013-08-14,5.9,5.9,5.9,5.9,0,0.0,,,,,
2013-08-15,6.0,6.0,5.8,5.8,3500,20300.0,,,,,
2013-08-16,5.8,5.9,5.8,5.8,2300,13340.0,,,,,
2013-08-19,5.8,6.0,5.7,6.0,8500,51000.0,,,,,
2013-08-20,6.0,6.0,6.0,6.0,0,0.0,,,,,
2013-08-21,5.7,6.0,5.7,5.7,5300,30210.0,,,,,
2013-08-22,6.1,6.1,5.8,5.9,4500,26550.0,,,,,
2013-08-23,6.0,6.1,6.0,6.1,300,1830.0,,,,,
2013-08-26,6.1,6.1,6.1,6.1,0,0.0,,,,,
2013-08-27,5.7,6.0,5.5,5.5,21900,120450.0,,,,,
2013-08-28,6.0,6.0,5.6,5.6,900,5040.0,,,,,
2013-08-29,6.1,6.1,5.6,5.6,500,2800.0,,,,,
2013-08-30,5.9,5.9,5.9,5.9,100,590.0,,,,,
2013-09-03,5.9,5.9,5.9,5.9,0,0.0,,,,,
2013-09-04,5.9,5.9,5.6,5.6,1800,10080.0,,,,,
2013-09-05,5.6,5.6,5.6,5.6,0,0.0,,,,,
2013-09-06,5.4,5.4,5.4,5.4,300,1620.0,,,,,
2013-09-09,5.9,5.9,5.9,5.9,100,590.0,,,,,
2013-09-10,5.9,5.9,5.9,5.9,0,0.0,,,,,
2013-09-11,6.1,6.1,5.7,6.1,1000,6100.0,,,,,
2013-09-12,6.5,6.5,6.5,6.5,300,1950.0,,,,,
2013-09-13,6.5,6.5,6.5,6.5,0,0.0,,,,,
2013-09-16,6.9,6.9,6.9,6.9,200,1380.0,,,,,
2013-09-17,6.9,6.9,6.9,6.9,0,0.0,,,,,
2013-09-18,6.9,6.9,6.9,6.9,0,0.0,,,,,
2013-09-19,7.5,7.5,7.5,7.5,100,750.0,,,,,
2013-09-20,6.8,6.8,6.8,6.8,100,680.0,,,,,
2013-09-23,7.4,7.4,7.4,7.4,100,740.0,,,,,
2013-09-24,6.7,6.7,6.7,6.7,100,670.0,,,,,
2013-09-25,6.1,6.3,6.1,6.3,61500,387450.0,,,,,
2013-09-26,6.4,6.4,6.1,6.4,6400,40960.0,,,,,
2013-09-27,7.0,7.0,6.1,6.2,28600,177320.0,,,,,
2013-09-30,6.6,6.6,6.4,6.4,200,1280.0,,,,,
2013-10-01,6.4,6.4,6.4,6.4,0,0.0,,,,,
2013-10-02,6.2,6.5,6.0,6.5,8400,54600.0,,,,,
2013-10-03,6.8,6.8,6.8,6.8,300,2040.0,,,,,
2013-10-04,7.1,7.1,6.2,6.7,1500,10050.0,,,,,
2013-10-07,6.3,7.0,6.1,7.0,700,4900.0,,,,,
2013-10-08,7.0,7.0,7.0,7.0,0,0.0,,,,,
2013-10-09,7.0,7.0,7.0,7.0,0,0.0,,,,,
2013-10-10,6.3,6.3,6.3,6.3,100,630.0,,,,,
2013-10-11,5.8,5.8,5.8,5.8,100,580.0,,,,,
2013-10-14,6.2,6.3,6.2,6.3,500,3150.0,,,,,
2013-10-15,6.3,6.3,6.3,6.3,0,0.0,,,,,
2013-10-16,6.3,6.3,6.3,6.3,1000,6300.0,,,,,
2013-10-17,6.3,6.3,6.3,6.3,0,0.0,,,,,
2013-10-18,5.8,5.8,5.7,5.7,8000,45600.0,,,,,
2013-10-21,6.0,6.0,6.0,6.0,200,1200.0,,,,,
2013-10-22,6.0,6.0,6.0,6.0,0,0.0,,,,,
2013-10-23,6.0,6.3,5.8,6.3,700,4410.0,,,,,
2013-10-24,6.2,6.2,5.8,5.8,300,1740.0,,,,,
2013-10-25,5.9,5.9,5.9,5.9,5100,30090.0,,,,,
2013-10-28,6.0,6.1,5.8,5.9,5300,31270.000000000004,,,,,
2013-10-29,5.8,5.8,5.6,5.8,6900,40020.0,,,,,
2013-10-30,6.0,6.0,5.8,5.8,1400,8120.0,,,,,
2013-10-31,5.8,5.8,5.8,5.8,100,580.0,,,,,
2013-11-01,5.8,5.8,5.8,5.8,300,1740.0,,,,,
2013-11-04,5.8,5.9,5.8,5.9,15800,93220.0,,,,,
2013-11-05,5.9,6.4,5.8,6.0,37300,223800.0,,,,,
2013-11-06,6.3,6.4,6.1,6.4,6000,38400.0,,,,,
2013-11-07,6.4,7.0,6.0,7.0,9800,68600.0,,,,,
2013-11-08,6.3,7.2,6.3,6.3,26100,164430.0,,,,,
2013-11-11,6.3,6.4,6.2,6.2,1600,9920.0,,,,,
2013-11-12,6.2,6.2,6.1,6.2,29800,184760.0,,,,,
2013-11-13,6.2,6.2,6.0,6.0,6800,40800.0,,,,,
2013-11-14,6.0,6.3,6.0,6.2,29200,181040.0,,,,,
2013-11-15,6.2,6.3,6.1,6.3,7900,49770.0,,,,,
2013-11-18,6.3,6.5,6.3,6.5,18100,117650.0,,,,,
2013-11-19,6.4,6.8,6.4,6.8,112670,766156.0,,,,,
2013-11-20,6.6,7.4,6.6,7.4,86300,638620.0,,,,,
2013-11-21,7.2,7.5,7.1,7.4,17400,128760.0,,,,,
2013-11-22,7.2,8.0,7.1,7.9,51700,408430.0,,,,,
2013-11-25,7.9,8.0,7.2,7.3,21200,154760.0,,,,,
2013-11-26,7.2,7.8,7.2,7.6,10300,78280.0,,,,,
2013-11-27,7.3,7.6,7.2,7.5,13500,101250.0,,,,,
2013-11-28,7.4,7.5,7.1,7.3,5300,38690.0,,,,,
2013-11-29,7.0,7.2,6.9,7.2,3500,25200.0,,,,,
2013-12-02,7.2,7.2,6.9,7.2,9700,69840.0,,,,,
2013-12-03,7.0,7.0,6.8,6.9,2100,14490.0,,,,,
2013-12-04,6.8,6.9,6.7,6.7,12100,81070.0,,,,,
2013-12-05,6.8,7.3,6.6,6.6,17300,114180.0,,,,,
2013-12-06,6.6,6.8,6.5,6.8,20200,137360.0,,,,,
2013-12-09,6.6,6.7,6.6,6.6,7300,48180.0,,,,,
2013-12-10,6.7,6.7,6.5,6.6,47100,310860.0,,,,,
2013-12-11,6.5,6.6,6.4,6.6,13900,91740.0,,,,,
2013-12-12,6.4,6.6,6.4,6.6,5000,33000.0,,,,,
2013-12-13,6.5,6.6,6.4,6.5,14900,96850.0,,,,,
2013-12-16,6.5,6.5,6.5,6.5,100,650.0,,,,,
2013-12-17,6.5,6.6,6.5,6.6,10800,71280.0,,,,,
2013-12-18,6.6,6.8,6.6,6.7,24000,160800.0,,,,,
2013-12-19,6.7,6.9,6.7,6.9,24100,166290.0,,,,,
2013-12-20,6.8,7.0,6.8,7.0,3300,23100.0,,,,,
2013-12-23,6.9,7.0,6.9,7.0,22900,160300.0,,,,,
2013-12-24,7.0,7.0,6.5,7.0,25300,177100.0,,,,,
