time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2025-03-19,16.8,16.8,16.8,16.8,100,1680.0,,,,,,,,
2025-03-20,16.8,16.8,16.8,16.8,0,0.0,,,,,,,,
2025-03-21,19.3,19.3,19.3,19.3,100,1930.0,,,,,,,,
2025-03-24,22.1,22.1,22.1,22.1,109,2408.9,,,,,,,,
2025-03-25,25.4,25.4,25.4,25.4,10491,266471.4,,,,,,,,
2025-03-26,29.2,29.2,29.2,29.2,600,17520.0,,,,,,,,
2025-03-27,33.5,33.5,33.5,33.5,4055,135842.5,,,,,,,,
2025-03-28,38.5,38.5,37.5,37.5,7947,298012.5,,,,,,,,
2025-03-31,38.2,38.2,38.2,38.2,1,38.2,,,,,,,,
2025-04-01,32.5,32.5,32.5,32.5,2108,68510.0,,,,,,,,
2025-04-02,27.7,27.7,27.7,27.7,308,8531.6,,,,,,,,
2025-04-03,23.6,23.6,23.6,23.6,300,7080.0,,,,,,,,
2025-04-04,20.1,20.1,20.1,20.1,17600,353760.0,,,,,,,,
2025-04-08,17.2,17.2,17.1,17.1,14505,248035.50000000003,,,,,,,,
2025-04-09,14.6,14.6,14.6,14.6,9900,144540.0,,,,,,,,
2025-04-10,16.7,16.7,16.7,16.7,50206,838440.2,,,,,,,,
2025-04-11,19.2,19.2,16.7,17.0,4900,83300.0,,,,,,,,
2025-04-14,15.3,17.5,15.0,17.5,3405,59587.5,,,,,,,,
2025-04-15,14.8,15.0,14.8,14.8,2200,32560.0,,,,,,,,
2025-04-16,15.5,17.0,15.4,16.6,7000,116200.0,,,,,,,,
2025-04-17,15.5,16.9,15.5,16.8,2800,47040.0,,,,,,,,
2025-04-18,16.0,16.6,14.2,16.6,42900,712140.0000000001,,,,,,,,
2025-04-21,16.2,16.2,15.0,15.0,1500,22500.0,,,,,,,,
2025-04-22,14.6,15.6,12.9,13.3,23700,315210.0,,,,,,,,
2025-04-23,14.0,14.4,14.0,14.4,1900,27360.0,,,,,,,,
2025-04-24,14.2,14.9,14.2,14.9,15800,235420.0,,,,,,,,
2025-04-25,14.5,14.9,14.5,14.9,1900,28310.0,,,,,,,,
2025-04-28,13.8,14.6,13.2,14.5,5200,75400.0,,,,,,,,
2025-04-29,14.8,14.8,14.8,14.8,200,2960.0,,,,,,,,
2025-05-05,14.6,14.6,13.6,13.6,5100,69360.0,,,,,,,,
2025-05-06,14.5,15.0,14.2,14.8,20100,297480.0,,,,,,,,
2025-05-07,14.5,15.3,14.5,15.0,714,10710.0,,,,,,,,
2025-05-08,15.0,15.0,14.5,14.5,11000,159500.0,,,,,,,,
2025-05-09,14.9,14.9,14.1,14.3,11210,160303.0,,,,,,,,
2025-05-12,14.2,14.2,14.0,14.0,21830,305620.0,,,,,,,,
2025-05-13,14.0,14.0,14.0,14.0,16400,229600.0,,,,,,,,
2025-05-14,13.9,14.0,13.9,13.9,16943,235507.7,,,,,,,,
2025-05-15,13.9,14.0,13.8,13.8,8700,120060.0,,,,,,,,
2025-05-16,13.8,15.0,13.8,15.0,46605,699075.0,,,,,,,,
2025-05-19,14.6,15.5,14.6,15.5,18502,286781.0,,,,,,,,
2025-05-20,15.4,15.4,15.0,15.2,16201,246255.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-21,15.0,15.0,14.3,14.6,12100,176660.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-22,16.5,16.5,15.0,15.5,4400,68200.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-23,15.6,16.1,15.4,16.1,6200,99820.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-26,16.1,16.1,16.1,16.1,401,6456.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-27,16.1,16.1,15.5,15.5,3700,57350.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025-05-28,15.9,15.9,15.9,15.9,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
