time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2020-12-18,31.768,31.768,31.768,31.768,100,3176.8,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2020-12-21,36.534,36.534,36.534,36.534,108,3945.672,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2020-12-22,41.98,41.98,41.98,41.98,100,4198.0,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2020-12-23,48.258,48.258,48.258,48.258,900,43432.2,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2020-12-24,55.443,55.443,55.443,55.443,204593,11343249.699,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2020-12-25,63.688,63.688,55.973,60.511,730732,44217324.052,2300.0,0.0,180000.0,0.0,,0.03,0.18,0.0
2020-12-28,62.849,62.849,59.632,61.202,99383,6082438.365999999,100.0,0.0,10000.0,0.0,,0.03,0.01,0.0
2020-12-29,61.045,61.751,59.319,59.632,150154,8953983.328,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2020-12-30,57.278,58.848,56.651,57.122,222102,12686910.444,0.0,1700.0,0.0,120000.0,,0.03,0.0,0.12
2020-12-31,57.122,57.122,55.866,56.651,254954,14443399.054,0.0,100.0,0.0,10000.0,,0.03,0.0,0.01
2021-01-04,56.651,59.005,56.651,58.534,160423,9390199.882,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-01-05,57.906,58.455,57.592,57.985,92603,5369584.955,200.0,100.0,10000.0,10000.0,,0.03,0.01,0.01
2021-01-06,58.063,58.063,57.514,57.592,105405,6070484.76,2000.0,0.0,150000.0,0.0,,0.03,0.15,0.0
2021-01-07,57.828,57.906,56.886,57.278,114900,6581242.2,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-01-08,57.122,57.2,56.729,56.886,97620,5553211.32,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-01-11,56.494,56.886,56.102,56.18,88450,4969121.0,300.0,0.0,20000.0,0.0,,0.03,0.02,0.0
2021-01-12,56.18,58.063,56.18,57.278,126950,7271442.1,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-01-13,58.063,60.417,57.671,59.397,394260,23417861.22,1600.0,0.0,120000.0,0.0,,0.03,0.12,0.0
2021-01-14,59.475,60.809,58.455,60.417,214730,12973342.41,200.0,300.0,20000.0,20000.0,,0.03,0.02,0.02
2021-01-15,60.339,60.888,60.103,60.809,251852,15314868.268,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-01-18,61.202,61.202,59.24,60.809,178150,10833123.35,2800.0,600.0,220000.0,50000.0,,0.03,0.22,0.05
2021-01-19,59.632,60.574,57.278,59.24,209297,12398754.28,500.0,0.0,40000.0,0.0,,0.03,0.04,0.0
2021-01-20,59.24,59.946,57.671,58.848,170110,10010633.28,1000.0,0.0,70000.0,0.0,,0.03,0.07,0.0
2021-01-21,59.475,60.809,58.455,60.495,220006,13309262.97,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-01-22,60.417,60.809,60.025,60.417,148829,8991801.693,100.0,0.0,10000.0,0.0,,0.03,0.01,0.0
2021-01-25,60.652,60.652,58.063,58.926,133600,7872513.600000001,100.0,0.0,10000.0,0.0,,0.03,0.01,0.0
2021-01-26,59.162,59.162,57.671,58.063,182110,10573852.93,700.0,0.0,50000.0,0.0,,0.03,0.05,0.0
2021-01-27,57.357,57.671,55.317,57.278,128700,7371678.6,1000.0,0.0,70000.0,0.0,,0.03,0.07,0.0
2021-01-28,56.494,56.886,49.118,51.001,370075,18874195.075,200.0,2000.0,10000.0,140000.0,,0.03,0.01,0.14
2021-01-29,49.354,56.102,49.04,54.925,70800,3888690.0,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-01,56.494,56.494,53.355,54.14,48861,2645334.54,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-02,53.983,54.925,53.983,54.925,105900,5816557.5,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-03,56.102,56.102,54.925,55.395,22700,1257466.5,100.0,0.0,10000.0,0.0,,0.03,0.01,0.0
2021-02-04,55.709,55.866,53.983,54.532,67200,3664550.4,200.0,0.0,10000.0,0.0,,0.03,0.01,0.0
2021-02-05,54.375,54.925,54.14,54.925,35500,1949837.5,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-08,54.925,54.925,53.826,54.14,46090,2495312.6,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-09,54.532,54.532,53.041,54.14,73200,3963048.0,200.0,0.0,10000.0,0.0,,0.03,0.01,0.0
2021-02-17,54.14,54.925,54.14,54.925,28700,1576347.5,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-18,54.925,54.925,54.375,54.611,34806,1900790.466,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-19,54.925,54.925,53.826,54.14,45800,2479612.0,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
2021-02-22,54.14,54.532,53.512,54.218,49630,2690839.3400000003,0.0,0.0,0.0,0.0,,0.03,0.0,0.0
