time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2022-04-28,14.0,14.0,14.0,14.0,5100,71400.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-04-29,16.1,16.1,16.1,16.1,94900,1527890.0000000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-04,18.5,18.5,18.5,18.5,5000,92500.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-05,21.2,21.2,21.2,21.2,25400,538480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-06,21.0,24.0,18.1,18.5,41100,760350.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-09,16.0,18.4,16.0,16.0,3000,48000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-10,16.5,18.9,16.0,18.9,16300,308070.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-11,20.0,20.0,15.5,18.0,3600,64800.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-12,15.9,17.9,15.5,15.5,9200,142600.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-13,15.5,16.5,13.5,16.2,10000,162000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-16,16.5,16.5,16.4,16.4,4400,72160.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-17,16.4,17.0,14.5,16.8,4100,68880.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-18,14.6,15.0,14.6,14.8,3300,48840.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-19,16.1,16.1,16.1,16.1,200,3220.0000000000005,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-20,17.0,17.0,13.7,16.0,17200,275200.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-23,14.0,14.0,13.9,13.9,1600,22240.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-24,13.9,15.5,13.9,15.3,3000,45900.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-25,15.3,15.5,15.3,15.5,400,6200.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-26,14.6,15.1,14.1,14.8,1700,25160.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-27,13.5,14.8,13.5,14.8,1100,16280.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-30,14.9,14.9,14.9,14.9,100,1490.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-05-31,14.7,14.7,13.1,14.5,12900,187050.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-01,14.7,16.8,14.6,15.4,6800,104720.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-02,13.8,14.9,13.8,14.8,300,4440.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-03,14.5,14.5,14.5,14.5,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-06,14.4,16.0,12.8,15.9,24200,384780.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-07,15.8,15.8,15.7,15.7,6000,94200.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-08,15.4,15.4,15.4,15.4,600,9240.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-09,15.4,15.4,15.4,15.4,3600,55440.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-10,14.5,14.9,13.8,14.3,1132,16187.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-13,14.4,14.4,14.4,14.4,107,1540.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-14,16.0,16.0,16.0,16.0,100,1600.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-15,16.0,16.0,16.0,16.0,200,3200.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-16,16.0,16.0,16.0,16.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-17,13.6,13.6,13.6,13.6,3408,46348.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-20,11.6,13.1,11.6,12.5,3602,45025.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-21,12.2,13.5,12.2,13.5,200,2700.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-22,14.8,14.8,14.8,14.8,100,1480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-23,13.0,14.8,13.0,14.8,2510,37148.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-24,15.3,15.3,14.9,15.0,1603,24045.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-27,12.8,14.5,12.8,14.5,300,4350.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-28,13.0,15.3,13.0,15.3,500,7650.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-29,13.0,13.0,13.0,13.0,1800,23400.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-30,13.0,13.0,11.1,13.0,1600,20800.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-01,13.0,14.8,13.0,14.8,2100,31080.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
