time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2016-12-28,20.462,20.462,20.462,20.462,3000,61386.0,,,,,
2016-12-29,22.51,22.51,22.51,22.51,2200,49522.0,,,,,
2016-12-30,24.712,24.712,24.712,24.712,8300,205109.6,,,,,
2017-01-03,26.759,27.153,24.712,24.712,12800,316313.6,,,,,
2017-01-04,23.217,24.712,22.824,24.004,8200,196832.8,,,,,
2017-01-05,23.217,23.217,21.722,21.722,12900,280213.8,,,,,
2017-01-06,20.856,21.643,20.069,21.643,8200,177472.6,,,,,
2017-01-09,20.935,20.935,20.462,20.462,9800,200527.6,,,,,
2017-01-10,20.462,20.856,19.282,19.282,16600,320081.2,,,,,
2017-01-11,19.282,20.462,18.967,19.361,21200,410453.2,,,,,
2017-01-12,20.069,21.25,20.069,21.25,60200,1279250.0,,,,,
2017-01-13,22.981,22.981,21.565,22.036,12200,268839.2,,,,,
2017-01-16,22.824,22.824,20.069,21.25,9100,193375.0,,,,,
2017-01-17,20.069,20.069,19.675,19.912,7700,153322.4,,,,,
2017-01-18,19.833,20.462,19.833,20.069,8500,170586.5,,,,,
2017-01-19,19.833,19.991,19.282,19.991,8300,165925.3,,,,,
2017-01-20,19.204,19.675,19.204,19.204,4000,76816.0,,,,,
2017-01-23,19.439,19.439,19.124,19.204,800,15363.2,,,,,
2017-01-24,18.888,19.124,18.259,19.124,30300,579457.2,,,,,
2017-01-25,18.337,19.204,18.101,19.204,1600,30726.4,,,,,
2017-02-02,18.101,18.81,18.101,18.81,900,16929.0,,,,,
2017-02-03,18.181,18.731,18.101,18.731,2800,52446.8,,,,,
2017-02-06,18.495,18.888,18.495,18.888,4300,81218.40000000001,,,,,
2017-02-07,18.888,20.069,18.888,20.069,5300,106365.7,,,,,
2017-02-08,19.361,19.597,19.282,19.282,3300,63630.6,,,,,
2017-02-09,19.597,20.305,19.282,19.597,6600,129340.2,,,,,
2017-02-10,19.361,19.991,19.282,19.991,2400,47978.4,,,,,
2017-02-13,19.675,19.833,19.675,19.754,4400,86917.6,,,,,
2017-02-14,19.991,19.991,19.597,19.597,2400,47032.8,,,,,
2017-02-15,19.597,19.675,19.597,19.675,500,9837.5,,,,,
2017-02-16,19.439,19.675,19.361,19.675,1700,33447.5,,,,,
2017-02-17,19.754,19.912,19.754,19.754,2700,53335.8,,,,,
2017-02-20,19.675,19.754,19.046,19.046,8700,165700.19999999998,,,,,
2017-02-21,19.282,19.282,19.124,19.124,8800,168291.19999999998,,,,,
2017-02-22,19.282,19.282,19.282,19.282,700,13497.4,,,,,
2017-02-23,19.282,19.282,19.282,19.282,0,0.0,,,,,
2017-02-24,19.282,19.282,19.282,19.282,2100,40492.2,,,,,
2017-02-27,19.204,19.597,19.204,19.597,200,3919.4,,,,,
2017-02-28,19.754,19.754,19.754,19.754,400,7901.6,,,,,
2017-03-01,19.754,19.754,19.754,19.754,0,0.0,,,,,
2017-03-02,19.754,19.754,19.754,19.754,0,0.0,,,,,
2017-03-03,19.675,19.675,19.597,19.597,500,9798.5,,,,,
2017-03-06,19.597,19.675,19.282,19.675,3000,59025.0,,,,,
2017-03-07,19.675,19.912,19.675,19.912,6000,119472.0,,,,,
2017-03-08,19.675,20.226,19.675,20.226,1500,30339.0,,,,,
2017-03-09,19.754,19.833,19.675,19.833,13300,263778.9,,,,,
2017-03-10,19.675,19.675,19.675,19.675,300,5902.5,,,,,
2017-03-13,20.069,20.148,19.675,20.069,1700,34117.3,,,,,
2017-03-14,19.675,19.675,19.675,19.675,500,9837.5,,,,,
2017-03-15,19.597,19.597,19.518,19.518,1100,21469.8,,,,,
2017-03-16,19.518,19.675,19.282,19.675,4800,94440.0,,,,,
2017-03-17,18.888,18.888,18.888,18.888,400,7555.200000000001,,,,,
2017-03-20,19.675,19.833,19.361,19.833,8100,160647.3,,,,,
2017-03-21,19.912,19.912,19.912,19.912,1200,23894.4,,,,,
2017-03-22,19.833,19.833,19.833,19.833,1700,33716.1,,,,,
2017-03-23,19.361,19.361,19.361,19.361,100,1936.1,,,,,
2017-03-24,19.361,19.361,19.361,19.361,0,0.0,,,,,
2017-03-27,19.675,19.833,19.675,19.833,1500,29749.5,,,,,
2017-03-28,19.833,19.833,19.833,19.833,0,0.0,,,,,
2017-03-29,19.833,19.833,19.833,19.833,0,0.0,,,,,
2017-03-30,19.833,19.833,19.833,19.833,0,0.0,,,,,
2017-03-31,19.833,19.833,19.833,19.833,0,0.0,,,,,
2017-04-03,20.148,20.62,19.754,20.62,2000,41240.0,,,,,
2017-04-04,20.62,20.62,20.62,20.62,0,0.0,,,,,
2017-04-05,19.675,19.675,19.675,19.675,2000,39350.0,,,,,
2017-04-07,19.675,21.643,19.675,21.643,46800,1012892.4,,,,,
2017-04-10,22.036,22.744,21.643,21.643,16600,359273.8,,,,,
2017-04-11,21.643,22.115,21.643,21.957,27800,610404.6,,,,,
2017-04-12,21.25,21.25,21.013,21.092,4000,84368.0,,,,,
2017-04-13,20.777,20.777,19.754,20.069,21400,429476.6,,,,,
2017-04-14,19.912,20.462,19.597,19.991,1600,31985.6,,,,,
2017-04-17,19.991,19.991,19.833,19.833,4700,93215.1,,,,,
2017-04-18,19.991,19.991,19.282,19.991,5500,109950.5,,,,,
2017-04-19,19.675,19.833,19.675,19.833,700,13883.1,,,,,
2017-04-20,19.675,20.069,19.675,20.069,8300,166572.69999999998,,,,,
2017-04-21,20.069,20.069,19.124,19.204,10500,201642.0,,,,,
2017-04-24,17.314,20.856,17.314,20.069,44400,891063.6,,,,,
2017-04-25,20.462,20.462,18.731,18.731,21800,408335.8000000001,,,,,
2017-04-26,18.495,18.574,18.181,18.495,13000,240435.0,,,,,
2017-04-27,18.259,18.495,18.101,18.259,8000,146072.0,,,,,
2017-04-28,18.101,18.259,18.101,18.181,7500,136357.5,,,,,
2017-05-03,18.181,18.888,18.181,18.81,3700,69597.0,,,,,
2017-05-04,18.495,18.888,18.495,18.81,7000,131670.0,,,,,
2017-05-05,18.888,18.888,18.888,18.888,700,13221.6,,,,,
2017-05-08,18.81,18.888,18.731,18.731,2800,52446.8,,,,,
2017-05-09,18.731,18.888,18.731,18.81,2900,54548.99999999999,,,,,
2017-05-10,18.81,18.81,18.81,18.81,0,0.0,,,,,
2017-05-11,18.023,18.731,18.023,18.731,2100,39335.100000000006,,,,,
2017-05-12,18.574,18.574,18.574,18.574,1000,18574.0,,,,,
2017-05-15,18.495,18.495,18.023,18.023,2300,41452.9,,,,,
2017-05-16,18.101,18.101,17.866,17.866,4300,76823.8,,,,,
2017-05-17,17.707,18.101,17.707,18.101,2900,52492.9,,,,,
2017-05-18,18.101,18.101,18.101,18.101,800,14480.8,,,,,
2017-05-19,18.101,18.101,18.101,18.101,2200,39822.2,,,,,
2017-05-22,18.416,18.416,17.707,18.023,2400,43255.2,,,,,
2017-05-23,18.023,18.101,17.707,18.101,1500,27151.5,,,,,
2017-05-24,18.023,18.023,18.023,18.023,800,14418.4,,,,,
2017-05-25,17.078,17.707,17.078,17.707,3400,60203.8,,,,,
2017-05-26,17.707,17.707,17.707,17.707,7500,132802.5,,,,,
2017-05-29,17.944,18.101,17.944,18.101,3600,65163.6,,,,,
2017-05-30,18.101,18.101,18.023,18.023,1600,28836.8,,,,,
2017-05-31,18.023,18.023,18.023,18.023,300,5406.9,,,,,
2017-06-01,17.472,17.551,17.472,17.551,600,10530.6,,,,,
2017-06-02,17.551,17.551,17.551,17.551,1800,31591.8,,,,,
2017-06-05,17.472,17.629,17.314,17.314,13300,230276.2,,,,,
2017-06-06,17.314,17.314,16.922,17.078,29700,507216.6,,,,,
2017-06-07,17.078,17.078,17.078,17.078,0,0.0,,,,,
2017-06-08,17.393,17.393,16.922,16.922,9800,165835.6,,,,,
2017-06-09,16.922,16.922,16.922,16.922,1300,21998.6,,,,,
2017-06-12,16.922,16.922,16.922,16.922,0,0.0,,,,,
2017-06-13,16.528,16.528,16.448,16.528,3200,52889.6,,,,,
2017-06-14,16.292,16.37,16.292,16.292,4500,73314.0,,,,,
2017-06-15,16.922,16.922,15.898,16.763,10420,174670.46000000002,,,,,
2017-06-16,15.976,15.976,15.425,15.425,22720,350456.0,,,,,
2017-06-19,15.425,16.292,15.347,16.292,7400,120560.80000000002,,,,,
2017-06-20,15.425,15.976,15.425,15.976,2800,44732.8,,,,,
2017-06-21,15.74,15.74,15.425,15.425,2700,41647.5,,,,,
2017-06-22,15.74,15.74,15.425,15.425,2000,30850.0,,,,,
2017-06-23,15.583,15.583,15.425,15.425,4700,72497.5,,,,,
2017-06-26,14.087,15.347,14.087,14.954,3400,50843.6,,,,,
2017-06-27,14.638,14.954,14.56,14.56,11100,161616.0,,,,,
2017-06-28,14.324,14.56,14.324,14.403,2860,41192.58,,,,,
2017-06-29,14.167,14.403,14.009,14.324,7000,100268.0,,,,,
2017-06-30,14.167,14.954,14.087,14.954,4000,59816.0,,,,,
2017-07-03,14.954,15.898,14.954,15.819,8200,129715.8,,,,,
2017-07-04,16.922,16.922,15.032,15.74,5900,92866.0,,,,,
2017-07-05,15.74,15.74,15.74,15.74,400,6296.0,,,,,
2017-07-06,15.74,15.74,15.74,15.74,0,0.0,,,,,
2017-07-07,15.347,15.347,14.796,15.347,5200,79804.4,,,,,
2017-07-10,15.425,15.425,15.268,15.268,1200,18321.6,,,,,
2017-07-11,15.268,15.268,15.268,15.268,0,0.0,,,,,
2017-07-12,16.763,16.763,15.268,16.448,1500,24672.0,,,,,
2017-07-13,16.134,16.134,16.134,16.134,300,4840.2,,,,,
2017-07-14,16.528,16.606,16.213,16.213,1600,25940.800000000003,,,,,
2017-07-17,16.606,17.786,16.606,17.786,12600,224103.6,,,,,
2017-07-18,17.786,17.944,16.055,17.944,1500,26916.0,,,,,
2017-07-19,17.944,17.944,17.944,17.944,3000,53832.0,,,,,
2017-07-20,17.707,17.707,17.707,17.707,2100,37184.7,,,,,
2017-07-21,15.976,15.976,15.976,15.976,1900,30354.4,,,,,
2017-07-24,14.403,14.403,14.403,14.403,25000,360075.0,,,,,
2017-07-25,13.379,15.74,13.064,14.875,11100,165112.5,,,,,
2017-07-26,14.875,15.268,14.56,14.56,2000,29120.0,,,,,
2017-07-27,14.167,14.954,14.009,14.167,7200,102002.4,,,,,
2017-07-28,13.852,14.403,13.852,14.403,200,2880.6,,,,,
2017-07-31,14.324,14.56,14.009,14.009,300,4202.7,,,,,
2017-08-01,13.537,14.167,13.537,14.167,500,7083.5,,,,,
2017-08-02,13.616,14.167,13.616,13.694,4200,57514.8,,,,,
2017-08-03,14.167,14.167,13.694,13.694,710,9722.74,,,,,
2017-08-04,13.694,13.694,13.379,13.379,6200,82949.8,,,,,
2017-08-07,13.379,14.009,13.379,14.009,1500,21013.5,,,,,
2017-08-08,14.167,14.167,13.379,13.379,500,6689.5,,,,,
2017-08-09,13.223,13.379,13.223,13.379,800,10703.2,,,,,
