time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2019-12-09,75.608,75.608,65.684,66.062,63600,4201543.2,,,,,
2019-12-10,65.212,65.212,58.596,61.526,158368,9743749.568,,,,,
2019-12-11,61.337,63.322,60.108,61.904,64940,4020045.76,,,,,
2019-12-12,62.282,63.322,61.432,62.566,20740,1297618.84,,,,,
2019-12-13,62.66,62.755,62.093,62.188,65735,4087928.18,,,,,
2019-12-16,62.282,62.66,61.432,62.282,37776,2352764.832,,,,,
2019-12-17,61.432,64.267,61.432,62.282,75555,4705716.51,,,,,
2019-12-18,62.849,63.794,62.188,62.377,32499,2027190.123,,,,,
2019-12-19,62.377,62.849,62.188,62.377,14311,892677.2470000001,,,,,
2019-12-20,62.377,62.849,61.999,61.999,36291,2250005.7090000003,,,,,
2019-12-23,62.377,62.377,61.242,61.432,57620,3539711.8400000003,,,,,
2019-12-24,62.093,62.377,61.526,61.999,51730,3207208.27,,,,,
2019-12-25,62.377,62.66,61.526,62.282,45585,2839124.97,,,,,
2019-12-26,62.282,62.377,62.188,62.377,22640,1412215.28,,,,,
2019-12-27,62.377,62.755,62.282,62.282,51760,3223716.32,,,,,
2019-12-30,62.377,62.66,62.188,62.377,41765,2605175.4050000003,,,,,
2019-12-31,62.377,62.377,62.282,62.377,15051,938836.227,,,,,
2020-01-02,62.377,62.377,62.188,62.377,30336,1892268.672,,,,,
2020-01-03,62.377,62.471,61.432,62.377,30330,1891894.41,,,,,
2020-01-06,62.377,62.377,61.715,62.377,6965,434455.805,,,,,
2020-01-07,62.377,62.377,61.526,62.377,34804,2170969.108,,,,,
2020-01-08,62.282,62.377,61.904,62.282,12790,796586.7799999999,,,,,
2020-01-09,62.282,62.377,61.432,62.282,32659,2034067.838,,,,,
2020-01-10,61.904,62.377,61.621,62.282,8789,547396.498,,,,,
2020-01-13,62.188,62.282,61.526,62.282,17710,1103014.22,,,,,
2020-01-14,62.188,62.282,61.526,62.282,14393,896424.826,,,,,
2020-01-15,62.377,62.377,61.526,62.377,25361,1581943.097,,,,,
2020-01-16,62.377,62.377,62.282,62.377,11283,703799.691,,,,,
2020-01-17,62.282,62.377,61.621,62.377,8151,508434.927,,,,,
2020-01-20,62.377,62.377,62.377,62.377,2274,141845.298,,,,,
2020-01-21,62.377,62.377,62.188,62.282,10769,670714.858,,,,,
2020-01-22,62.188,62.377,61.621,61.621,2013,124043.073,,,,,
2020-01-30,61.432,62.377,61.337,61.432,22051,1354637.032,,,,,
2020-01-31,62.377,62.377,54.816,62.188,14057,874176.716,,,,,
2020-02-03,59.541,59.541,56.706,56.706,6593,373862.658,,,,,
2020-02-04,56.706,56.706,54.343,54.343,3764,204547.05200000005,,,,,
2020-02-05,51.981,54.816,47.255,54.816,55543,3044645.088,,,,,
2020-02-06,54.343,56.517,54.343,54.816,12911,707729.376,,,,,
2020-02-07,54.721,54.816,54.627,54.627,7010,382935.27,,,,,
2020-02-10,51.981,55.761,51.981,55.761,24200,1349416.2,,,,,
2020-02-11,55.761,56.517,55.761,55.95,3469,194090.55,,,,,
2020-02-12,53.115,56.422,53.115,56.328,11200,630873.6,,,,,
2020-02-13,56.422,56.422,53.871,55.761,8620,480659.82,,,,,
2020-02-14,55.194,55.761,55.194,55.477,10000,554770.0,,,,,
2020-02-17,54.91,55.761,54.91,55.761,6800,379174.8000000001,,,,,
2020-02-18,55.383,55.383,55.383,55.383,0,0.0,,,,,
2020-02-19,54.343,55.383,53.871,55.383,5079,281290.25700000004,,,,,
2020-02-20,55.761,55.761,53.965,53.965,5400,291411.0,,,,,
2020-02-21,54.816,54.91,53.965,54.721,4273,233822.833,,,,,
2020-02-24,53.02,53.871,52.831,52.831,1603,84688.09300000001,,,,,
2020-02-25,52.926,54.721,52.075,52.17,5715,298151.55,,,,,
2020-02-26,52.926,52.926,52.926,52.926,409,21646.734,,,,,
2020-02-27,54.721,54.721,52.264,52.264,2300,120207.2,,,,,
2020-02-28,51.981,51.981,51.981,51.981,801,41636.781,,,,,
2020-03-02,49.24,50.09,49.145,49.429,3400,168058.6,,,,,
2020-03-03,49.618,49.807,49.145,49.334,5028,248051.352,,,,,
2020-03-04,51.981,51.981,49.145,49.145,6412,315117.74000000005,,,,,
2020-03-05,49.145,49.901,49.145,49.24,2825,139103.0,,,,,
2020-03-06,49.807,49.807,49.145,49.807,3950,196737.65,,,,,
2020-03-09,49.334,51.697,42.435,48.011,3400,163237.40000000002,,,,,
2020-03-10,47.539,48.106,42.624,48.106,6135,295130.31,,,,,
2020-03-11,44.609,44.798,44.231,44.42,8800,390896.0,,,,,
2020-03-12,41.773,41.773,38.749,39.033,8715,340172.59500000003,,,,,
2020-03-13,34.969,38.749,34.969,35.536,2407,85535.152,,,,,
2020-03-16,36.859,38.749,36.859,36.859,5230,192772.57,,,,,
2020-03-17,34.024,38.466,34.024,38.466,2810,108089.46,,,,,
2020-03-18,40.545,41.395,39.694,40.545,18903,766422.135,,,,,
2020-03-19,38.749,40.639,38.749,40.545,2983,120945.735,,,,,
2020-03-20,42.53,42.53,39.694,40.639,2936,119316.104,,,,,
