time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-01-15,11.36,11.36,11.133,11.36,440400,5002944.0,,,,,,,,
2016-01-18,12.269,12.269,11.36,11.511,325200,3743377.2,,,,,,,,
2016-01-19,11.511,11.663,11.436,11.663,259300,3024215.9,,,,,,,,
2016-01-20,11.663,11.663,11.133,11.285,382100,4311998.5,,,,,,,,
2016-01-21,11.285,11.36,11.057,11.133,307100,3418944.3,,,,,,,,
2016-01-22,11.133,11.208,10.981,11.133,176500,1964974.5,,,,,,,,
2016-01-25,11.133,11.285,10.375,10.603,556000,5895268.0,,,,,,,,
2016-01-26,10.527,10.527,10.224,10.375,285500,2962062.5,,,,,,,,
2016-01-27,10.375,10.375,9.997,10.3,599000,6169700.0,,,,,,,,
2016-01-28,10.3,10.375,10.148,10.3,213300,2196990.0,,,,,,,,
2016-01-29,10.3,10.527,10.224,10.451,211900,2214566.9,,,,,,,,
2016-02-01,10.451,10.603,10.3,10.451,280600,2932550.6,,,,,,,,
2016-02-02,10.451,10.527,10.3,10.451,205300,2145590.3000000003,,,,,,,,
2016-02-03,10.451,10.527,10.3,10.451,226200,2364016.2,,,,,,,,
2016-02-04,10.451,10.981,10.3,10.754,416100,4474739.399999999,,,,,,,,
2016-02-05,10.754,10.83,10.603,10.679,177700,1897658.3,,,,,,,,
2016-02-15,10.679,10.754,10.527,10.603,189900,2013509.7,,,,,,,,
2016-02-16,10.603,10.83,10.527,10.679,230900,2465781.1,,,,,,,,
2016-02-17,10.679,10.754,10.603,10.679,195400,2086676.6,,,,,,,,
2016-02-18,10.679,11.738,10.603,11.738,895700,10513726.6,,,,,,,,
2016-02-19,11.815,12.193,11.738,12.118,628000,7610104.0,,,,,,,,
2016-02-22,12.118,12.723,12.041,12.496,565900,7071486.4,,,,,,,,
2016-02-23,12.496,12.571,11.89,12.118,460900,5585186.2,,,,,,,,
2016-02-24,12.041,12.118,11.815,11.966,264900,3169793.4,,,,,,,,
2016-02-25,11.966,12.193,11.89,12.041,307300,3700199.3,,,,,,,,
2016-02-26,12.041,12.118,11.966,12.118,227200,2753209.6,,,,,,,,
2016-02-29,12.118,12.193,11.966,12.118,246200,2983451.6,,,,,,,,
2016-03-01,12.118,12.269,12.041,12.193,299100,3646926.3,,,,,,,,
2016-03-02,12.193,12.345,12.041,12.269,259700,3186259.3,,,,,,,,
2016-03-03,12.269,12.345,12.118,12.193,259300,3161644.9,,,,,,,,
2016-03-04,12.193,12.269,12.041,12.193,304800,3716426.4,,,,,,,,
2016-03-07,12.193,12.345,12.118,12.269,243700,2989955.3,,,,,,,,
2016-03-08,12.269,12.345,12.118,12.193,272700,3325031.1,,,,,,,,
2016-03-09,12.193,12.345,12.118,12.193,255200,3111653.6,,,,,,,,
2016-03-10,12.193,12.345,12.118,12.193,234400,2858039.2,,,,,,,,
2016-03-11,12.193,12.269,12.041,12.193,202600,2470301.8,,,,,,,,
2016-03-14,12.193,12.269,12.041,12.118,141200,1711061.6,,,,,,,,
2016-03-15,12.118,12.269,11.966,12.118,242400,2937403.2,,,,,,,,
2016-03-16,12.193,12.875,12.041,12.723,873100,11108451.3,,,,,,,,
2016-03-17,12.723,13.026,12.723,12.723,363800,4628627.4,,,,,,,,
2016-03-18,12.723,12.875,12.571,12.647,267900,3388131.3000000003,,,,,,,,
2016-03-21,12.647,12.723,12.345,12.647,348900,4412538.3,,,,,,,,
2016-03-22,12.723,13.329,12.571,13.329,799000,10649871.0,,,,,,,,
2016-03-23,13.329,13.784,13.254,13.784,567800,7826555.2,,,,,,,,
2016-03-24,13.784,14.541,13.631,14.389,777000,11180253.0,,,,,,,,
2016-03-25,14.313,14.465,14.011,14.087,329100,4636031.7,,,,,,,,
2016-03-28,14.162,14.313,14.011,14.162,251900,3567407.8000000003,,,,,,,,
2016-03-29,14.162,14.541,14.087,14.389,388400,5588687.6,,,,,,,,
2016-03-30,14.389,14.541,14.313,14.389,285900,4113815.1,,,,,,,,
2016-03-31,14.389,14.389,14.087,14.238,258800,3684794.4,,,,,,,,
2016-04-01,14.238,14.389,14.087,14.238,226500,3224907.0,,,,,,,,
2016-04-04,14.238,14.313,14.087,14.238,180100,2564263.8,,,,,,,,
2016-04-05,14.238,14.389,14.162,14.238,164100,2336455.8,,,,,,,,
2016-04-06,14.238,14.313,14.162,14.238,156300,2225399.4,,,,,,,,
2016-04-07,14.238,15.601,14.162,15.601,1451200,22640171.200000003,,,,,,,,
2016-04-08,15.601,16.662,15.298,16.207,896300,14526334.1,,,,,,,,
2016-04-11,16.131,16.359,14.616,14.616,394800,5770396.8,,,,,,,,
2016-04-12,13.178,13.178,13.178,13.178,143200,1887089.6,,,,,,,,
2016-04-13,11.89,11.89,11.89,11.89,101300,1204457.0,,,,,,,,
2016-04-14,10.754,11.511,10.754,11.36,1301700,14787312.0,,,,,,,,
2016-04-15,11.36,12.118,11.133,12.041,535900,6452771.9,,,,,,,,
2016-04-19,11.966,12.118,10.905,10.905,460100,5017390.5,,,,,,,,
2016-04-20,10.148,10.148,9.846,9.846,216800,2134612.8,,,,,,,,
2016-04-21,8.861,9.467,8.861,9.467,1041200,9857040.4,,,,,,,,
