time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2018-06-22,10.201,10.201,10.201,10.201,100,1020.1,,,,,
2018-06-25,10.201,10.201,10.201,10.201,200,2040.2,,,,,
2018-06-26,10.201,10.201,9.594,9.594,2133,20464.002,,,,,
2018-06-27,9.594,9.594,9.594,9.594,235,2254.59,,,,,
2018-06-28,8.234,8.428,8.234,8.428,600,5056.8,,,,,
2018-06-29,7.553,7.553,7.553,7.553,200,1510.6,,,,,
2018-07-02,7.553,7.553,7.553,7.553,0,0.0,,,,,
2018-07-03,8.501,8.622,7.918,8.112,1900,15412.8,,,,,
2018-07-04,8.282,8.282,8.282,8.282,400,3312.8,,,,,
2018-07-05,8.768,8.768,8.768,8.768,200,1753.6,,,,,
2018-07-06,8.574,9.958,8.574,9.958,1200,11949.6,,,,,
2018-07-09,8.549,8.549,8.549,8.549,500,4274.5,,,,,
2018-07-10,8.744,9.715,7.456,9.715,4400,42746.0,,,,,
2018-07-11,9.472,10.128,8.938,9.934,2200,21854.8,,,,,
2018-07-12,8.962,8.962,8.768,8.768,1400,12275.2,,,,,
2018-07-13,8.646,8.646,8.646,8.646,400,3458.4000000000005,,,,,
2018-07-16,8.525,8.865,8.525,8.865,9700,85990.5,,,,,
2018-07-17,8.768,9.278,8.768,8.889,5900,52445.1,,,,,
2018-07-18,9.302,9.326,8.865,9.326,400,3730.4,,,,,
2018-07-19,8.258,8.865,7.723,8.501,5450,46330.45,,,,,
2018-07-20,9.448,9.448,8.015,8.258,3600,29728.8,,,,,
2018-07-23,8.865,8.865,8.136,8.306,10300,85551.79999999999,,,,,
2018-07-24,8.161,8.501,8.161,8.428,6000,50568.00000000001,,,,,
2018-07-25,8.598,8.598,8.039,8.306,10800,89704.79999999999,,,,,
2018-07-26,7.772,8.015,7.699,7.772,5600,43523.2,,,,,
2018-07-27,6.849,7.869,6.849,7.311,5000,36555.0,,,,,
2018-07-30,6.946,7.991,6.946,7.529,9600,72278.4,,,,,
2018-07-31,7.068,7.529,7.068,7.529,5500,41409.5,,,,,
2018-08-01,6.218,8.088,6.218,7.335,500,3667.5,,,,,
2018-08-02,7.311,7.529,6.946,7.141,12100,86406.1,,,,,
2018-08-03,7.068,7.408,7.068,7.165,2600,18629.0,,,,,
2018-08-06,6.825,7.505,6.825,7.408,1400,10371.2,,,,,
2018-08-07,7.043,7.529,7.043,7.529,9420,70923.18,,,,,
2018-08-08,7.772,7.966,7.626,7.626,6900,52619.4,,,,,
2018-08-09,7.408,7.408,7.408,7.408,1000,7408.0,,,,,
2018-08-10,7.699,7.699,7.359,7.359,3700,27228.3,,,,,
2018-08-13,6.703,7.626,6.703,7.408,4210,31187.68,,,,,
2018-08-14,7.286,7.286,7.286,7.286,1200,8743.199999999999,,,,,
2018-08-15,7.772,7.772,7.311,7.335,3900,28606.5,,,,,
2018-08-16,7.311,7.748,7.068,7.456,6000,44736.0,,,,,
2018-08-17,7.189,7.432,7.189,7.432,2400,17836.8,,,,,
