time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-11-28,14.357,14.91,14.357,14.91,365510,5449754.1,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-11-29,15.931,15.931,15.462,15.462,96040,1484970.48,480.0,0.0,30000.0,0.0,,7.67,0.03,0.0
2018-11-30,15.517,15.517,15.13,15.158,141060,2138187.48,113000.0,0.0,6220000.0,0.0,,7.67,6.22,0.0
2018-12-03,15.103,15.103,14.137,14.495,233640,3386611.8,173010.0,0.0,9220000.0,0.0,,7.67,9.22,0.0
2018-12-04,14.634,14.661,14.468,14.523,135900,1973675.7,90190.0,0.0,4760000.0,0.0,,7.67,4.76,0.0
2018-12-05,14.523,14.551,13.515,13.888,266020,3694485.76,91300.0,0.0,4630000.0,0.0,,7.67,4.63,0.0
2018-12-06,13.888,13.888,13.529,13.805,107370,1482242.85,55000.0,0.0,2750000.0,0.0,,7.67,2.75,0.0
2018-12-07,14.081,14.081,13.805,13.888,44440,617182.72,11000.0,0.0,560000.0,0.0,,7.67,0.56,0.0
2018-12-10,13.888,13.943,13.501,13.86,94800,1313928.0,100.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-11,14.551,14.551,13.201,13.531,47340,640557.54,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-12,13.261,13.801,12.601,12.841,134820,1731223.62,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-13,12.841,12.901,12.451,12.601,182210,2296028.21,108000.0,0.0,4530000.0,0.0,,7.67,4.53,0.0
2018-12-14,12.346,12.601,11.761,11.941,97990,1170098.59,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-17,11.941,12.391,11.701,12.061,29230,352543.03,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-18,11.761,12.751,11.761,12.736,33710,429330.56,4050.0,0.0,170000.0,0.0,,7.67,0.17,0.0
2018-12-19,12.751,12.751,12.586,12.601,18460,232614.46,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-20,12.271,12.571,12.091,12.436,53070,659978.52,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-21,12.496,12.601,11.776,12.556,30740,385971.44,17130.0,0.0,710000.0,0.0,,7.67,0.71,0.0
2018-12-24,12.181,12.751,12.181,12.451,19500,242794.5,10000.0,180.0,420000.0,10000.0,,7.67,0.42,0.01
2018-12-25,12.301,12.301,11.881,12.001,36630,439596.63,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2018-12-26,12.001,12.301,12.001,12.301,18260,224616.26,2500.0,0.0,100000.0,0.0,,7.67,0.1,0.0
2018-12-27,12.451,12.451,12.091,12.301,30790,378747.79,20000.0,0.0,820000.0,0.0,,7.67,0.82,0.0
2018-12-28,12.301,12.436,12.031,12.301,26780,329420.78,18000.0,0.0,740000.0,0.0,,7.67,0.74,0.0
2019-01-02,12.301,12.406,12.271,12.301,19350,238024.35,0.0,0.0,0.0,0.0,,7.67,0.0,0.0
2019-01-03,12.331,12.391,12.001,12.301,46390,570643.39,3000.0,0.0,120000.0,0.0,,7.67,0.12,0.0
