time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-05-10,7.641,7.641,6.822,7.3,859300,6272890.0,,,,,,,,
2016-05-11,7.163,7.504,7.027,7.436,678600,5046069.6,,,,,,,,
2016-05-12,7.3,7.573,7.027,7.436,948100,7050071.6,,,,,,,,
2016-05-13,7.163,7.573,7.095,7.368,1023000,7537464.0,,,,,,,,
2016-05-16,7.232,7.504,7.095,7.504,865500,6494712.0,,,,,,,,
2016-05-17,7.3,7.777,7.163,7.641,1141400,8721437.4,,,,,,,,
2016-05-18,7.504,7.846,7.504,7.573,494600,3745605.8,,,,,,,,
2016-05-19,7.504,7.846,7.436,7.709,639100,4926821.899999999,,,,,,,,
2016-05-20,7.573,7.777,7.436,7.641,589600,4505133.6,,,,,,,,
2016-05-23,7.709,7.914,7.504,7.641,496500,3793756.5,,,,,,,,
2016-05-24,7.573,7.982,7.504,7.846,585700,4595402.2,,,,,,,,
2016-05-25,7.709,8.187,7.641,8.05,628400,5058620.0,,,,,,,,
2016-05-26,7.777,7.914,7.573,7.846,693200,5438847.2,,,,,,,,
2016-05-27,7.709,7.982,7.709,7.914,473300,3745696.2,,,,,,,,
2016-05-30,7.914,8.118,7.436,8.05,875800,7050190.000000001,,,,,,,,
2016-05-31,7.914,7.982,7.777,7.846,355100,2786114.6,,,,,,,,
2016-06-01,7.846,8.255,7.777,8.118,991200,8046561.600000001,,,,,,,,
2016-06-02,7.914,8.187,7.709,7.982,1041900,8316445.8,,,,,,,,
2016-06-03,7.846,8.255,7.777,8.187,623200,5102138.399999999,,,,,,,,
2016-06-06,8.118,8.255,8.05,8.187,437300,3580175.1,,,,,,,,
2016-06-07,7.982,8.46,7.982,8.46,935300,7912638.000000001,,,,,,,,
2016-06-08,8.46,8.664,8.187,8.596,892600,7672789.6,,,,,,,,
2016-06-09,8.46,8.664,8.255,8.46,1044900,8839854.0,,,,,,,,
2016-06-10,8.528,8.664,8.187,8.46,926800,7840728.000000001,,,,,,,,
2016-06-13,8.46,8.596,8.118,8.255,434500,3586797.5000000005,,,,,,,,
2016-06-14,8.255,8.323,7.846,8.05,658400,5300120.000000001,,,,,,,,
2016-06-15,7.982,7.982,7.3,7.3,547100,3993830.0,,,,,,,,
2016-06-16,6.618,6.822,6.618,6.686,114300,764209.8,,,,,,,,
2016-06-17,6.14,6.89,6.072,6.14,57400,352436.0,,,,,,,,
2016-06-20,5.526,6.413,5.526,6.14,199500,1224930.0,,,,,,,,
2016-06-21,6.14,6.14,5.526,6.14,29900,183586.0,,,,,,,,
2016-06-22,6.14,6.14,5.526,5.526,8600,47523.6,,,,,,,,
2016-06-23,5.39,6.072,4.98,6.072,64900,394072.8,,,,,,,,
2016-06-24,5.867,6.072,5.526,6.072,51800,314529.6,,,,,,,,
2016-06-27,6.072,6.14,5.731,6.072,50800,308457.6,,,,,,,,
2016-06-28,5.799,6.14,5.731,6.14,66100,405854.0,,,,,,,,
2016-06-29,5.935,6.208,5.662,6.14,65600,402784.0,,,,,,,,
2016-06-30,6.14,6.345,6.072,6.276,120000,753120.0,,,,,,,,
2016-07-01,6.004,6.14,5.935,6.14,188800,1159232.0,,,,,,,,
2016-07-04,6.004,6.208,6.004,6.208,194800,1209318.4,,,,,,,,
2016-07-05,6.072,6.208,6.004,6.208,174900,1085779.2,,,,,,,,
2016-07-06,6.072,6.208,5.594,6.208,174400,1082675.2,,,,,,,,
2016-07-07,6.072,6.276,6.072,6.276,298400,1872758.4,,,,,,,,
2016-07-08,6.004,6.345,6.004,6.345,235900,1496785.5,,,,,,,,
2016-07-11,6.004,6.208,5.867,6.14,323300,1985062.0,,,,,,,,
2016-07-12,5.935,6.14,5.867,6.14,327100,2008394.0,,,,,,,,
2016-07-13,5.935,6.208,5.935,6.14,287300,1764022.0,,,,,,,,
2016-07-14,5.867,6.14,5.799,6.072,331600,2013475.2,,,,,,,,
