time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-10-14,7.928,7.928,7.928,7.928,400,3171.2,,,,,,,,
2016-10-17,7.928,7.928,7.928,7.928,0,0.0,,,,,,,,
2016-10-18,7.928,7.928,7.928,7.928,0,0.0,,,,,,,,
2016-10-19,6.772,6.772,6.772,6.772,100,677.2,,,,,,,,
2016-10-20,6.772,6.772,6.772,6.772,0,0.0,,,,,,,,
2016-10-21,7.763,7.763,5.781,6.607,701,4631.5070000000005,,,,,,,,
2016-10-24,6.277,6.607,6.277,6.607,600,3964.2,,,,,,,,
2016-10-25,7.488,7.488,7.488,7.488,500,3744.0,,,,,,,,
2016-10-26,8.259,8.259,6.387,7.378,1600,11804.8,,,,,,,,
2016-10-27,6.222,7.488,6.222,6.222,700,4355.400000000001,,,,,,,,
2016-10-28,5.946,5.946,5.946,5.946,300,1783.8,,,,,,,,
2016-10-31,6.717,6.717,5.12,5.12,300,1536.0,,,,,,,,
2016-11-01,6.166,6.166,6.166,6.166,0,0.0,,,,,,,,
2016-11-02,5.286,6.056,5.286,6.056,200,1211.2,,,,,,,,
2016-11-03,4.9,4.9,4.9,4.9,100,490.00000000000006,,,,,,,,
2016-11-04,4.184,5.506,4.184,5.506,600,3303.6000000000004,,,,,,,,
2016-11-07,5.561,5.561,5.561,5.561,100,556.1,,,,,,,,
2016-11-08,6.387,6.387,6.332,6.332,900,5698.8,,,,,,,,
2016-11-09,7.268,7.268,5.396,5.451,3900,21258.9,,,,,,,,
2016-11-10,7.268,7.268,7.268,7.268,500,3634.0,,,,,,,,
2016-11-11,6.222,8.314,6.222,8.314,2100,17459.4,,,,,,,,
2016-11-14,8.479,8.479,8.479,8.479,300,2543.7,,,,,,,,
2016-11-15,7.213,9.525,7.213,9.525,1400,13335.0,,,,,,,,
2016-11-16,7.488,7.488,7.488,7.488,100,748.8000000000001,,,,,,,,
2016-11-17,8.479,8.589,6.387,6.387,1100,7025.7,,,,,,,,
2016-11-18,8.644,8.699,6.497,6.497,18400,119544.8,,,,,,,,
2016-11-21,6.056,7.378,6.056,7.378,8800,64926.4,,,,,,,,
2016-11-22,7.323,7.323,5.836,5.891,3900,22974.9,,,,,,,,
2016-11-23,6.882,6.882,5.175,5.451,11700,63776.7,,,,,,,,
2016-11-24,6.552,6.552,5.506,5.671,6500,36861.5,,,,,,,,
2016-11-25,6.552,6.662,5.01,5.671,7700,43666.7,,,,,,,,
