time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2011-04-21,2.6,2.89,1.59,1.65,492500,812625.0,,,,,
2011-04-22,1.71,1.72,1.58,1.58,65800,103964.0,,,,,
2011-04-25,1.59,1.66,1.53,1.55,53000,82150.0,,,,,
2011-04-26,1.65,1.69,1.5,1.5,69000,103500.0,,,,,
2011-04-27,1.56,1.59,1.46,1.49,215900,321691.0,,,,,
2011-04-28,1.52,1.58,1.49,1.56,214800,335088.0,,,,,
2011-04-29,1.59,1.62,1.59,1.61,79100,127351.0,,,,,
2011-05-04,1.64,1.64,1.52,1.55,14200,22010.0,,,,,
2011-05-05,1.55,1.58,1.46,1.52,55300,84056.0,,,,,
2011-05-06,1.59,1.59,1.45,1.48,47400,70152.0,,,,,
2011-05-09,1.52,1.53,1.46,1.52,47100,71592.0,,,,,
2011-05-10,1.56,1.56,1.52,1.52,37700,57304.0,,,,,
2011-05-11,1.5,1.5,1.45,1.5,76500,114750.0,,,,,
2011-05-12,1.52,1.58,1.52,1.58,215300,340174.0,,,,,
2011-05-13,1.64,1.66,1.64,1.66,291400,483724.0,,,,,
2011-05-16,1.69,1.77,1.68,1.69,147000,248430.0,,,,,
2011-05-17,1.71,1.71,1.59,1.62,141600,229392.00000000003,,,,,
2011-05-18,1.55,1.69,1.53,1.65,201900,333135.0,,,,,
2011-05-19,1.69,1.72,1.65,1.66,256100,425126.0,,,,,
2011-05-20,1.71,1.71,1.61,1.68,132800,223104.0,,,,,
2011-05-23,1.68,1.69,1.55,1.58,147800,233524.0,,,,,
2011-05-24,1.62,1.64,1.52,1.52,69300,105336.0,,,,,
2011-05-25,1.56,1.58,1.45,1.48,57000,84360.0,,,,,
2011-05-26,1.48,1.49,1.37,1.46,209400,305724.0,,,,,
2011-05-27,1.48,1.49,1.39,1.45,110000,159500.0,,,,,
2011-05-30,1.52,1.52,1.36,1.36,26700,36312.0,,,,,
2011-05-31,1.4,1.42,1.33,1.36,92300,125528.0,,,,,
2011-06-01,1.39,1.43,1.33,1.4,84000,117600.0,,,,,
2011-06-02,1.43,1.48,1.4,1.48,92200,136456.0,,,,,
2011-06-03,1.46,1.56,1.39,1.45,34800,50460.0,,,,,
2011-06-06,1.5,1.52,1.4,1.42,44000,62480.0,,,,,
2011-06-07,1.46,1.48,1.42,1.43,80600,115258.0,,,,,
2011-06-08,1.46,1.48,1.39,1.43,44400,63492.0,,,,,
2011-06-09,1.48,1.5,1.45,1.45,51800,75110.0,,,,,
2011-06-10,1.5,1.53,1.46,1.5,48500,72750.0,,,,,
2011-06-13,1.55,1.56,1.46,1.5,46600,69900.0,,,,,
2011-06-14,1.55,1.55,1.42,1.43,74000,105820.0,,,,,
2011-06-15,1.49,1.49,1.36,1.36,63200,85952.0,,,,,
2011-06-16,1.39,1.42,1.37,1.37,8100,11097.0,,,,,
2011-06-17,1.37,1.39,1.3,1.3,88200,114660.0,,,,,
2011-06-20,1.33,1.33,1.29,1.33,50300,66899.0,,,,,
2011-06-21,1.36,1.36,1.3,1.35,20300,27405.0,,,,,
2011-06-22,1.3,1.3,1.26,1.26,68100,85806.0,,,,,
2011-06-23,1.24,1.24,1.19,1.19,87200,103768.0,,,,,
2011-06-24,1.22,1.27,1.2,1.27,50100,63627.0,,,,,
2011-06-27,1.26,1.3,1.23,1.3,45200,58760.0,,,,,
2011-06-28,1.32,1.32,1.24,1.26,18000,22680.0,,,,,
2011-06-29,1.23,1.23,1.2,1.23,43100,53013.0,,,,,
2011-06-30,1.26,1.26,1.2,1.22,46900,57218.0,,,,,
2011-07-01,1.2,1.2,1.19,1.2,28200,33840.0,,,,,
2011-07-04,1.2,1.23,1.2,1.22,6900,8418.0,,,,,
2011-07-05,1.24,1.27,1.23,1.27,56700,72009.0,,,,,
2011-07-06,1.33,1.33,1.22,1.24,29700,36828.0,,,,,
2011-07-07,1.27,1.27,1.24,1.26,25900,32634.0,,,,,
2011-07-08,1.27,1.27,1.23,1.27,27000,34290.0,,,,,
2011-07-11,1.24,1.26,1.23,1.23,52800,64944.0,,,,,
2011-07-12,1.24,1.26,1.23,1.26,45500,57330.0,,,,,
2011-07-13,1.31,1.31,1.3,1.3,22000,28600.0,,,,,
2011-07-14,1.39,1.39,1.25,1.25,7800,9750.0,,,,,
2011-07-15,1.26,1.38,1.26,1.38,23500,32430.0,,,,,
2011-07-18,1.39,1.41,1.3,1.3,16500,21450.0,,,,,
2011-07-19,1.35,1.35,1.31,1.31,5000,6550.0,,,,,
2011-07-20,1.31,1.33,1.31,1.31,12800,16768.0,,,,,
2011-07-21,1.31,1.36,1.31,1.36,38300,52088.00000000001,,,,,
2011-07-22,1.35,1.36,1.35,1.35,29600,39960.0,,,,,
2011-07-25,1.3,1.43,1.3,1.43,33100,47333.0,,,,,
2011-07-26,1.44,1.46,1.43,1.43,14000,20020.0,,,,,
2011-07-27,1.47,1.47,1.35,1.41,17000,23970.0,,,,,
2011-07-28,1.47,1.47,1.36,1.36,16000,21760.0,,,,,
2011-07-29,1.49,1.51,1.36,1.36,25900,35224.0,,,,,
2011-08-01,1.38,1.39,1.38,1.38,19700,27186.0,,,,,
2011-08-02,1.43,1.46,1.35,1.36,15000,20400.0,,,,,
2011-08-03,1.46,1.46,1.46,1.46,9000,13140.0,,,,,
2011-08-04,1.36,1.39,1.36,1.36,3000,4080.000000000001,,,,,
2011-08-05,1.38,1.41,1.35,1.38,16500,22770.0,,,,,
2011-08-08,1.41,1.43,1.41,1.43,6000,8580.0,,,,,
2011-08-09,1.44,1.44,1.33,1.33,43200,57456.0,,,,,
2011-08-10,1.41,1.43,1.41,1.43,7000,10010.0,,,,,
2011-08-11,1.43,1.43,1.35,1.35,10000,13500.0,,,,,
2011-08-12,1.39,1.39,1.28,1.28,6000,7680.0,,,,,
2011-08-15,1.39,1.41,1.39,1.41,5000,7050.0,,,,,
2011-08-16,1.43,1.43,1.43,1.43,2000,2860.0,,,,,
2011-08-17,1.46,1.46,1.46,1.46,2000,2920.0,,,,,
2011-08-18,1.49,1.49,1.38,1.38,17600,24288.0,,,,,
2011-08-19,1.36,1.36,1.31,1.36,13200,17952.0,,,,,
2011-08-22,1.36,1.36,1.33,1.36,14000,19040.0,,,,,
