time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-08-18,4.301,4.301,4.301,4.301,0,0.0,,,,,,,,
2017-08-21,4.301,4.301,4.301,4.301,0,0.0,,,,,,,,
2017-08-22,4.301,4.301,4.301,4.301,0,0.0,,,,,,,,
2017-08-23,4.301,4.301,4.301,4.301,0,0.0,,,,,,,,
2017-08-24,4.788,4.788,4.788,4.788,100,478.8,,,,,,,,
2017-08-25,5.437,5.437,5.437,5.437,100,543.7,,,,,,,,
2017-08-28,6.249,6.249,6.249,6.249,100,624.9,,,,,,,,
2017-08-29,7.141,7.141,7.141,7.141,100,714.1,,,,,,,,
2017-08-30,8.196,8.196,6.168,6.168,1000,6168.0,,,,,,,,
2017-08-31,6.979,6.979,6.979,6.979,0,0.0,,,,,,,,
2017-09-01,6.086,6.086,6.086,6.086,5000,30430.0,,,,,,,,
2017-09-05,6.979,6.979,6.979,6.979,100,697.9,,,,,,,,
2017-09-06,7.06,7.06,7.06,7.06,100,706.0,,,,,,,,
2017-09-07,7.06,7.06,7.06,7.06,0,0.0,,,,,,,,
2017-09-08,6.817,6.817,6.817,6.817,500,3408.5,,,,,,,,
2017-09-11,6.168,7.791,6.168,7.791,5300,41292.3,,,,,,,,
2017-09-12,8.034,8.034,8.034,8.034,100,803.4000000000001,,,,,,,,
2017-09-13,7.06,7.06,7.06,7.06,100,706.0,,,,,,,,
2017-09-14,7.06,7.06,7.06,7.06,0,0.0,,,,,,,,
2017-09-15,6.168,6.168,6.168,6.168,600,3700.8,,,,,,,,
2017-09-18,7.06,7.06,7.06,7.06,200,1412.0,,,,,,,,
2017-09-19,6.492,6.492,6.492,6.492,200,1298.4,,,,,,,,
2017-09-20,5.843,5.843,5.843,5.843,200,1168.6,,,,,,,,
2017-09-21,6.655,6.655,6.655,6.655,400,2662.0,,,,,,,,
2017-09-22,5.762,6.249,5.762,6.168,700,4317.6,,,,,,,,
2017-09-25,6.249,6.492,6.249,6.492,200,1298.4,,,,,,,,
2017-09-26,6.411,6.411,6.411,6.411,0,0.0,,,,,,,,
2017-09-27,6.492,6.492,6.492,6.492,6500,42198.0,,,,,,,,
2017-09-28,7.141,7.141,7.141,7.141,100,714.1,,,,,,,,
2017-09-29,8.115,8.115,7.71,7.71,25400,195834.0,,,,,,,,
2017-10-02,7.791,8.115,7.791,8.115,2100,17041.5,,,,,,,,
2017-10-03,8.115,8.115,8.115,8.115,0,0.0,,,,,,,,
2017-10-04,6.979,7.304,6.979,7.304,500,3652.0,,,,,,,,
2017-10-05,7.304,7.304,7.304,7.304,500,3652.0,,,,,,,,
2017-10-06,7.304,8.115,7.304,8.115,300,2434.5,,,,,,,,
2017-10-09,7.547,7.547,7.547,7.547,0,0.0,,,,,,,,
2017-10-10,7.71,7.71,7.71,7.71,300,2313.0,,,,,,,,
2017-10-11,7.71,7.71,7.71,7.71,0,0.0,,,,,,,,
2017-10-12,7.71,7.71,7.71,7.71,0,0.0,,,,,,,,
2017-10-13,7.71,7.71,7.71,7.71,0,0.0,,,,,,,,
2017-10-16,7.71,7.71,7.71,7.71,0,0.0,,,,,,,,
2017-10-17,7.385,7.385,7.385,7.385,5000,36925.0,,,,,,,,
2017-10-18,7.304,7.304,7.304,7.304,100,730.4,,,,,,,,
2017-10-19,7.304,7.304,7.304,7.304,0,0.0,,,,,,,,
2017-10-20,7.304,7.547,7.304,7.547,4800,36225.6,,,,,,,,
2017-10-23,7.304,7.304,7.304,7.304,7400,54049.6,,,,,,,,
2017-10-24,7.304,7.304,7.304,7.304,5500,40172.0,,,,,,,,
2017-10-25,7.304,7.304,7.304,7.304,6100,44554.4,,,,,,,,
2017-10-26,7.304,7.304,7.304,7.304,0,0.0,,,,,,,,
2017-10-27,6.898,7.385,6.898,7.304,14100,102986.4,,,,,,,,
2017-10-30,7.385,7.385,7.304,7.304,4700,34328.8,,,,,,,,
2017-10-31,7.304,7.385,7.304,7.304,6400,46745.6,,,,,,,,
2017-11-01,7.385,7.547,7.385,7.547,11300,85281.09999999999,,,,,,,,
2017-11-02,7.628,7.628,7.628,7.628,1200,9153.6,,,,,,,,
2017-11-03,7.71,7.71,7.71,7.71,300,2313.0,,,,,,,,
2017-11-06,7.71,7.71,7.628,7.71,6300,48573.0,,,,,,,,
2017-11-07,7.71,7.71,7.71,7.71,0,0.0,,,,,,,,
2017-11-08,7.791,7.872,7.791,7.791,9200,71677.2,,,,,,,,
2017-11-09,8.034,8.034,8.034,8.034,1000,8034.000000000001,,,,,,,,
2017-11-10,8.034,8.115,8.034,8.115,725000,5883375.0,,,,,,,,
2017-11-13,8.115,8.115,8.115,8.115,5000,40575.0,,,,,,,,
2017-11-14,8.115,8.115,8.115,8.115,0,0.0,,,,,,,,
2017-11-15,7.71,7.71,7.71,7.71,5000,38550.0,,,,,,,,
2017-11-16,8.115,8.115,8.115,8.115,9000,73035.0,,,,,,,,
2017-11-17,8.115,8.115,8.115,8.115,0,0.0,,,,,,,,
2017-11-20,7.953,8.034,7.953,8.034,5400,43383.600000000006,,,,,,,,
2017-11-21,7.953,8.115,7.953,8.115,8600,69789.0,,,,,,,,
2017-11-22,7.953,7.953,7.953,7.953,12000,95436.0,,,,,,,,
2017-11-23,8.034,8.034,8.034,8.034,5000,40170.0,,,,,,,,
2017-11-24,8.115,8.115,8.115,8.115,17000,137955.0,,,,,,,,
2017-11-27,8.115,8.115,8.115,8.115,1000,8115.0,,,,,,,,
2017-11-28,8.115,8.115,8.115,8.115,38600,313239.0,,,,,,,,
2017-11-29,7.71,7.71,7.71,7.71,100,771.0,,,,,,,,
2017-11-30,8.115,8.115,8.034,8.034,9100,73109.40000000001,,,,,,,,
2017-12-01,8.034,8.034,8.034,8.034,5000,40170.0,,,,,,,,
2017-12-04,8.115,8.115,8.034,8.034,11800,94801.2,,,,,,,,
2017-12-05,7.953,8.034,7.872,7.953,11700,93050.1,,,,,,,,
2017-12-06,7.872,7.872,7.872,7.872,5000,39360.0,,,,,,,,
2017-12-07,7.872,7.872,7.872,7.872,0,0.0,,,,,,,,
2017-12-08,8.115,8.115,8.115,8.115,10400,84396.0,,,,,,,,
2017-12-11,8.115,8.115,8.115,8.115,0,0.0,,,,,,,,
2017-12-12,7.71,7.71,7.71,7.71,2000,15420.0,,,,,,,,
2017-12-13,7.304,8.115,7.304,8.115,44000,357060.0,,,,,,,,
2017-12-14,8.034,8.034,8.034,8.034,0,0.0,,,,,,,,
2017-12-15,8.034,8.034,8.034,8.034,2000,16068.000000000002,,,,,,,,
2017-12-18,8.034,8.034,7.953,7.953,24900,198029.7,,,,,,,,
2017-12-19,8.034,8.034,8.034,8.034,5000,40170.0,,,,,,,,
2017-12-20,8.034,8.034,8.034,8.034,2000,16068.000000000002,,,,,,,,
2017-12-21,8.034,8.034,8.034,8.034,0,0.0,,,,,,,,
2017-12-22,8.034,8.034,8.034,8.034,0,0.0,,,,,,,,
2017-12-25,7.71,7.71,7.71,7.71,12000,92520.0,,,,,,,,
2017-12-26,7.71,7.71,7.71,7.71,5000,38550.0,,,,,,,,
2017-12-27,7.71,7.71,7.304,7.466,21900,163505.4,,,,,,,,
2017-12-28,6.817,8.034,6.33,8.034,37200,298864.80000000005,,,,,,,,
2017-12-29,6.817,6.817,6.817,6.817,5000,34085.0,,,,,,,,
2018-01-02,7.791,7.791,7.547,7.791,1500,11686.5,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-03,8.034,8.115,8.034,8.115,49300,400069.5,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-04,8.034,8.115,8.034,8.115,30500,247507.5,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-05,8.034,8.115,7.872,8.115,45100,365986.5,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-08,8.034,8.115,8.034,8.115,30500,247507.5,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-09,8.115,8.115,7.791,7.791,20100,156599.1,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-10,8.115,8.115,8.115,8.115,2000,16230.0,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-11,8.115,8.115,7.71,7.71,40000,308400.0,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
2018-01-12,8.115,8.115,7.791,7.872,38100,299923.2,0.0,0.0,0.0,0.0,,0.08,0.0,0.0
