time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,5.312,5.312,5.312,5.312,300,1593.6,,,,,
2013-01-03,5.285,5.326,5.285,5.326,400,2130.4,,,,,
2013-01-04,5.339,5.339,5.216,5.216,800,4172.8,,,,,
2013-01-07,5.216,5.216,5.216,5.216,0,0.0,,,,,
2013-01-08,5.285,5.298,5.285,5.298,800,4238.4,,,,,
2013-01-09,5.298,5.353,5.298,5.353,400,2141.2,,,,,
2013-01-10,5.353,5.353,5.353,5.353,0,0.0,,,,,
2013-01-11,5.353,5.353,5.353,5.353,0,0.0,,,,,
2013-01-14,5.353,5.353,5.353,5.353,0,0.0,,,,,
2013-01-15,5.243,5.285,5.216,5.285,2000,10570.0,,,,,
2013-01-16,5.243,5.243,5.243,5.243,3000,15729.000000000002,,,,,
2013-01-17,5.285,5.285,5.243,5.243,600,3145.8,,,,,
2013-01-18,5.257,5.257,5.243,5.243,2800,14680.4,,,,,
2013-01-21,5.243,5.285,5.243,5.285,7300,38580.5,,,,,
2013-01-22,5.285,5.285,4.955,5.285,6000,31710.0,,,,,
2013-01-23,5.285,5.285,5.23,5.23,1100,5753.000000000001,,,,,
2013-01-24,5.271,5.285,5.271,5.285,1200,6342.0,,,,,
2013-01-25,5.285,5.285,5.285,5.285,0,0.0,,,,,
2013-01-28,5.243,5.285,5.23,5.257,12000,63083.99999999999,,,,,
2013-01-29,5.285,5.298,5.216,5.298,23000,121854.0,,,,,
2013-01-30,5.298,5.298,5.298,5.298,0,0.0,,,,,
2013-01-31,5.298,5.298,5.285,5.285,1100,5813.5,,,,,
2013-02-01,5.216,5.216,5.216,5.216,5000,26080.0,,,,,
2013-02-04,5.243,5.243,5.216,5.216,1000,5216.0,,,,,
2013-02-05,5.285,5.285,5.285,5.285,1500,7927.5,,,,,
2013-02-06,5.257,5.312,5.257,5.312,17000,90304.0,,,,,
2013-02-07,5.23,5.23,5.23,5.23,100,523.0,,,,,
2013-02-08,5.285,5.285,5.285,5.285,200,1057.0,,,,,
2013-02-18,5.285,5.285,5.285,5.285,0,0.0,,,,,
2013-02-19,5.285,5.285,5.285,5.285,700,3699.5,,,,,
2013-02-20,5.285,5.285,5.285,5.285,100,528.5,,,,,
2013-02-21,5.285,5.285,5.285,5.285,0,0.0,,,,,
2013-02-22,5.285,5.285,5.285,5.285,300,1585.5,,,,,
2013-02-25,5.285,5.285,5.285,5.285,2600,13741.0,,,,,
2013-02-26,5.285,5.353,5.216,5.326,26100,139008.59999999998,,,,,
2013-02-27,5.326,5.326,5.326,5.326,0,0.0,,,,,
2013-02-28,5.326,5.326,5.326,5.326,0,0.0,,,,,
2013-03-01,5.422,5.422,5.422,5.422,900,4879.8,,,,,
2013-03-04,5.422,5.422,5.422,5.422,2800,15181.6,,,,,
2013-03-05,5.422,5.422,5.422,5.422,600,3253.2,,,,,
2013-03-06,5.422,5.422,5.422,5.422,0,0.0,,,,,
2013-03-07,5.436,5.436,5.436,5.436,100,543.6,,,,,
2013-03-08,5.449,5.971,5.449,5.971,17100,102104.1,,,,,
2013-03-11,6.451,6.451,5.971,5.971,200,1194.2,,,,,
2013-03-12,6.177,6.245,6.177,6.177,2600,16060.2,,,,,
2013-03-13,6.245,6.245,6.177,6.177,900,5559.299999999999,,,,,
2013-03-14,6.218,6.218,6.177,6.177,600,3706.2,,,,,
2013-03-15,6.177,6.177,6.177,6.177,3500,21619.5,,,,,
2013-03-18,6.177,6.177,6.177,6.177,0,0.0,,,,,
2013-03-19,6.012,6.163,5.998,6.163,3000,18489.0,,,,,
2013-03-20,6.163,6.177,6.163,6.177,1700,10500.9,,,,,
2013-03-21,6.177,6.177,6.163,6.163,1300,8011.900000000001,,,,,
2013-03-22,6.149,6.438,5.779,5.779,1500,8668.5,,,,,
2013-03-25,6.177,6.177,6.122,6.177,4900,30267.3,,,,,
2013-03-26,5.916,5.971,5.765,5.971,4700,28063.7,,,,,
2013-03-27,5.902,5.902,5.902,5.902,1300,7672.6,,,,,
2013-03-28,5.943,6.163,5.93,6.163,1700,10477.1,,,,,
2013-03-29,6.149,6.163,6.149,6.149,3500,21521.5,,,,,
2013-04-01,6.108,6.177,6.108,6.177,3400,21001.8,,,,,
2013-04-02,6.177,6.177,6.177,6.177,600,3706.2,,,,,
2013-04-03,6.108,6.108,6.108,6.108,100,610.8,,,,,
2013-04-04,6.108,6.108,6.108,6.108,0,0.0,,,,,
2013-04-05,6.108,6.108,5.998,5.998,1100,6597.8,,,,,
2013-04-08,5.696,6.108,5.696,6.108,200,1221.6,,,,,
2013-04-09,6.094,6.094,6.094,6.094,1400,8531.6,,,,,
2013-04-10,6.163,6.177,6.163,6.163,1000,6163.0,,,,,
2013-04-11,6.149,6.177,6.149,6.177,7300,45092.1,,,,,
2013-04-12,6.314,6.314,6.19,6.19,5900,36521.0,,,,,
2013-04-15,6.19,6.438,6.19,6.19,4700,29093.000000000004,,,,,
