time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-03-11,11.074,11.074,11.074,11.074,161000,1782914.0,,,,,,,,
2015-03-12,12.14,12.14,12.068,12.14,1322200,16051508.0,,,,,,,,
2015-03-13,13.347,13.347,12.566,13.347,421200,5621756.399999999,,,,,,,,
2015-03-16,13.347,14.624,12.424,14.624,1362100,19919350.4,,,,,,,,
2015-03-17,13.985,15.902,13.985,15.121,1117000,16890157.0,,,,,,,,
2015-03-18,14.908,14.908,14.483,14.553,841900,12252170.7,,,,,,,,
2015-03-19,14.412,14.624,14.269,14.624,1106400,16179993.6,,,,,,,,
2015-03-20,14.695,14.766,14.412,14.624,1206800,17648243.2,,,,,,,,
2015-03-23,14.553,14.695,14.199,14.553,1049400,15271918.2,,,,,,,,
2015-03-24,14.483,14.624,13.915,13.915,894300,12444184.5,,,,,,,,
2015-03-25,13.915,14.483,13.915,14.269,860100,12272766.9,,,,,,,,
2015-03-26,14.199,14.483,13.843,13.843,817200,11312499.6,,,,,,,,
2015-03-27,14.127,14.127,13.701,13.843,552700,7651026.1,,,,,,,,
2015-03-30,13.843,13.843,12.495,13.418,512300,6874041.399999999,,,,,,,,
2015-03-31,13.347,13.489,13.276,13.489,820400,11066375.6,,,,,,,,
2015-04-01,13.489,14.837,13.489,14.837,1045700,15515050.9,,,,,,,,
2015-04-02,15.547,16.258,14.979,16.044,951200,15261052.8,,,,,,,,
2015-04-03,15.406,16.258,15.121,15.121,1079200,16318583.2,,,,,,,,
2015-04-06,14.766,15.121,14.199,14.199,985000,13986015.0,,,,,,,,
2015-04-07,15.477,15.477,13.843,14.269,504100,7193002.9,,,,,,,,
2015-04-08,14.199,14.199,13.205,13.773,444800,6126230.399999999,,,,,,,,
2015-04-09,13.489,14.199,13.134,14.127,1345500,19007878.5,,,,,,,,
2015-04-10,14.127,14.127,13.489,14.057,457200,6426860.4,,,,,,,,
2015-04-13,14.199,15.406,13.489,15.406,674000,10383644.0,,,,,,,,
2015-04-14,15.121,16.4,14.199,16.186,669600,10838145.6,,,,,,,,
2015-04-15,15.974,16.328,14.908,15.121,591400,8942559.4,,,,,,,,
2015-04-16,15.193,15.193,14.412,15.121,517700,7828141.7,,,,,,,,
2015-04-17,16.328,16.612,14.908,16.541,676000,11181716.0,,,,,,,,
2015-04-20,15.76,16.47,15.547,16.116,214500,3456882.0,,,,,,,,
2015-04-21,16.044,16.328,15.618,16.116,625900,10087004.4,,,,,,,,
2015-04-22,16.116,17.677,15.832,17.677,879300,15543386.1,,,,,,,,
2015-04-23,17.677,19.38,17.677,19.38,923000,17887740.0,,,,,,,,
2015-04-24,17.748,21.297,17.748,21.297,109300,2327762.1,,,,,,,,
2015-04-27,21.511,21.581,20.943,21.014,115300,2422914.2,,,,,,,,
2015-05-04,21.086,21.155,18.955,20.232,203000,4107096.0,,,,,,,,
2015-05-05,19.452,19.452,18.245,19.097,381200,7279776.4,,,,,,,,
2015-05-06,18.671,18.955,17.252,18.742,230200,4314408.4,,,,,,,,
2015-05-07,18.245,18.813,16.896,18.813,415300,7813038.899999999,,,,,,,,
2015-05-08,18.813,18.955,16.967,18.742,248600,4659261.2,,,,,,,,
2015-05-11,16.896,18.742,16.896,17.038,300700,5123326.6,,,,,,,,
2015-05-12,16.683,16.896,15.335,16.612,415100,6895641.199999999,,,,,,,,
2015-05-13,17.677,17.819,15.121,17.393,250600,4358685.8,,,,,,,,
2015-05-14,15.902,16.896,15.689,16.186,514600,8329315.6,,,,,,,,
2015-05-15,15.832,15.832,14.624,15.264,258300,3942691.2,,,,,,,,
2015-05-18,14.979,14.979,13.773,13.773,459600,6330070.8,,,,,,,,
2015-05-19,14.199,14.908,13.63,14.057,156700,2202731.9,,,,,,,,
2015-05-20,14.483,14.553,13.843,13.843,185500,2567876.5,,,,,,,,
2015-05-21,13.985,14.341,13.63,14.057,241000,3387737.0,,,,,,,,
2015-05-22,14.199,14.199,13.063,13.489,224100,3022884.9000000004,,,,,,,,
