time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-12-01,2.972,2.972,2.972,2.972,0,0.0,,,,,,,,
2017-12-04,2.972,2.972,2.972,2.972,0,0.0,,,,,,,,
2017-12-05,2.972,2.972,2.972,2.972,0,0.0,,,,,,,,
2017-12-06,2.972,2.972,2.972,2.972,0,0.0,,,,,,,,
2017-12-07,2.972,2.972,2.972,2.972,0,0.0,,,,,,,,
2017-12-08,4.16,4.16,4.16,4.16,45000,187200.0,,,,,,,,
2017-12-11,4.784,4.784,4.784,4.784,40000,191360.0,,,,,,,,
2017-12-12,5.498,5.498,5.498,5.498,40000,219920.0,,,,,,,,
2017-12-13,5.943,5.943,5.498,5.943,13000,77259.0,,,,,,,,
2017-12-14,5.943,5.943,4.903,5.186,15900,82457.4,,,,,,,,
2017-12-15,5.052,5.052,4.903,5.037,8300,41807.1,,,,,,,,
2017-12-18,4.948,4.948,4.903,4.933,5900,29104.7,,,,,,,,
2017-12-19,4.903,4.903,4.903,4.903,1000,4903.0,,,,,,,,
2017-12-20,4.829,4.829,4.19,4.309,9100,39211.9,,,,,,,,
2017-12-21,4.264,4.933,4.131,4.933,36430,179709.19,,,,,,,,
2017-12-22,4.22,4.814,4.22,4.25,2700,11475.0,,,,,,,,
2017-12-25,4.25,4.25,3.64,3.715,57950,215284.25,,,,,,,,
2017-12-26,4.22,4.22,3.67,3.67,10190,37397.3,,,,,,,,
2017-12-27,3.863,3.863,3.135,3.67,139511,512005.37,,,,,,,,
2017-12-28,3.715,3.774,3.715,3.774,6575,24814.05,,,,,,,,
2017-12-29,4.16,4.279,3.863,4.086,2505,10235.43,,,,,,,,
2018-01-02,4.175,4.591,4.175,4.591,300,1377.3,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-03,4.235,4.309,4.175,4.175,1834,7656.95,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-04,4.175,4.22,4.16,4.22,2400,10128.0,1000.0,0.0,30000.0,0.0,,3.01,0.03,0.0
2018-01-05,4.175,4.175,4.175,4.175,200,835.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-08,4.235,4.532,4.19,4.532,3670,16632.44,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-09,4.458,4.532,4.458,4.517,5000,22585.0,600.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-01-10,4.458,4.532,4.458,4.532,2700,12236.4,2300.0,0.0,70000.0,0.0,,3.01,0.07,0.0
2018-01-11,4.472,4.472,4.472,4.472,2010,8988.720000000001,1700.0,0.0,50000.0,0.0,,3.01,0.05,0.0
2018-01-12,3.804,4.472,3.804,4.458,400,1783.2,0.0,100.0,0.0,0.0,,3.01,0.0,0.0
2018-01-15,4.175,4.175,4.175,4.175,500,2087.5,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-16,4.443,4.443,4.443,4.443,100,444.3,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-17,3.863,4.041,3.863,4.041,1700,6869.700000000001,0.0,100.0,0.0,0.0,,3.01,0.0,0.0
2018-01-18,4.041,4.16,4.041,4.16,5900,24544.0,800.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-01-19,4.71,4.71,4.695,4.695,21600,101412.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-22,4.755,4.755,4.458,4.68,9300,43524.0,2000.0,0.0,60000.0,0.0,,3.01,0.06,0.0
2018-01-23,4.621,4.755,4.458,4.755,7093,33727.215,3400.0,0.0,100000.0,0.0,,3.01,0.1,0.0
2018-01-24,4.606,4.606,4.517,4.547,2667,12126.848999999998,600.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-01-25,4.562,4.606,4.562,4.606,7521,34641.726,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-26,4.606,4.606,4.562,4.606,1300,5987.8,1000.0,0.0,30000.0,0.0,,3.01,0.03,0.0
2018-01-29,4.502,4.502,4.487,4.487,277,1242.899,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-30,4.74,4.755,4.606,4.606,5800,26714.8,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-01-31,4.755,4.874,4.755,4.874,3600,17546.399999999998,2400.0,0.0,80000.0,0.0,,3.01,0.08,0.0
2018-02-01,4.948,4.948,4.784,4.784,320,1530.88,200.0,0.0,10000.0,0.0,,3.01,0.01,0.0
2018-02-02,4.859,5.304,4.859,5.304,4591,24350.664,500.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-02-05,5.349,5.929,5.349,5.646,7300,41215.8,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-06,5.483,5.483,5.052,5.349,12400,66327.6,3600.0,0.0,130000.0,0.0,,3.01,0.13,0.0
2018-02-07,5.349,5.795,5.349,5.795,1300,7533.5,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-08,5.75,6.092,5.75,6.092,18900,115138.8,0.0,700.0,0.0,30000.0,,3.01,0.0,0.03
2018-02-09,6.092,6.449,6.092,6.449,11910,76807.59,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-12,6.686,7.177,6.686,7.177,23400,167941.8,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-13,7.132,7.712,7.132,7.489,10300,77136.7,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-21,7.578,7.578,7.281,7.281,9200,66985.2,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-22,7.325,7.578,7.266,7.355,10700,78698.5,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-23,7.385,7.578,7.37,7.4,8424,62337.600000000006,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-26,7.281,7.875,7.281,7.726,16252,125562.952,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-27,7.578,7.875,7.578,7.726,13520,104455.52,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-02-28,7.771,7.801,7.637,7.637,6300,48113.1,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-01,7.697,7.786,7.682,7.726,16110,124465.86,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-02,8.397,8.397,7.658,8.062,3800,30635.6,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-05,7.742,7.759,7.138,7.138,7000,49966.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-06,7.071,7.222,6.55,6.634,15300,101500.2,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-07,7.222,7.39,7.222,7.39,2500,18475.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-08,7.222,7.558,7.222,7.423,8900,66064.7,400.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-03-09,7.474,7.81,7.474,7.81,9300,72633.0,200.0,0.0,10000.0,0.0,,3.01,0.01,0.0
2018-03-12,7.826,7.978,7.423,7.423,10710,79500.33,5200.0,0.0,240000.0,0.0,,3.01,0.24,0.0
2018-03-13,7.558,7.658,7.558,7.558,6100,46103.8,4500.0,0.0,200000.0,0.0,,3.01,0.2,0.0
2018-03-14,8.313,8.313,7.558,7.642,1100,8406.2,500.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-03-15,7.558,7.558,7.474,7.474,4200,31390.8,2000.0,0.0,90000.0,0.0,,3.01,0.09,0.0
2018-03-16,7.474,7.558,7.474,7.558,7700,58196.6,1800.0,0.0,80000.0,0.0,,3.01,0.08,0.0
2018-03-19,7.474,7.491,7.474,7.491,3900,29214.9,3000.0,0.0,130000.0,0.0,,3.01,0.13,0.0
2018-03-20,7.474,7.474,7.306,7.39,4500,33255.0,2000.0,0.0,90000.0,0.0,,3.01,0.09,0.0
2018-03-21,7.323,7.323,7.306,7.306,7200,52603.2,2700.0,0.0,120000.0,0.0,,3.01,0.12,0.0
2018-03-22,7.306,7.507,7.306,7.507,2400,18016.8,2200.0,0.0,100000.0,0.0,,3.01,0.1,0.0
2018-03-23,7.558,7.558,7.558,7.558,100,755.8,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-26,7.558,7.558,7.558,7.558,5300,40057.4,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-03-27,7.558,7.558,7.558,7.558,4400,33255.2,4200.0,0.0,190000.0,0.0,,3.01,0.19,0.0
2018-03-28,7.558,7.558,7.558,7.558,2300,17383.399999999998,2300.0,0.0,100000.0,0.0,,3.01,0.1,0.0
2018-03-29,7.558,7.558,7.222,7.222,4600,33221.200000000004,700.0,0.0,30000.0,0.0,,3.01,0.03,0.0
2018-03-30,7.222,7.39,6.802,7.39,3000,22170.0,2000.0,0.0,90000.0,0.0,,3.01,0.09,0.0
2018-04-02,7.222,7.558,7.222,7.558,400,3023.2,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-04-03,7.726,7.726,7.726,7.726,100,772.6,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-04-04,7.726,7.759,7.558,7.726,3500,27041.0,600.0,0.0,30000.0,0.0,,3.01,0.03,0.0
2018-04-05,7.423,7.423,7.423,7.423,1600,11876.8,0.0,700.0,0.0,30000.0,,3.01,0.0,0.03
2018-04-06,7.474,7.726,7.474,7.558,1700,12848.6,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-04-09,7.558,7.692,7.558,7.692,2500,19230.0,500.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-04-10,7.658,7.658,7.658,7.658,1000,7658.0,500.0,0.0,20000.0,0.0,,3.01,0.02,0.0
2018-04-11,7.658,7.658,7.574,7.574,900,6816.599999999999,200.0,0.0,10000.0,0.0,,3.01,0.01,0.0
2018-04-12,7.138,7.625,7.138,7.625,400,3050.0,0.0,100.0,0.0,0.0,,3.01,0.0,0.0
2018-04-13,7.507,7.507,7.507,7.507,0,0.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-04-16,7.222,7.306,7.222,7.306,900,6575.4,300.0,0.0,10000.0,0.0,,3.01,0.01,0.0
2018-04-17,7.356,7.558,7.306,7.558,600,4534.8,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-04-18,7.39,7.39,7.39,7.39,600,4434.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-04-19,7.39,7.39,7.39,7.39,600,4434.0,300.0,0.0,10000.0,0.0,,3.01,0.01,0.0
2018-04-20,7.39,7.39,7.39,7.39,100,739.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
2018-04-23,7.44,7.44,7.39,7.39,2700,19953.0,0.0,0.0,0.0,0.0,,3.01,0.0,0.0
