time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2013-01-02,4.546,4.889,4.546,4.889,90,440.0100000000001,,,,,,,,
2013-01-03,4.691,4.691,4.691,4.691,10,46.91,,,,,,,,
2013-01-04,4.506,4.757,4.506,4.757,16570,78823.48999999999,,,,,,,,
2013-01-07,4.572,4.916,4.532,4.916,630,3097.0800000000004,,,,,,,,
2013-01-08,4.691,4.691,4.691,4.691,270,1266.57,,,,,,,,
2013-01-09,4.519,4.532,4.519,4.519,3130,14144.47,,,,,,,,
2013-01-10,4.519,4.625,4.519,4.625,1110,5133.75,,,,,,,,
2013-01-11,4.691,4.691,4.691,4.691,20,93.82,,,,,,,,
2013-01-14,4.757,4.757,4.757,4.757,10,47.56999999999999,,,,,,,,
2013-01-15,4.823,4.823,4.823,4.823,10,48.23,,,,,,,,
2013-01-16,4.823,4.876,4.823,4.876,590,2876.84,,,,,,,,
2013-01-17,4.757,4.757,4.757,4.757,950,4519.15,,,,,,,,
2013-01-18,4.757,4.757,4.757,4.757,4990,23737.43,,,,,,,,
2013-01-21,4.757,4.757,4.731,4.731,8930,42247.83,,,,,,,,
2013-01-22,4.757,4.757,4.731,4.731,7190,34015.89,,,,,,,,
2013-01-23,4.731,4.731,4.731,4.731,0,0.0,,,,,,,,
2013-01-24,4.731,4.731,4.731,4.731,4100,19397.1,,,,,,,,
2013-01-25,4.731,4.731,4.731,4.731,1000,4731.0,,,,,,,,
2013-01-28,4.823,4.823,4.823,4.823,1910,9211.93,,,,,,,,
2013-01-29,4.823,4.942,4.823,4.942,2400,11860.8,,,,,,,,
2013-01-30,5.22,5.22,5.087,5.22,110,574.1999999999999,,,,,,,,
2013-01-31,5.233,5.524,5.233,5.524,1820,10053.68,,,,,,,,
2013-02-01,5.233,5.418,5.233,5.418,1610,8722.98,,,,,,,,
2013-02-04,5.524,5.524,5.524,5.524,10,55.24,,,,,,,,
2013-02-05,5.18,5.894,5.18,5.748,110,632.28,,,,,,,,
2013-02-06,5.616,5.616,5.352,5.418,410,2221.38,,,,,,,,
