time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2007-12-21,9.59,9.81,8.98,9.81,253280,2484676.8000000003,,,,,,,,
2007-12-24,10.28,10.28,10.25,10.28,46600,479048.0,,,,,,,,
2007-12-25,10.79,10.79,10.54,10.79,108430,1169959.7,,,,,,,,
2007-12-26,10.5,10.83,10.47,10.76,118370,1273661.2,,,,,,,,
2007-12-27,10.87,10.87,10.39,10.76,109040,1173270.4,,,,,,,,
2007-12-28,10.72,10.72,10.61,10.68,50930,543932.4,,,,,,,,
2008-01-02,10.61,10.61,10.47,10.47,27400,286878.0,,,,,,,,
2008-01-03,10.28,10.28,10.1,10.1,92650,935765.0,,,,,,,,
2008-01-04,10.1,10.25,10.1,10.1,42980,434098.0,,,,,,,,
2008-01-07,10.1,10.1,9.74,9.81,58040,569372.4,,,,,,,,
2008-01-08,10.07,10.1,9.88,9.88,47960,473844.8000000001,,,,,,,,
2008-01-09,9.88,9.88,9.67,9.7,44220,428934.0,,,,,,,,
2008-01-10,9.52,9.56,9.41,9.41,109530,1030677.3,,,,,,,,
2008-01-11,9.52,9.59,9.45,9.45,49130,464278.5,,,,,,,,
2008-01-14,9.45,9.45,9.19,9.19,38030,349495.69999999995,,,,,,,,
2008-01-15,9.19,9.19,8.87,8.87,120580,1069544.6,,,,,,,,
2008-01-16,9.3,9.3,9.19,9.3,51700,480810.00000000006,,,,,,,,
2008-01-17,9.48,9.48,9.27,9.38,81270,762312.6000000001,,,,,,,,
2008-01-18,9.45,9.81,9.45,9.81,77540,760667.4,,,,,,,,
2008-01-21,9.67,10.03,9.67,9.92,114500,1135840.0,,,,,,,,
2008-01-22,9.74,9.81,9.7,9.7,67410,653877.0,,,,,,,,
2008-01-23,9.7,9.7,9.41,9.41,90840,854804.4,,,,,,,,
2008-01-24,9.45,9.74,9.45,9.52,79670,758458.4,,,,,,,,
2008-01-25,9.63,9.92,9.63,9.92,94690,939324.8,,,,,,,,
2008-01-28,10.07,10.36,9.92,10.36,107440,1113078.4,,,,,,,,
2008-01-29,10.36,10.87,10.25,10.87,177500,1929425.0,,,,,,,,
2008-01-30,11.37,11.37,11.3,11.37,140470,1597143.9,,,,,,,,
2008-01-31,10.9,11.23,10.83,11.19,174260,1949969.4,,,,,,,,
2008-02-01,11.34,11.34,10.9,10.9,91890,1001601.0,,,,,,,,
2008-02-12,10.9,10.9,10.43,10.43,47250,492817.5,,,,,,,,
2008-02-13,10.43,10.43,10.03,10.14,40240,408033.6,,,,,,,,
2008-02-14,10.17,10.54,10.17,10.21,48680,497022.8000000001,,,,,,,,
2008-02-15,10.36,10.36,10.07,10.21,66850,682538.5,,,,,,,,
2008-02-18,9.96,9.99,9.81,9.99,60140,600798.6,,,,,,,,
2008-02-19,9.96,10.03,9.74,9.92,86820,861254.4,,,,,,,,
2008-02-20,9.81,9.88,9.45,9.45,65410,618124.5,,,,,,,,
2008-02-21,8.98,8.98,8.98,8.98,17910,160831.80000000002,,,,,,,,
2008-02-22,8.54,8.54,8.54,8.54,134000,1144360.0,,,,,,,,
2008-02-25,8.72,8.94,8.72,8.87,100260,889306.2,,,,,,,,
2008-02-26,8.61,8.5,8.43,8.43,43010,362574.3,,,,,,,,
2008-02-27,8.03,8.47,8.03,8.03,107250,861217.4999999999,,,,,,,,
2008-02-28,7.96,8.18,7.81,7.96,77690,618412.4,,,,,,,,
2008-02-29,7.59,7.63,7.59,7.59,53740,407886.6,,,,,,,,
2008-03-03,7.23,7.23,7.23,7.23,13250,95797.5,,,,,,,,
2008-03-04,6.9,6.9,6.9,6.9,6130,42297.0,,,,,,,,
2008-03-05,6.58,6.58,6.58,6.58,95990,631614.2,,,,,,,,
2008-03-06,6.9,6.9,6.72,6.9,320860,2213934.0,,,,,,,,
2008-03-07,7.23,7.23,7.12,7.23,95760,692344.8,,,,,,,,
2008-03-10,7.56,7.56,6.94,7.12,96650,688148.0,,,,,,,,
2008-03-11,6.8,6.8,6.8,6.8,84570,575076.0,,,,,,,,
2008-03-12,6.47,6.83,6.47,6.47,162870,1053768.9,,,,,,,,
2008-03-13,6.47,6.5,6.18,6.18,160190,989974.2,,,,,,,,
2008-03-14,5.92,6.03,5.92,5.92,62290,368756.8,,,,,,,,
2008-03-17,5.67,5.71,5.63,5.63,113260,637653.7999999999,,,,,,,,
2008-03-18,5.38,5.38,5.38,5.38,71460,384454.8,,,,,,,,
2008-03-19,5.12,5.34,5.12,5.12,136830,700569.6,,,,,,,,
2008-03-20,4.87,4.91,4.87,4.87,121580,592094.6,,,,,,,,
2008-03-21,4.65,4.65,4.65,4.65,1950,9067.5,,,,,,,,
2008-03-24,4.47,4.47,4.43,4.43,450,1993.5,,,,,,,,
2008-03-25,4.22,4.22,4.22,4.22,420,1772.4,,,,,,,,
2008-03-26,4.03,4.03,4.03,4.03,6570,26477.1,,,,,,,,
