time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2006-12-11,8.07,8.64,8.07,8.64,40100,346464.0,,,,,,,,
2006-12-12,8.64,8.76,8.64,8.76,60300,528228.0,,,,,,,,
2006-12-13,8.53,8.7,8.53,8.7,90000,782999.9999999999,,,,,,,,
2006-12-14,8.64,8.76,8.64,8.76,93700,820812.0,,,,,,,,
2006-12-15,8.76,8.82,8.64,8.76,77100,675396.0,,,,,,,,
2006-12-18,8.76,8.87,8.76,8.76,54100,473916.0,,,,,,,,
2006-12-19,8.7,8.87,8.7,8.76,55200,483552.0,,,,,,,,
2006-12-20,8.82,8.96,8.76,8.87,94900,841762.9999999999,,,,,,,,
2006-12-21,8.76,8.82,8.64,8.7,71100,618570.0,,,,,,,,
2006-12-22,8.64,8.64,7.89,8.59,88300,758497.0,,,,,,,,
2006-12-25,8.36,8.47,8.3,8.36,60100,502436.0,,,,,,,,
2006-12-26,8.41,8.53,8.07,8.36,29100,243276.0,,,,,,,,
2006-12-27,8.64,8.64,8.36,8.36,14500,121220.0,,,,,,,,
2006-12-28,8.41,8.47,8.3,8.36,19500,163020.0,,,,,,,,
2006-12-29,8.47,8.53,8.43,8.47,36800,311696.0,,,,,,,,
2007-01-02,8.41,8.46,8.3,8.47,35300,298991.0,,,,,,,,
2007-01-03,8.38,8.47,8.36,8.47,23500,199045.00000000003,,,,,,,,
2007-01-04,8.41,8.64,8.41,8.64,32100,277344.0,,,,,,,,
2007-01-05,9.34,9.34,8.82,9.34,92600,864884.0,,,,,,,,
2007-01-08,9.34,9.8,9.19,9.39,30600,287334.0,,,,,,,,
2007-01-09,9.33,10.14,9.33,10.14,97100,984594.0,,,,,,,,
2007-01-10,10.9,10.9,10.26,10.9,57300,624570.0,,,,,,,,
2007-01-11,11.55,11.55,10.95,11.29,95500,1078195.0,,,,,,,,
2007-01-12,11.37,12.3,11.27,11.64,129300,1505052.0,,,,,,,,
2007-01-15,12.68,13.1,12.68,12.97,103900,1347583.0,,,,,,,,
2007-01-16,14.32,14.32,12.62,13.02,63400,825468.0,,,,,,,,
2007-01-17,11.97,12.1,11.97,11.97,26800,320796.0,,,,,,,,
2007-01-18,10.78,11.81,10.78,11.81,114300,1349883.0,,,,,,,,
2007-01-19,11.7,12.4,11.53,12.4,70800,877920.0,,,,,,,,
2007-01-22,11.53,12.56,11.41,12.4,47700,591480.0,,,,,,,,
2007-01-23,11.99,12.68,11.81,11.93,18900,225477.0,,,,,,,,
2007-01-24,11.83,11.99,11.76,11.76,21500,252840.0,,,,,,,,
2007-01-25,11.81,12.16,11.47,12.16,84500,1027520.0,,,,,,,,
2007-01-26,11.64,11.93,11.61,11.93,23500,280355.0,,,,,,,,
2007-01-29,12.1,12.5,12.04,12.5,10600,132500.0,,,,,,,,
2007-01-30,13.43,13.43,12.4,13.02,20800,270816.0,,,,,,,,
2007-01-31,13.25,13.83,13.25,13.66,59500,812770.0,,,,,,,,
2007-02-01,14.29,14.29,13.25,13.52,21100,285272.0,,,,,,,,
2007-02-02,13.25,13.25,12.68,13.2,6900,91080.0,,,,,,,,
2007-02-05,12.97,13.14,12.62,12.97,26500,343705.0,,,,,,,,
2007-02-06,13.02,13.02,12.85,12.85,29800,382930.0,,,,,,,,
2007-02-07,12.97,12.97,12.79,12.94,34100,441254.0,,,,,,,,
2007-02-08,12.97,13.54,12.68,12.68,28300,358844.0,,,,,,,,
2007-02-09,13.02,13.03,12.8,12.97,112400,1457828.0,,,,,,,,
2007-02-12,13.08,14.29,13.08,14.06,58600,823916.0,,,,,,,,
2007-02-13,14.41,14.69,13.83,14.29,37400,534446.0,,,,,,,,
2007-02-14,14.41,14.69,13.95,14.52,18600,270072.0,,,,,,,,
2007-02-15,15.95,15.95,15.9,15.95,55600,886820.0,,,,,,,,
2007-02-26,17.23,17.54,17.23,17.54,82300,1443542.0,,,,,,,,
2007-02-27,19.28,19.28,17.58,18.44,76100,1403284.0,,,,,,,,
2007-02-28,19.25,19.25,17.0,18.04,30100,543004.0,,,,,,,,
2007-03-01,17.58,17.58,16.71,16.94,38200,647108.0,,,,,,,,
2007-03-02,17.12,17.29,16.71,16.94,40300,682682.0,,,,,,,,
2007-03-05,17.29,17.58,16.71,16.83,60300,1014849.0,,,,,,,,
2007-03-06,16.77,17.0,16.42,16.71,67000,1119570.0,,,,,,,,
2007-03-07,17.0,17.0,15.12,16.14,21600,348624.0,,,,,,,,
2007-03-08,16.71,16.77,16.14,16.42,18200,298844.00000000006,,,,,,,,
2007-03-09,16.77,16.77,16.37,16.42,34400,564848.0000000001,,,,,,,,
2007-03-12,16.39,16.48,16.25,16.37,31300,512381.00000000006,,,,,,,,
2007-03-13,16.37,16.42,16.14,16.14,24200,390588.0,,,,,,,,
2007-03-14,16.14,16.14,15.56,16.14,29900,482586.0,,,,,,,,
2007-03-15,15.21,15.21,14.09,14.12,36300,512556.0,,,,,,,,
2007-03-16,14.46,15.93,13.83,15.56,35600,553936.0,,,,,,,,
2007-03-19,16.58,16.58,15.27,15.55,33100,514705.0,,,,,,,,
2007-03-20,15.56,15.56,14.69,14.98,11500,172270.0,,,,,,,,
2007-03-21,14.98,14.98,13.83,14.69,32500,477425.0,,,,,,,,
2007-03-22,14.69,14.69,14.23,14.35,30400,436240.0,,,,,,,,
2007-03-23,14.41,14.41,14.12,14.12,21600,304992.0,,,,,,,,
2007-03-26,14.15,14.15,12.75,14.12,14100,199092.0,,,,,,,,
2007-03-27,13.4,13.4,12.07,14.12,42600,601512.0,,,,,,,,
2007-03-28,11.58,13.28,10.95,13.28,77300,1026544.0,,,,,,,,
2007-03-29,13.63,13.63,13.2,13.63,105000,1431150.0,,,,,,,,
2007-03-30,14.18,14.41,13.25,13.63,39300,535659.0,,,,,,,,
