time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2021-12-09,13.003,13.003,11.842,13.003,75900,986927.7,,,,,
2021-12-10,14.629,14.629,14.629,14.629,44700,653916.2999999999,,,,,
2021-12-13,16.796,16.796,16.796,16.796,37400,628170.4,,,,,
2021-12-14,19.273,19.273,16.718,19.273,29100,560844.3,,,,,
2021-12-15,21.827,21.827,16.254,16.254,38000,617652.0,,,,,
2021-12-16,20.201,20.201,20.201,20.201,0,0.0,,,,,
2021-12-17,17.183,17.183,17.183,17.183,400,6873.2,,,,,
2021-12-20,14.629,14.629,14.629,14.629,302,4417.958,,,,,
2021-12-21,12.461,12.461,12.461,12.461,2648,32996.728,,,,,
2021-12-22,10.604,13.003,10.604,12.461,282700,3522724.7,,,,,
2021-12-23,12.461,12.461,10.836,11.223,74300,833868.9,,,,,
2021-12-24,12.307,12.384,9.907,10.449,35400,369894.6,,,,,
2021-12-27,8.669,10.217,8.669,10.217,169400,1730759.8,,,,,
2021-12-28,10.217,10.217,8.746,9.907,25800,255600.6,,,,,
2021-12-29,9.907,9.907,8.591,8.746,24300,212527.8,,,,,
2021-12-30,8.591,9.211,8.437,9.211,33300,306726.3,,,,,
2021-12-31,8.669,8.978,8.514,8.901,31300,278601.3,,,,,
2022-01-04,9.211,9.52,9.133,9.365,15300,143284.5,,,,,
2022-01-05,8.901,8.978,8.901,8.901,12100,107702.1,,,,,
2022-01-06,8.901,9.288,8.901,9.288,6400,59443.2,,,,,
2022-01-07,8.978,9.056,8.824,8.978,11900,106838.2,,,,,
2022-01-10,8.901,9.211,8.669,8.901,16800,149536.8,,,,,
2022-01-11,8.901,9.211,8.824,9.211,7100,65398.1,,,,,
2022-01-12,8.901,9.133,8.901,9.133,12100,110509.3,,,,,
2022-01-13,9.056,9.056,8.978,9.056,4900,44374.4,,,,,
2022-01-14,8.978,8.978,8.901,8.901,4800,42724.8,,,,,
2022-01-17,9.056,9.056,8.978,9.056,6700,60675.2,,,,,
2022-01-18,8.978,9.056,8.901,9.056,5001,45289.056,,,,,
2022-01-19,8.978,9.133,8.978,9.133,3300,30138.9,,,,,
2022-01-20,9.056,9.056,8.901,8.978,10500,94269.0,,,,,
2022-01-21,9.056,9.056,9.056,9.056,5910,53520.95999999999,,,,,
2022-01-24,9.056,9.056,9.056,9.056,7800,70636.79999999999,,,,,
2022-01-25,9.056,9.288,8.978,9.056,6700,60675.2,,,,,
2022-01-26,9.056,9.056,9.056,9.056,1339,12125.984,,,,,
2022-01-27,10.372,10.372,8.978,9.133,4900,44751.7,,,,,
2022-01-28,9.133,9.288,9.133,9.133,3800,34705.399999999994,,,,,
2022-02-07,9.288,9.288,9.288,9.288,100,928.8,,,,,
2022-02-08,9.211,9.211,9.133,9.133,2200,20092.6,,,,,
2022-02-09,9.211,9.211,9.211,9.211,1300,11974.3,,,,,
2022-02-10,9.211,9.211,9.211,9.211,2200,20264.2,,,,,
2022-02-11,9.211,9.211,9.056,9.056,6000,54335.99999999999,,,,,
2022-02-14,9.133,9.288,9.056,9.133,6000,54797.99999999999,,,,,
2022-02-15,9.133,9.288,9.133,9.133,2200,20092.6,,,,,
2022-02-16,9.133,9.133,8.978,9.133,9800,89503.4,,,,,
2022-02-17,9.211,9.211,9.056,9.056,4100,37129.6,,,,,
2022-02-18,9.056,9.056,9.056,9.056,0,0.0,,,,,
2022-02-21,9.056,9.056,9.056,9.056,0,0.0,,,,,
2022-02-22,9.133,9.133,9.133,9.133,2100,19179.3,,,,,
2022-02-23,9.288,9.907,9.288,9.83,52400,515092.0,,,,,
2022-02-24,9.675,9.907,9.675,9.83,14000,137620.0,,,,,
2022-02-25,9.83,9.83,9.83,9.83,1800,17694.0,,,,,
2022-02-28,9.83,9.83,9.752,9.752,10600,103371.2,,,,,
2022-03-01,9.83,9.83,9.752,9.83,4502,44254.66,,,,,
2022-03-02,9.83,9.907,9.83,9.907,1500,14860.5,,,,,
2022-03-03,9.83,9.83,9.83,9.83,5300,52099.0,,,,,
2022-03-04,9.83,9.83,9.83,9.83,4600,45218.0,,,,,
2022-03-07,9.83,9.907,9.83,9.907,3700,36655.9,,,,,
2022-03-08,9.985,10.062,9.907,9.907,6600,65386.2,,,,,
2022-03-09,9.985,9.985,9.985,9.985,0,0.0,,,,,
2022-03-10,9.985,9.985,9.985,9.985,0,0.0,,,,,
2022-03-11,9.985,9.985,9.907,9.985,4700,46929.5,,,,,
2022-03-14,9.985,9.985,9.907,9.985,3500,34947.5,,,,,
2022-03-15,9.985,9.985,9.985,9.985,0,0.0,,,,,
2022-03-16,9.985,9.985,9.985,9.985,0,0.0,,,,,
2022-03-17,9.985,9.985,9.985,9.985,1200,11982.0,,,,,
2022-03-18,9.985,9.985,9.985,9.985,0,0.0,,,,,
2022-03-21,9.985,9.985,9.907,9.985,15800,157763.0,,,,,
2022-03-22,9.985,9.985,9.907,9.985,3500,34947.5,,,,,
2022-03-23,9.985,9.985,9.985,9.985,200,1997.0,,,,,
2022-03-24,9.985,9.985,9.985,9.985,13000,129805.0,,,,,
2022-03-25,9.985,9.985,9.985,9.985,0,0.0,,,,,
2022-03-28,9.985,10.062,9.985,10.062,6100,61378.2,,,,,
2022-03-29,10.062,10.062,10.062,10.062,0,0.0,,,,,
2022-03-30,10.062,10.294,9.985,10.294,10700,110145.8,,,,,
2022-03-31,10.294,11.61,10.294,11.61,75900,881199.0,,,,,
2022-04-01,12.539,12.539,12.384,12.539,30700,384947.3,,,,,
2022-04-04,13.932,14.396,12.539,12.539,55400,694660.6,,,,,
2022-04-05,12.771,12.771,11.842,11.842,11500,136183.0,,,,,
2022-04-06,10.372,11.997,10.372,10.372,47700,494744.4,,,,,
2022-04-07,10.217,10.913,10.217,10.372,7500,77790.0,,,,,
2022-04-08,10.372,10.372,10.372,10.372,12700,131724.4,,,,,
2022-04-12,10.372,10.759,10.372,10.449,1800,18808.2,,,,,
2022-04-13,10.759,10.913,10.526,10.759,7100,76388.90000000001,,,,,
2022-04-14,10.604,11.146,10.372,11.146,14900,166075.40000000002,,,,,
2022-04-15,10.836,11.146,10.681,10.681,13400,143125.4,,,,,
2022-04-18,11.146,11.146,10.836,10.991,1600,17585.6,,,,,
