time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-03-07,25.081,25.546,22.388,22.48,8318900,187008872.0,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-08,23.502,23.595,21.644,21.737,2866670,62312805.78999999,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-09,21.737,22.48,21.366,22.016,1633750,35968640.0,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-12,22.016,22.295,21.087,21.644,2169077,46947502.588,0.0,10000.0,0.0,200000.0,,0.31,0.0,0.2
2018-03-13,21.366,21.644,20.994,21.459,1583110,33971957.49,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-14,21.366,21.459,20.53,20.623,1334300,27517268.9,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-15,20.623,20.994,20.251,20.344,1514047,30801772.168,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-16,20.53,20.901,20.344,20.901,1088100,22742378.1,0.0,40000.0,0.0,890000.0,,0.31,0.0,0.89
2018-03-19,20.901,21.18,20.715,20.808,491569,10228567.752,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-20,20.808,20.808,20.437,20.437,798886,16326833.182,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-21,20.715,20.715,20.437,20.53,549025,11271483.25,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-22,20.623,20.715,19.972,19.972,860099,17177897.228,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-23,20.065,20.065,18.95,19.415,882815,17139853.224999998,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-26,19.043,19.229,17.65,17.743,1502781,26663843.283,0.0,180000.0,0.0,3470000.0,,0.31,0.0,3.47
2018-03-27,18.114,18.393,17.743,17.929,587760,10537949.04,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-28,17.929,17.929,17.65,17.929,485660,8707398.139999999,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-29,17.929,18.95,17.929,18.765,704583,13221499.995,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-03-30,18.858,19.322,18.765,19.043,659950,12567427.85,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-04-02,18.95,19.879,18.95,19.508,559016,10905284.128,0.0,68900.0,0.0,1460000.0,,0.31,0.0,1.46
2018-04-03,19.508,19.508,19.043,19.415,962730,18691402.95,0.0,227100.0,0.0,4700000.0,,0.31,0.0,4.7
2018-04-04,19.508,19.508,18.672,18.858,628301,11848500.258,0.0,327000.0,0.0,6660000.0,,0.31,0.0,6.66
2018-04-05,19.043,19.694,18.672,18.95,462819,8770420.049999999,0.0,123000.0,0.0,2520000.0,,0.31,0.0,2.52
2018-04-06,18.858,18.858,18.114,18.486,599902,11089788.372,0.0,190000.0,0.0,3750000.0,,0.31,0.0,3.75
2018-04-09,18.579,18.579,17.65,17.836,592846,10574001.256,0.0,75000.0,0.0,1450000.0,,0.31,0.0,1.45
2018-04-10,18.021,18.393,17.836,18.393,474200,8721960.6,0.0,75000.0,0.0,1470000.0,,0.31,0.0,1.47
2018-04-11,18.207,18.486,17.929,18.021,427023,7695381.483,0.0,25000.0,0.0,490000.0,,0.31,0.0,0.49
2018-04-12,18.021,18.207,17.929,18.114,412170,7466047.38,0.0,25000.0,0.0,490000.0,,0.31,0.0,0.49
2018-04-13,18.114,18.207,17.185,17.278,1265600,21867036.8,0.0,25000.0,0.0,470000.0,,0.31,0.0,0.47
2018-04-16,17.185,17.185,16.721,16.814,595032,10004868.048,0.0,40000.0,0.0,730000.0,,0.31,0.0,0.73
2018-04-17,16.814,17.0,16.628,16.814,644577,10837917.678,0.0,30000.0,0.0,540000.0,,0.31,0.0,0.54
2018-04-18,16.721,17.093,16.349,16.535,410798,6792544.93,0.0,30000.0,0.0,540000.0,,0.31,0.0,0.54
2018-04-19,16.628,16.628,15.328,15.699,1005600,15786914.4,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-04-20,15.699,15.699,14.863,14.863,999906,14861602.878,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-04-23,15.142,15.792,14.399,14.399,1014430,14606777.569999998,0.0,10000.0,0.0,160000.0,,0.31,0.0,0.16
2018-04-24,14.863,15.142,14.399,15.049,741640,11160940.36,30000.0,375000.0,480000.0,6000000.0,,0.31,0.48,6.0
2018-04-26,15.328,15.328,14.399,14.492,1075626,15587971.992,85000.0,589900.0,1350000.0,9370000.0,,0.31,1.35,9.37
2018-04-27,14.12,14.77,13.934,14.584,538380,7851733.92,0.0,120100.0,0.0,1850000.0,,0.31,0.0,1.85
2018-05-02,14.584,15.699,14.399,14.77,923410,13638765.7,0.0,370000.0,0.0,5920000.0,,0.31,0.0,5.92
2018-05-03,14.863,15.328,14.492,15.142,1016630,15393811.46,30000.0,410000.0,480000.0,6530000.0,,0.31,0.48,6.53
2018-05-04,15.049,16.535,15.049,16.535,892272,14753717.52,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-07,16.721,18.3,16.721,18.3,1507397,27585365.1,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-08,18.765,19.043,17.371,17.65,1158650,20450172.5,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-09,17.65,17.929,16.721,17.093,1027640,17565450.52,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-10,17.185,18.114,17.093,17.464,914930,15978337.52,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-11,17.464,18.114,17.278,17.836,598283,10670975.588,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-14,17.836,18.021,17.464,17.743,515400,9144742.2,100000.0,100000.0,1900000.0,1900000.0,,0.31,1.9,1.9
2018-05-15,17.557,18.858,17.464,18.486,1362810,25192905.66,50000.0,50000.0,990000.0,990000.0,,0.31,0.99,0.99
2018-05-16,18.579,18.579,18.114,18.207,752128,13693994.496,57210.0,57210.0,1130000.0,1130000.0,,0.31,1.13,1.13
2018-05-17,18.207,19.043,18.114,18.393,1250840,23006700.12,100000.0,140000.0,2000000.0,2800000.0,,0.31,2.0,2.8
2018-05-18,18.579,18.579,17.0,17.65,1167350,20603727.5,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-21,17.929,18.021,17.278,17.278,422020,7291661.56,20000.0,20000.0,380000.0,380000.0,,0.31,0.38,0.38
2018-05-22,17.278,17.278,15.699,16.535,1105900,18286056.5,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-23,16.535,16.721,15.978,16.628,383410,6375341.48,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-24,16.721,16.814,16.257,16.257,326117,5301684.069,30000.0,30000.0,530000.0,530000.0,,0.31,0.53,0.53
2018-05-25,16.628,16.628,15.606,15.792,545142,8608882.464,30000.0,30000.0,520000.0,520000.0,,0.31,0.52,0.52
2018-05-28,15.699,15.699,14.863,15.049,800668,12049252.732,60000.0,60000.0,980000.0,980000.0,,0.31,0.98,0.98
2018-05-29,14.863,16.071,14.863,15.792,554469,8756174.448,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-30,15.792,15.792,15.328,15.513,444610,6897234.93,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-05-31,15.699,15.978,15.513,15.885,568270,9026968.95,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-01,15.885,16.071,15.513,15.606,492203,7681320.018,55000.0,55000.0,930000.0,930000.0,,0.31,0.93,0.93
2018-06-04,15.699,15.792,15.42,15.792,630751,9960819.792,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-05,15.699,16.628,15.699,16.535,1139018,18833662.63,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-06,16.721,16.907,16.349,16.814,464510,7810271.14,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-07,16.535,16.628,15.978,16.257,429810,6987421.170000001,20000.0,20000.0,350000.0,350000.0,,0.31,0.35,0.35
2018-06-08,16.071,16.257,15.885,16.071,330202,5306676.342,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-11,15.978,16.164,15.792,15.978,212670,3398041.26,22790.0,22790.0,390000.0,390000.0,,0.31,0.39,0.39
2018-06-12,15.978,15.978,15.513,15.606,496500,7748379.0,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-13,15.792,15.885,15.699,15.885,155561,2471086.485,20000.0,20000.0,340000.0,340000.0,,0.31,0.34,0.34
2018-06-14,15.792,15.978,15.606,15.699,213544,3352427.256,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-15,15.792,15.792,15.606,15.699,136855,2148486.645,10000.0,10000.0,170000.0,170000.0,,0.31,0.17,0.17
2018-06-18,15.699,15.699,14.956,15.049,511900,7703583.1,0.0,135000.0,0.0,2210000.0,,0.31,0.0,2.21
2018-06-19,15.049,15.049,14.12,14.492,1214571,17601562.932,0.0,450000.0,0.0,7040000.0,,0.31,0.0,7.04
2018-06-20,14.584,14.77,14.399,14.677,467105,6855700.085,30000.0,250000.0,470000.0,3920000.0,,0.31,0.47,3.92
2018-06-21,14.77,14.77,14.399,14.584,242050,3530057.2,0.0,100000.0,0.0,1560000.0,,0.31,0.0,1.56
2018-06-22,14.77,15.328,14.77,15.328,905254,13875733.312,0.0,370000.0,0.0,5990000.0,,0.31,0.0,5.99
2018-06-25,15.606,16.257,15.235,16.071,1423242,22872922.182000004,0.0,300000.0,0.0,5100000.0,,0.31,0.0,5.1
2018-06-26,15.42,16.164,15.42,16.071,1663621,26736053.091,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-06-27,16.257,16.628,15.978,16.349,2383660,38970457.34,0.0,80000.0,0.0,1410000.0,,0.31,0.0,1.41
2018-06-28,16.535,16.628,16.164,16.442,2371934,38999338.828,0.0,60000.0,0.0,1060000.0,,0.31,0.0,1.06
2018-06-29,16.442,16.721,15.328,15.328,2331550,35737998.4,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-07-02,15.142,15.328,14.677,14.956,545010,8151169.56,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-07-03,15.235,15.235,14.213,14.399,582141,8382248.259,20000.0,80000.0,310000.0,1250000.0,,0.31,0.31,1.25
2018-07-04,13.934,14.584,13.934,14.306,470972,6737725.432,40000.0,102000.0,620000.0,1580000.0,,0.31,0.62,1.58
2018-07-05,14.492,14.492,13.47,13.934,709332,9883832.088,0.0,60000.0,0.0,900000.0,,0.31,0.0,0.9
2018-07-06,13.934,14.306,13.098,13.934,403500,5622369.0,0.0,63000.0,0.0,930000.0,,0.31,0.0,0.93
2018-07-09,13.934,14.399,13.563,13.841,376570,5212105.37,0.0,232000.0,0.0,3470000.0,,0.31,0.0,3.47
2018-07-10,13.47,13.841,13.005,13.47,773621,10420674.87,0.0,408801.0,0.0,5920000.0,,0.31,0.0,5.92
2018-07-11,13.191,13.191,12.355,12.634,1019550,12880994.7,0.0,110000.0,0.0,1490000.0,,0.31,0.0,1.49
2018-07-12,12.076,12.912,12.076,12.541,472260,5922612.66,0.0,70000.0,0.0,930000.0,,0.31,0.0,0.93
2018-07-13,12.634,12.912,12.355,12.634,450114,5686740.276000001,0.0,70000.0,0.0,940000.0,,0.31,0.0,0.94
2018-07-16,12.912,12.912,12.448,12.634,208236,2630853.6240000003,0.0,70000.0,0.0,950000.0,,0.31,0.0,0.95
2018-07-17,12.819,13.005,12.262,12.541,302627,3795245.207,0.0,70000.0,0.0,940000.0,,0.31,0.0,0.94
2018-07-18,12.819,12.912,12.355,12.541,958165,12016347.265,0.0,720000.0,0.0,9750000.0,,0.31,0.0,9.75
2018-07-19,13.005,14.027,12.727,13.563,1283930,17413942.59,0.0,140000.0,0.0,2020000.0,,0.31,0.0,2.02
2018-07-20,13.47,13.934,13.284,13.655,362225,4946182.375,0.0,70000.0,0.0,1020000.0,,0.31,0.0,1.02
2018-07-23,13.563,13.563,13.191,13.191,398420,5255558.220000001,0.0,70000.0,0.0,1010000.0,,0.31,0.0,1.01
2018-07-24,13.284,13.284,12.634,13.005,533270,6935176.350000001,0.0,70000.0,0.0,970000.0,,0.31,0.0,0.97
2018-07-25,13.098,13.284,12.912,13.005,336737,4379264.6850000005,0.0,70000.0,0.0,980000.0,,0.31,0.0,0.98
2018-07-26,13.005,13.191,12.819,13.098,156420,2048789.16,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-07-27,13.005,13.191,13.005,13.191,287700,3795050.7,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-07-30,13.377,13.655,13.098,13.655,819776,11194041.28,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-07-31,13.655,14.677,13.655,14.213,1099693,15629936.609,20000.0,20000.0,300000.0,300000.0,,0.31,0.3,0.3
2018-08-01,14.12,14.306,13.841,14.027,623220,8741906.94,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-08-02,13.841,14.027,13.655,13.841,520180,7199811.38,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-08-03,14.213,15.049,14.027,14.863,2487957,36978504.891,0.0,280000.0,0.0,4440000.0,,0.31,0.0,4.44
2018-08-06,15.328,15.328,14.399,14.677,880200,12918695.4,0.0,82500.0,0.0,1320000.0,,0.31,0.0,1.32
2018-08-07,14.863,14.863,14.12,14.213,634671,9020578.923,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-08-08,14.306,14.677,14.12,14.584,676275,9862794.6,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-08-09,14.492,15.142,14.492,14.677,1248010,18317042.77,0.0,160500.0,0.0,2550000.0,,0.31,0.0,2.55
2018-08-10,14.584,14.677,14.399,14.584,603700,8804360.799999999,35000.0,35000.0,540000.0,540000.0,,0.31,0.54,0.54
2018-08-13,14.399,14.584,14.306,14.306,657311,9403491.166,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-08-14,15.235,15.235,13.934,14.12,963436,13603716.319999998,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-08-15,14.027,14.213,13.377,13.377,1025449,13717431.273,50000.0,50000.0,740000.0,740000.0,,0.31,0.74,0.74
2018-08-16,13.377,13.655,13.191,13.655,917160,12523819.8,0.0,100000.0,0.0,1430000.0,,0.31,0.0,1.43
2018-08-17,13.748,13.841,13.284,13.377,442867,5924231.859,0.0,100000.0,0.0,1450000.0,,0.31,0.0,1.45
2018-08-20,13.47,13.47,13.191,13.284,627460,8335178.640000001,0.0,100000.0,0.0,1430000.0,,0.31,0.0,1.43
2018-08-21,13.284,13.47,13.284,13.377,701207,9380046.039,0.0,331900.0,0.0,4770000.0,,0.31,0.0,4.77
2018-08-22,13.377,13.748,13.377,13.47,727120,9794306.4,180000.0,708100.0,2610000.0,10270000.0,,0.31,2.61,10.27
2018-08-23,13.748,13.748,13.191,13.377,609720,8156224.44,70000.0,420000.0,1010000.0,6050000.0,,0.31,1.01,6.05
2018-08-24,13.377,13.377,13.191,13.377,347700,4651182.9,0.0,100000.0,0.0,1430000.0,,0.31,0.0,1.43
2018-08-27,13.47,13.655,13.284,13.47,641100,8635617.0,142000.0,472000.0,2050000.0,6810000.0,,0.31,2.05,6.81
2018-08-28,13.191,13.377,13.191,13.191,408180,5384302.38,0.0,150000.0,0.0,2140000.0,,0.31,0.0,2.14
2018-08-29,13.284,13.563,13.191,13.377,755452,10105681.404,0.0,120000.0,0.0,1740000.0,,0.31,0.0,1.74
2018-08-30,13.563,13.563,13.191,13.377,602722,8062612.194,0.0,100000.0,0.0,1440000.0,,0.31,0.0,1.44
2018-08-31,13.47,13.841,13.377,13.47,935083,12595568.01,30000.0,130000.0,440000.0,1900000.0,,0.31,0.44,1.9
2018-09-04,13.563,13.563,13.284,13.377,1087320,14545079.64,0.0,50000.0,0.0,720000.0,,0.31,0.0,0.72
2018-09-05,13.377,13.377,13.098,13.191,530400,6996506.4,140000.0,190000.0,1990000.0,2700000.0,,0.31,1.99,2.7
2018-09-06,13.098,13.191,12.912,13.098,500300,6552929.4,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-07,13.005,13.191,13.005,13.191,273411,3606564.501,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-10,13.191,13.377,13.191,13.191,411100,5422820.100000001,30000.0,30000.0,430000.0,430000.0,,0.31,0.43,0.43
2018-09-11,13.284,13.841,13.284,13.748,1333860,18337907.28,245000.0,245000.0,3600000.0,3600000.0,,0.31,3.6,3.6
2018-09-12,13.841,14.12,13.748,14.027,1779640,24963010.28,315000.0,315000.0,4730000.0,4730000.0,,0.31,4.73,4.73
2018-09-13,14.027,14.12,13.748,13.748,682756,9386529.488,30000.0,30000.0,450000.0,450000.0,,0.31,0.45,0.45
2018-09-14,13.748,13.841,13.563,13.748,582168,8003645.664,60000.0,60000.0,880000.0,880000.0,,0.31,0.88,0.88
2018-09-17,13.748,13.748,13.563,13.563,502346,6813318.798,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-18,13.563,13.748,13.47,13.748,676105,9295091.54,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-19,13.841,14.492,13.841,14.213,2368584,33664684.392,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-20,14.213,15.513,14.213,15.235,3155892,48080014.62,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-21,15.235,15.513,14.863,15.235,2264836,34504776.46,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-24,15.142,15.42,15.049,15.328,1277062,19574806.336,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-25,15.328,16.071,15.328,15.978,2650811,42354658.158,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-09-26,15.978,16.164,15.513,15.513,2063192,32006297.496,0.0,10000.0,0.0,170000.0,,0.31,0.0,0.17
2018-09-27,15.42,15.978,15.328,15.792,2057913,32498562.096,0.0,10000.0,0.0,170000.0,,0.31,0.0,0.17
2018-09-28,15.792,15.978,15.513,15.513,1593169,24714830.697,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-01,15.699,16.257,15.606,15.885,1600244,25419875.94,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-02,15.885,16.257,15.885,15.978,1501085,23984336.13,5056900.7,5056900.7,873980000.0,873980000.0,,0.31,873.98,873.98
2018-10-03,16.071,16.164,15.606,16.164,774390,12517239.96,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-04,15.978,16.535,15.978,16.257,1593389,25903724.973,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-05,16.071,16.257,15.42,15.699,1003434,15752910.366,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-08,15.606,15.606,14.863,15.049,1344119,20227646.831,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-09,14.863,15.42,14.863,15.235,593670,9044562.45,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-10,15.235,15.42,14.956,15.235,446315,6799609.024999999,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-11,14.956,15.049,13.563,13.655,2843928,38833836.84,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-12,13.748,14.399,13.191,14.306,1095021,15665370.426,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-15,14.12,14.492,13.748,13.748,709208,9750191.584,0.0,50000.0,0.0,750000.0,,0.31,0.0,0.75
2018-10-16,13.748,14.027,13.748,13.934,430200,5994406.8,0.0,50000.0,0.0,750000.0,,0.31,0.0,0.75
2018-10-17,14.399,14.492,14.027,14.306,394571,5644732.726,0.0,50000.0,0.0,760000.0,,0.31,0.0,0.76
2018-10-18,14.027,14.12,13.934,14.027,300430,4214131.609999999,0.0,50000.0,0.0,760000.0,,0.31,0.0,0.76
2018-10-19,13.748,13.934,13.563,13.841,341105,4721234.305,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-22,13.934,14.12,13.748,13.841,310814,4301976.574,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-23,13.841,13.934,13.47,13.748,553120,7604293.76,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-24,13.655,13.748,12.819,13.098,990514,12973752.372,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-25,12.912,13.098,12.355,13.005,863295,11227151.475,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
2018-10-26,13.005,13.655,12.912,13.191,750800,9903802.8,0.0,0.0,0.0,0.0,,0.31,0.0,0.0
