time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2022-06-17,102.136,102.136,102.136,102.136,800,81708.8,,,,,
2022-06-20,117.457,117.457,117.457,117.457,1200,140948.4,,,,,
2022-06-21,135.027,135.027,135.027,135.027,169700,22914081.9,,,,,
2022-06-22,155.272,155.272,133.142,134.966,201900,27249635.4,,,,,
2022-06-23,137.033,143.234,136.972,140.437,105800,14858234.6,,,,,
2022-06-24,140.437,140.498,133.75,133.75,58500,7824375.0,,,,,
2022-06-27,134.966,134.966,127.67,128.886,92700,11947732.2,,,,,
2022-06-28,127.123,127.67,118.065,119.098,112300,13374705.4,,,,,
2022-06-29,119.098,120.922,109.432,117.943,81000,9553383.0,,,,,
2022-06-30,115.511,121.53,115.511,118.794,35215,4183330.71,,,,,
2022-07-01,116.727,116.727,110.04,113.505,54502,6186249.51,,,,,
2022-07-04,110.04,114.295,109.432,109.432,58783,6432741.256,,,,,
2022-07-05,107.608,108.824,97.881,98.489,95110,9367288.79,,,,,
2022-07-06,95.449,95.449,87.849,88.153,85200,7510635.600000001,,,,,
2022-07-07,88.153,97.273,83.29,94.233,111161,10475034.513,,,,,
2022-07-08,92.105,100.312,92.105,96.057,49200,4726004.4,,,,,
2022-07-11,96.361,96.422,91.193,93.564,22628,2117166.192,,,,,
2022-07-12,92.409,96.057,91.315,95.996,27703,2659377.188,,,,,
2022-07-13,93.686,94.841,92.409,93.625,33100,3098987.5,,,,,
2022-07-14,92.591,93.625,92.409,93.625,26500,2481062.5,,,,,
2022-07-15,94.233,95.996,90.889,91.193,73904,6739527.472,,,,,
2022-07-18,91.801,91.801,89.369,90.524,23804,2154833.296,,,,,
2022-07-19,88.579,93.625,88.579,93.26,33000,3077580.0,,,,,
2022-07-20,95.449,97.273,93.929,96.057,86440,8303167.08,,,,,
2022-07-21,97.212,97.212,94.294,95.388,20800,1984070.4,,,,,
2022-07-22,95.449,97.273,95.023,95.388,72600,6925168.800000001,,,,,
2022-07-25,97.273,97.273,93.139,95.935,38700,3712684.5,,,,,
2022-07-26,95.996,103.352,95.996,100.312,174601,17514575.512,,,,,
2022-07-27,99.705,101.954,94.233,99.705,46100,4596400.5,,,,,
2022-07-28,100.191,100.92,96.057,98.489,75800,7465466.2,,,,,
2022-07-29,98.306,98.306,88.883,92.895,162200,15067569.0,,,,,
2022-08-01,92.47,92.47,85.114,91.436,183400,16769362.4,,,,,
2022-08-02,91.315,92.531,89.977,91.376,34600,3161609.6,,,,,
2022-08-03,91.801,91.801,89.552,89.977,126700,11400085.9,,,,,
2022-08-04,95.818,97.708,90.929,91.255,55900,5101154.5,,,,,
2022-08-05,92.233,92.233,89.3,89.951,47700,4290662.699999999,,,,,
2022-08-08,90.277,90.277,87.996,88.778,107123,9510165.694,,,,,
2022-08-09,88.648,92.428,88.583,89.951,52600,4731422.6,,,,,
2022-08-10,89.756,90.277,88.322,88.974,35300,3140782.2,,,,,
2022-08-11,89.104,89.626,87.996,88.061,48100,4235734.100000001,,,,,
2022-08-12,88.452,88.452,86.497,86.692,105900,9180682.8,,,,,
2022-08-15,86.562,87.475,86.562,87.018,25300,2201555.4,,,,,
2022-08-16,86.692,87.931,86.432,86.692,19400,1681824.7999999998,,,,,
2022-08-17,87.083,87.149,84.15,84.215,96700,8143590.5,,,,,
2022-08-18,86.562,86.562,85.389,85.519,53200,4549610.800000001,,,,,
2022-08-19,86.758,86.823,84.737,84.802,26500,2247253.0,,,,,
2022-08-22,85.519,85.519,82.847,83.107,32500,2700977.5,,,,,
2022-08-23,81.478,81.478,79.653,81.478,66300,5401991.399999999,,,,,
2022-08-24,81.999,83.368,80.891,82.781,37900,3137399.9000000004,,,,,
2022-08-25,83.824,86.692,82.847,85.389,69400,5925996.6,,,,,
2022-08-26,86.497,86.497,83.433,83.433,51200,4271769.600000001,,,,,
2022-08-29,82.781,84.607,81.478,82.716,47800,3953824.8,,,,,
2022-08-30,82.455,85.715,82.455,83.433,28406,2369997.7980000004,,,,,
2022-08-31,83.824,83.824,82.13,83.433,9300,775926.9,,,,,
2022-09-05,82.977,84.02,82.13,83.759,20800,1742187.2,,,,,
2022-09-06,83.759,83.89,83.107,83.694,47700,3992203.8,,,,,
2022-09-07,83.629,83.629,79.653,80.63,58100,4684603.0,,,,,
2022-09-08,81.869,82.064,80.304,81.217,24900,2022303.3,,,,,
2022-09-09,81.478,81.478,80.174,81.478,31700,2582852.6,,,,,
2022-09-12,85.258,85.258,82.13,82.586,19027,1571363.822,,,,,
2022-09-13,82.39,82.781,80.826,82.13,28801,2365426.13,,,,,
2022-09-14,80.826,81.738,80.826,81.738,19300,1577543.4,,,,,
2022-09-15,81.869,81.869,81.282,81.804,26033,2129603.532,,,,,
2022-09-16,81.673,81.673,80.891,81.152,15400,1249740.8,,,,,
2022-09-19,80.826,80.826,79.653,79.653,36027,2869658.631,,,,,
2022-09-20,79.783,79.848,78.87,79.522,31372,2494764.1840000004,,,,,
2022-09-21,79.392,79.522,78.87,79.392,11528,915230.976,,,,,
2022-09-22,79.001,79.848,78.74,79.522,34300,2727604.6,,,,,
2022-09-23,79.848,79.848,78.219,78.284,33200,2599028.8000000003,,,,,
2022-09-26,78.545,78.61,73.069,74.894,59442,4451849.148,,,,,
2022-09-27,74.308,74.568,69.68,69.68,23700,1651416.0000000002,,,,,
2022-09-28,71.7,71.7,65.247,68.246,31900,2177047.4,,,,,
2022-09-29,66.877,67.659,65.313,65.964,25013,1649957.532,,,,,
2022-09-30,65.182,66.616,60.294,66.616,57700,3843743.2,,,,,
2022-10-03,63.879,66.421,61.988,61.988,17700,1097187.6,,,,,
2022-10-04,63.879,63.879,61.467,61.597,29000,1786313.0,,,,,
2022-10-05,62.705,63.879,60.945,61.988,33067,2049757.196,,,,,
2022-10-06,61.662,61.662,59.642,60.489,12500,756112.5,,,,,
2022-10-07,59.968,59.968,52.146,53.449,41212,2202740.188,,,,,
2022-10-10,52.211,56.709,52.146,55.731,37103,2067787.293,,,,,
2022-10-11,54.688,56.709,54.166,54.688,45400,2482835.2,,,,,
2022-10-12,55.405,59.055,55.405,58.208,33800,1967430.4,,,,,
2022-10-13,59.12,59.12,58.077,58.664,15500,909292.0,,,,,
2022-10-14,59.316,65.834,58.664,64.204,89035,5716403.14,,,,,
2022-10-17,63.944,65.247,63.944,65.247,18399,1200479.553,,,,,
2022-10-18,66.486,66.486,63.618,64.53,13415,865669.9500000001,,,,,
2022-10-19,66.29,66.29,64.53,64.53,13505,871477.65,,,,,
2022-10-20,65.182,65.834,62.575,63.813,22400,1429411.2,,,,,
2022-10-21,63.879,63.879,57.36,57.36,48300,2770488.0,,,,,
2022-10-24,61.923,65.834,61.923,63.031,116300,7330505.3,,,,,
2022-10-25,62.64,66.551,62.64,65.704,71200,4678124.8,,,,,
2022-10-26,66.486,70.397,65.182,68.05,78245,5324572.25,,,,,
2022-10-27,67.789,74.373,66.486,74.308,132481,9844398.148,,,,,
2022-10-28,74.373,76.719,72.743,73.656,55102,4058592.912000001,,,,,
2022-10-31,74.308,74.96,69.093,69.745,55495,3870498.775,,,,,
2022-11-01,71.7,73.069,70.527,70.527,42619,3005790.213,,,,,
2022-11-02,71.7,71.7,65.573,67.007,42422,2842570.9540000004,,,,,
2022-11-03,67.659,68.767,64.921,67.138,20404,1369883.752,,,,,
2022-11-04,67.464,67.464,63.422,64.53,58400,3768552.0,,,,,
2022-11-07,64.4,64.4,60.294,60.619,38100,2309583.9,,,,,
2022-11-08,61.597,63.553,58.99,62.379,25500,1590664.5,,,,,
2022-11-09,63.096,63.162,61.141,62.184,35000,2176440.0,,,,,
2022-11-10,60.619,60.619,55.405,55.47,66750,3702622.5,,,,,
2022-11-11,57.36,60.619,55.47,56.057,39103,2191996.8710000003,,,,,
2022-11-14,55.144,55.144,49.147,49.147,97560,4794781.32,,,,,
2022-11-15,45.628,45.628,42.238,42.238,51800,2187928.4,,,,,
2022-11-16,42.368,48.691,36.176,48.691,118700,5779621.7,,,,,
2022-11-17,49.734,49.734,49.734,49.734,10621,528224.814,,,,,
2022-11-18,56.709,57.165,51.559,55.144,109442,6035069.648,,,,,
2022-11-21,58.664,59.316,56.122,58.403,51803,3025450.609,,,,,
2022-11-22,58.468,58.664,53.775,54.232,71731,3890115.592,,,,,
2022-11-23,54.232,57.36,52.798,56.057,28600,1603230.2,,,,,
2022-11-24,56.057,57.034,55.079,56.383,46520,2622937.16,,,,,
2022-11-25,57.034,57.426,54.753,57.36,32420,1859611.2,,,,,
2022-11-28,58.338,59.968,56.057,59.185,91060,5389386.100000001,,,,,
2022-11-29,57.36,60.554,48.43,59.968,60000,3598080.0,,,,,
2022-11-30,58.664,59.902,57.034,58.599,84856,4972476.744,,,,,
2022-12-01,58.338,59.902,57.36,58.338,85115,4965438.87,,,,,
2022-12-02,58.012,59.707,57.491,59.316,42020,2492458.3200000003,,,,,
2022-12-05,59.381,60.945,59.381,59.642,49003,2922636.926,,,,,
2022-12-06,60.098,60.098,58.338,58.338,56320,3285596.16,,,,,
2022-12-07,58.664,59.12,58.012,58.664,23300,1366871.2,,,,,
2022-12-08,58.99,61.206,58.99,59.642,67411,4020526.862,,,,,
2022-12-09,60.75,60.815,59.837,60.554,21700,1314021.8,,,,,
2022-12-12,60.424,68.441,60.424,65.117,78431,5107191.427,,,,,
2022-12-13,64.53,66.486,63.879,65.834,36210,2383849.14,,,,,
2022-12-14,66.486,68.767,66.486,68.767,47193,3245321.031,,,,,
2022-12-15,69.093,69.941,67.92,68.376,66016,4513910.016000001,,,,,
2022-12-16,68.441,68.767,67.789,68.441,59070,4042809.87,,,,,
2022-12-19,75.451,75.451,65.434,65.723,53010,3483976.23,,,,,
2022-12-20,64.858,64.93,60.462,61.975,96100,5955797.5,,,,,
2022-12-21,64.065,64.137,61.975,61.975,23122,1432985.95,,,,,
2022-12-22,62.696,62.696,60.534,61.399,29841,1832207.559,,,,,
2022-12-23,61.831,61.831,60.75,60.894,12812,780173.928,,,,,
