time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2019-11-26,14.411,14.501,14.411,14.501,1200,17401.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-27,16.663,16.663,16.663,16.663,925,15413.275,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-28,19.095,19.095,19.095,19.095,100,1909.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-11-29,21.887,21.887,16.303,16.303,4700,76624.1,1000.0,0.0,20000.0,0.0,,0.0,0.02,0.0
2019-12-02,18.554,18.554,18.374,18.374,800,14699.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-03,15.852,15.852,15.672,15.672,1220,19119.84,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-04,15.762,15.762,15.672,15.672,1000,15672.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-05,14.862,14.862,14.862,14.862,1600,23779.2,0.0,1000.0,0.0,20000.0,,0.0,0.0,0.02
2019-12-06,14.681,14.681,14.681,14.681,200,2936.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-09,15.312,15.312,15.312,15.312,105,1607.76,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-10,15.312,15.312,15.312,15.312,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-11,15.402,15.402,15.402,15.402,2000,30804.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-12,17.654,17.654,17.654,17.654,400,7061.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-13,15.942,15.942,15.942,15.942,800,12753.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-16,15.942,15.942,15.942,15.942,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-17,13.781,13.781,13.781,13.781,1000,13781.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-18,12.61,15.762,12.61,13.06,2710,35392.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-19,13.15,13.15,13.15,13.15,100,1315.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-20,13.15,13.15,13.15,13.15,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-23,15.042,15.042,15.042,15.042,300,4512.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-24,17.293,17.293,17.293,17.293,111,1919.523,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-25,16.213,16.213,16.213,16.213,1710,27724.230000000003,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-26,16.213,16.213,16.213,16.213,1,16.213,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-27,18.554,18.645,16.483,16.483,400,6593.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-30,18.194,18.374,18.194,18.374,200,3674.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2019-12-31,18.284,18.284,18.284,18.284,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-02,18.284,18.284,18.284,18.284,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-03,18.284,18.284,18.284,18.284,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-06,18.284,18.284,18.284,18.284,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-07,20.986,20.986,20.986,20.986,1000,20986.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-08,20.986,20.986,20.986,20.986,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-09,20.986,20.986,20.986,20.986,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-10,20.986,20.986,20.986,20.986,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-13,20.986,20.986,20.986,20.986,1000,20986.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-14,17.924,17.924,17.924,17.924,100,1792.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-15,20.536,20.536,20.536,20.536,506,10391.216,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-16,20.536,20.536,20.536,20.536,1000,20536.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-17,20.536,20.536,20.536,20.536,100,2053.6000000000004,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-20,20.536,20.536,20.536,20.536,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-21,20.716,20.716,20.536,20.536,3000,61608.00000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2020-01-22,20.626,20.626,20.626,20.626,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
