time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2022-07-28,11.226,11.226,8.635,11.226,793900,8912321.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-29,12.325,12.325,11.069,12.325,1401600,17274720.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-01,13.502,13.502,11.147,12.953,1532500,19850472.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-02,12.953,13.188,11.697,12.482,787352,9827727.664,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-03,12.482,12.56,11.304,11.54,698800,8064151.999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-04,11.54,11.54,10.441,10.441,425300,4440557.300000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-05,9.577,9.97,9.42,9.42,515532,4856311.44,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-08,9.185,10.048,8.871,9.499,158818,1508612.182,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-09,9.42,9.656,9.342,9.42,81050,763491.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-10,9.42,9.42,9.106,9.106,96800,881460.7999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-11,9.185,9.342,8.949,8.949,79300,709655.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-12,8.949,8.949,8.792,8.949,78900,706076.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-15,8.949,8.949,8.792,8.871,58700,520727.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-16,8.871,8.871,8.557,8.557,138008,1180934.456,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-17,8.557,8.557,8.086,8.321,126900,1055934.9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-18,8.321,8.321,7.536,7.693,119500,919313.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-19,7.693,8.4,7.458,8.4,1337954,11238813.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-22,8.4,9.185,8.243,9.185,202200,1857207.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-23,8.635,9.185,8.635,8.714,89200,777288.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-08-24,8.243,8.557,8.007,8.243,140100,1154844.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
