time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2013-01-02,2.181,2.25,2.181,2.25,7100,15975.0,,,,,
2013-01-03,2.181,2.181,2.113,2.113,12500,26412.5,,,,,
2013-01-04,1.977,2.181,1.977,2.181,13000,28353.0,,,,,
2013-01-07,2.045,2.181,2.045,2.181,2400,5234.400000000001,,,,,
2013-01-08,2.181,2.181,2.045,2.045,7300,14928.5,,,,,
2013-01-09,2.113,2.181,1.977,1.977,30900,61089.3,,,,,
2013-01-10,2.045,2.045,1.977,2.045,1800,3681.0,,,,,
2013-01-11,2.045,2.045,2.045,2.045,0,0.0,,,,,
2013-01-14,2.045,2.181,2.045,2.113,36400,76913.2,,,,,
2013-01-15,2.045,2.181,2.045,2.113,7900,16692.7,,,,,
2013-01-16,2.113,2.181,2.113,2.181,19200,41875.2,,,,,
2013-01-17,2.25,2.25,2.113,2.181,2800,6106.8,,,,,
2013-01-18,2.113,2.181,2.045,2.181,3600,7851.6,,,,,
2013-01-21,2.181,2.181,2.045,2.113,3800,8029.4,,,,,
2013-01-22,2.045,2.045,2.045,2.045,8700,17791.5,,,,,
2013-01-23,2.045,2.045,2.045,2.045,0,0.0,,,,,
2013-01-24,2.045,2.25,1.977,2.25,28600,64350.0,,,,,
2013-01-25,2.181,2.181,2.113,2.181,23000,50163.0,,,,,
2013-01-28,2.181,2.25,2.181,2.25,27300,61425.0,,,,,
2013-01-29,2.181,2.318,2.181,2.318,18700,43346.6,,,,,
2013-01-30,2.318,2.318,2.25,2.25,32300,72675.0,,,,,
2013-01-31,2.318,2.318,2.181,2.25,3300,7425.0,,,,,
2013-02-01,2.113,2.25,2.045,2.25,2600,5850.0,,,,,
2013-02-04,2.113,2.181,1.977,2.181,17900,39039.9,,,,,
2013-02-05,2.045,2.181,2.045,2.181,6300,13740.3,,,,,
2013-02-06,2.113,2.181,2.113,2.181,5300,11559.3,,,,,
2013-02-07,2.25,2.25,2.113,2.181,3100,6761.1,,,,,
2013-02-08,2.181,2.25,2.181,2.25,5400,12150.0,,,,,
2013-02-18,2.181,2.25,2.113,2.25,19500,43875.0,,,,,
2013-02-19,2.318,2.318,2.181,2.25,4200,9450.0,,,,,
2013-02-20,2.181,2.318,2.181,2.181,16100,35114.1,,,,,
2013-02-21,2.181,2.386,2.113,2.113,50000,105650.0,,,,,
2013-02-22,2.181,2.25,2.181,2.25,14400,32400.0,,,,,
2013-02-25,2.25,2.386,2.25,2.386,22300,53207.8,,,,,
2013-02-26,2.454,2.454,2.25,2.318,33500,77653.0,,,,,
2013-02-27,2.25,2.318,2.181,2.318,9100,21093.8,,,,,
2013-02-28,2.318,2.318,2.318,2.318,2300,5331.400000000001,,,,,
2013-03-01,2.25,2.318,2.181,2.318,8700,20166.6,,,,,
2013-03-04,2.25,2.25,2.25,2.25,1200,2700.0,,,,,
2013-03-05,2.181,2.181,2.113,2.181,11400,24863.4,,,,,
2013-03-06,2.25,2.25,2.25,2.25,800,1800.0,,,,,
2013-03-07,2.25,2.25,2.25,2.25,0,0.0,,,,,
2013-03-08,2.25,2.25,2.113,2.25,1200,2700.0,,,,,
2013-03-11,2.25,2.318,2.25,2.318,10100,23411.8,,,,,
2013-03-12,2.318,2.318,2.318,2.318,0,0.0,,,,,
2013-03-13,2.318,2.318,2.181,2.181,1900,4143.900000000001,,,,,
2013-03-14,2.181,2.181,2.181,2.181,1000,2181.0,,,,,
2013-03-15,2.113,2.181,2.045,2.181,4800,10468.8,,,,,
2013-03-18,2.181,2.181,2.113,2.181,3600,7851.6,,,,,
2013-03-19,2.181,2.25,2.181,2.181,5600,12213.6,,,,,
2013-03-20,2.113,2.25,2.113,2.25,3400,7650.0,,,,,
2013-03-21,2.25,2.25,2.25,2.25,0,0.0,,,,,
2013-03-22,2.25,2.25,2.25,2.25,0,0.0,,,,,
2013-03-25,2.113,2.113,2.113,2.113,4800,10142.4,,,,,
2013-03-26,2.045,2.113,2.045,2.113,6000,12678.0,,,,,
2013-03-27,2.045,2.181,1.977,2.181,7300,15921.3,,,,,
2013-03-28,2.113,2.181,2.045,2.181,700,1526.7,,,,,
2013-03-29,2.045,2.045,2.045,2.045,5600,11452.0,,,,,
2013-04-01,2.181,2.25,2.181,2.25,300,675.0,,,,,
2013-04-02,2.113,2.181,2.113,2.181,5700,12431.7,,,,,
2013-04-03,2.113,2.113,2.045,2.113,1800,3803.4,,,,,
