time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-01-18,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-19,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-20,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-21,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-22,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-25,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-26,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-27,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-28,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-01-29,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-01,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-02,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-03,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-04,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-05,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-15,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-16,3.704,3.704,3.704,3.704,0,0.0,,,,,,,,
2016-02-17,2.252,2.252,2.252,2.252,5000,11259.999999999998,,,,,,,,
2016-02-18,2.502,2.577,2.502,2.577,2000,5154.0,,,,,,,,
2016-02-19,2.552,2.552,2.552,2.552,0,0.0,,,,,,,,
2016-02-22,2.552,2.552,2.552,2.552,0,0.0,,,,,,,,
2016-02-23,2.577,2.577,2.577,2.577,1000,2577.0,,,,,,,,
2016-02-24,2.577,2.577,2.577,2.577,0,0.0,,,,,,,,
2016-02-25,2.577,2.577,2.577,2.577,0,0.0,,,,,,,,
2016-02-26,2.753,2.753,2.753,2.753,200,550.6,,,,,,,,
2016-02-29,2.627,2.627,2.627,2.627,3800,9982.6,,,,,,,,
2016-03-01,2.627,2.627,2.627,2.627,0,0.0,,,,,,,,
2016-03-02,2.627,2.627,2.627,2.627,0,0.0,,,,,,,,
2016-03-03,2.627,2.627,2.627,2.627,0,0.0,,,,,,,,
2016-03-04,2.753,2.753,2.753,2.753,2000,5506.0,,,,,,,,
2016-03-07,3.003,3.003,3.003,3.003,1000,3003.0,,,,,,,,
2016-03-08,3.003,3.003,3.003,3.003,0,0.0,,,,,,,,
2016-03-09,3.003,3.003,3.003,3.003,0,0.0,,,,,,,,
2016-03-10,3.003,3.003,3.003,3.003,0,0.0,,,,,,,,
2016-03-11,3.003,3.003,3.003,3.003,0,0.0,,,,,,,,
2016-03-14,3.003,3.003,3.003,3.003,0,0.0,,,,,,,,
2016-03-15,3.003,3.003,3.003,3.003,0,0.0,,,,,,,,
2016-03-16,3.128,3.128,3.128,3.128,100,312.8,,,,,,,,
2016-03-17,3.128,3.128,3.128,3.128,0,0.0,,,,,,,,
2016-03-18,3.128,3.128,3.128,3.128,0,0.0,,,,,,,,
2016-03-21,3.203,3.253,3.203,3.253,1000,3253.0,,,,,,,,
2016-03-22,3.253,3.253,3.253,3.253,0,0.0,,,,,,,,
2016-03-23,2.778,2.778,2.778,2.778,100,277.8,,,,,,,,
2016-03-24,2.653,2.653,2.653,2.653,100,265.3,,,,,,,,
2016-03-25,2.653,2.653,2.653,2.653,0,0.0,,,,,,,,
2016-03-28,2.653,2.653,2.653,2.653,0,0.0,,,,,,,,
2016-03-29,3.028,3.028,2.502,2.502,5100,12760.2,,,,,,,,
2016-03-30,3.478,3.478,2.602,2.602,4100,10668.2,,,,,,,,
2016-03-31,3.378,3.378,3.253,3.253,2000,6506.0,,,,,,,,
2016-04-01,3.804,3.804,3.804,3.804,2900,11031.6,,,,,,,,
2016-04-04,3.804,3.804,3.804,3.804,0,0.0,,,,,,,,
2016-04-05,3.804,3.804,3.804,3.804,0,0.0,,,,,,,,
2016-04-06,3.804,3.804,3.804,3.804,0,0.0,,,,,,,,
