time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2007-11-15,11.38,11.38,9.67,10.23,59000,603570.0,,,,,,,,
2007-11-16,9.96,10.24,9.96,10.07,34300,345401.0,,,,,,,,
2007-11-19,10.21,10.21,9.09,9.23,33600,310128.0,,,,,,,,
2007-11-20,8.96,9.04,8.82,9.03,6800,61403.99999999999,,,,,,,,
2007-11-21,8.85,8.85,8.39,8.46,12000,101520.0,,,,,,,,
2007-11-22,8.53,8.82,8.53,8.6,15100,129860.0,,,,,,,,
2007-11-23,8.82,8.82,8.6,8.68,7900,68572.0,,,,,,,,
2007-11-26,8.68,8.68,8.46,8.48,7600,64448.0,,,,,,,,
2007-11-27,8.6,8.6,8.38,8.38,10000,83800.00000000001,,,,,,,,
2007-11-28,8.25,8.49,8.18,8.18,5900,48262.0,,,,,,,,
2007-11-29,8.68,8.68,8.59,8.68,6900,59892.0,,,,,,,,
2007-11-30,8.63,8.63,8.39,8.39,6300,52857.0,,,,,,,,
2007-12-03,8.43,8.75,8.25,8.72,16200,141264.0,,,,,,,,
2007-12-04,8.68,8.68,8.39,8.6,15400,132440.0,,,,,,,,
2007-12-05,8.75,8.75,8.39,8.42,12800,107776.0,,,,,,,,
2007-12-06,8.4,8.53,8.38,8.53,4200,35826.0,,,,,,,,
2007-12-07,9.3,9.3,8.39,8.46,15300,129438.0,,,,,,,,
2007-12-10,8.53,8.53,8.11,8.25,7700,63525.0,,,,,,,,
2007-12-11,8.18,8.25,8.04,8.11,3100,25141.0,,,,,,,,
2007-12-12,8.11,8.18,8.09,8.18,11100,90798.0,,,,,,,,
2007-12-13,8.11,8.11,7.78,8.11,1200,9732.0,,,,,,,,
2007-12-14,7.25,7.84,7.18,7.84,5400,42336.0,,,,,,,,
2007-12-17,7.25,7.4,6.97,7.04,4800,33792.0,,,,,,,,
2007-12-18,7.11,7.54,7.11,7.18,17900,128522.0,,,,,,,,
2007-12-19,7.18,7.91,7.18,7.82,15400,120428.0,,,,,,,,
2007-12-20,7.96,7.96,7.61,7.61,2500,19025.0,,,,,,,,
2007-12-21,7.68,7.78,7.68,7.61,6400,48704.0,,,,,,,,
2007-12-24,7.71,7.82,7.68,7.74,2700,20898.0,,,,,,,,
2007-12-25,7.75,7.75,7.54,7.54,6700,50518.0,,,,,,,,
2007-12-26,7.68,7.69,7.47,7.68,3400,26112.0,,,,,,,,
2007-12-27,7.52,7.54,7.47,7.54,2600,19604.0,,,,,,,,
2007-12-28,7.25,7.79,7.25,7.79,2000,15580.0,,,,,,,,
2008-01-02,7.48,7.48,6.74,7.14,1600,11424.0,,,,,,,,
2008-01-03,7.25,7.4,7.21,7.4,3500,25900.0,,,,,,,,
2008-01-04,7.11,7.14,7.1,7.1,11700,83070.0,,,,,,,,
2008-01-07,7.25,7.25,6.76,7.04,5300,37312.0,,,,,,,,
2008-01-08,6.9,7.04,6.9,7.04,1400,9856.0,,,,,,,,
2008-01-09,6.85,6.97,6.26,6.47,6000,38820.0,,,,,,,,
2008-01-10,6.4,6.54,5.96,5.96,14400,85824.0,,,,,,,,
2008-01-11,6.33,6.47,6.12,6.12,2200,13464.0,,,,,,,,
2008-01-14,6.26,6.26,5.73,5.73,900,5157.0,,,,,,,,
2008-01-15,5.97,5.97,5.38,5.4,4300,23220.0,,,,,,,,
2008-01-16,5.69,5.94,5.69,5.94,9600,57024.00000000001,,,,,,,,
2008-01-17,6.4,6.5,5.55,5.55,14400,79920.0,,,,,,,,
2008-01-18,5.83,5.9,5.4,5.83,17000,99110.0,,,,,,,,
2008-01-21,5.69,5.69,5.69,5.69,1300,7397.000000000001,,,,,,,,
2008-01-22,5.69,5.69,5.55,5.55,1700,9435.0,,,,,,,,
2008-01-23,5.67,5.67,5.26,5.26,2700,14202.0,,,,,,,,
2008-01-24,5.4,5.4,5.19,5.25,6900,36225.0,,,,,,,,
2008-01-25,5.52,5.52,5.12,5.12,4100,20992.0,,,,,,,,
2008-01-28,5.12,5.69,5.12,5.26,4300,22618.0,,,,,,,,
2008-01-29,5.48,5.66,5.11,5.53,10700,59171.0,,,,,,,,
2008-01-30,5.97,6.0,5.9,6.0,30900,185400.0,,,,,,,,
2008-01-31,6.12,6.12,5.83,6.07,6700,40669.0,,,,,,,,
2008-02-01,6.61,6.61,5.48,6.12,8400,51408.0,,,,,,,,
2008-02-12,5.56,6.4,5.56,5.69,2800,15932.000000000002,,,,,,,,
2008-02-13,5.55,5.76,5.4,5.55,1400,7770.0,,,,,,,,
2008-02-14,5.97,5.97,5.57,5.69,2200,12518.0,,,,,,,,
2008-02-15,5.76,5.76,5.4,5.55,2000,11100.0,,,,,,,,
2008-02-18,5.4,5.4,5.19,5.22,8000,41760.0,,,,,,,,
2008-02-19,5.26,5.33,5.19,5.26,6300,33138.0,,,,,,,,
2008-02-20,5.4,5.4,4.84,4.84,7300,35332.0,,,,,,,,
2008-02-21,4.76,4.76,4.47,4.47,4300,19221.0,,,,,,,,
2008-02-22,4.27,4.55,4.05,4.55,8600,39130.0,,,,,,,,
2008-02-25,4.55,4.65,4.55,4.64,18600,86304.0,,,,,,,,
2008-02-26,4.68,4.68,4.14,4.15,4800,19920.0,,,,,,,,
2008-02-27,4.27,4.27,4.04,4.25,11500,48875.0,,,,,,,,
2008-02-28,4.2,4.2,3.91,3.98,35800,142484.0,,,,,,,,
2008-02-29,4.12,4.12,3.84,3.87,17300,66951.0,,,,,,,,
2008-03-03,3.97,4.27,3.57,3.57,14100,50337.0,,,,,,,,
2008-03-04,3.48,3.48,3.33,3.33,14100,46953.0,,,,,,,,
2008-03-05,3.01,3.13,3.01,3.01,19500,58694.99999999999,,,,,,,,
2008-03-06,3.33,3.33,3.33,3.33,2000,6660.0,,,,,,,,
2008-03-07,3.65,3.65,3.56,3.65,21100,77015.0,,,,,,,,
2008-03-10,4.01,4.01,3.3,3.84,56800,218112.0,,,,,,,,
2008-03-11,3.84,3.84,3.58,3.58,27000,96660.0,,,,,,,,
2008-03-12,3.84,3.84,3.29,3.56,6900,24564.0,,,,,,,,
