time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2018-03-21,20.322,20.322,15.632,17.196,31000,533076.0,3600.0,0.0,80000.0,0.0,,0.02,0.08,0.0
2018-03-22,15.711,15.711,15.242,15.242,7800,118887.6,500.0,0.0,10000.0,0.0,,0.02,0.01,0.0
2018-03-23,14.851,14.851,13.288,14.773,9500,140343.5,500.0,0.0,10000.0,0.0,,0.02,0.01,0.0
2018-03-26,14.069,14.069,11.881,13.131,7500,98482.5,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-03-27,12.897,13.288,12.897,12.975,4900,63577.5,2000.0,0.0,30000.0,0.0,,0.02,0.03,0.0
2018-03-28,12.975,12.975,12.115,12.897,4600,59326.2,400.0,2000.0,10000.0,30000.0,,0.02,0.01,0.03
2018-03-29,12.897,13.366,12.897,12.975,57500,746062.5,8000.0,38700.0,140000.0,650000.0,,0.02,0.14,0.65
2018-03-30,12.897,12.897,12.74,12.74,24500,312130.0,0.0,9000.0,0.0,150000.0,,0.02,0.0,0.15
2018-04-02,12.271,12.506,12.271,12.506,9600,120057.6,0.0,7500.0,0.0,120000.0,,0.02,0.0,0.12
2018-04-03,12.506,12.506,12.271,12.271,5400,66263.40000000001,0.0,1000.0,0.0,20000.0,,0.02,0.0,0.02
2018-04-04,12.662,12.662,12.584,12.662,11000,139282.0,5000.0,2400.0,80000.0,40000.0,,0.02,0.08,0.04
2018-04-05,13.209,13.209,12.35,12.35,3400,41990.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-06,12.506,12.819,12.506,12.819,20300,260225.7,0.0,2600.0,0.0,40000.0,,0.02,0.0,0.04
2018-04-09,12.74,12.74,12.74,12.74,0,0.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-10,12.74,12.897,12.74,12.74,2400,30576.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-11,12.819,12.819,12.819,12.819,0,0.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-12,12.819,12.819,12.819,12.819,0,0.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-13,12.74,12.74,12.74,12.74,700,8918.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-16,12.662,12.74,12.662,12.74,400,5096.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-17,12.506,12.506,12.506,12.506,1500,18759.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-18,12.35,12.35,12.271,12.271,200,2454.2000000000003,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-19,12.35,12.35,12.35,12.35,0,0.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-20,11.724,11.724,11.724,11.724,200,2344.8,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-23,11.724,11.724,11.724,11.724,0,0.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-04-24,11.724,11.724,11.724,11.724,500,5862.0,500.0,0.0,10000.0,0.0,,0.02,0.01,0.0
2018-04-26,13.444,13.444,12.897,13.131,2000,26262.0,250000.0,250000.0,42680000.0,42680000.0,,0.02,42.68,42.68
2018-04-27,11.412,11.412,11.412,11.412,400,4564.8,0.0,400.0,0.0,10000.0,,0.02,0.0,0.01
2018-05-02,11.412,11.412,10.943,10.943,2900,31734.7,1000.0,0.0,10000.0,0.0,,0.02,0.01,0.0
2018-05-03,9.848,9.848,9.77,9.77,500,4885.0,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-05-04,11.177,11.177,9.848,9.927,2100,20846.7,400.0,1000.0,10000.0,10000.0,,0.02,0.01,0.01
2018-05-07,10.317,10.317,9.848,10.083,2300,23190.9,700.0,1000.0,10000.0,10000.0,,0.02,0.01,0.01
2018-05-08,11.49,11.49,10.552,10.552,200,2110.4,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-05-09,10.943,11.49,10.943,11.021,600,6612.6,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-05-10,11.099,11.334,11.099,11.177,400,4470.8,0.0,100.0,0.0,0.0,,0.02,0.0,0.0
2018-05-11,11.646,11.646,11.646,11.646,100,1164.6,0.0,100.0,0.0,0.0,,0.02,0.0,0.0
2018-05-14,11.568,11.646,11.568,11.646,200,2329.2000000000003,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-05-15,10.317,10.317,10.317,10.317,1100,11348.7,0.0,0.0,0.0,0.0,,0.02,0.0,0.0
2018-05-16,11.724,11.724,10.317,10.317,1300,13412.1,200.0,0.0,0.0,0.0,,0.02,0.0,0.0
