time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-08-18,7.91,7.91,7.91,7.91,19600,155036.0,,,,,,,,
2009-08-19,8.29,8.29,8.29,8.29,31300,259477.0,,,,,,,,
2009-08-20,8.7,8.7,8.61,8.7,699200,6083039.999999999,,,,,,,,
2009-08-21,9.12,9.12,9.12,9.12,231000,2106720.0,,,,,,,,
2009-08-24,9.43,9.43,9.12,9.15,469480,4295742.0,,,,,,,,
2009-08-25,9.25,9.25,8.97,8.97,186820,1675775.4,,,,,,,,
2009-08-26,8.61,8.97,8.61,8.7,126590,1101333.0,,,,,,,,
2009-08-27,8.79,8.79,8.61,8.7,124780,1085586.0,,,,,,,,
2009-08-28,8.79,8.79,8.7,8.79,140420,1234291.7999999998,,,,,,,,
2009-08-31,8.84,9.04,8.84,8.84,125910,1113044.4,,,,,,,,
2009-09-01,8.79,8.97,8.7,8.79,124440,1093827.6,,,,,,,,
2009-09-03,8.35,8.79,8.35,8.35,649880,5426498.0,,,,,,,,
2009-09-04,8.33,8.66,8.33,8.33,105070,875233.1,,,,,,,,
2009-09-07,7.96,7.96,7.93,7.96,236120,1879515.2,,,,,,,,
2009-09-08,8.26,8.26,7.96,8.26,112520,929415.2,,,,,,,,
2009-09-09,8.24,8.29,8.24,8.24,107280,883987.2000000001,,,,,,,,
2009-09-10,8.24,8.24,8.17,8.24,69030,568807.2000000001,,,,,,,,
2009-09-11,8.24,8.26,8.15,8.24,133070,1096496.8,,,,,,,,
2009-09-14,8.64,8.64,8.61,8.64,515860,4457030.4,,,,,,,,
2009-09-15,8.93,8.93,8.51,8.53,117530,1002530.9,,,,,,,,
2009-09-16,8.51,8.51,8.33,8.46,109320,924847.2,,,,,,,,
2009-09-17,8.48,8.48,8.24,8.29,229040,1898741.6,,,,,,,,
2009-09-18,8.42,8.7,8.37,8.7,503280,4378536.0,,,,,,,,
2009-09-21,8.77,8.77,8.64,8.64,378600,3271104.0,,,,,,,,
2009-09-22,8.46,8.55,8.46,8.48,166160,1409036.8,,,,,,,,
2009-09-23,8.44,8.51,8.33,8.35,196330,1639355.5,,,,,,,,
2009-09-24,8.24,8.35,8.18,8.18,99270,812028.6,,,,,,,,
2009-09-25,8.48,8.48,8.15,8.29,150140,1244660.6,,,,,,,,
2009-09-28,8.29,8.29,8.06,8.28,201630,1669496.4,,,,,,,,
2009-09-29,8.33,8.33,8.06,8.17,160010,1307281.7,,,,,,,,
2009-09-30,8.24,8.24,7.96,8.07,157730,1272881.1,,,,,,,,
2009-10-01,7.98,8.04,7.8,7.84,174420,1367452.8,,,,,,,,
2009-10-02,7.56,7.69,7.45,7.49,187480,1404225.2,,,,,,,,
2009-10-05,7.69,7.85,7.32,7.51,102110,766846.1,,,,,,,,
2009-10-06,7.78,7.78,7.51,7.52,98880,743577.6,,,,,,,,
2009-10-07,7.52,7.87,7.52,7.87,258170,2031797.9,,,,,,,,
2009-10-08,7.87,7.87,7.69,7.87,168070,1322710.9,,,,,,,,
2009-10-09,8.02,8.26,7.97,8.26,266370,2200216.2,,,,,,,,
2009-10-12,8.4,8.49,8.12,8.4,135870,1141308.0,,,,,,,,
2009-10-13,8.4,8.4,8.02,8.06,138200,1113892.0,,,,,,,,
2009-10-14,8.02,8.34,8.02,8.34,289070,2410843.8,,,,,,,,
2009-10-15,8.75,8.75,8.4,8.75,995010,8706337.5,,,,,,,,
2009-10-16,9.18,9.18,9.05,9.18,1431660,13142638.8,,,,,,,,
2009-10-19,8.99,9.23,8.99,9.05,367690,3327594.5000000005,,,,,,,,
2009-10-20,9.05,9.12,8.97,9.05,414490,3751134.500000001,,,,,,,,
2009-10-21,9.22,9.22,9.05,9.07,572310,5190851.7,,,,,,,,
2009-10-22,9.05,9.05,8.88,9.01,540420,4869184.2,,,,,,,,
2009-10-23,9.33,9.33,8.73,8.73,798180,6968111.4,,,,,,,,
2009-10-26,8.77,8.81,8.56,8.58,202180,1734704.4,,,,,,,,
2009-10-27,8.25,8.43,8.21,8.25,369910,3051757.5,,,,,,,,
2009-10-28,8.25,8.4,8.21,8.21,275760,2263989.6,,,,,,,,
2009-10-29,7.93,7.93,7.8,7.84,340140,2666697.6,,,,,,,,
2009-10-30,8.17,8.17,7.87,8.12,192330,1561719.6,,,,,,,,
2009-11-02,7.72,7.74,7.72,7.72,567570,4381640.399999999,,,,,,,,
2009-11-03,7.56,7.65,7.35,7.35,239060,1757091.0,,,,,,,,
2009-11-04,7.09,7.46,7.03,7.09,238010,1687490.9,,,,,,,,
2009-11-05,7.39,7.44,7.18,7.44,160000,1190400.0,,,,,,,,
2009-11-06,7.8,7.8,7.74,7.8,181280,1413984.0,,,,,,,,
2009-11-09,7.8,7.8,7.43,7.43,194650,1446249.5,,,,,,,,
2009-11-10,7.37,7.43,7.18,7.43,289580,2151579.4,,,,,,,,
2009-11-11,7.43,7.76,7.43,7.59,123810,939717.9,,,,,,,,
2009-11-12,7.84,7.93,7.74,7.74,146830,1136464.2,,,,,,,,
2009-11-13,7.56,7.76,7.56,7.76,131000,1016560.0,,,,,,,,
2009-11-16,7.82,7.82,7.48,7.48,127240,951755.2,,,,,,,,
2009-11-17,7.85,7.85,7.85,7.85,315960,2480286.0,,,,,,,,
2009-11-18,8.12,8.12,7.65,8.12,349140,2835016.8,,,,,,,,
2009-11-19,8.21,8.21,8.04,8.13,234310,1904940.3000000005,,,,,,,,
2009-11-20,7.93,8.13,7.85,7.85,175920,1380972.0,,,,,,,,
2009-11-23,7.84,7.91,7.54,7.54,137420,1036146.8,,,,,,,,
2009-11-24,7.54,7.65,7.48,7.61,206090,1568344.9,,,,,,,,
2009-11-25,7.61,7.61,7.24,7.24,398270,2883474.8000000003,,,,,,,,
2009-11-26,6.88,6.88,6.88,6.88,141670,974689.6,,,,,,,,
2009-11-27,6.55,7.22,6.55,7.22,241780,1745651.6,,,,,,,,
2009-11-30,7.22,7.35,7.09,7.26,155680,1130236.8,,,,,,,,
2009-12-01,7.43,7.46,7.26,7.26,82180,596626.7999999999,,,,,,,,
2009-12-02,7.13,7.26,7.0,7.0,129400,905800.0,,,,,,,,
2009-12-03,7.0,7.03,6.66,7.0,118610,830270.0,,,,,,,,
2009-12-04,7.0,7.09,6.9,6.96,60880,423724.8,,,,,,,,
2009-12-07,6.87,6.96,6.85,6.94,97290,675192.6000000001,,,,,,,,
2009-12-08,6.9,6.9,6.72,6.73,77470,521373.1,,,,,,,,
2009-12-09,6.72,6.72,6.4,6.42,141190,906439.8,,,,,,,,
2009-12-10,6.66,6.66,6.23,6.25,103240,645250.0,,,,,,,,
2009-12-11,6.25,6.25,5.95,5.95,196890,1171495.5,,,,,,,,
2009-12-14,5.95,6.23,5.95,6.16,107220,660475.2000000001,,,,,,,,
2009-12-15,6.16,6.29,6.06,6.25,67770,423562.5,,,,,,,,
2009-12-16,5.95,6.16,5.95,5.95,116630,693948.5,,,,,,,,
2009-12-17,6.04,6.04,5.71,5.73,127650,731434.5,,,,,,,,
2009-12-18,5.97,6.01,5.82,6.01,102230,614402.2999999999,,,,,,,,
2009-12-21,6.31,6.31,6.16,6.31,50850,320863.5,,,,,,,,
2009-12-22,6.51,6.6,6.34,6.44,102620,660872.8,,,,,,,,
2009-12-23,6.4,6.49,6.4,6.44,70970,457046.8000000001,,,,,,,,
2009-12-24,6.4,6.68,6.25,6.62,89590,593085.8,,,,,,,,
2009-12-25,6.72,6.94,6.72,6.94,118240,820585.6000000001,,,,,,,,
2009-12-28,6.94,7.09,6.75,6.94,89300,619742.0,,,,,,,,
2009-12-29,6.94,6.96,6.62,6.83,134230,916790.9,,,,,,,,
2009-12-30,6.83,7.15,6.72,7.15,297670,2128340.5,,,,,,,,
2009-12-31,7.37,7.43,7.28,7.29,258670,1885704.3,,,,,,,,
2010-01-04,7.46,7.65,7.46,7.65,144370,1104430.5,,,,,,,,
2010-01-05,8.0,8.02,7.65,7.65,122260,935289.0,,,,,,,,
2010-01-06,7.65,7.72,7.46,7.65,202590,1549813.5,,,,,,,,
2010-01-07,7.65,7.74,7.56,7.57,83610,632927.7000000001,,,,,,,,
2010-01-08,7.74,7.74,7.28,7.28,128200,933296.0,,,,,,,,
2010-01-11,7.28,7.43,7.15,7.43,56780,421875.4,,,,,,,,
2010-01-12,7.28,7.46,7.09,7.28,75660,550804.8,,,,,,,,
2010-01-13,7.13,7.37,7.03,7.15,141410,1011081.5,,,,,,,,
2010-01-14,7.28,7.29,7.15,7.26,154620,1122541.2,,,,,,,,
2010-01-15,7.15,7.46,7.15,7.28,102360,745180.8,,,,,,,,
2010-01-18,7.2,7.2,7.09,7.18,63360,454924.8,,,,,,,,
2010-01-19,7.37,7.37,7.13,7.28,191550,1394484.0,,,,,,,,
2010-01-20,7.2,7.28,7.15,7.16,59490,425948.4,,,,,,,,
2010-01-21,7.16,7.16,6.9,7.0,77260,540820.0,,,,,,,,
2010-01-22,6.72,6.9,6.72,6.73,63920,430181.6,,,,,,,,
2010-01-25,6.81,6.9,6.75,6.81,26550,180805.5,,,,,,,,
2010-01-26,7.03,7.13,6.98,7.09,111310,789187.9,,,,,,,,
2010-01-27,7.09,7.09,6.87,7.0,68230,477610.0,,,,,,,,
2010-01-28,6.77,6.81,6.77,6.81,37700,256737.0,,,,,,,,
2010-01-29,6.81,6.9,6.72,6.81,38730,263751.3,,,,,,,,
2010-02-01,6.75,6.79,6.75,6.79,31520,214020.8,,,,,,,,
2010-02-02,6.79,6.9,6.68,6.68,71430,477152.4,,,,,,,,
2010-02-03,6.68,6.88,6.68,6.88,33540,230755.2,,,,,,,,
2010-02-04,7.03,7.03,6.87,7.03,28520,200495.6,,,,,,,,
2010-02-05,6.83,7.0,6.81,6.81,30030,204504.3,,,,,,,,
2010-02-08,6.64,6.88,6.64,6.87,12960,89035.2,,,,,,,,
2010-02-09,6.87,6.87,6.7,6.72,42550,285936.0,,,,,,,,
2010-02-10,6.98,6.98,6.73,6.98,25140,175477.2,,,,,,,,
2010-02-11,7.05,7.05,6.87,7.0,19130,133910.0,,,,,,,,
2010-02-12,7.09,7.11,7.0,7.05,26550,187177.5,,,,,,,,
