time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2006-12-28,7.3,7.3,7.3,7.3,12560,91688.0,,,,,
2006-12-29,7.63,7.66,7.63,7.66,49130,376335.8,,,,,
2007-01-02,7.63,7.63,7.3,7.3,26320,192136.0,,,,,
2007-01-03,7.14,7.14,6.94,6.94,16550,114857.0,,,,,
2007-01-04,6.81,7.28,6.81,7.14,9130,65188.2,,,,,
2007-01-05,7.38,7.38,6.98,6.98,25750,179735.0,,,,,
2007-01-08,6.73,6.73,6.64,6.64,29870,198336.8,,,,,
2007-01-09,6.65,6.96,6.65,6.96,30150,209844.0,,,,,
2007-01-10,6.62,6.81,6.62,6.81,27600,187956.0,,,,,
2007-01-11,6.81,6.81,6.65,6.65,23500,156275.0,,,,,
2007-01-12,6.65,6.65,6.49,6.49,31600,205084.0,,,,,
2007-01-15,6.46,6.49,6.33,6.49,30030,194894.7,,,,,
2007-01-16,6.49,6.49,6.49,6.49,31400,203786.0,,,,,
2007-01-17,6.81,6.81,6.81,6.81,51370,349829.69999999995,,,,,
2007-01-18,7.14,7.16,7.14,7.16,21800,156088.0,,,,,
2007-01-19,7.46,7.5,7.46,7.46,67130,500789.8,,,,,
2007-01-22,7.09,7.09,7.09,7.09,46490,329614.1,,,,,
2007-01-23,6.77,7.09,6.77,7.09,38860,275517.4,,,,,
2007-01-24,7.43,7.43,7.43,7.43,64890,482132.7,,,,,
2007-01-25,7.46,7.46,7.14,7.14,53740,383703.6,,,,,
2007-01-26,7.14,7.14,6.83,6.83,21460,146571.8,,,,,
2007-01-29,6.9,6.93,6.9,6.93,4670,32363.1,,,,,
2007-01-30,7.27,7.27,7.27,7.27,16400,119228.0,,,,,
2007-01-31,7.43,7.43,7.27,7.27,24030,174698.09999999998,,,,,
2007-02-01,7.27,7.27,6.96,6.96,19600,136416.0,,,,,
2007-02-02,7.14,7.14,7.14,7.14,38240,273033.6,,,,,
2007-02-05,7.14,7.14,6.81,6.81,30620,208522.2,,,,,
2007-02-06,7.16,7.16,7.16,7.16,33250,238070.0,,,,,
2007-02-07,7.51,7.51,7.51,7.51,123100,924481.0,,,,,
2007-02-08,7.89,7.89,7.63,7.63,79940,609942.2,,,,,
2007-02-09,7.71,7.71,7.63,7.63,52850,403245.5,,,,,
2007-02-12,7.95,8.0,7.95,8.0,38460,307680.0,,,,,
2007-02-13,8.36,8.36,8.36,8.36,14940,124898.4,,,,,
2007-02-14,8.76,8.76,8.76,8.76,19670,172309.19999999998,,,,,
2007-02-15,9.17,9.17,9.17,9.17,36960,338923.2,,,,,
2007-02-26,9.57,9.57,9.57,9.57,15100,144507.0,,,,,
2007-02-27,9.98,9.98,9.98,9.98,6570,65568.6,,,,,
2007-02-28,10.47,10.47,9.9,9.98,48100,480038.0,,,,,
2007-03-01,10.47,10.47,10.47,10.47,52400,548628.0,,,,,
2007-03-02,10.95,10.95,10.95,10.95,30940,338793.0,,,,,
2007-03-05,11.44,11.44,11.44,11.44,42970,491576.8,,,,,
2007-03-06,12.01,12.01,12.01,12.01,34240,411222.4,,,,,
2007-03-07,12.57,12.57,12.57,12.57,77200,970404.0,,,,,
2007-03-08,12.49,12.49,12.49,12.49,91110,1137963.9,,,,,
2007-03-09,12.17,12.17,11.93,11.93,54390,648872.7,,,,,
2007-03-12,11.93,11.93,11.93,11.93,47380,565243.4,,,,,
2007-03-13,11.93,12.17,11.93,11.93,37750,450357.5,,,,,
2007-03-14,12.49,12.49,11.93,11.93,43640,520625.2,,,,,
2007-03-15,11.93,12.49,11.93,11.93,116960,1395332.8,,,,,
2007-03-16,11.36,12.33,11.36,12.33,101640,1253221.2,,,,,
