time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2017-08-21,7.159,7.159,7.159,7.159,100,715.9,,,,,,,,
2017-08-22,7.159,7.656,7.159,7.656,200,1531.2,,,,,,,,
2017-08-23,8.18,8.18,8.18,8.18,100,818.0,,,,,,,,
2017-08-24,8.75,8.75,8.75,8.75,100,875.0,,,,,,,,
2017-08-25,9.347,9.347,9.347,9.347,100,934.7,,,,,,,,
2017-08-28,9.993,9.993,9.993,9.993,100,999.3,,,,,,,,
2017-08-29,10.689,10.689,10.689,10.689,100,1068.9,,,,,,,,
2017-08-30,11.435,11.435,11.435,11.435,61100,698678.5,,,,,,,,
2017-08-31,12.231,12.231,12.231,12.231,225000,2751975.0,,,,,,,,
2017-09-01,13.075,13.075,13.075,13.075,287000,3752525.0,,,,,,,,
2017-09-05,13.871,13.871,13.423,13.822,261750,3617908.5,,,,,,,,
2017-09-06,13.822,13.822,12.877,12.877,226390,2915224.0300000003,,,,,,,,
2017-09-07,12.504,13.572,12.504,12.877,119130,1534037.01,,,,,,,,
2017-09-08,12.926,12.926,12.405,12.405,62960,781018.7999999999,,,,,,,,
2017-09-11,12.081,12.405,11.634,11.833,114260,1352038.58,,,,,,,,
2017-09-12,11.932,12.653,11.932,12.653,102460,1296426.38,,,,,,,,
2017-09-13,13.325,13.374,12.926,13.374,104250,1394239.5,,,,,,,,
2017-09-14,13.672,13.672,12.926,13.325,204600,2726295.0,,,,,,,,
2017-09-15,13.025,14.244,13.025,14.169,414520,5873333.88,,,,,,,,
2017-09-18,14.169,15.138,14.169,15.114,446470,6747947.58,,,,,,,,
2017-09-19,15.412,15.909,14.816,14.816,281420,4169518.72,,,,,,,,
2017-09-20,14.716,15.362,14.517,15.114,277560,4195041.84,,,,,,,,
2017-09-21,15.412,15.412,14.816,15.064,106390,1602658.96,,,,,,,,
2017-09-22,14.965,15.164,14.915,14.915,123210,1837677.15,,,,,,,,
2017-09-25,14.816,14.89,13.871,13.921,243320,3387257.72,,,,,,,,
2017-09-26,13.473,13.921,13.448,13.921,120910,1683188.11,,,,,,,,
2017-09-27,13.921,14.616,13.672,14.418,154080,2221525.44,,,,,,,,
2017-09-28,14.418,14.517,14.02,14.02,72850,1021357.0,,,,,,,,
2017-09-29,14.02,14.219,13.622,13.672,74490,1018427.28,,,,,,,,
2017-10-02,13.572,14.02,13.572,13.846,144400,1999362.4,,,,,,,,
2017-10-03,13.747,13.846,13.325,13.374,57930,774755.8200000001,,,,,,,,
2017-10-04,13.374,13.647,13.374,13.647,116390,1588374.33,,,,,,,,
2017-10-05,13.672,14.119,13.647,13.697,169210,2317669.37,,,,,,,,
2017-10-06,13.697,13.995,13.697,13.822,58340,806375.48,,,,,,,,
2017-10-09,13.871,14.119,13.822,14.095,320440,4516601.8,,,,,,,,
2017-10-10,14.095,14.915,14.069,14.915,369460,5510495.899999999,,,,,,,,
2017-10-11,14.915,15.164,14.467,14.567,201250,2931608.75,,,,,,,,
2017-10-12,14.616,14.741,14.269,14.467,158240,2289258.08,,,,,,,,
2017-10-13,14.467,14.517,14.269,14.418,70730,1019785.14,,,,,,,,
2017-10-16,14.517,14.691,14.418,14.467,106960,1547390.32,,,,,,,,
2017-10-17,14.542,14.716,14.517,14.542,157710,2293418.82,,,,,,,,
2017-10-18,14.517,14.567,14.269,14.269,157290,2244371.01,,,,,,,,
2017-10-19,14.269,14.319,14.144,14.219,197650,2810385.35,,,,,,,,
2017-10-20,14.219,14.418,14.219,14.418,192850,2780511.3,,,,,,,,
2017-10-23,14.517,14.567,13.423,13.423,143450,1925529.35,,,,,,,,
2017-10-24,13.672,14.069,13.622,13.722,100020,1372474.44,,,,,,,,
2017-10-25,13.722,13.722,13.423,13.622,121080,1649351.76,,,,,,,,
2017-10-26,12.678,13.722,12.678,13.722,292780,4017527.16,,,,,,,,
2017-10-27,13.175,14.119,13.175,13.871,209700,2908748.7,,,,,,,,
2017-10-30,13.97,13.97,13.175,13.175,28700,378122.5,,,,,,,,
2017-10-31,13.175,13.175,12.528,12.877,86460,1113345.4200000002,,,,,,,,
2017-11-01,13.075,13.075,12.827,12.877,45600,587191.2000000001,,,,,,,,
2017-11-02,13.299,13.299,12.528,12.528,37190,465916.32,,,,,,,,
2017-11-03,12.429,12.678,11.659,11.659,297970,3474032.23,,,,,,,,
2017-11-06,11.659,12.454,11.659,12.454,165330,2059019.82,,,,,,,,
2017-11-07,12.504,12.678,12.33,12.528,18180,227759.04,,,,,,,,
2017-11-08,12.429,12.429,11.783,12.081,51050,616735.0499999999,,,,,,,,
2017-11-09,12.081,12.081,11.807,11.882,90300,1072944.6,,,,,,,,
2017-11-10,11.932,12.33,11.882,12.131,43710,530246.01,,,,,,,,
2017-11-13,11.981,12.28,11.981,12.28,40260,494392.8,,,,,,,,
2017-11-14,12.081,12.33,12.081,12.28,30210,370978.8,,,,,,,,
2017-11-15,12.28,12.28,12.131,12.181,25640,312320.84,,,,,,,,
2017-11-16,12.181,12.578,12.181,12.429,126070,1566924.03,,,,,,,,
2017-11-17,12.429,12.578,12.181,12.181,59600,725987.6,,,,,,,,
2017-11-20,12.231,12.231,12.156,12.181,25110,305864.91,,,,,,,,
2017-11-21,12.33,12.33,12.131,12.231,66310,811037.61,,,,,,,,
2017-11-22,12.231,12.38,12.057,12.205,40710,496865.55,,,,,,,,
2017-11-23,12.205,12.429,12.131,12.429,36930,459002.97,,,,,,,,
2017-11-24,12.231,12.504,12.131,12.131,89030,1080022.93,,,,,,,,
2017-11-27,12.181,12.231,11.957,11.957,100390,1200363.23,,,,,,,,
2017-11-28,12.181,12.33,11.981,12.181,31350,381874.35,,,,,,,,
2017-11-29,12.181,13.025,12.181,13.025,175370,2284194.25,,,,,,,,
2017-11-30,13.572,13.572,12.975,12.975,59430,771104.25,,,,,,,,
2017-12-01,12.951,13.025,12.678,12.877,42450,546628.65,,,,,,,,
2017-12-04,12.926,12.926,12.38,12.38,88690,1097982.2,,,,,,,,
2017-12-05,12.678,12.678,12.28,12.578,38830,488403.74,,,,,,,,
2017-12-06,12.28,12.628,12.131,12.28,55950,687066.0,,,,,,,,
2017-12-07,12.38,12.405,12.131,12.181,40260,490407.06,,,,,,,,
2017-12-08,12.181,12.38,11.932,12.231,108210,1323516.51,,,,,,,,
2017-12-11,12.33,12.33,11.833,12.031,97570,1173864.6700000002,,,,,,,,
2017-12-12,11.932,12.031,11.211,11.783,112800,1329122.4,,,,,,,,
2017-12-13,11.833,11.833,11.435,11.684,94200,1100632.8,,,,,,,,
2017-12-14,11.684,11.833,11.335,11.783,79960,942168.68,,,,,,,,
2017-12-15,11.783,11.783,11.435,11.435,94010,1075004.35,,,,,,,,
2017-12-18,11.684,11.684,11.286,11.286,136610,1541780.46,,,,,,,,
2017-12-19,11.186,11.286,10.938,11.037,117740,1299496.38,,,,,,,,
2017-12-20,11.037,11.435,10.987,11.162,56690,632773.78,,,,,,,,
2017-12-21,11.286,11.286,10.665,10.665,143090,1526054.85,,,,,,,,
2017-12-22,10.665,10.689,9.919,9.919,232530,2306465.0700000003,,,,,,,,
2017-12-25,10.142,10.192,9.919,10.192,74460,758896.3200000001,,,,,,,,
2017-12-26,10.54,10.689,10.366,10.689,77530,828718.17,,,,,,,,
2017-12-27,10.739,10.739,10.341,10.441,51800,540843.8,,,,,,,,
2017-12-28,10.142,10.49,10.142,10.49,46760,490512.4,,,,,,,,
2017-12-29,10.49,10.49,10.092,10.291,52040,535543.64,,,,,,,,
2018-01-02,10.291,10.341,9.944,10.192,39510,402685.92,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-03,10.167,10.167,9.894,10.092,90350,911812.2,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-04,10.092,10.092,9.844,10.043,72370,726811.9099999999,0.0,17190.0,0.0,340000.0,,0.33,0.0,0.34
2018-01-05,10.043,10.043,9.944,9.944,32020,318406.88,1100.0,4400.0,20000.0,90000.0,,0.33,0.02,0.09
2018-01-08,9.695,10.043,9.695,10.043,26240,263528.32,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-09,10.043,10.59,9.944,10.49,126970,1331915.3,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-10,10.49,10.59,10.068,10.391,35800,371997.8,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-11,10.043,10.341,10.043,10.241,29390,300982.99,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-12,10.291,10.291,9.944,9.993,54890,548515.77,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-15,9.993,10.341,9.993,10.142,36980,375051.16,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-16,10.366,10.366,10.092,10.142,18680,189452.56,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-17,10.142,10.341,10.092,10.142,19770,200507.34,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-18,10.241,10.241,9.944,10.142,55700,564909.4,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-19,10.341,10.341,10.142,10.217,39460,403162.82,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-22,10.241,10.241,9.993,10.092,31300,315879.60000000003,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-25,10.092,10.092,9.397,9.794,70320,688714.0800000001,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-26,9.844,9.844,9.322,9.447,96710,913619.37,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-29,9.447,9.447,9.098,9.197,70440,647836.6799999999,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-30,9.397,9.397,8.95,8.95,62760,561702.0,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-01-31,8.999,9.447,8.999,9.272,43230,400828.56,0.0,10000.0,0.0,190000.0,,0.33,0.0,0.19
2018-02-01,9.347,9.919,9.272,9.919,142060,1409093.14,0.0,20000.0,0.0,390000.0,,0.33,0.0,0.39
2018-02-02,10.192,10.241,9.894,10.043,41090,412666.87,9300.0,0.0,190000.0,0.0,,0.33,0.19,0.0
2018-02-05,9.944,9.944,9.347,9.347,24790,231712.13,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-02-06,8.999,8.999,8.7,8.95,90590,810780.4999999999,6000.0,20000.0,100000.0,350000.0,,0.33,0.1,0.35
2018-02-07,9.447,9.545,9.098,9.197,30420,279772.74,8000.0,0.0,150000.0,0.0,,0.33,0.15,0.0
2018-02-08,9.496,9.496,9.098,9.173,19810,181717.13,8340.0,0.0,150000.0,0.0,,0.33,0.15,0.0
2018-02-09,8.775,9.397,8.775,9.322,13480,125660.55999999998,4690.0,0.0,90000.0,0.0,,0.33,0.09,0.0
2018-02-12,9.397,9.844,9.397,9.744,40690,396483.36,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-02-13,9.944,10.416,9.695,10.416,55080,573713.28,11220.0,2800.0,230000.0,60000.0,,0.33,0.23,0.06
2018-02-21,10.441,11.137,10.441,11.137,111560,1242443.72,15680.0,0.0,340000.0,0.0,,0.33,0.34,0.0
2018-02-22,11.533,11.907,11.41,11.634,236770,2754582.18,4300.0,10000.0,100000.0,240000.0,,0.33,0.1,0.24
2018-02-23,11.783,12.429,11.186,11.907,100830,1200582.81,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-02-26,12.305,12.305,11.634,11.882,111210,1321397.22,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-02-27,11.733,11.932,11.385,11.435,75010,857739.3500000001,4010.0,0.0,90000.0,0.0,,0.33,0.09,0.0
2018-02-28,11.435,11.484,11.037,11.037,73480,810998.76,2000.0,0.0,40000.0,0.0,,0.33,0.04,0.0
2018-03-01,10.938,11.684,10.54,11.087,38130,422747.31,950.0,0.0,20000.0,0.0,,0.33,0.02,0.0
2018-03-02,11.137,11.533,11.137,11.484,38910,446842.44,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-05,11.435,11.533,11.335,11.335,48330,547820.55,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-06,11.286,11.435,11.186,11.435,27280,311946.8,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-07,11.435,11.46,11.087,11.335,28550,323614.25,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-08,11.236,11.335,10.987,11.31,27200,307632.0,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-09,11.236,11.335,11.087,11.236,10340,116180.24,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-12,11.087,11.286,10.987,11.087,25980,288040.26,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-13,11.087,11.186,11.087,11.186,4660,52126.76,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-14,11.286,11.684,11.137,11.435,35900,410516.5,12430.0,0.0,280000.0,0.0,,0.33,0.28,0.0
2018-03-15,11.385,11.435,11.037,11.335,8740,99067.9,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-16,11.36,11.36,10.987,11.335,11870,134546.45,820.0,0.0,20000.0,0.0,,0.33,0.02,0.0
2018-03-19,11.236,11.435,10.963,10.963,26260,287888.38,10.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-20,11.31,11.31,10.291,11.062,8700,96239.4,1568.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-21,11.26,11.26,10.739,11.137,11230,125068.51,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-22,11.211,11.211,10.665,10.665,5090,54284.85,10.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-23,9.944,10.441,9.919,10.291,86060,885643.4600000001,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-26,9.819,10.441,9.695,9.993,14490,144798.57,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-27,10.366,10.366,9.993,10.092,12910,130287.72,20.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-28,10.266,10.266,9.944,10.167,18950,192664.65,20.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-29,10.167,10.167,9.993,10.142,5160,52332.72,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-03-30,9.819,10.291,9.819,10.291,8230,84694.93000000001,20.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-02,10.416,10.416,10.043,10.142,36000,365112.0,11300.0,0.0,230000.0,0.0,,0.33,0.23,0.0
2018-04-03,9.993,10.192,9.993,10.092,16230,163793.16,60.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-04,10.241,10.788,10.118,10.788,86370,931759.56,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-05,11.41,11.41,10.49,10.938,35560,388955.28,20.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-06,10.788,10.788,10.49,10.689,15120,161617.68,160.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-09,10.49,10.639,10.266,10.441,32310,337348.71,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-10,10.142,10.441,10.043,10.291,28580,294116.78,30.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-11,10.092,10.291,10.017,10.167,27290,277457.43,40.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-12,10.142,10.241,9.968,10.167,9250,94044.75,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-13,10.167,10.167,9.944,10.092,13150,132709.80000000002,0.0,0.0,0.0,0.0,,0.33,0.0,0.0
2018-04-16,10.167,10.167,10.068,10.092,12400,125140.8,10.0,0.0,0.0,0.0,,0.33,0.0,0.0
