time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room
2016-06-29,7.344,7.344,7.344,7.344,2000,14688.0,,,,,
2016-06-30,7.344,7.344,7.344,7.344,500,3672.0,,,,,
2016-07-01,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-04,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-05,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-06,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-07,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-08,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-11,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-12,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-13,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-14,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-15,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-18,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-19,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-20,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-21,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-22,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-25,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-26,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-27,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-28,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-07-29,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-01,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-02,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-03,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-04,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-05,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-08,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-09,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-10,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-11,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-12,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-15,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-16,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-17,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-18,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-19,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-22,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-23,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-24,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-25,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-26,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-29,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-30,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-08-31,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-01,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-05,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-06,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-07,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-08,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-09,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-12,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-13,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-14,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-15,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-16,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-19,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-20,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-21,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-22,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-23,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-26,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-27,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-28,7.344,7.344,7.344,7.344,0,0.0,,,,,
2016-09-29,7.344,7.344,7.344,7.344,0,0.0,,,,,
