time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2015-09-22,8.805,8.805,6.789,7.2,33200,239040.0,,,,,,,,
2015-09-23,7.2,7.9,7.2,7.9,3500,27650.0,,,,,,,,
2015-09-24,7.159,8.023,7.159,8.023,600,4813.8,,,,,,,,
2015-09-25,7.241,7.241,7.241,7.241,8300,60100.3,,,,,,,,
2015-09-28,6.789,6.83,6.789,6.83,1500,10245.0,,,,,,,,
2015-09-29,6.583,6.995,6.583,6.995,1600,11192.0,,,,,,,,
2015-09-30,6.995,6.995,6.995,6.995,0,0.0,,,,,,,,
2015-10-01,6.995,6.995,6.995,6.995,0,0.0,,,,,,,,
2015-10-02,6.995,6.995,6.995,6.995,0,0.0,,,,,,,,
2015-10-05,6.46,6.46,6.46,6.46,700,4522.0,,,,,,,,
2015-10-06,6.912,6.912,6.912,6.912,100,691.2,,,,,,,,
2015-10-07,6.583,6.583,6.583,6.583,2000,13166.0,,,,,,,,
2015-10-08,6.583,6.583,6.583,6.583,0,0.0,,,,,,,,
2015-10-09,6.583,6.583,6.583,6.583,0,0.0,,,,,,,,
2015-10-12,6.583,6.583,6.583,6.583,200,1316.6,,,,,,,,
2015-10-13,6.377,6.377,6.377,6.377,6600,42088.2,,,,,,,,
2015-10-14,6.254,6.254,6.254,6.254,4100,25641.4,,,,,,,,
2015-10-15,6.295,6.295,6.254,6.254,3400,21263.6,,,,,,,,
2015-10-16,6.254,6.254,6.254,6.254,0,0.0,,,,,,,,
2015-10-19,6.254,6.254,5.966,5.966,9000,53694.0,,,,,,,,
2015-10-20,6.213,6.213,5.76,5.76,7300,42048.0,,,,,,,,
2015-10-21,6.007,6.007,6.007,6.007,1000,6007.0,,,,,,,,
2015-10-22,6.254,6.254,6.254,6.254,600,3752.4,,,,,,,,
2015-10-23,6.254,6.254,6.254,6.254,0,0.0,,,,,,,,
2015-10-26,6.007,6.007,5.966,6.007,12800,76889.59999999999,,,,,,,,
2015-10-27,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2015-10-28,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2015-10-29,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2015-10-30,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2015-11-02,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2015-11-03,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2015-11-04,5.966,5.966,5.884,5.884,1800,10591.2,,,,,,,,
2015-11-05,5.884,5.884,5.884,5.884,2000,11768.0,,,,,,,,
2015-11-06,5.966,5.966,5.966,5.966,1000,5966.0,,,,,,,,
2015-11-09,6.007,6.048,5.884,5.884,4200,24712.800000000003,,,,,,,,
2015-11-10,5.884,5.884,5.884,5.884,2000,11768.0,,,,,,,,
2015-11-11,5.884,5.884,5.884,5.884,3500,20594.0,,,,,,,,
2015-11-12,5.884,5.884,5.884,5.884,0,0.0,,,,,,,,
2015-11-13,5.843,5.884,5.843,5.884,2700,15886.8,,,,,,,,
2015-11-16,5.884,5.884,5.884,5.884,0,0.0,,,,,,,,
2015-11-17,5.925,5.925,5.925,5.925,500,2962.5,,,,,,,,
2015-11-18,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2015-11-19,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2015-11-20,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2015-11-23,5.884,5.884,5.884,5.884,300,1765.2,,,,,,,,
2015-11-24,5.884,5.884,5.884,5.884,0,0.0,,,,,,,,
2015-11-25,5.843,5.843,5.843,5.843,300,1752.9,,,,,,,,
2015-11-26,5.843,5.843,5.843,5.843,0,0.0,,,,,,,,
2015-11-27,5.843,5.843,5.843,5.843,0,0.0,,,,,,,,
2015-11-30,5.843,5.843,5.843,5.843,0,0.0,,,,,,,,
2015-12-01,5.843,5.843,5.843,5.843,0,0.0,,,,,,,,
2015-12-02,5.801,5.801,5.801,5.801,1500,8701.5,,,,,,,,
2015-12-03,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-04,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-07,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-08,5.801,5.801,5.801,5.801,500,2900.5,,,,,,,,
2015-12-09,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-10,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-11,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-14,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-15,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-16,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-17,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-18,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-21,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-22,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-23,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-24,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-25,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-28,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-29,5.801,5.801,5.801,5.801,0,0.0,,,,,,,,
2015-12-30,5.76,5.76,5.76,5.76,300,1728.0,,,,,,,,
2015-12-31,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-04,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-05,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-06,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-07,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-08,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-11,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-12,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-01-13,6.336,6.336,6.336,6.336,500,3168.0,,,,,,,,
2016-01-14,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-15,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-18,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-19,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-20,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-21,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-22,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-25,6.336,6.336,6.336,6.336,0,0.0,,,,,,,,
2016-01-26,6.172,6.172,5.966,5.966,8000,47728.0,,,,,,,,
2016-01-27,5.76,5.76,5.76,5.76,1200,6912.0,,,,,,,,
2016-01-28,5.76,5.76,5.76,5.76,500,2880.0,,,,,,,,
2016-01-29,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-02-01,6.007,6.007,6.007,6.007,1000,6007.0,,,,,,,,
2016-02-02,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-03,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-04,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-05,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-15,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-16,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-17,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-18,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-02-19,5.76,5.76,5.76,5.76,400,2304.0,,,,,,,,
2016-02-22,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-02-23,5.76,5.76,5.76,5.76,0,0.0,,,,,,,,
2016-02-24,5.925,5.925,5.925,5.925,1000,5925.0,,,,,,,,
2016-02-25,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-02-26,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-02-29,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-01,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-02,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-03,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-04,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-07,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-08,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-09,5.925,5.925,5.925,5.925,700,4147.5,,,,,,,,
2016-03-10,5.925,6.007,5.925,6.007,1800,10812.6,,,,,,,,
2016-03-11,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-03-14,6.007,6.007,6.007,6.007,0,0.0,,,,,,,,
2016-03-15,5.966,5.966,5.966,5.966,100,596.6,,,,,,,,
2016-03-16,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-03-17,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-03-18,5.884,5.884,5.884,5.884,1100,6472.400000000001,,,,,,,,
2016-03-21,5.925,5.925,5.925,5.925,300,1777.5,,,,,,,,
2016-03-22,5.925,5.925,5.925,5.925,100,592.5,,,,,,,,
2016-03-23,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-24,5.925,5.925,5.925,5.925,0,0.0,,,,,,,,
2016-03-25,5.966,5.966,5.966,5.966,200,1193.2,,,,,,,,
2016-03-28,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-03-29,5.966,5.966,5.966,5.966,900,5369.400000000001,,,,,,,,
2016-03-30,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-03-31,5.966,5.966,5.966,5.966,2500,14915.0,,,,,,,,
2016-04-01,5.966,5.966,5.966,5.966,1000,5966.0,,,,,,,,
2016-04-04,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-04-05,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-04-06,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-04-07,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-04-08,5.966,5.966,5.966,5.966,0,0.0,,,,,,,,
2016-04-11,6.172,6.172,6.172,6.172,1800,11109.6,,,,,,,,
2016-04-12,6.172,6.172,6.172,6.172,0,0.0,,,,,,,,
2016-04-13,6.377,6.377,6.213,6.213,2000,12426.0,,,,,,,,
2016-04-14,6.213,6.213,6.213,6.213,0,0.0,,,,,,,,
2016-04-15,6.254,6.254,6.254,6.254,500,3127.0,,,,,,,,
