time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2009-06-08,3.39,3.39,3.39,3.39,600,2034.0,,,,,,,,
2009-06-09,3.63,3.63,3.63,3.63,6500,23595.0,,,,,,,,
2009-06-10,3.86,3.86,3.86,3.86,23900,92254.0,,,,,,,,
2009-06-11,4.12,4.12,4.12,4.12,6400,26368.0,,,,,,,,
2009-06-15,4.7,4.7,4.16,4.16,29800,123968.0,,,,,,,,
2009-06-16,4.46,4.7,4.16,4.16,4900,20384.0,,,,,,,,
2009-06-17,3.97,3.97,3.97,3.97,13100,52007.0,,,,,,,,
2009-06-18,3.69,3.86,3.69,3.84,21200,81408.0,,,,,,,,
2009-06-19,4.01,4.01,3.84,3.84,3100,11904.0,,,,,,,,
2009-06-22,3.69,3.69,3.69,3.69,200,738.0,,,,,,,,
2009-06-23,3.44,3.44,3.44,3.44,2100,7224.0,,,,,,,,
2009-06-24,3.44,3.67,3.44,3.67,3000,11010.0,,,,,,,,
2009-06-25,3.63,3.63,3.63,3.63,500,1815.0,,,,,,,,
2009-06-26,3.39,3.39,3.39,3.39,1400,4746.0,,,,,,,,
2009-06-29,3.2,3.2,3.2,3.2,500,1600.0,,,,,,,,
2009-06-30,2.99,3.05,2.99,3.05,1400,4270.0,,,,,,,,
2009-07-01,2.88,2.88,2.82,2.88,1100,3168.0,,,,,,,,
2009-07-02,2.69,2.69,2.69,2.69,100,269.0,,,,,,,,
2009-07-03,2.78,2.86,2.75,2.84,3200,9088.0,,,,,,,,
2009-07-06,2.99,3.01,2.99,3.01,200,602.0,,,,,,,,
2009-07-07,3.03,3.05,3.01,3.05,1200,3660.0,,,,,,,,
2009-07-08,3.18,3.18,3.18,3.18,100,318.0,,,,,,,,
2009-07-09,3.2,3.2,3.2,3.2,100,320.0,,,,,,,,
2009-07-10,2.99,3.42,2.99,3.42,400,1368.0,,,,,,,,
